,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
S100A12,0.24058187909956855,5.2426016245662164e-73,4.596014090869716e-70,0.21535398560179517,0.26548885866472505
SELL,0.1846793334728241,4.490702190203696e-43,1.4763183450294653e-40,0.15885350670259818,0.21025260317715833
RETN,0.17978297369163396,7.290151622320123e-41,2.1303443074113248e-38,0.15391281922314026,0.2054068131504226
PADI4,0.17198416080240983,1.7848084942252328e-37,3.9117052831769686e-35,0.1460460724546344,0.19768595149713888
PLBD1,0.17131167970216085,3.4377222213994574e-37,6.954776494061979e-35,0.14536788709892556,0.1970200426516907
QPCT,0.17095214070631093,4.875109532028176e-37,9.158241478024359e-35,0.14500530835011585,0.19666400775072396
ALOX5AP,0.16936350768365893,2.2608036509943407e-36,3.963942401410077e-34,0.1434033275116893,0.19509077649192494
S100P,0.1433304771474797,2.1805336116559024e-26,2.7308587612642966e-24,0.11717093206806901,0.16929126110673062
FAM101B,0.14176505948584908,7.647945616596675e-26,9.142771350749662e-24,0.11559468886609052,0.16773875028687513
MSRB1,0.13454871426042173,2.0690902097679262e-23,2.2673780215373522e-21,0.10833014335680573,0.16058023746536917
C19orf59,0.13221377543926657,1.1877243466242668e-22,1.2494860126487286e-20,0.10598020816893365,0.15826342449449154
MNDA,0.12996134664961487,6.221597752414802e-22,6.060297069944789e-20,0.10371359058301166,0.1560282091975336
CDA,0.12215699132999788,1.5418338267919907e-19,1.2287948377160411e-17,0.09586218129374316,0.14828143068274005
EMB,0.11957762075826026,8.833184959846856e-19,6.637507555542067e-17,0.09326797839319344,0.1457203843640711
MEGF9,0.11805005092463786,2.4396788709381636e-18,1.6885145869914133e-16,0.09173179287916103,0.1442035014120686
SERPINB10,0.11791056239125593,2.6750716624088387e-18,1.7588596180338114e-16,0.09159152385481963,0.14406498261631526
TSPO,0.11786180248876453,2.7625336079236486e-18,1.7720642411802918e-16,0.09154249136863983,0.14401656145556743
SAMSN1,0.11748895554119106,3.53145296101956e-18,2.2113622113051052e-16,0.09116756430451137,0.14364630058659156
HP,0.11078619124508472,2.5524114457951443e-16,1.3985087713419228e-14,0.08442867785383074,0.1369887774791849
CES1,0.11005078499311875,4.0199503841299303e-16,2.1144939020523434e-14,0.08368945514545265,0.13625819081381993
F5,0.10946396813975705,5.763490405258435e-16,2.9721528952607226e-14,0.08309961376534003,0.13567519929676852
HMGB2,0.10763853054755658,1.7459918331937794e-15,8.664072681697434e-14,0.08126488574280318,0.13386154528744015
CKAP4,0.10675739974695882,2.961341599497293e-15,1.4422830382736816e-13,0.08037933444838741,0.1329860395073194
DYSF,0.10659119114016984,3.270073879023753e-15,1.5636898730604494e-13,0.08021229666734288,0.13282088736494116
S100A4,0.1041013217021859,1.4181402252091976e-14,6.321540325932526e-13,0.07771018320176225,0.1303466698195781
SLC2A3,0.10336128814840191,2.1786951788828765e-14,9.549947200769942e-13,0.07696657458935627,0.1296112252646747
GCA,0.10075351582142418,9.654991206457573e-14,4.030575694124352e-12,0.07434643829904372,0.12701939368844675
METTL9,0.09969409059778515,1.7487428711344747e-13,7.075682693974875e-12,0.07328209426662698,0.12596634203774487
VCAN,0.09791174498403941,4.684112880402296e-13,1.7853937500663822e-11,0.07149160913577397,0.12419458553131862
ITGAM,0.09587090627071257,1.4164366873267118e-12,5.173928455096183e-11,0.06944165951106279,0.12216566582273944
NCF1,0.09477832174496725,2.537246618663243e-12,8.907835763858524e-11,0.06834428908850469,0.12107937193390389
MGST1,0.09377241757585635,4.314310637333735e-12,1.4929785494983848e-10,0.06733403526235117,0.12007920363258491
VSTM1,0.09225224744413477,9.52199332211792e-12,3.130355304646266e-10,0.06580739458685703,0.11856760047773314
IL1R2,0.08929936810334362,4.273568983800959e-11,1.3541549912525928e-09,0.06284230019583105,0.11563101358306897
FPR2,0.08849302345001675,6.38606905731581e-11,1.9759248965577154e-09,0.06203270114570965,0.11482903790177346
CARS2,0.08617125321394938,1.9901033907484572e-10,5.947695360986866e-09,0.05970175473599334,0.11251965583400265
RBP7,0.08515161035996632,3.2480109983128777e-10,9.491409917292075e-09,0.058678173231444336,0.11150536348225823
LGALS1,0.08474626468696728,3.940077489290037e-10,1.138725691959648e-08,0.05827127726187196,0.11110212957825323
CTSD,0.08456430298736785,4.2957147498830005e-10,1.228014107846988e-08,0.058088622487055,0.11092111304012292
LRRK2,0.08451010065536,4.407575977591468e-10,1.2464435291468345e-08,0.0580342140460439,0.1108671919125872
SLCO4C1,0.0844782287412095,4.474673995787358e-10,1.2519566605234842e-08,0.05800222100964717,0.11083548527910919
FOLR3,0.0841231480899361,5.292981062430397e-10,1.4653200204412575e-08,0.057645794629761736,0.11048224236865928
NFE2,0.08348077944380392,7.15967612713618e-10,1.9412317746771292e-08,0.05700100860561714,0.10984318141759557
MAP2K6,0.08248371537572476,1.1391781210155943e-09,3.057182100276544e-08,0.056000236111685024,0.10885120827540495
AZU1,0.0811305957311704,2.1210765199600725e-09,5.2626709882028215e-08,0.05464216885634765,0.10750491354971455
STXBP2,0.07596084166499648,2.0807832105763223e-08,4.7176377963928693e-07,0.049454414171680165,0.10236034401031219
CR1,0.0757324889750488,2.2939306357124165e-08,5.112743705020047e-07,0.04922529935579881,0.10213307117203853
RAB27A,0.07536213952967495,2.6854080369548248e-08,5.885519280992658e-07,0.04885371980203395,0.10176446720370308
TMEM45A,0.07471441314322268,3.5311681522193615e-08,7.489493742207194e-07,0.04820385964364633,0.10111977615903911
GAPDH,0.07373213201580162,5.3255865380078074e-08,1.0774071226892718e-06,0.0472183854622009,0.1001420558289718
SIRPB1,0.07344699620801284,5.994382382454887e-08,1.2034523409050652e-06,0.04693233244246752,0.09985823437405884
CYP1B1,0.07241210455035012,9.175252606564512e-08,1.8280995723685354e-06,0.0458941483261086,0.09882807701032231
VNN2,0.07211317283302941,1.0364619448720508e-07,2.0495450488823262e-06,0.04559427623447534,0.09853050226892704
VIM,0.07149666195273775,1.3306600054515108e-07,2.6116685181622935e-06,0.04497584103680333,0.09791677506946075
CDC42EP3,0.06978968703471475,2.629603556714575e-07,5.085189230999509e-06,0.043263644183211644,0.0962174026615233
SERPINB2,0.06971702915432833,2.7060225741221153e-07,5.194773262730776e-06,0.04319076748688724,0.09614506496551799
CPD,0.06902577629664387,3.548782243981623e-07,6.763258914254832e-06,0.04249744697506539,0.09545684431729946
MT-ATP6,0.06867774258130485,4.063896087515401e-07,7.68924223752914e-06,0.04214838190221956,0.09511032770234014
PDE4D,0.06862612709414909,4.1461821846135866e-07,7.788899389666953e-06,0.0420966140100325,0.09505893666481845
PSTPIP1,0.06733640939349399,6.810361555903697e-07,1.2184524416344709e-05,0.040803134406588414,0.0937747815484332
G0S2,0.06676852832779763,8.449731376314328e-07,1.501540102682884e-05,0.040233625120434505,0.09320932187145892
TNFAIP6,0.06629157389149533,1.0114380620132935e-06,1.785290002077156e-05,0.03975531648770786,0.09273438794250703
DGAT2,0.06582651361870542,1.2038724568616608e-06,2.083016158911953e-05,0.039288947498772646,0.0922712862037768
MARC1,0.06539973452083793,1.4110894024565849e-06,2.417525294469608e-05,0.03886097758406983,0.09184629435762662
LRP3,0.06538903304541235,1.4167024130177704e-06,2.417525294469608e-05,0.038850246374069274,0.09183563757366839
GPR27,0.06500523090818693,1.632816544948458e-06,2.7527612264195156e-05,0.038465381870457796,0.09145343426494112
RP11-552D4.1,0.06496925615501173,1.6546241352616838e-06,2.7717589017440947e-05,0.038429307942574334,0.0914176089746102
7SK-2,0.06491306898497874,1.6892451752814353e-06,2.810540472415701e-05,0.03837296601491344,0.09136165510616069
BASP1,0.06484634044634721,1.7312659514002213e-06,2.8457684076141137e-05,0.03830605390352193,0.09129520342226675
PADI2,0.06377910311553975,2.556439580838345e-06,4.0996561570761266e-05,0.03723591290481749,0.0902323620162431
ASPH,0.06370633877318684,2.6247060589296676e-06,4.1836223848394096e-05,0.03716295280691255,0.09015989519423036
AGTRAP,0.06227533934988461,4.382083556080744e-06,6.739695761691437e-05,0.035728161115410995,0.08873468994536929
MIR4435-1HG,0.06183371092046482,5.121830827731424e-06,7.786367096493435e-05,0.03528538443199574,0.088294827808753
RGS18,0.06175167039800806,5.2718197049948245e-06,7.96832518628528e-05,0.035203131748373744,0.08821311427072125
PLAC8,0.06151922615540236,5.7199541924943675e-06,8.504524824756059e-05,0.034970088345720816,0.08798159453441164
AL627309.1,0.06137519851375637,6.015678441755975e-06,8.83867838090403e-05,0.034825690899879254,0.08783813830292482
IL17RA,0.06113284654977801,6.546575141671453e-06,9.565273679219956e-05,0.034582719176862516,0.08759674536003291
RRP12,0.0610452464123249,6.749274850227481e-06,9.80695737905982e-05,0.034494895794586714,0.08750949110400373
CMTM2,0.06077375810887761,7.4163000353115335e-06,0.00010600472333081159,0.03422271822062286,0.08723907216880211
RNASE2,0.06063849419592908,7.7717126823128e-06,0.00010930269708279499,0.03408711236161615,0.08710433959261983
LILRA3,0.06038459812217492,8.483253188588744e-06,0.00011867529726589572,0.03383257708043977,0.0868514382460543
GADD45A,0.059974323777219465,9.766254485709753e-06,0.00013518552261798238,0.033421277110843826,0.08644276408506084
CTSG,0.05963403896731639,1.0968975923830177e-05,0.00014947360973924023,0.033080148462879204,0.08610379972233743
CTB-61M7.2,0.059594665952284624,1.1116931200308403e-05,0.00015070891266397474,0.03304067821000792,0.08606457909549892
BPI,0.05876199474771401,1.4730263996635494e-05,0.0001956595672280371,0.032205969990849424,0.08523511142301535
RGS2,0.05828361025716127,1.7286721151299765e-05,0.00022846269662270543,0.03172643195302844,0.08475855082162702
ULK1,0.05799427571344685,1.90324317908818e-05,0.0002490313214428813,0.03143640565900881,0.08447031351666097
FCN1,0.057725766705298664,2.0801622470626973e-05,0.0002694988526982706,0.031167258691849983,0.08420281880685496
CRISPLD2,0.05748739588454863,2.250241059524055e-05,0.00029010460718373847,0.030928324745657435,0.08396534523912927
STEAP4,0.057352575063964434,2.352210794145008e-05,0.0003017714335903108,0.030793186769262446,0.08383103056679535
MXD1,0.05726183546251715,2.423298679569963e-05,0.0003093823071489807,0.030702234256420935,0.08374063108091187
VNN3,0.05718953818744985,2.481396049183233e-05,0.00031526915987207263,0.030629767657860203,0.08366860448282283
RPS6KA1,0.0569756877858327,2.6610972250523902e-05,0.0003332707477089422,0.0304154180433239,0.08345555310565175
MOSPD2,0.05673871678983744,2.8746585277302957e-05,0.000354958919294572,0.03017789671497987,0.08321946469370865
CAMP,0.056738605710559574,2.874762350180374e-05,0.000354958919294572,0.03017778537843912,0.0832193540274418
ELANE,0.056169955945865116,3.455641304574283e-05,0.0004246886276182414,0.029607827242124518,0.08265281003555233
RPH3A,0.05555406718334771,4.209813675907874e-05,0.0005102216574948253,0.028990540902634577,0.0820391826669593
OSCAR,0.05495213334746711,5.0958801247619396e-05,0.0006119709921517763,0.028387260732999377,0.08143943958211715
PDLIM7,0.0544152704300524,6.0327003365242384e-05,0.0007179186373329749,0.027849213351260723,0.08090451440483136
