,4.0_2_corr,4.0_2_pval,4.0_2_qval,4.0_2_ci_low,4.0_2_ci_high
CCL20,0.8211404066955736,0.0,0.0,0.8037259834317336,0.8371492344006554
RP11-452H21.4,0.821140322719941,0.0,0.0,0.803725892161117,0.8371491572691411
SDPR,0.8211403225675145,0.0,0.0,0.8037258919954492,0.8371491571291375
IGFBP6,0.8211403222814024,0.0,0.0,0.8037258916844826,0.8371491568663441
SPP1,0.8211403220303185,0.0,0.0,0.8037258914115868,0.8371491566357236
CXCL3,0.8211403218679137,0.0,0.0,0.803725891235074,0.8371491564865552
HES1,0.8211403218018457,0.0,0.0,0.8037258911632666,0.8371491564258717
TREM2,0.8211403216022719,0.0,0.0,0.8037258909463558,0.8371491562425635
AREG,0.821140321232159,0.0,0.0,0.8037258905440909,0.8371491559026152
NR4A3,0.8211403209970999,0.0,0.0,0.8037258902886123,0.8371491556867137
CH25H,0.8211403209625417,0.0,0.0,0.8037258902510521,0.8371491556549722
CKB,0.8211403209138572,0.0,0.0,0.8037258901981383,0.8371491556102554
SLC9B2,0.8211403207751917,0.0,0.0,0.8037258900474269,0.8371491554828913
S100B,0.8211403206577871,0.0,0.0,0.8037258899198233,0.8371491553750553
TYROBP,0.249808507430947,1.7017783873468289e-22,2.23783857936108e-20,0.2011675600630898,0.29722056638515637
MT-ND4,0.21825032597253743,2.2237747743948453e-17,2.785013169837354e-15,0.16892383530647592,0.26648630091664516
S100A4,0.21264379808866166,1.498095011307457e-16,1.7909044907902784e-14,0.16320653914685943,0.26101586659981946
MT-ATP6,0.18698503698872823,4.665675843061279e-13,5.3350988988048537e-11,0.13708314012805617,0.2359402412361706
MT-ND1,0.17938584733112034,4.089788498192466e-12,4.4817265626025775e-10,0.1293596418952427,0.22850122078785368
RPL36,0.17728463497678898,7.330364627029866e-12,7.71154358763542e-10,0.12722512830971786,0.22644328329628746
MT-ND3,0.15139080909897906,5.429712378637913e-09,5.492362906083736e-07,0.1009589305888041,0.20104666454418557
APOC1,0.14877026533511917,9.988231003474925e-09,9.729276866347797e-07,0.09830461327955138,0.19847271478743866
SPARC,0.1436620469483255,3.177886732830011e-08,2.9849436097653317e-06,0.09313262342274684,0.19345335045563436
CTSK,0.14329708948052838,3.4464937421790294e-08,3.125613290320982e-06,0.09276321413517778,0.19309464139151253
MT-ND2,0.1309956628579416,4.7112730961786833e-07,4.130216080983312e-05,0.08031986428741122,0.18099603528087033
MTRNR2L8,0.11259387699980214,1.5358425561273633e-05,0.0013029890072951502,0.061735214104048065,0.16286935425386698
MT-ND4L,0.11136894758906354,1.9023619509410443e-05,0.0015161248275681657,0.060499362822864125,0.16166153143044504
C1orf56,0.1110971947946452,1.9942662911995818e-05,0.0015292543617979105,0.06022520812823573,0.16139355333990774
LGALS1,0.11098017207250564,2.035129378818512e-05,0.0015292543617979105,0.06010715345918068,0.16127815380347868
CST3,0.10305646583843972,7.668912369229887e-05,0.005451145819209352,0.05211688248564749,0.15346115397620463
NAGLU,0.10254372705063258,8.329950394561827e-05,0.005765202509920422,0.05160006090856594,0.15295510268919169
MMP9,0.09891748354931282,0.00014786468915907203,0.009971388012522037,0.04794572143342784,0.149375400383444
EXOSC6,0.09837056380754233,0.00016096616704109695,0.010583525482952124,0.047394682575477014,0.14883538529634271
AIFM3,0.09379647078866983,0.0003219265486083963,0.02065041031317274,0.04278735437839823,0.14431785962651314
SLC35F5,0.09344588773324533,0.00033907019783538557,0.021232252864453904,0.042434313493701546,0.1439715252834778
FBXL20,0.09288003981019069,0.0003685501589528385,0.022541556233627098,0.0418645254579422,0.14341250875365924
PSMD6-AS2,0.08937736923559982,0.0006112189840429196,0.034945781044193006,0.03833820339010962,0.1399514076246554
HLA-DRA,0.08801609901176481,0.0007405097071810589,0.04057376103929552,0.036968084236608904,0.13860595928790118
C19orf35,0.08587213823415904,0.0009964648110267137,0.05138632260784818,0.03481057574891829,0.13648653877655997
TMTC2,0.08453189898996157,0.0011957049750587986,0.05823526082230815,0.03346210923200532,0.1351614048192291
AC092580.4,0.08364127859498939,0.0013477823771757438,0.06444850276313102,0.03256612444234152,0.1342807220616607
COPG1,0.08339574154825506,0.001392737166004133,0.0645575068121695,0.032319122909126786,0.13403791067571014
MTRNR2L1,0.08336128487255877,0.0013991550906059548,0.0645575068121695,0.032284461218466974,0.13400383601058033
RAB13,0.08087426336802718,0.0019411891551299734,0.08802288755158329,0.029782966519123533,0.1315440710537419
SIGLEC14,0.0795355478058854,0.0023070214856024214,0.10146778082737043,0.028436725221362133,0.1302197687914082
SCD5,0.07950907096538959,0.002314854315453318,0.10146778082737043,0.02841010140764049,0.13019357519033933
AMFR,0.07892030943392175,0.0024954385128654606,0.10585489175542195,0.027818090384692417,0.12961109373245264
LAMP1,0.07826096999428232,0.002712883405858903,0.11325211678426848,0.027155154468949606,0.12895874566181884
CDK17,0.07745766634329426,0.003001109993778706,0.12332686380684371,0.026347529808922188,0.12816390061699223
MFSD2A,0.07724554462346038,0.0030817402711315316,0.12469195250886043,0.026134278210844217,0.12795400161884862
SLC1A3,0.07645785428136173,0.0033987119380186003,0.13145018230866057,0.025342432899887378,0.12717452535037954
H2AFZ,0.07327290856909212,0.0050051662653146055,0.18694554755202794,0.0221413408659875,0.12402215356327975
SS18L1,0.07311617855821272,0.0050995681497623315,0.18694554755202794,0.021983843361062447,0.12386700005348539
MNDA,0.07269001427831855,0.005364436374451282,0.19326668033982017,0.021555605021780753,0.12344510988726021
HLA-DPB1,0.07183243643611012,0.005935353398514764,0.21094566808234905,0.020693910379824952,0.12259607730622654
AC079922.3,0.07152939138925038,0.006149819495225487,0.2156536702992404,0.02038942873245953,0.12229603415717095
EML3,0.07117300395806964,0.006410935618821942,0.22065065394424035,0.020031363965911736,0.12194316514813527
NFYC-AS1,0.07103081083053815,0.0065178673852264385,0.22065065394424035,0.019888505268511276,0.12180237223518742
ENTPD3-AS1,0.07025319573011773,0.0071314843400845295,0.23444754768027892,0.019107287285548655,0.1210323783822849
RP11-1143G9.4,0.0700162191230877,0.007328516648520409,0.2379506022914651,0.01886922512279577,0.12079771218528627
SYNJ2,0.06963407627748079,0.007656535174680154,0.24310206996344394,0.018485343951878105,0.1204192830957901
FAM168B,0.06961637550869447,0.007672042512154315,0.24310206996344394,0.01846756302968837,0.12040175398965747
TSPO,0.06916418235754433,0.008077853557192228,0.24993829241665363,0.018013333207899707,0.11995393548430457
RP11-138A9.2,0.0684768744870218,0.008731462443037036,0.26702030494403955,0.01732297014700878,0.11927323724273711
SPRYD3,0.06819917560048554,0.009008661417579694,0.26923613100266586,0.01704405067963377,0.11899819535593249
NAT1,0.06672998011858781,0.01060987231563773,0.30423788029300197,0.015568530059442115,0.11754292727071634
SMAD4,0.06667489212072658,0.010674544087182138,0.30423788029300197,0.015513209232104504,0.11748835724024179
NUDT18,0.06660405298812375,0.010758221622528206,0.30423788029300197,0.015442071158204184,0.11741818372475142
INTS5,0.06574759916632862,0.01181694552353712,0.33012557016966126,0.014582044082856876,0.11656973713922902
CTSS,0.06538048920350867,0.012298326225340012,0.3369228955483774,0.01421342566063261,0.1162060366808018
MARK4,0.06467019407349123,0.013279198621414119,0.3563703303501953,0.01350025140423886,0.11550229965880472
GAPDH,0.06450280602519924,0.013520170534722787,0.35917220713455483,0.013332192441109864,0.11533644966318841
FIZ1,0.06321056786293641,0.015513983177632645,0.4000174093840574,0.012034872109054216,0.11405598988607196
PARG,0.06292380569448056,0.015989968920056854,0.4082875559198983,0.011747005506357606,0.11377181856893893
TPK1,0.06278270454593027,0.01622884925071598,0.4084756948645225,0.011605364035470703,0.11363198919301194
RP11-597D13.9,0.06212856167979744,0.0173776719941415,0.4231784939314087,0.010948743072285617,0.11298371592805
DSC2,0.06133595717761479,0.018864591756971038,0.44675958418116857,0.01015319507323079,0.11219816541992687
EGR1,0.06115918819241356,0.01921097549114403,0.44675958418116857,0.009975778456871589,0.11202296096657542
SCYL3,0.06042643619613104,0.020706696289648906,0.4599646792773297,0.009240376229784818,0.11129666062342107
RIPK3,0.060376562140285785,0.02081209005095142,0.4599646792773297,0.009190323801044717,0.11124722371776634
AHSA2,0.05988287947216938,0.021880779393537525,0.475364846608767,0.008694889328110314,0.11075785463766977
SLC39A11,0.05975105367515578,0.02217409060513358,0.475364846608767,0.0085626000058274,0.11062717650469686
GFOD1,0.0596793870837756,0.022334976449660027,0.475364846608767,0.008490682172522284,0.110556133098356
RP11-109P14.10,0.057736803631511256,0.02709900796670475,0.5482337765571806,0.006541490289949054,0.1086302435356362
ANKDD1A,0.0567428896368893,0.029858653363379076,0.5774136643065219,0.005544345544053746,0.10764472313126217
NBPF10,0.05595702014263583,0.03220828781606276,0.6050556925446077,0.004755993626438165,0.10686541946938277
CDKN1A,0.055219682092108806,0.03455494127665645,0.6267551417765964,0.0040163843203251635,0.10613418489892242
GABARAPL1,0.0549287742557263,0.035520116177465595,0.6298497216137989,0.003724595797553748,0.10584566996685704
USPL1,0.05487777405168168,0.035691669746732775,0.6298497216137989,0.00367344209517068,0.10579508838911683
CCDC117,0.05480129956002901,0.03595023564224129,0.6298497216137989,0.003596737935886931,0.10571924113124244
SUSD1,0.05444093215331523,0.03719023491460701,0.6352632681408241,0.003235296385644234,0.10536182143683026
RP11-755B10.4,0.05417370334532009,0.03813306547745652,0.6390018348150651,0.002967279690282965,0.1050967699959848
RCAN1,0.05416817697106142,0.038152775770313035,0.6390018348150651,0.002961737099911563,0.10509128857399364
RP11-690G19.3,0.0540910824352996,0.03842864347447793,0.6390018348150651,0.0028844166727227385,0.1050148208128284
RELB,0.05346087354252817,0.040747857368875984,0.6541531554894225,0.002252384190250905,0.10438971290437553
CWF19L1,0.053428588500979396,0.04086979197416759,0.6541531554894225,0.002220006829418401,0.10435768809813983
NSUN6,0.053293939987684606,0.041381669070958395,0.6541531554894225,0.002084974445456175,0.10422412378764254
ATOX1,0.05324734205947716,0.04156007310443539,0.6541531554894225,0.002038244105756077,0.10417790064254673
NDRG1,0.05297935173832975,0.042598768385486825,0.6590280050225314,0.0017694966118828343,0.10391206147298741
TRPM2,0.05274804899432907,0.04351281323486728,0.6614953688306413,0.0015375462987099271,0.10368260953892644
IL7R,0.052190619001042625,0.04578380762845115,0.6880652232161515,0.0009785783314120542,0.1031296176431379
HSPB1,0.05092452903586023,0.0513143396311471,0.7334603979886786,-0.00029088595437658113,0.10187349092779736
RILP,0.050766469531417786,0.052042456244395754,0.738190797060101,-0.0004493551219294884,0.10171666383396585
MIR22HG,0.05073108196545887,0.0522066495259235,0.738190797060101,-0.00048483405396594913,0.10168155184252206
SELM,0.05051746015224897,0.05320703805605645,0.7471055258714615,-0.0006990046723990836,0.10146959087591487
PLA2G4A,0.05030450669752718,0.05422016304850308,0.7505212043029638,-0.0009125005389232991,0.10125828846716473
IRGQ,0.05022505459614378,0.05460225086709692,0.7518529831437952,-0.0009921538160917011,0.10117945118700124
RP5-1074L1.4,0.049964831411531664,0.055869407059297264,0.7630951090288086,-0.001253031345803503,0.10092123719727221
ANKRD37,0.04981212839920264,0.05662431675290272,0.7637023233853034,-0.0014061150922703568,0.10076971001549623
SPEF2,0.04956988782784772,0.05783924771826379,0.7644081482363506,-0.001648954717098969,0.1005293298743419
CD74,0.04897488790945562,0.060915476651870346,0.7827460283979958,-0.002245400411570688,0.09993887435715722
RP11-119F19.2,0.048942305170843504,0.061087770315066764,0.7827460283979958,-0.0022780612697620175,0.0999065394374443
