,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
DUSP6,0.13543118219174638,1.8846007668330367e-07,3.838385516111345e-05,0.0848047367214182,0.185360169004318
HLA-DQB1,0.12721032722695125,1.0056843544366116e-06,0.00016411511558962457,0.07649403204894399,0.17727006321701247
TUBA1B,0.12255963705421158,2.478615113742701e-06,0.00038068612129307013,0.07179563110347519,0.1726903420694599
ISG15,0.12044417972274271,3.696026410919825e-06,0.0005361291643839814,0.06965921677223247,0.1706064489375388
HLA-DQA1,0.11967850920743218,4.264071262726989e-06,0.0005859731614200088,0.06888607586386712,0.16985209218126648
IFIT2,0.11832433028695125,5.479060882047105e-06,0.0006812299030011901,0.06751883402833658,0.16851777900783463
UBB,0.11606343636674991,8.276509265347496e-06,0.0009395637257314049,0.06523655583960097,0.1662896422904513
MAFB,0.11331869639406993,1.3517448257541198e-05,0.0014705857250183361,0.06246656967358334,0.16358398032535423
IFIT3,0.1032602907692814,7.420157489386417e-05,0.0074515504633799745,0.05232233799463628,0.15366231313489945
HLA-DRB1,0.09993736049346325,0.00012606897039912018,0.011755931489717956,0.048973362440899205,0.15038232137402072
FOS,0.09728938247125257,0.0001901381045704928,0.01601453519463086,0.04630544962700525,0.14776776489277954
CD300E,0.09537020531829332,0.0002544866142503502,0.02076451718148951,0.04437227882424168,0.14587236961146854
UBC,0.09408972521151478,0.0003082121806973211,0.024386121327294098,0.043082674501907725,0.14460755059532063
JUNB,0.09321506879161613,0.00035081901743243683,0.026171098700459788,0.042201883306245455,0.14374349687681062
FCN1,0.09120243241312047,0.0004706216147932704,0.03321062260068187,0.04017543155014385,0.14175496530662418
SIGLEC1,0.09055071156891714,0.0005169492694461219,0.0355198563822059,0.03951932704396917,0.14111096248956911
RHOB,0.08969332367317233,0.0005843742141451544,0.039123104439307645,0.038656239130271414,0.14026366305827367
CLEC10A,0.08801328436898549,0.0007408015404228417,0.04717641029375707,0.036965251496068045,0.13860317716591422
APOBEC3A,0.08778538032304152,0.0007647886861558489,0.047544363322688604,0.03673588478132264,0.13837790370656494
ZFP36,0.0870130584418208,0.0008515358140644535,0.05170604675633228,0.03595864619917552,0.13761445743172354
MX1,0.08670474911792841,0.0008886432624825663,0.05273289905322684,0.03564839138661254,0.1373096744393824
CD63,0.08419670603075041,0.0012509793331139626,0.06949589444171396,0.03312488770094507,0.13482996136685838
PTAFR,0.08375456244742714,0.0013274955245480115,0.07221022530405954,0.032680086070686044,0.1343927463213606
MSR1,0.08208675359881325,0.0016565793083438505,0.08317939565549602,0.031002432882151296,0.1327433509303484
CFP,0.08166306728491043,0.001751357027533893,0.08477347342907274,0.03057629157769097,0.1323242976334913
IFI44L,0.08048162783677837,0.0020425516841066126,0.09671355453907476,0.0293881045338251,0.13115568158078114
CTSB,0.08017948637456891,0.0021238292333729545,0.0972862829532769,0.02908426062404716,0.1308567969602175
JMJD1C,0.07976531750402925,0.0022400582711658043,0.09942700376024928,0.028667773418143798,0.130447077527471
RSAD2,0.079689911330214,0.002261835712436262,0.09942700376024928,0.02859194706276396,0.1303724795833406
CMPK2,0.07961110205711891,0.0022848028439735567,0.09942700376024928,0.028512699273679994,0.13029451440226517
XAF1,0.07932385293797248,0.002370332470368421,0.10145800131363848,0.02822385726046025,0.13001033657814381
TGIF1,0.07896402834889796,0.002481599231483858,0.10450734828071537,0.027862049360922233,0.12965434751850252
SLC30A7,0.07807657189656117,0.002776717021857185,0.11328137725107985,0.026969758585072497,0.12877629499474746
CD68,0.0777275076308101,0.0029013183441840987,0.11654372610253357,0.0266188151440853,0.1284309078024519
MAP3K8,0.07755760675472954,0.0029637914453681143,0.11724938581600221,0.026448004170741956,0.12826279222655138
TSC22D3,0.0772464538300746,0.003081390500077552,0.12008224769705206,0.026135192250471773,0.12795490130801676
PDK4,0.0767117892867984,0.003293428860376334,0.12462525731076245,0.025597700375250804,0.1274258191514124
DPEP2,0.07657915047261932,0.0033480458373689264,0.12473819060173985,0.025464364735551585,0.12729456073955114
CD163,0.0761140035966024,0.003546152227593218,0.12775388633726206,0.024996788555574242,0.1268342407151801
SERPINA1,0.07605546452389411,0.0035718244743853426,0.12775388633726206,0.0249379453376078,0.12677630755754254
CSF3R,0.07568108478763577,0.0037400400205501168,0.13196276342778857,0.024561628852478777,0.12640579469663224
TMEM176B,0.07463686251415162,0.004247910110486011,0.14128358773323618,0.023512081138272106,0.12537228313916804
IFI6,0.07458486244454592,0.004274761942139279,0.14128358773323618,0.023459818818498367,0.1253208135621769
CD9,0.0743267744663009,0.004410322025490896,0.14149181138222328,0.023200433369122583,0.1250653544959427
TMEM176A,0.07429124635559256,0.004429284681806717,0.14149181138222328,0.023164727188936553,0.12503018775160005
HIST1H1E,0.07426445298296226,0.004443634061027311,0.14149181138222328,0.023137799612246924,0.12500366681754
LPAR6,0.0741198887652361,0.004521784800502336,0.14224554354351324,0.02299251257354686,0.12486057129692421
CD52,0.07357776746485353,0.004826050241418441,0.1500097283374232,0.022447699900414935,0.12432393886544334
HLA-DRB5,0.07321372634712055,0.0050406259815618335,0.15303574927741798,0.022081868535281757,0.12396356692947312
KIAA1551,0.07299670603596489,0.005172605311966743,0.15486549990216478,0.0218637874963052,0.12374872760341987
MARCKS,0.07271650558063775,0.005347616842133841,0.15688345589675798,0.02158222470523154,0.12347133603616302
PLAUR,0.0721637805609928,0.005708583511941156,0.16561235055198176,0.021026836114972743,0.12292412858935067
DDX58,0.07187548150372487,0.005905442444386399,0.1694407716735482,0.020737160274196958,0.12263869522619675
PRKAG2,0.07143096786109407,0.006220958774149554,0.17655351477504874,0.020290540663299206,0.12219858359456524
PPP1R9B,0.06988205227986301,0.0074422182527332905,0.20032610162769712,0.018734446251701797,0.1206648508890654
HLA-DPA1,0.06919881537633851,0.008046107582661518,0.21220592826595175,0.018048121466634547,0.11998823418425422
PPM1F,0.06904287776243437,0.00818993091563402,0.21251390679315962,0.017891485850499475,0.11983380090852526
CALR,0.06889195999632171,0.008331307795401982,0.21251390679315962,0.01773989494261337,0.11968433671324977
CCR1,0.06885583460839105,0.008365471118489454,0.21251390679315962,0.017703608772665698,0.1196485589269981
SGTB,0.06838730914660987,0.008820023404517503,0.2161314405179948,0.017233010266714165,0.1191845297077543
NRG1,0.06837892819806579,0.008828351234043404,0.2161314405179948,0.017224592442040054,0.11917622898563231
ALG6,0.06835127852480499,0.008855875433443228,0.2161314405179948,0.01719682116178695,0.11914884393782588
PRELID1,0.06805689182123033,0.009153707465899165,0.22129935364317335,0.016901144599510132,0.11885726991537302
NAMPT,0.06792618010027322,0.009288787650164838,0.22250481242734305,0.016769863031862405,0.11872780425448688
HSP90AB1,0.06770545648045323,0.009520924002478585,0.2252474596687787,0.016548181156248253,0.11850918084674567
LILRA6,0.06761395912942743,0.009618657394521828,0.2252474596687787,0.016456288050550126,0.11841855265999233
PANK2,0.06703204133511026,0.01026140841768934,0.2350222577069023,0.015871873505538935,0.11784214288860513
MDM2,0.06657359682644609,0.010794376109082958,0.24293383947760794,0.015411486630666556,0.1173880135786116
GIMAP5,0.06648140691998261,0.01090447295174792,0.24293383947760794,0.015318908748014476,0.11729668886109104
CTSL,0.0664194616028684,0.010979009214231228,0.24293383947760794,0.015256703230144105,0.1172353244090577
STAT2,0.0661794710502953,0.011272066327666249,0.2452613765128048,0.01501570833874597,0.11699758059889558
TLR4,0.06557404132883742,0.012042407139842776,0.25772725444368433,0.01440777136073416,0.11639779290500472
PLXNC1,0.06483208254502394,0.013049758733434747,0.2706057591363456,0.013662791497657539,0.11566269791475706
DUSP7,0.0646096747302246,0.0133658811282268,0.2722037648856798,0.013439489157264823,0.11544233672738045
GBP1,0.06455224722797931,0.013448596579951245,0.2722037648856798,0.013381831510336959,0.11538543686816934
VSIG4,0.06421230354764543,0.013947547144100668,0.2748879210627153,0.013040532451134448,0.11504860975306264
IFIT1,0.06410551780313058,0.01410761448579236,0.2748879210627153,0.012933323405482759,0.1149428005953395
HSP90AA1,0.06398601574388763,0.014288660645692133,0.27635328108075674,0.012813349032341033,0.11482439004950533
APOBEC3B,0.06366839813376979,0.014779838658151856,0.2824193507517337,0.012494483248375609,0.11450966648709386
TRIQK,0.06363368774025412,0.014834406799622828,0.2824193507517337,0.012459637080781653,0.11447527174690499
WDR74,0.06357517351872609,0.014926798316254021,0.2824193507517337,0.012400894254885596,0.11441728937272876
TLR2,0.06344208477751938,0.015138827417687828,0.2843703481121073,0.012267286875653408,0.11428540901153494
SERPINB9,0.06324633725219267,0.015455493176507537,0.2864679441157595,0.012070779855393924,0.11409143552087071
NUCB2,0.06274794760095122,0.016288170376874023,0.29533620037512553,0.011570474310059408,0.11359754521004445
CXCL16,0.06237533105712105,0.016936182151425207,0.30287925751624123,0.011196442104383218,0.1132282761383662
IER2,0.06225727502886356,0.01714615201993234,0.30454831921117914,0.011077940539754836,0.11311127775836236
GADD45B,0.06192200331001408,0.0177549371916721,0.31323068248280983,0.010741411363790221,0.11277900200435617
ZDHHC7,0.061855113792148586,0.01787863332753206,0.31329605112876646,0.010674272359946411,0.11271270884551592
MTHFR,0.06163742620987305,0.018286429099895935,0.31619779059488934,0.010455776036402457,0.1124969589403625
TNFSF10,0.06137159438805904,0.018795424147327065,0.3228608713728353,0.01018896323857232,0.11223348683255249
HNRNPL,0.06075547858690092,0.020022939991962595,0.33728965367106023,0.009570601857935412,0.11162281262082617
FCGR1A,0.060635491083834016,0.020269961921725997,0.33926199088222164,0.009450181586160393,0.11150388038842367
CCL2,0.060071540326976626,0.02146687787690351,0.3482478882819036,0.00888421666844371,0.1109448699670831
DDX60L,0.06005643841608096,0.021499757330630653,0.3482478882819036,0.008869061271634188,0.11092989990974739
ZBTB7A,0.060024354584591516,0.021569754696855153,0.3482478882819036,0.008836863888000271,0.11089809612296875
CLIC3,0.06000727062412665,0.0216071075839404,0.3482478882819036,0.008819719506729115,0.11088116123786552
HSPA6,0.05957063173237955,0.02258105959918643,0.3578742399668758,0.008381546568486763,0.11044832244839459
KIAA0430,0.05955546298007744,0.022615568592315016,0.3578742399668758,0.00836632487700344,0.1104332853640453
AGO4,0.05930828410521494,0.0231843856149866,0.3603239930995834,0.008118286686877908,0.11018824877137363
DTX3L,0.05924390257657752,0.023334563709577972,0.3605121055959058,0.008053682370411947,0.11012442421766934
ANKRD13A,0.05905968431445316,0.02376894398404448,0.36506301613141257,0.007868828994443269,0.10994179733912963
ZEB2,0.05896678933993526,0.023990631784311402,0.3663130970107431,0.007775615080658842,0.10984970354190769
KDM1B,0.05879771953398556,0.0243987033096276,0.37037799035719565,0.007605967084951307,0.1096820896448503
PAXBP1,0.05852685157674087,0.0250650003106042,0.37829315497680677,0.007334178947998504,0.109413548177397
GLUL,0.05839812881774559,0.025387116434756784,0.38095264948936763,0.007205021549361372,0.10928592841662577
ATXN1,0.05813154916513563,0.026065597324626783,0.3888987120834316,0.006937547206920357,0.10902162769409007
PLIN2,0.058028391327442086,0.026332317782671293,0.38972964044064234,0.006834045118541707,0.10891934979881754
SLC25A37,0.057994745586054594,0.026419818597469818,0.38972964044064234,0.0068002873343064995,0.1088859908245516
STK11,0.05782124832383255,0.026875017342938682,0.38977748351742914,0.006626214165365426,0.10871397048301876
ZC3H12A,0.057770816609611135,0.027008595304684812,0.38977748351742914,0.0065756156301541545,0.10866396750434446
EVI5,0.057722887508684394,0.027136074678940157,0.38977748351742914,0.006527528229489466,0.10861644562479245
GIMAP6,0.05771869799961972,0.027147242328001447,0.38977748351742914,0.006523324894610654,0.10861229170011695
FKBP5,0.05771036150327505,0.0271694760628771,0.38977748351742914,0.006514960892345537,0.10860402600609682
TUG1,0.057150770639418404,0.02869825038083683,0.40945973630800525,0.0059535400598922355,0.10804917168735843
FCGR1B,0.05691227538728028,0.029371956573042278,0.4145415060119642,0.005714274691554747,0.1078126854930729
RP11-709D24.5,0.056668128935827546,0.030075656265496315,0.42056017886750874,0.005469345947825663,0.10757058973781798
SAMD4A,0.05655273099162889,0.03041327101982693,0.42238856719557505,0.005353580384309117,0.1074561589720193
TNFAIP2,0.056395151241605684,0.03087954283651146,0.4243499281375338,0.005195500854276554,0.10729989775814798
SLC36A4,0.0559725464899849,0.03216037712793441,0.43570036197844725,0.004771568402524392,0.10688081670192329
GCH1,0.05593232903645633,0.0322846046112841,0.43570036197844725,0.004731225556584905,0.10684093364050107
CHMP1B,0.05587326594596417,0.032467788459573016,0.43570036197844725,0.004671978617728363,0.10678236133911334
OAS2,0.055850106863774625,0.03253985851619962,0.43570036197844725,0.004648747545318429,0.10675939460258824
