,4.0_1_corr,4.0_1_pval,4.0_1_qval,4.0_1_ci_low,4.0_1_ci_high
TYROBP,0.36268163734487696,3.982722446188041e-39,1.0466594588582172e-35,0.3122693658974404,0.41105702860121024
HLA-DQB1,0.3502040137600957,2.298951893898006e-36,3.02082278858198e-33,0.29931226142846235,0.39910887469542694
HLA-DPA1,0.3055988549846648,1.5737403259800901e-27,1.378596525558559e-24,0.25314602172424755,0.3562602269559838
HLA-DQA1,0.3039419396845891,3.130074731800085e-27,2.056459098792656e-24,0.251435707659013,0.3546644444469427
CTSS,0.28108682738045526,2.5750356671614603e-23,1.3534387466600636e-20,0.2278774345628197,0.3326223922083638
JUNB,0.2694852890049691,1.8063829765402043e-21,6.781677803353796e-19,0.21594275286438613,0.3214119862486881
NEAT1,0.2560091555549133,1.9314274911565022e-19,5.639768274176987e-17,0.20209970263066768,0.30837188631694895
FOS,0.25054636078834774,1.185483701218099e-18,3.1154511668011644e-16,0.1964943007097974,0.3030802341111775
ZFP36,0.24067652097828868,2.806625008875585e-17,5.673700402557722e-15,0.18637575744631496,0.29351138283606776
HSPA6,0.23461302781415433,1.8254122226492555e-16,3.426559515087317e-14,0.1801651813751713,0.2876275457976564
CD52,0.2327002503942676,3.2585879505660886e-16,5.709046089391787e-14,0.17820690579024015,0.2857706116638738
GAPDH,0.2220696105817932,7.409896368024875e-15,1.081844869731632e-12,0.167331261213047,0.27544306430485477
HSPB1,0.2193022052209043,1.6273238447579332e-14,2.2508458231704468e-12,0.1645022590677382,0.2727525384410111
SAT1,0.2188949472706452,1.825386598886568e-14,2.3985579909369503e-12,0.1640860124740451,0.2723565236776547
UBC,0.216120241904805,3.9672202969669066e-14,4.964692828775729e-12,0.16125058562052175,0.26965793756044604
HLA-DPB1,0.21146470653592708,1.4241657845948993e-13,1.4845728534451868e-11,0.15649520285284688,0.26512822886073867
ATF3,0.2106015279661231,1.7989812465660312e-13,1.7510084133242705e-11,0.15561379164506797,0.2642881193190592
SELK,0.2094226440881302,2.471007407583367e-13,2.319216952546103e-11,0.1544101480243509,0.26314061027068225
FCN1,0.20857235995356085,3.102959664035885e-13,2.81192344727114e-11,0.1535421069790817,0.2623128612488646
ZFP36L1,0.2073024461600148,4.351861670319518e-13,3.812230823199898e-11,0.15224583106732026,0.26107645675216806
CLEC10A,0.20649576674500403,5.388698333138615e-13,4.568225554673639e-11,0.15142250417362604,0.26029097159402326
PPP1R15A,0.20469600140860972,8.6524071668948e-13,7.105789385812356e-11,0.14958587239586893,0.2585382356217791
DNAJB1,0.20298651326195366,1.3510611950506433e-12,1.0759360062403305e-10,0.14784171914750174,0.25687308947233445
