,4.0_1_corr,4.0_1_pval,4.0_1_qval,4.0_1_ci_low,4.0_1_ci_high
PTPRCAP,0.5726456697907469,2.207824353607315e-129,5.802162401280024e-126,0.536116824206896,0.6070338808968637
IL32,0.48290437934716784,2.8727430741846415e-85,3.7747843994786194e-82,0.44142924683286877,0.5223204551923641
CD3D,0.4509532059628307,7.854667618961374e-73,6.880688834210164e-70,0.407938530833641,0.49197040602837644
GZMM,0.411404488138174,2.4234377976389373e-59,1.2737589064390255e-56,0.36664388783076374,0.4542649580248169
PYHIN1,0.4092879654365814,1.1272876731738053e-58,4.937520008501268e-56,0.3644388893388872,0.4522427431644753
CCL5,0.403187531023318,8.85224021782938e-57,3.3233838989222304e-54,0.35808625444726994,0.446411659394973
ETS1,0.3977885723712364,3.877328713611298e-55,1.2737024824213114e-52,0.352467576168207,0.4412480154912806
LINC00861,0.3937716782091127,6.144268861192547e-54,1.794126507468224e-51,0.34828932659519685,0.4374043304922291
SAMD3,0.3931197195623914,9.583539625573704e-54,2.5185542136007697e-51,0.34761134971877755,0.4367803340006049
CCL4,0.3923061932004191,1.666337413864802e-53,3.981031566942455e-51,0.3467654240475788,0.4360016404166266
BCL11B,0.3770608146135435,3.892977519927785e-49,8.525620768641849e-47,0.3309265777346158,0.4213969117998234
CD3E,0.35511891523708666,2.8167421575835862e-43,5.287427421521189e-41,0.30817606759121613,0.4003366214183108
SPINK2,0.3515358667136426,2.2937138735975725e-42,4.018586706542947e-40,0.3044660681530559,0.3968929941183529
PRDM1,0.32499179332309014,5.3064103820318895e-36,7.747359157766558e-34,0.2770259197889162,0.37134195554664234
CD69,0.31645242969750903,4.301931553415657e-34,5.652738061188174e-32,0.2682148861797793,0.36310710460466067
CD7,0.3153243391574207,7.60238330366015e-34,9.513839677151846e-32,0.26705150991681287,0.36201869634122524
KLRB1,0.3137979872903217,1.635841199241957e-33,1.9540866689126651e-31,0.26547763899898924,0.360545833488811
CD8A,0.3108578267872891,7.063005681969462e-33,8.07025170965902e-31,0.26244666980252046,0.35770804988875027
CST7,0.3071991667060636,4.2549333884621523e-32,4.659152060366057e-30,0.2586763432250034,0.3541755762699044
GZMA,0.3051878474723827,1.1289508783566483e-31,1.1674961500819699e-29,0.2566042658300208,0.35223305583063297
RASGRP1,0.30514052588645724,1.1550570739014922e-31,1.1674961500819699e-29,0.25655552012488214,0.35218734803676277
CD3G,0.2969072633055053,5.763918130618144e-30,5.223302361125684e-28,0.24807824234841921,0.34423144399421357
CD8B,0.2964716129283205,7.062530993322474e-30,6.186777150150488e-28,0.24762988850924586,0.34381028021073057
IL7R,0.29412008623760166,2.1013601138264677e-29,1.7814110900438572e-27,0.24521015300734514,0.34153661946963654
GZMK,0.2897054362426987,1.5810693887352045e-28,1.298453235498787e-26,0.2406690961769759,0.3372666520162897
CD27,0.2874928472153785,4.2865020496290665e-28,3.413614359522784e-26,0.23839396029822282,0.3351258403424283
LTB,0.2862360576426933,7.521994922525688e-28,5.814059604822797e-26,0.237101882965984,0.33390960249618906
PRKCQ-AS1,0.28476880493956536,1.4448110794151609e-27,1.0848467190580122e-25,0.2355936530796727,0.33248949148104745
STMN1,0.28275501254449364,3.515583213635788e-27,2.566375745954125e-25,0.2335240054140943,0.33054004828007144
KLRD1,0.28130575204607006,6.635374144893208e-27,4.656522307267096e-25,0.23203482368720776,0.3291368454345316
SYNE2,0.2812722622597518,6.73317533014268e-27,4.656522307267096e-25,0.2320004141236503,0.32910441745989955
DDIT4,0.2703983555245575,6.973385735833833e-25,4.69898915737726e-23,0.22083437844276363,0.31856930516983584
HOPX,0.2698400058236896,8.797462457119008e-25,5.779932834327189e-23,0.2202613790959817,0.31802803035869837
TUBA1B,0.26861292750835736,1.4630622217788094e-24,9.377871997157833e-23,0.21900222564858773,0.31683836693086
IGLL1,0.2682577680501103,1.6942495034969457e-24,1.0601161179023747e-22,0.2186378133546161,0.3164940083344885
FCER1A,0.2609272094603862,3.325271129403856e-23,2.0322819832728686e-21,0.21111936414735114,0.30938354116401895
HLA-DQA1,0.2604956188567365,3.950300816048476e-23,2.3594069419489536e-21,0.21067689501701403,0.30896473959625526
HSP90AB1,0.25970640069249123,5.408060234185375e-23,3.158307176764259e-21,0.20986783687636734,0.3081988591900637
AC092580.4,0.25453554964373476,4.119363352340888e-22,2.3534101934677942e-20,0.20456868495950653,0.3031793583977734
HIST1H4C,0.2536726007219061,5.754112905244829e-22,3.217406109570939e-20,0.20368460934711746,0.302341404985722
GZMH,0.2527503609907356,8.212334764908781e-22,4.496253283787558e-20,0.2027398814774404,0.3014457949747735
C19orf77,0.24670996098538903,8.132863565930418e-21,4.361870500258192e-19,0.19655449163008282,0.2955776865878661
KIAA0101,0.24330299206904632,2.8818820131755274e-20,1.485016849142213e-18,0.1930675039591794,0.2922662680155995
CD59,0.24147478715113177,5.635096082767369e-20,2.84789086644474e-18,0.1911968833880114,0.290488851935862
PRF1,0.2391540458578299,1.3091141418517824e-19,6.3710221570120075e-18,0.18882282519310456,0.2882320951956538
NUCB2,0.23720160766099646,2.641458157027779e-19,1.2621367339398188e-17,0.18682598709884304,0.2863330647905628
HSPE1,0.23470495185542098,6.420383659979004e-19,3.012994331861575e-17,0.1842731618111272,0.283904140990908
FABP5,0.23344309904702645,1.0017372195531957e-18,4.5389058844582733e-17,0.18298317878309497,0.2826762808481031
UBB,0.22817339766097333,6.235829803202674e-18,2.777586563189259e-16,0.17759787837276542,0.27754679388948805
PRSS57,0.22678269638288767,1.0024930630556384e-17,4.3909196161836964e-16,0.17617717491295137,0.276192626277004
HSPD1,0.22469757091152484,2.0304231623171623e-17,8.747462410769677e-16,0.17404746110393557,0.27416190932776535
GPR183,0.22091235522537878,7.177067356916771e-17,3.0421504861253667e-15,0.17018251275810517,0.2704743361285786
HSPB1,0.21858389787157562,1.5421864848737414e-16,6.332603253512801e-15,0.16780578334765853,0.2682052203959971
DUT,0.21608244277982444,3.4727675294605537e-16,1.4040666257572824e-14,0.16525312726635474,0.2657669022073381
HLA-DPA1,0.21472478814292326,5.372091327252354e-16,2.1390690921241193e-14,0.16386796855228306,0.2644432486791513
CALR,0.21242503320566078,1.117102691088513e-15,4.254704162580597e-14,0.16152208144648716,0.2622006613402695
SLFN12L,0.21134672611371058,1.5699314589295881e-15,5.893971248667082e-14,0.16042234200812294,0.26114897377136387
HLA-DQB1,0.2052696413066368,1.0314221538221555e-14,3.81771467640088e-13,0.15422683277773477,0.2552196987349278
NKG7,0.20474210543558527,1.2111078710271524e-14,4.4205437292491067e-13,0.15368920606948527,0.25470481656822436
HLA-DPB1,0.20277683297247603,2.1943356282035202e-14,7.899608261532674e-13,0.15168660740589188,0.25278643460658407
SELM,0.19962799729592984,5.613913017242194e-14,1.993697758015201e-12,0.14847884040513723,0.24971190874937066
LEF1,0.19714678263316024,1.1638271947910439e-13,3.871566921406156e-12,0.14595194713366233,0.24728853704792922
BEX2,0.19447522711136966,2.5237760136976385e-13,8.18825106666345e-12,0.14323195550538215,0.24467856026612722
ZAP70,0.19055388042117993,7.701954468278638e-13,2.4683824808093003e-11,0.13924091515780984,0.24084628161072913
CLEC10A,0.18043680308226676,1.225882255538808e-11,3.7901394912423383e-10,0.1289517208623266,0.23095175233735205
HSP90AA1,0.17740716549576047,2.722302195942136e-11,8.318849035972016e-10,0.12587269687600697,0.22798672421866106
RGS1,0.17565088195532347,4.295240081009485e-11,1.2827148787378326e-09,0.12408823849073128,0.226267465205932
CD247,0.17397050686761414,6.615399292765288e-11,1.953401049594065e-09,0.12238121845358273,0.22462221912851707
KIAA0125,0.1673274206066185,3.497590091911939e-10,1.010073270499404e-08,0.11563578293922798,0.21811518090210408
XIST,0.1652204978568496,5.848877512248747e-10,1.6707445763249684e-08,0.11349739448674777,0.21605046352889157
GBP5,0.16378426874662078,8.272284928989614e-10,2.264537999310907e-08,0.112039990719166,0.21464274400522404
H2AFZ,0.1627637074618209,1.0562986441539285e-09,2.8618070482850765e-08,0.11100451833678628,0.21364231273515866
ZNF331,0.1622504523642908,1.1937679511833611e-09,3.2012471180712994e-08,0.11048380669772474,0.21313914098135062
SLC16A10,0.16220671111040763,1.2062578570361477e-09,3.2020663114050466e-08,0.11043943128747935,0.21309625781417724
RP11-620J15.3,0.16127188533714565,1.505731292226732e-09,3.917883005912725e-08,0.10949110184133358,0.21217972395313536
CCL20,0.16082475949145258,1.6734394768483285e-09,4.311567593291576e-08,0.10903755053177898,0.21174131543814842
CD96,0.1590931053268913,2.5119035275849418e-09,6.409012107274978e-08,0.10728121490787508,0.2100432288669654
ATP8A1,0.1573596643178233,3.755172870691659e-09,9.398661242073982e-08,0.10552339078398994,0.20834308216633352
C21orf91,0.15650747209858398,4.568428426477746e-09,1.111650917109585e-07,0.1046593301278139,0.20750714507096946
GNPDA2,0.1550973774324837,6.303908576750276e-09,1.5060610672454296e-07,0.10322976904536191,0.2061237836211584
MAF,0.15469151015118995,6.91231032214317e-09,1.6365361735668696e-07,0.10281833845976306,0.2057255731507713
SYNC,0.15419505650903712,7.734333826409178e-09,1.8148061871252965e-07,0.10231510396037591,0.20523846227858997
DMTF1,0.15412073923072453,7.865283651042393e-09,1.8292004809680895e-07,0.10223977389778602,0.205165541402298
STK17A,0.14920138647273185,2.3468162636999902e-08,5.316752707761703e-07,0.09725470391103454,0.20033736133559274
HIST1H1E,0.1486455638117734,2.6493968948244602e-08,5.950953025298019e-07,0.09669161990077241,0.19979168378270218
FAM184B,0.148594942990718,2.6787604941770106e-08,5.965917439573885e-07,0.09664033941409325,0.19974198533778775
CLIC3,0.14659035810954646,4.1321885857685066e-08,8.97470380446251e-07,0.09460985347539105,0.19777371498741766
RP11-640M9.1,0.14614037629441373,4.550773771735353e-08,9.802814321410252e-07,0.09415411691699728,0.19733182819536532
XRRA1,0.14552441193607793,5.190855439499919e-08,1.109070576829739e-06,0.09353031041519821,0.19672691110254575
KIAA1551,0.14459863024160302,6.319553550136895e-08,1.3180783118856953e-06,0.09259281892060285,0.19581765989171226
HSPH1,0.14344909078261034,8.054330764959744e-08,1.6536547851807974e-06,0.09142886776208031,0.19468852368894002
SYNJ2,0.14210475478106577,1.0669939413391482e-07,2.1736899828211484e-06,0.09006785819684333,0.19336787610717399
HLA-DRB1,0.14181722374872796,1.1327542129809206e-07,2.289906209010661e-06,0.0897767861957969,0.19308538751562526
GBP1,0.14098395684478912,1.3462099337597643e-07,2.7006409968860008e-06,0.08893330774820356,0.19226668563119984
ARHGAP25,0.1407803960361543,1.4039851662737706e-07,2.7939148958920472e-06,0.08872726368230949,0.19206667209659137
BIRC3,0.14067675766422544,1.4343129261633257e-07,2.812965947729269e-06,0.0886223627276047,0.19196483810200424
PHLDA1,0.13986436144448558,1.6949773887615212e-07,3.2820747248943407e-06,0.08780010942560827,0.19116654769936983
GMCL1,0.13985427126105576,1.6984861590016373e-07,3.2820747248943407e-06,0.08778989726056989,0.19115663228733581
PTTG1,0.13843544355380666,2.2683514560671356e-07,4.3512610412733085e-06,0.08635402610473879,0.1897622757454026
RP11-277L2.4,0.1372710013118525,2.8700222552292197e-07,5.465520642566949e-06,0.08517575781449686,0.18861776246140047
MIR142,0.13500661403449699,4.509630596066698e-07,8.52612173126855e-06,0.08288490134108407,0.18639172984017588
HNRNPH1,0.1326492174592357,7.162274872349976e-07,1.3349261251443786e-05,0.0805005334691717,0.18407370266738343
ID2,0.13115365054252337,9.565659007738496e-07,1.7579406903732004e-05,0.07898816492386686,0.1826028156562938
LGMN,0.13101623160458567,9.821811715037867e-07,1.7924806379944107e-05,0.07884921422679265,0.1824676528575626
ZNF682,0.13042097569838276,1.100955042816067e-06,1.9953861051866374e-05,0.07824734662476882,0.18188214738431105
AP4E1,0.13035574763299637,1.1147794397210929e-06,2.0066029914979674e-05,0.07818139636264208,0.18181798555162718
MPO,0.1294066394368415,1.3358115546097587e-06,2.3881039221186707e-05,0.07722183142319977,0.18088434211410295
RABGAP1,0.12901601366976323,1.4385149081842436e-06,2.5371927373880486e-05,0.07682693004056156,0.18050005424602583
PSPC1,0.1284781698982966,1.5924016447936972e-06,2.7898876816785576e-05,0.0762832260630803,0.17997091126277334
ZNF181,0.1281840451571287,1.683116717681148e-06,2.9292918768649384e-05,0.07598590974303267,0.1796815320216808
SOX4,0.12787522354085873,1.7836947300739645e-06,3.083914309627881e-05,0.07567374705940354,0.17937768343741242
CENPF,0.1277375342281216,1.8303739687917023e-06,3.143936464042218e-05,0.07553457141681583,0.17924220820305473
SECISBP2,0.12745920588421633,1.9283371606545624e-06,3.290694842987137e-05,0.07525324478262194,0.1789683494828918
ZFP36L1,0.12711828437122058,2.0551950443187873e-06,3.4845500493353375e-05,0.07490866201881534,0.17863289188919634
TAOK2,0.12671314499236352,2.216367630099499e-06,3.733727007629156e-05,0.07449918794756155,0.17823423007060737
RP11-58E21.3,0.12664053326451175,2.246506593703408e-06,3.760394476593985e-05,0.07442580118836874,0.1781627775060368
APOC1,0.1253615205095037,2.8464168191833162e-06,4.7344198739327566e-05,0.07313322942354993,0.17690409364699652
TMEM181,0.1248958580738281,3.100787553073055e-06,5.125075276399993e-05,0.07266267399441288,0.17644579067923435
AKAP7,0.12451878912166027,3.3225787883229774e-06,5.423439165038997e-05,0.07228165999132184,0.17607466465934585
IL23A,0.12304533957907984,4.343885428531394e-06,7.046747472950929e-05,0.07079294078935564,0.17462429740495392
HLA-DRB5,0.12291491983998186,4.447513519797491e-06,7.170592349710311e-05,0.07066118069670743,0.17449590996971598
GZMB,0.12270748137869139,4.61722681609633e-06,7.398824434573876e-05,0.07045161409934918,0.17429170036578812
TOP2A,0.1224158502721594,4.8663290461346046e-06,7.75073498984348e-05,0.07015699891520384,0.17400460110265814
RP11-660L16.2,0.12204722052695935,5.199627395656757e-06,8.18240766214728e-05,0.06978461025852743,0.17364168718278922
RP11-284N8.3,0.12105119824053671,6.212878452993491e-06,9.718717008611247e-05,0.06877850439133275,0.172661038730752
MORC2-AS1,0.12055579790678653,6.784598845896445e-06,0.00010550251933145479,0.06827812829051809,0.1721732469130184
ACSL6,0.12028660916287487,7.115987404230334e-06,0.00011000479351951365,0.06800624686119341,0.17190818184042134
GGA1,0.11963650403692051,7.981243331948832e-06,0.00012130082294044794,0.06734967077628001,0.17126800477445925
ATP2B4,0.11963370592297243,7.985175939382608e-06,0.00012130082294044794,0.06734684490858688,0.1712652492975866
FAM78A,0.11959051550329812,8.046113016689723e-06,0.00012152405176931375,0.067303226201082,0.17122271690204116
ARHGEF3,0.11941794774445678,8.294046840464208e-06,0.00012455288626708538,0.06712894920850157,0.17105277636465158
IVNS1ABP,0.11938462237111118,8.342759188777066e-06,0.0001245725633415121,0.06709529412454572,0.17101995799247963
ZC3H6,0.1188691294323337,9.131941605277625e-06,0.00013558611603768135,0.06657471621834907,0.17051229299783957
RP11-572O17.1,0.11841873747968187,9.879307101501997e-06,0.0001450436819147891,0.06611990477531729,0.17006871796499495
PARP6,0.1174529134885811,1.1683408050973448e-05,0.00017057775754421235,0.06514467685554266,0.1691174416580286
ZNF600,0.11730656237628531,1.1982787064471107e-05,0.00017398212378690647,0.06499690948505206,0.16897328655474766
THAP2,0.1167480847619074,1.3193787164423335e-05,0.00019051248718738751,0.0644330484916934,0.16842316862476323
TMEM120B,0.11605156611920078,1.4867909319316486e-05,0.00021120467941169581,0.0637298626469665,0.16773703085032268
UBE2C,0.11537582832271621,1.6684017093635973e-05,0.00023446843273837082,0.06304770621495111,0.16707131634661504
PTPN4,0.11445427235092726,1.9503465912047813e-05,0.0002726335554088386,0.06211747545635998,0.1661633539336754
TIA1,0.1141237103058258,2.0621019074263766e-05,0.00028673036046119145,0.06178382392211415,0.1658376465298278
NCK2,0.11342765260787624,2.317648309285828e-05,0.00031888899250278306,0.061081298998123944,0.1651517742568859
TWISTNB,0.11197153048695786,2.952838227520437e-05,0.0004000030341197788,0.059611815438580275,0.16371679778045042
RICTOR,0.11193662173398512,2.9699269990680825e-05,0.00040025477710517546,0.05957658914665049,0.16368239328059422
SYNE1,0.11183671484480998,3.01935432317259e-05,0.00040439247235153083,0.059475774199504686,0.16358392883988376
ZNF12,0.11181259283903167,3.031404758495113e-05,0.00040439247235153083,0.05945143310786919,0.16356015495137002
SDHAF1,0.11158521065716817,3.147261185607736e-05,0.00041674192138401215,0.05922198880846667,0.1633360512869666
DNAJB1,0.11115890679636309,3.3758844928915304e-05,0.0004435912223659471,0.058791833729094856,0.1629158797094431
AXL,0.11083788349247993,3.55835144130674e-05,0.00046524117352010516,0.05846792314383241,0.16259946186048013
CCL3,0.11064321382380804,3.673514148393571e-05,0.00047556626512208403,0.05827150798812155,0.16240757977044346
TNFAIP3,0.11051516316580887,3.7511835072668106e-05,0.0004832406988773127,0.05814231138678705,0.1622813606033411
MARCH9,0.11016335569533932,3.972665729910742e-05,0.000509276367717338,0.05778736457253717,0.16193457626586408
DGKA,0.10995462981137566,4.1098690255612195e-05,0.0005232021508077616,0.05757678238763168,0.16172882454140364
MARK3,0.10993781866552818,4.121112831704972e-05,0.0005232021508077616,0.05755982193488711,0.16171225274366233
SRF,0.10950122673793099,4.423534126999782e-05,0.0005588965233536264,0.05711936303786134,0.16128186655172036
RNASE3,0.10941237051990296,4.487605131688638e-05,0.0005642787696687915,0.057029722302369926,0.161194270927464
MT-ND6,0.10932155751975005,4.553994620651719e-05,0.000569899898241558,0.056938108380873896,0.16110474543874564
TADA1,0.10880706630846335,4.948026605501834e-05,0.0006134917108575707,0.05641909629244351,0.16059753239336125
TMEM140,0.10878551940168246,4.9652130653249584e-05,0.0006134917108575707,0.05639736066890569,0.16057628969959653
C16orf54,0.10877657456079573,4.972364323160676e-05,0.0006134917108575707,0.05638833749997443,0.16056747113360362
MARCH8,0.10854564473222206,5.160399544423778e-05,0.0006337163552684902,0.056155388431078875,0.16033979849394733
SDPR,0.10774416063622796,5.866560206217092e-05,0.0007170846614855125,0.05534694044277372,0.1595495763074281
ZDHHC17,0.10709296602114149,6.506617574920358e-05,0.0007879903680594793,0.054690138345302175,0.15890748294896212
CRKL,0.10607558264405312,7.640246682249185e-05,0.0009168296018699023,0.05366408496906579,0.15790423103194257
ATP1B3,0.1059665864174893,7.772190412868287e-05,0.0009284234729553573,0.053554166455137386,0.157796742417376
MKI67,0.1058199402427532,7.953107593628505e-05,0.0009457360523102132,0.053406281416546526,0.15765212268253662
TMEM260,0.1056401896398168,8.18028967896701e-05,0.000964026963063915,0.05322501542040751,0.15747485294227098
MS4A3,0.10553082089422693,8.32150052471244e-05,0.000976290329417156,0.053114726328338725,0.15736699203587665
PPP2R1B,0.10420151735743399,0.00010232288542702695,0.0011794058899220474,0.051774338816171404,0.1560559163958822
AL590452.1,0.10385551652757706,0.00010793592082047453,0.0012386707419921707,0.05142548394724655,0.1557146300845321
ITGAL,0.10359009368250628,0.00011243706361815832,0.0012847156660370437,0.051157880394797545,0.1554528154310727
DOPEY1,0.10121846926131017,0.00016128352935997046,0.001811338098965822,0.04876710492129788,0.1531131077158398
SLC9B2,0.10117280207933374,0.00016239557043177277,0.0018160662089136122,0.04872107487057664,0.15306804940083163
COG1,0.10091894708076436,0.00016870966806257205,0.0018786822358832177,0.04846520681648948,0.15281757504195823
SELK,0.10041079098633467,0.00018204792673731667,0.0020031655629505645,0.04795304175582316,0.15231616613454077
NEDD1,0.10040611073283334,0.00018217525477366242,0.0020031655629505645,0.04794832470686599,0.15231154790025453
NAPEPLD,0.09977255089275792,0.00020020455877020458,0.0021922399185337403,0.04730980550946935,0.15168636259866586
