,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
SAT1,0.2863628030851052,7.108239023504317e-28,1.0988501266923143e-25,0.23723217924809623,0.334032265552138
TYROBP,0.2737584085758439,1.701785239176986e-25,2.4846064491983997e-23,0.22428331319802058,0.3218259412446745
FCGR3A,0.27080208773485964,5.8927782344656795e-25,7.743110600087904e-23,0.22124872485349611,0.31896067127826
CTSS,0.270278532082657,7.330287233697178e-25,8.756361295525538e-23,0.22071140826145327,0.3184531486954301
CST3,0.2606397954485107,3.7295609271119406e-23,4.083869215187575e-21,0.21082470340463358,0.3091046459902823
TSC22D3,0.25223355100137407,1.0017383353280198e-21,1.0530273380968145e-19,0.20221051015549346,0.30094387032985515
MS4A7,0.23196632658905925,1.6801949080053112e-18,1.5226042131855027e-16,0.18147370557979836,0.2812390857761366
FCN1,0.22902971962100974,4.647640522678362e-18,4.0713330978662453e-16,0.1784727790060205,0.27838052272298525
SERPINA1,0.22541442054952718,1.5942958295033545e-17,1.30931544997963e-15,0.17477958641698269,0.2748601035080479
JUNB,0.21545946225258117,4.2440354460693547e-16,3.1866643292200756e-14,0.16461750117707527,0.2651595468642625
MAFB,0.2146184900578157,5.558049171529187e-16,4.057375895216307e-14,0.16375952548967707,0.2643396048159173
LGALS2,0.2127005198747365,1.0237739081335848e-15,7.080204817302793e-14,0.16180306394375968,0.26246932827351616
RGS2,0.21176132261630862,1.3777027997135802e-15,9.28359732730074e-14,0.16084516403796026,0.2615533493682773
CLEC7A,0.20900425094599928,3.266599443064377e-15,1.9964240317146938e-13,0.15803374356618444,0.2588639184221384
NEAT1,0.20826738376663528,4.1057816821454665e-15,2.4522714228814287e-13,0.15728249080632303,0.25814499825954795
CDKN1C,0.20720886032264477,5.693423646725106e-15,3.324959409687462e-13,0.15620340546759656,0.25711215935931064
DUSP1,0.2070465059631096,5.985219958781702e-15,3.4193821851474596e-13,0.1560379081315387,0.2569537343627545
CD68,0.19452693221785472,2.4865164987491554e-13,1.3071150674935216e-11,0.1432845906959663,0.24472908048671133
RP11-290F20.3,0.1907167757060428,7.356678743856382e-13,3.647802214878221e-11,0.1394066723834858,0.24100550817655192
FGL2,0.19040209154429918,8.037957243263507e-13,3.91180585838824e-11,0.1390864620588922,0.2406979088783159
HLA-DPA1,0.18719286490975182,1.965887899511533e-12,9.225631071279124e-11,0.13582149088351805,0.23756035842588513
CFP,0.18687267324656612,2.147472244841326e-12,9.90097729726843e-11,0.13549579867022543,0.23724726038414043
CXCL16,0.18633689636394685,2.4887118804221084e-12,1.1276439347843623e-10,0.13495084254729287,0.23672332985363034
ID2,0.1817691771614997,8.592556592758049e-12,3.8273285975878225e-10,0.13030612844994327,0.23225541549141676
P2RY13,0.18030972384639543,1.2679608404943516e-11,5.55366848136526e-10,0.1288225501467269,0.23082740201792565
RNF144B,0.17852878314033335,2.0294457706171287e-11,8.743251615052156e-10,0.12701248237819918,0.22908453183273986
PDK4,0.17789617733143534,2.3956620657900176e-11,1.0154515982090592e-09,0.12636961295222648,0.22846537097869893
AMICA1,0.1766908865099453,3.2806314239647315e-11,1.3684919654252882e-09,0.12514488684912087,0.2272855833224772
CYBB,0.17610362882662378,3.820578816766626e-11,1.5688251766347959e-09,0.12454821656354342,0.22671069781238543
TNFRSF1B,0.17538414705597719,4.601364138392555e-11,1.860366916260867e-09,0.12381725371709797,0.2260063258037643
TXNIP,0.17481833322954,5.322966636443441e-11,2.087874077697517e-09,0.12324245026720518,0.22545235738866407
KLF6,0.17354122017766554,7.381990556124688e-11,2.8115755335500988e-09,0.12194517370120186,0.22420186055677063
KLF2,0.16356857053711732,8.712034949437088e-10,3.052697046282756e-08,0.11182113164588846,0.21443130921920112
TNFSF10,0.1634123012134233,9.044763145154857e-10,3.127583887561443e-08,0.11166257547131478,0.2142781256884214
ZFP36,0.16185038454733547,1.3128546483418634e-09,4.480755864730412e-08,0.11007794642604501,0.2127469141231203
BCL2A1,0.1601277330935642,1.971723492420002e-09,6.55910042794907e-08,0.10833055045551299,0.21105783765135527
RHOB,0.15975022030905398,2.1542493742365324e-09,7.076709194367009e-08,0.10794765775246076,0.21068764206666152
CD163,0.15774755966790643,3.4333835915758006e-09,1.113942231933482e-07,0.1059167142567624,0.20872355394733916
VCAN,0.15678083543957622,4.290501343911831e-09,1.358486449614493e-07,0.10493649205869976,0.20777530226267188
GIMAP4,0.1551831636061939,6.182140836428854e-09,1.9113724844864738e-07,0.10331673337965741,0.20620794924877672
MPEG1,0.1533825632689916,9.2885075660617e-09,2.773886123137517e-07,0.10149157049565782,0.20444120480019498
HLA-DRB5,0.1523368461605251,1.1740084223021422e-08,3.4666226222584604e-07,0.10043174875680147,0.2034149971295465
TMEM176B,0.1505756269576477,1.7354533304587587e-08,5.067523724939576e-07,0.09864704044681784,0.20168638242958328
HLA-DPB1,0.14845079775397765,2.764112712366331e-08,7.982514514394195e-07,0.09649431725854198,0.19960046517011873
HLA-DQA1,0.14802598023629343,3.031267747213686e-08,8.658882217040834e-07,0.09606398118916355,0.1991833717108257
CD300E,0.14735813265684097,3.502536296845788e-08,9.792197221394395e-07,0.09538749726914818,0.19852762950244993
DUSP6,0.14637390057297217,4.3286661045916277e-08,1.1849723461319581e-06,0.0943906249795346,0.19756115404638172
FOS,0.14583934099965742,4.8534173497065624e-08,1.3149258551576131e-06,0.09384924389455533,0.19703619681185908
OGFRL1,0.14504792306231168,5.7449425768147624e-08,1.540582560394816e-06,0.09304778313056594,0.19625894127199167
VMO1,0.1447767101558959,6.085444490984014e-08,1.6154089012430292e-06,0.09277314412636836,0.19599256690486833
FGD2,0.14280631623949033,9.216541530750713e-08,2.374614817922831e-06,0.09077809675161894,0.19405709859306608
FAM65B,0.1410294372593836,1.333619036946559e-07,3.3378579324719593e-06,0.08897934359145737,0.19231137291656253
SLC43A2,0.14059008028476475,1.4601623691967982e-07,3.620100666272817e-06,0.08853463028071655,0.1918796689554493
ZFP36L1,0.14038020397389891,1.5246302152615723e-07,3.7446057997265536e-06,0.08832220262730672,0.19167344140501266
RP11-347P5.1,0.139996671691816,1.649610282787306e-07,3.9800452924294436e-06,0.08793402020224741,0.19129656524092095
S100A4,0.13933210527424128,1.8899540311891137e-07,4.474593868436929e-06,0.08726143367439222,0.1906434964116299
TLR2,0.13857085556627846,2.206852026157831e-07,5.178220647091767e-06,0.08649105539409253,0.18989536118290176
KCNE1,0.1377274989306164,2.617767045416011e-07,6.0346419257484884e-06,0.08563765831134267,0.18906646393090507
HMOX1,0.137634354785179,2.667435464195034e-07,6.095669912960478e-06,0.08554340993997799,0.18897491225898955
LINC00936,0.13688096026109986,3.103983604270312e-07,6.97202471113024e-06,0.08478111817098298,0.18823436561779705
CLEC10A,0.13568030443529167,3.945367301042988e-07,8.786801073848283e-06,0.0835664091793743,0.18705406427132054
HLA-DQB1,0.13504922830022825,4.4717468185763334e-07,9.875420705225719e-06,0.08292800865429095,0.18643362716821155
LILRA5,0.13480875897064856,4.6896095075832773e-07,1.0270244821607377e-05,0.08268475964727903,0.18619720101972478
EVI2A,0.1317942113591005,8.454008968272467e-07,1.806271184440654e-05,0.07963589258696653,0.1832328341093782
HOTAIRM1,0.13008818442167602,1.1732521150736642e-06,2.4666452467308718e-05,0.07791087550421268,0.1815547914036313
SLC11A1,0.129750246982864,1.2513243032731005e-06,2.6099049753981814e-05,0.07756921348092836,0.18122236163740996
C3AR1,0.12951334726979383,1.3090041999351934e-06,2.7087110530942428e-05,0.077329710079964,0.18098931588025455
C1QA,0.12893433778596644,1.4609274766850171e-06,2.976215045525756e-05,0.07674436223864611,0.18041970156570508
CTSL,0.12803704864668805,1.7302927229141167e-06,3.491032462273069e-05,0.07583732163636385,0.1795369038583701
LY96,0.1280066595252573,1.7402026353035463e-06,3.491032462273069e-05,0.07580660376765001,0.17950700407623138
C1QB,0.12725603585167586,2.003002208237688e-06,3.987795305491398e-05,0.07504789134952702,0.17876843708063173
TNFRSF8,0.1257022108053097,2.673109516999992e-06,5.242486425877597e-05,0.07347751428636663,0.1772393854137646
CRIP1,0.12449711848670655,3.335776572850749e-06,6.418336206939163e-05,0.07225976309252889,0.17605333512693533
CX3CR1,0.12401609226775268,3.641988810185361e-06,6.885716973501532e-05,0.07177372742643488,0.17557986794638433
SLC2A6,0.12294605752715379,4.422559530260287e-06,8.242898188314917e-05,0.07069263822732523,0.1745265626041203
GIMAP8,0.12287222068933905,4.481952051972315e-06,8.294767600410736e-05,0.07061804311332312,0.1744538758100141
CHST15,0.12141638794199693,5.821219699144044e-06,0.00010698017740804578,0.0691473788734561,0.17302060352457815
MCL1,0.12102256441391634,6.244629771196807e-06,0.00011388988081440607,0.0687495822523656,0.17263284536084442
CKB,0.1203488324965778,7.038040091338656e-06,0.00012582292081658494,0.06806909192269517,0.1719694526462644
CD55,0.11902195756020627,8.890835877469989e-06,0.00015371787293415217,0.06672904891687985,0.17066280323533561
HLA-DRA,0.11711808564086733,1.2379120413697086e-05,0.00021262959769409115,0.06480661221600084,0.1687876346698993
ITGAX,0.11663147981582585,1.3460940327731414e-05,0.00022822807213727843,0.06431532376126896,0.16830830504098615
DDIT4,0.11562854819571836,1.5981391079111435e-05,0.0002675101640503494,0.06330282087651029,0.16732029311596278
CD52,0.1155303963594804,1.625086601913649e-05,0.0002702992145461437,0.06320373813541227,0.1672235958166896
KCNJ2,0.1144633736840029,1.9473526603170278e-05,0.00032186432649768235,0.062126662017517174,0.16617232144478322
RXRA,0.11401587189310211,2.0998581317082373e-05,0.000344901698133078,0.061674980163740165,0.16573138939358978
TIMP1,0.11368462748449472,2.2199856034894143e-05,0.0003623678363956634,0.0613406554460983,0.16540499464111558
NFKBIZ,0.11305126573447814,2.4680906879438255e-05,0.0003979228422034585,0.06070143663469118,0.1647808742177956
FGD4,0.11251506305822356,2.6985106946025996e-05,0.00042979915790397773,0.060160308944437704,0.16425246284628978
CD74,0.1123847489254541,2.7575190299763814e-05,0.0004365518078781886,0.060028802526132165,0.16412403776063675
IFITM3,0.11213027659790349,2.8762980845121805e-05,0.00045262942311964134,0.059772007189724224,0.16387324923353042
USP15,0.1120003930750454,2.938779735806799e-05,0.00045698894353256027,0.059640940666645846,0.16374524335655302
ARL4A,0.11185032283241567,3.012576361754911e-05,0.00046298541980654425,0.05948950580785414,0.16359734041699597
LGALS1,0.11059363077133406,3.703406196454435e-05,0.0005625752303053327,0.058221481001810786,0.1623587060985071
ITGAL,0.1104279205411008,3.8049895394697075e-05,0.0005746846269957697,0.05805428902034586,0.1621953648275997
IL15,0.10989419453756322,4.150426079025588e-05,0.000616232753428206,0.05751581050361128,0.16166924957650364
SLC1A3,0.10956540295220053,4.3777988796863905e-05,0.000646340194146957,0.057184106393485146,0.16134513179741483
CD36,0.10888030905006839,4.8900260643961176e-05,0.0007139438054018332,0.056492980895687786,0.1606697406883454
LINC00877,0.10830934278219184,5.359762568316066e-05,0.0007739261554689352,0.055917026171494244,0.1601068237997237
IRS2,0.1068398709191663,6.77275715473061e-05,0.0009620976109530835,0.05443487606066086,0.15865791333764903
TNFAIP2,0.10554065769367643,8.308706255213696e-05,0.0011553058221535236,0.05312464585288469,0.157376693268479
MARCKS,0.10538745070400869,8.510098578794629e-05,0.0011770810034248571,0.05297015160369491,0.15722559658088334
KLF4,0.10504215271297689,8.981013131032373e-05,0.0012357121732122032,0.0526219615870637,0.1568850458905986
C9orf72,0.104890573923814,9.195405450925355e-05,0.0012520997681363644,0.05246911728306301,0.15673554717591565
APOBEC3A,0.10385636685894595,0.0001079217772902014,0.001447032809789027,0.05142634127701572,0.15571546884468054
CDC42SE1,0.10275964722808248,0.00012768901747333585,0.0016862650146729982,0.05032065964156571,0.15463361110675194
RCBTB2,0.10262634512632489,0.00013031157089791228,0.0017122940415985675,0.05018627700306285,0.15450210693175082
MARCO,0.10213876525009852,0.00014034222670949894,0.001816844196022479,0.049694761015044685,0.15402108768490397
BIRC3,0.10194386803866683,0.0001445513155252108,0.0018530773521963611,0.04949829755271336,0.15382880603223856
PLIN2,0.10142765913502677,0.00015628039304282996,0.001985507955811686,0.04897795985325381,0.15331950576510184
CREB5,0.1014228926327144,0.00015639274994407116,0.001985507955811686,0.04897315535965723,0.15331480292639796
CLEC4E,0.10067825138742671,0.00017490881273731743,0.0022099055763157224,0.04822260877824987,0.1525800785847753
TNFAIP3,0.09990818232383694,0.00019620951810168702,0.0024671703998623614,0.04744649502474906,0.15182020471695376
HLA-DRB1,0.09951238019670779,0.00020808239022031608,0.0025916612393317093,0.047047610676141965,0.1514296188667224
EVI5,0.09942833809819632,0.0002106886445478514,0.0026117441409044977,0.04696291627193126,0.15134668227241466
ARHGEF40,0.09921953363797101,0.00021729706283418095,0.0026810172822921484,0.0467524944089927,0.1511406212976942
PRELID1,0.09877378555228085,0.00023206010972918827,0.0028365300854339853,0.04630330913110939,0.15070071480527125
C5AR1,0.09863286473727115,0.0002369195484780955,0.002882521173150162,0.04616130608104295,0.1505616364994537
MT2A,0.09814147695558578,0.0002546204206554706,0.0030456146625620303,0.04566616115906285,0.15007665742617227
GCH1,0.09564062698045793,0.00036554627867413283,0.004269580534913871,0.04314658921708232,0.14760803633314254
RABGAP1L,0.09475814360739464,0.00041445881718753073,0.0047563221465887805,0.042257658717302124,0.1467367710920789
RIN3,0.0942422794470328,0.00044581089403477524,0.005071822638629392,0.04173806431976429,0.1462274272439452
FAM110A,0.09341858123651352,0.0005004886613713957,0.005644996575467931,0.04090846878221316,0.14541408309714346
METTL7A,0.09315258815662507,0.0005194385293307167,0.005801761304361477,0.04064058676937286,0.14515141859480196
IFIT3,0.09313093012934207,0.0005210105280933441,0.005801761304361477,0.04061877527133981,0.1451300312685017
TMEM176A,0.09277409572091727,0.000547556360597482,0.0060461265363453065,0.04025941950671792,0.1447776498928762
GBP1,0.09230130096942063,0.0005846687635237209,0.006375558135022152,0.03978330495855421,0.1443107349556372
DPEP2,0.09226344336041964,0.0005877393500207007,0.006381074025709554,0.039745182558075284,0.14427334715348952
IER5,0.09223531120994315,0.0005900308174457464,0.006381074025709554,0.03971685373894524,0.144245564022313
BACH1,0.09187302280180956,0.0006202922490483558,0.006680852584012619,0.03935204015833076,0.1438877629888707
UPP1,0.09160805902576145,0.0006433304930797437,0.006900704227810476,0.039085238432951946,0.1436260724951661
ZFAND5,0.0911155100925133,0.0006882820070618906,0.007323097629792099,0.03858929278111147,0.14313958903094628
SOD2,0.09089980542420634,0.0007088713783324754,0.0074815822580632345,0.03837210871662305,0.14292653273107336
FOSB,0.08973874614244547,0.000829858964405048,0.008532166109054704,0.03720317162743825,0.1417796458139733
NR4A2,0.08927460898211188,0.0008833692814685605,0.008963299118530414,0.03673592550851296,0.14132113500995905
NAMPT,0.08915694850762229,0.0008974328145957244,0.00907097475675986,0.03661748055127374,0.14120489728952404
RP11-63P12.6,0.08879116863303024,0.0009424875036451041,0.009453653280837152,0.03624927132416817,0.14084353127083754
HCAR3,0.0885133777729809,0.0009780922985636819,0.009736464244793016,0.035969645027499095,0.14056908323890327
AMPD2,0.08812250122448155,0.001030300630501668,0.010217471913050506,0.03557619978853732,0.140182896799787
DPYD,0.08804543429707026,0.001040893441576015,0.01028371415211191,0.03549862832924488,0.14010675272537554
GIMAP7,0.08790219768379631,0.0010608490186707212,0.010402653809950207,0.03535445567489687,0.13996522969110678
SGMS2,0.08773423241417945,0.0010846997462238262,0.010513894429255365,0.03518539555037863,0.13979927112641574
CTSB,0.08770989726255157,0.0010881960748696572,0.010513894429255365,0.03516090202336773,0.13977522646769627
LILRA3,0.08724213063797844,0.0011574576916889706,0.011061086595485872,0.03469010339999847,0.13931303172023018
FPR1,0.08711353168152179,0.001177199871886965,0.011208990084488928,0.03456067497035561,0.13918596061470842
FAM26F,0.08684403221063042,0.0012195844461677428,0.011488073032409995,0.034289442925027364,0.13891965743468648
RP11-701P16.2,0.0868437835709741,0.0012196241917969515,0.011488073032409995,0.0342891926904759,0.13891941174044403
C1QC,0.0864979595663901,0.001276075976602425,0.01197688452325419,0.03394115678135883,0.13857767820112363
PELI1,0.0861852905833282,0.0013291789415619212,0.012355177176919233,0.0336264989267032,0.1382686968441497
IRF9,0.08581863010967551,0.0013940420835965813,0.012839411487379816,0.03325751941744011,0.13790634785733688
SECTM1,0.08580069968774011,0.0013972875515185035,0.012839411487379816,0.03323947595753263,0.13788862791802955
PLEKHO1,0.0855393271594945,0.001445393535699321,0.013161819205724488,0.032976459559781596,0.13763031981825183
RASA3,0.08552613310749176,0.0014478618687659229,0.013161819205724488,0.03296318271848166,0.13761728027033912
CEBPB,0.08521595863164388,0.0015070184851450042,0.013470899928439018,0.032651067321420424,0.13731073277680692
RGS18,0.08499736362460945,0.0015500359552801325,0.013808455899919282,0.0324311106114616,0.1370946878856064
VSIG4,0.08490903500044028,0.001567736314968381,0.013918956201813869,0.03234223320252241,0.13700738829165057
JAZF1,0.08487156906071783,0.0015753001731622835,0.013939019714042024,0.03230453473842573,0.1369703585864223
SAMD4A,0.08475841204604842,0.0015983491798728228,0.014095508874851606,0.03219067634689931,0.13685851823091688
LILRB3,0.08461019548212853,0.0016290084543995255,0.014317840194521583,0.03204154316174236,0.13671202425864784
CDKN1A,0.08389194658426949,0.0017853809416341557,0.01558797712496532,0.03131888552425312,0.13600209065992314
HERPUD1,0.08383338439523648,0.001798719614592695,0.015652434262084777,0.03125996629344507,0.13594420409633393
WBP1L,0.0833556309882049,0.0019110020614939475,0.01646594563149539,0.030779313769317602,0.13547194918519578
IFITM2,0.08257492258110728,0.0021083947883968695,0.017931590627530657,0.02999392017550616,0.1347001750325667
PPP1R15A,0.08159031564303863,0.002383924630820128,0.020144546398055616,0.02900349698310875,0.13372674553487637
WDFY3,0.08154397848288733,0.0023976682509152724,0.02019574411347864,0.028956888644721533,0.13368093192390768
CCR1,0.08146451885958793,0.002421404696430873,0.020330516109330142,0.028876964533375852,0.13360236957150418
WARS,0.08133337070321942,0.0024610518907198613,0.020560396722679033,0.02874505120995845,0.13347270092794192
RTN1,0.08129666298127888,0.002472254704857905,0.020560396722679033,0.028708129649624686,0.13343640699458292
MS4A14,0.08117957304986591,0.0025083013954897296,0.020728981343858522,0.02859035857747312,0.13332063602739025
ABHD5,0.08106164497298377,0.0025450907807612606,0.020967080162509696,0.028471745959871935,0.13320403491774138
OSTM1,0.08093513615649357,0.002585104395208942,0.02120085149089457,0.028344504440288597,0.13307894801708076
TMEM154,0.0809210291733271,0.0025896017232028756,0.02120085149089457,0.02833031585910502,0.13306499948863262
