,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
C19orf77,0.5237919893616051,1.658984145251706e-103,4.3598103337214836e-100,0.4844562169569344,0.5610140094951874
PRSS57,0.4380865370194397,3.1792705101479503e-68,4.177561450334407e-65,0.394484505600682,0.4797202848320374
SPINK2,0.4058125244397413,1.3706190744598586e-57,1.2006623092268362e-54,0.360819257042815,0.44892120229644267
IGLL1,0.3785121092430179,1.5316783628645132e-49,1.0063126844019852e-46,0.3324332493003583,0.4227882104291557
CTSG,0.3507347612625133,3.651344411883521e-42,1.9191466228859787e-39,0.3036367740540498,0.396122886056328
MS4A3,0.3146845545886186,1.0488020793004555e-33,3.937502663430853e-31,0.2663917759468686,0.36140136057009453
AZU1,0.3034339914975717,2.6263576082819723e-31,7.66896421618336e-29,0.2547977936019988,0.35053886102623966
PRTN3,0.30076939681360576,9.362145740531904e-31,2.4603719006117846e-28,0.2520539097140007,0.34796431811558
MPO,0.2994210830409832,1.7716883387090845e-30,4.23272450375225e-28,0.25066577314592375,0.34666130023172065
ELANE,0.29696577144728326,5.608600668436322e-30,1.2282835463875546e-27,0.24813845816717128,0.34428800512598345
RP11-620J15.3,0.29645041075214784,7.13264883463901e-30,1.4418923951870245e-27,0.2476080686164374,0.34378978258021964
NUCB2,0.2859845587619764,8.414912280824411e-28,1.474292631600437e-25,0.23684334344662336,0.33366619944650106
MYB,0.28065487276946893,8.814592266161209e-27,1.3626322632630388e-24,0.2313660904854426,0.32850658242409764
CST7,0.2698544892331543,8.744659208316155e-25,1.1490482199727428e-22,0.22027624208023855,0.3180420712479505
CEBPE,0.2654640445456118,5.329427179919441e-24,6.669397442299186e-22,0.21577178856522417,0.3137848021990884
C1orf228,0.26398568767689123,9.717591692185157e-24,1.1608104985028452e-21,0.21425551831185377,0.3123508510469454
RNASE3,0.2532116727755966,6.874988991110405e-22,7.528112945265895e-20,0.20321243037460837,0.30189379709898173
MGST1,0.24018162821814576,9.023654449636362e-20,8.469344247730129e-18,0.1898739427426388,0.28923141361245885
RNASE2,0.23683500944422814,3.0114139121969936e-19,2.6379985870845665e-17,0.1864510985772857,0.2859764516014119
HMGB2,0.22662506572532412,1.0577010751707066e-17,8.175407133966521e-16,0.17601615692458736,0.2760391241911756
KIAA0101,0.20776936433033694,4.78952389774209e-15,3.227402257247747e-13,0.15677478214040558,0.25765907721807957
SERPINB10,0.20497522593406922,1.1281987098510775e-14,7.059300498782456e-13,0.15392678202748586,0.2549323488305562
GAPDH,0.20015032531587845,4.809161840085822e-14,2.8723812081239866e-12,0.14901086948358114,0.2502219801475398
BEX2,0.1894151094663102,1.0600994956231166e-12,5.6855948459133687e-11,0.13808221721038355,0.23973308237585175
PLAC8,0.18610708803781453,2.650857724561503e-12,1.2900840926199316e-10,0.13471710653792204,0.2364985937482866
RETN,0.1815589543772017,9.089737823984163e-12,4.265684107398283e-10,0.1300924164429049,0.23204973478563656
MFGE8,0.1802084369394153,1.3025077784984154e-11,6.005246389287431e-10,0.12871959750332504,0.2307282889776468
STMN1,0.17598613223878576,3.938591972140389e-11,1.7543423225059225e-09,0.12442884120950069,0.22659567237470393
KBTBD11,0.17244982548844556,9.74278132405817e-11,4.197381855676208e-09,0.12083668736441233,0.22313307932813994
GRB10,0.16651624426868383,4.2666471895519064e-10,1.698901335476123e-08,0.11481243541092688,0.21732030767783003
RPL36,0.16289139205371247,1.0245705562723157e-09,3.9022774230197766e-08,0.11113406233772113,0.21376748465889475
SCD5,0.1608518359192082,1.6627862685499471e-09,6.15465114612572e-08,0.10906501545054956,0.21176786455674462
FABP5,0.16023671629838615,1.9218910685169755e-09,7.014902400086961e-08,0.10844108963405934,0.21116470575475066
HSPB1,0.1540827851404778,7.932988052979274e-09,2.7075185198999395e-07,0.10220130280465477,0.20512830024076115
CLEC11A,0.15284526715866853,1.047854012928078e-08,3.530461982019217e-07,0.10094701262430684,0.2039139467810501
EMB,0.14860587012476115,2.6723954277263196e-08,8.77881898008096e-07,0.09665140892182497,0.19975271338773676
PADI4,0.14497936883647206,5.829227421348132e-08,1.8456879112413121e-06,0.09297836214599162,0.19619161079288872
ATP2A3,0.14149224887459363,1.211794505392228e-07,3.6850294348141203e-06,0.08944781993011956,0.19276610150424528
RTN3,0.14050678906345027,1.4854255205363185e-07,4.436020759056188e-06,0.08845032597042889,0.19179782631821593
PLTP,0.1400564225456281,1.6295090579490129e-07,4.811628993584277e-06,0.08799449446638374,0.1913552801265983
KIAA0125,0.13719122441290565,2.916447692933488e-07,8.24131670648302e-06,0.08509503901440685,0.18853934580613121
PTGDS,0.1363263652347249,3.468549811508562e-07,9.595104110152108e-06,0.08422001259967121,0.18768919096457484
UBE2C,0.1362605886670873,3.5144323539919145e-07,9.620758569052866e-06,0.08415346605458783,0.18762452958099976
PTPRCAP,0.13326185859424414,6.35582572121486e-07,1.6703109995352652e-05,0.08112012652356444,0.184676167483261
ZNF438,0.13218225795702787,7.842173314094108e-07,2.0205128891607172e-05,0.08002830222732234,0.18361447367793907
FAM101B,0.13195064911745635,8.202022841158146e-07,2.0927102938411272e-05,0.07979408732472218,0.18338669079249234
PTTG1,0.13038664671364003,1.108210041545291e-06,2.696644434426875e-05,0.07821263749700445,0.18184837960353703
SLPI,0.12916484158419653,1.3985213798516092e-06,3.371847877293605e-05,0.07697738502821887,0.18064646928259373
CITED2,0.12688738964210997,2.1456172590839506e-06,4.9032018755414106e-05,0.07467529472866043,0.1784056908872982
MAN1A1,0.12645971157778352,2.323277721645757e-06,5.218439190158162e-05,0.07424305193404511,0.1779848400696893
RRAGD,0.12499887606619386,3.0427037255910854e-06,6.719517135170901e-05,0.072766772455245,0.17654718246998344
UBFD1,0.12494736673553875,3.071614316349975e-06,6.726835352806446e-05,0.07271472274459191,0.17649648638216128
SEC24A,0.12392141360205781,3.7053490182478084e-06,7.916794487768489e-05,0.0716780656913797,0.1754866742894667
SLC9B2,0.12374171996554562,3.828515797165653e-06,8.113983479799464e-05,0.07149650889947068,0.1753097965566219
MT-ND4,0.12228917672627161,4.978488059521818e-06,0.00010207513814004911,0.07002903203859985,0.17387989328643033
RGL4,0.1222534808655972,5.010537602764968e-06,0.00010207513814004911,0.06999297203556426,0.17384475105797503
SLC19A1,0.12104793436001876,6.216489881852799e-06,0.00012191742842917281,0.06877520764255333,0.17265782506079025
GADD45A,0.11958371430961164,8.055749137705435e-06,0.00015230581822942363,0.0672963575831423,0.1712160193098499
CD59,0.11931853150331677,8.440174433998664e-06,0.00015741318481488184,0.06702854972677594,0.17095487227028006
RAB27A,0.11931481496701768,8.445684573401194e-06,0.00015741318481488184,0.06702479645394407,0.17095121224368787
NADK2,0.1191150711586264,8.74692816295896e-06,0.00016074774274305,0.0668230804318218,0.17075450343121468
S100A12,0.11720987589200128,1.2184566318216703e-05,0.00021932219372790065,0.06489928861185129,0.16887804964558412
RP11-499P20.2,0.11715884289434542,1.2292370743238276e-05,0.0002197574851240149,0.06484776282934417,0.16882778137272197
AC009005.2,0.11700157940740673,1.2630326647759235e-05,0.00022427363804264374,0.06468898252885064,0.16867287277432935
MT-ND3,0.11598145432006281,1.5047205884910476e-05,0.0002653963561445955,0.0636590826029995,0.16766796121879854
DUT,0.11585400892212289,1.5378405948936705e-05,0.0002694296722253711,0.06353042385415893,0.16754240891671315
KIAA1958,0.1157150287317831,1.5747489223624153e-05,0.0002740688852959224,0.06339012247776625,0.16740549125086984
