,4.0_1_corr,4.0_1_pval,4.0_1_qval,4.0_1_ci_low,4.0_1_ci_high
PTPRCAP,0.4360111217940819,6.433290646322392e-160,1.691955439982789e-156,0.40807955311166694,0.46312719538616914
CCL5,0.4209708357259874,1.0299067767041678e-147,1.3543274113659807e-144,0.39260945478864867,0.4485323334381439
IL32,0.3808319450160394,2.6160745078277562e-118,2.2934253185289996e-115,0.3514019175459776,0.4095100802927152
KLRD1,0.3699687418996053,4.355950366000531e-111,2.864037365645349e-108,0.3402690676079003,0.3989310104144046
PYHIN1,0.36921461395416033,1.3469970648625424e-110,7.085204561176973e-108,0.33949652960653726,0.39819632081934137
KLRB1,0.3632295059940188,9.345146369818563e-107,4.09628915877047e-104,0.3333667323962912,0.3923641657303621
HOPX,0.3595911381529993,1.8314762001325364e-104,6.881117723355101e-102,0.3296416409520521,0.3888176332021106
GZMM,0.3509451987899253,3.820120369820698e-99,1.2558645715785545e-96,0.3207933575235297,0.3803864481194106
CD7,0.34789995337522067,2.590655526405325e-97,6.836565613067258e-95,0.31767809590822227,0.37741567693844996
SYNE2,0.3478974900680974,2.5994546057289957e-97,6.836565613067258e-95,0.31767557622887455,0.37741327362779753
GZMH,0.3453571016752148,8.433261952153265e-96,2.016316266742099e-93,0.3150772787984393,0.3749345474459909
ETS1,0.34451699629221083,2.644955387187525e-95,5.7968605569193255e-93,0.3142181227831088,0.3741147406683157
LINC00861,0.34237044309605713,4.824059790630361e-94,9.759444037967577e-92,0.3120231187065726,0.37201984231710566
NKG7,0.3403932688342025,6.847272551671064e-93,1.2863090579210642e-90,0.3100016032905148,0.37008997968245244
FGFBP2,0.3347163465960129,1.2413458738161027e-89,2.1764930987575665e-87,0.3041988942286788,0.36454747518485153
GZMB,0.3233168231733107,2.6212071769013716e-83,4.30860929703163e-81,0.2925536207454999,0.353411481523444
SAMD3,0.32152353659894345,2.439736639547011e-82,3.774416095299199e-80,0.290722504878989,0.35165887467683593
CST7,0.3209360559248533,5.049066426316846e-82,7.377247056229614e-80,0.2901226803884934,0.3510846747382867
PRDM1,0.3178407020890578,2.2652204466224032e-80,3.1355419866404846e-78,0.2869626884860219,0.34805892072185385
KLRF1,0.3103214532415979,1.914946167914934e-76,2.5181542108081384e-74,0.2792892184927769,0.34070612089961066
GZMA,0.30803411568430367,2.8373615301484136e-75,3.553457535376346e-73,0.27695575322602317,0.338468679191568
CD247,0.30708140075544527,8.655734597797231e-75,1.0347537269184872e-72,0.275983933448017,0.3375366451965743
IL7R,0.2970792284393519,8.101126296606272e-70,9.263461808728041e-68,0.2657850233062311,0.3277479879793814
CCL4,0.29239424806215397,1.4664345414458206e-67,1.6069678516677116e-65,0.26101029949308663,0.32316075177195563
PRF1,0.28046741803274033,5.179263367131407e-62,5.44858506222224e-60,0.24886193101516127,0.311476225751971
CD3D,0.27832083267041674,4.817245298689653e-61,4.872828898289919e-59,0.24667652875025645,0.3093722539886047
CD3E,0.27740488728897866,1.2396980330537841e-60,1.2075577136783157e-58,0.24574411819938935,0.308474399233446
GNLY,0.26965657673275223,3.167019881357392e-57,2.974736531417836e-55,0.23785886633282208,0.30087690813592644
CLIC3,0.25443384944283726,7.247540791913288e-51,5.956572588353734e-49,0.22237929370190818,0.2859389384420875
BCL11B,0.24859528224351315,1.527670787084123e-48,1.1816982853033068e-46,0.2164465000881034,0.2802055223826322
SPINK2,0.24287023699687815,2.5219394863428496e-46,1.895057385451913e-44,0.2106313651866503,0.2745813930098039
CD3G,0.24174595037287272,6.764233008109047e-46,4.941648003146331e-44,0.20948965468295408,0.27347666934685966
CD8B,0.23699249733502126,4.1354679560019107e-44,2.8621791379697437e-42,0.2046635057992755,0.26880500263905466
RASGRP1,0.2360240430731612,9.450685188184743e-44,6.373154370493814e-42,0.20368043340901804,0.26785302770997416
PTPN4,0.23390570555932047,5.684807055657139e-43,3.737760639094569e-41,0.20153034842809842,0.2657705194102956
CD69,0.22804252733071925,7.409504580858716e-41,4.7529261091849815e-39,0.1955809253610161,0.2600049589073392
PTGDS,0.2158666458679685,1.1709768644043639e-36,7.332545603293992e-35,0.18323357038441307,0.24802451208966803
FCER1A,0.20792189639797445,4.6727040690900616e-34,2.8579562096992697e-32,0.1751824816477418,0.24020197684309616
DDIT4,0.20462107394088802,5.229506998572678e-33,3.125818955965033e-31,0.1718387652258862,0.23695069775828526
PRKCQ-AS1,0.197193449777561,1.0262583633732454e-30,5.997909990381412e-29,0.16431738079368924,0.22963190866100203
HLA-DQA1,0.19514468257729703,4.239957365437214e-30,2.4241495371956243e-28,0.16224342407383424,0.22761251580588285
