,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
FCN1,0.3190298325033459,5.283967149098827e-81,8.174608001252892e-79,0.28817657117548945,0.34922138771415023
DUSP1,0.31868434860193506,8.071174618412381e-81,1.179288291468031e-78,0.2878238856540136,0.34888366004511967
CTSS,0.31517800119374173,5.748762815386572e-79,7.957498002350887e-77,0.2842449218765062,0.34545558750842514
TYROBP,0.31109093951227074,7.688019286121226e-77,1.0109745361249411e-74,0.28007430505042374,0.3414587442821509
TSC22D3,0.30931995865650364,6.253507185721295e-76,7.831773284974765e-74,0.27826748210520885,0.33972651521429487
SAT1,0.29144680464133715,4.143989276680917e-67,4.359476719068325e-65,0.2600448938966273,0.3222328993598641
FOS,0.2884386630405375,1.0910246260776383e-65,1.1036133717631496e-63,0.25698013825547894,0.319286567303908
CST3,0.28615278807080324,1.2736482138459023e-64,1.1963195722909727e-62,0.25465166552175394,0.31704726231916
JUNB,0.27943256007031647,1.5216785665354077e-61,1.3340048766627073e-59,0.24780831944184867,0.31046194954391026
FOSB,0.27352775161884163,6.4991808462323225e-59,5.513821169545487e-57,0.2417979353549481,0.3046732267379483
NEAT1,0.2723437295179021,2.1486018676571132e-58,1.76588215998069e-56,0.2405930363983304,0.3035122049218241
MS4A7,0.2390941272749859,6.788708042743469e-45,4.354707842052518e-43,0.2067970827061117,0.27087065723539105
RGS2,0.22750233913747084,1.1523536505564068e-40,6.734866891029666e-39,0.19503291141601528,0.2594736497773061
VCAN,0.22533890623264807,6.676674152137223e-40,3.736096387259765e-38,0.19283833984649534,0.2573455831954439
JUN,0.22289932579168448,4.73195944764275e-39,2.489010669460087e-37,0.19036403608871927,0.25494551086478623
SLC11A1,0.22194965080998563,1.007607994586679e-38,5.196096128946992e-37,0.18940095584474625,0.25401110873591787
KLF6,0.21634652634680593,8.090183197054205e-37,4.091765732356262e-35,0.1837200142228257,0.24849687629574557
DUSP6,0.21339438036030184,7.754863789822837e-36,3.776905882821122e-34,0.18072774473317044,0.24559072684668473
CLEC4E,0.21268060928515642,1.332455249426014e-35,6.371558738164395e-34,0.18000436335022255,0.24488798994136274
THBS1,0.21219241919490825,1.9272219276188838e-35,9.051060124352972e-34,0.17950962055665964,0.244407327281438
