,4.0_1_corr,4.0_1_pval,4.0_1_qval,4.0_1_ci_low,4.0_1_ci_high
MKI67,0.2584902091128125,1.0973070994550463e-59,2.885917671566772e-56,0.22856427973478463,0.2879280915710301
FCER1A,0.2441268252576056,3.596286782540092e-53,4.729117119040222e-50,0.21398326770649745,0.27380589249042875
CCL5,0.20250919469400835,1.1166153187335102e-36,9.788994294230439e-34,0.17181077326839242,0.2328147014477228
HLA-DQA1,0.20091194425039716,4.098432783631304e-36,2.6947195552375826e-33,0.17019446652264622,0.23123934467084187
STMN1,0.19690129336126677,1.0208622499458916e-34,5.36973543471539e-32,0.16613669422906824,0.22728296702107453
CENPF,0.19482703410665209,5.236647290769314e-34,2.2953970624538825e-31,0.16403847304599808,0.22523638365571563
TOP2A,0.18320858067625806,3.511562127831257e-30,1.3193440565994581e-27,0.15229095101398937,0.21376798654718834
SYNE2,0.17402210500514334,2.465058720345045e-27,8.103880543134337e-25,0.1430086038526777,0.20469419020203608
PTPRCAP,0.17251743272877568,6.9682416349565e-27,2.0362750555483993e-24,0.14148874841099454,0.20320747130710506
IL7R,0.17235345841995278,7.799230093103235e-27,2.051197514486151e-24,0.14132312832861582,0.2030454449479888
IL32,0.16831435018397295,1.2069250440333786e-25,2.6451773881731547e-23,0.13724402876333905,0.19905378902546045
PYHIN1,0.16515654256965193,9.793167403960067e-25,1.9812330978780753e-22,0.1340556894303974,0.19593236942342784
GPR183,0.16128562705540242,1.2042115324794341e-23,2.2621973788720797e-21,0.13014822562058395,0.1921052081969225
BCL11B,0.16077117407536518,1.672970865459626e-23,2.9332755841058775e-21,0.12962898809760495,0.19159649967338493
ETS1,0.16030748336958944,2.2478850626935437e-23,3.694961071802513e-21,0.12916099958502364,0.1911379724132725
KLRD1,0.15829039229209035,8.040817675180654e-23,1.2439617932779483e-20,0.12712537414856734,0.1891431861403697
PTTG1,0.1579802272107699,9.767039107137987e-23,1.427072936209606e-20,0.1268123823524489,0.1888364282449683
NKG7,0.1560524815257955,3.242108243600643e-22,4.487760358247206e-20,0.12486720715164511,0.1869297239528944
CD7,0.15227919793316297,3.2463228293265507e-21,4.268914520564414e-19,0.12106050152327993,0.18319695239865688
CD3D,0.1520279887352188,3.7765769130544236e-21,4.729712991111016e-19,0.12080709982509849,0.18294840866393863
HBB,0.15185186798436665,4.198530898332916e-21,5.019152846643441e-19,0.12062944435625017,0.18277415429102636
UBE2C,0.15161282845892246,4.84663843299903e-21,5.542025686429325e-19,0.12038832503722703,0.18253764479530055
KLRB1,0.15088440108352041,7.495308767967732e-21,8.21360919156464e-19,0.11965358260542291,0.18181690513227095
PRDM1,0.15076938395411987,8.027874817295284e-21,8.445324307794639e-19,0.11953757146924918,0.18170309883797128
GZMH,0.14255696003584684,9.381442210400769e-19,8.811854647626437e-17,0.11125637761851369,0.17357498817593517
FABP5,0.14246473889454075,9.881184795581062e-19,8.961212418061446e-17,0.11116340890162865,0.17348368982803988
LINC00861,0.14145860830497065,1.7367493924271397e-18,1.522550300694459e-16,0.11014915787151781,0.1724875922542279
CD59,0.13818584560676136,1.057048968937868e-17,8.967867059053525e-16,0.10685043180186848,0.16924702613989295
CD3G,0.13775633565219167,1.3354664618910193e-17,1.064326301446479e-15,0.1064175656740273,0.1688216917328035
KLRF1,0.137420776118317,1.6022676170670466e-17,1.2394011273195096e-15,0.10607939235675165,0.16848938634223587
DDIT4,0.1359973616384638,3.452085164154744e-17,2.593995423350565e-15,0.10464497103479416,0.16707969713652746
CCL4,0.1348146352129531,6.491716241906278e-17,4.614382085463111e-15,0.10345319815429278,0.1659082784761443
HSPE1,0.13214595204217972,2.6439005601473144e-16,1.8298574929440623e-14,0.10076443350985964,0.1632647875307204
HLA-DQB1,0.13120614887058588,4.305879748821352e-16,2.903708651128245e-14,0.09981766757504325,0.16233374965329672
GZMM,0.129067426186653,1.2893244661075514e-15,8.477308364657151e-14,0.09766331146631368,0.16021476766023232
KIAA0101,0.12866561423763234,1.5810998390096023e-15,1.0142177016085985e-13,0.09725859523063489,0.15981663245186192
HOPX,0.12727486118963424,3.187479135593478e-15,1.9959690777644871e-13,0.09585787004270942,0.15843852710448492
CD3E,0.12292427727258713,2.718453146451736e-14,1.6248935852654695e-12,0.09147689432874125,0.15412672385862108
ID2,0.12134343370150542,5.813953906558648e-14,3.3384483436670144e-12,0.08988530895838545,0.15255967733929066
