,4.0_1_corr,4.0_1_pval,4.0_1_qval,4.0_1_ci_low,4.0_1_ci_high
SLC9B2,0.46921063203797647,4.66796166872542e-185,1.2276739188747856e-181,0.44196245133054296,0.4955937353742403
EXT1,0.45807037626872976,5.36500354264749e-175,7.054979658581449e-172,0.43047199589339896,0.48481304171021206
IGFBP6,0.3915220319035592,7.581816300710718e-123,6.646725623623063e-120,0.3620174893018611,0.42024289650935376
CTSK,0.3741477257505479,3.069242256056214e-111,2.0180267833569606e-108,0.3441977589061897,0.4033370370398434
MMP14,0.3533981694143786,2.3807961755568622e-98,1.2522987883429096e-95,0.32294448148435295,0.3831207877289577
MMP9,0.3507978412499653,8.324850548348853e-97,3.6490594903595803e-94,0.32028319119875975,0.3805852840352417
SCD5,0.3496073701363086,4.186807011413307e-96,1.5730432057167139e-93,0.31906497137427936,0.3794243411091914
SPARC,0.3189548764427979,3.927699406392996e-79,1.2912311798516976e-76,0.2877327152840662,0.34949977809665145
CKB,0.31823286920581595,9.318365461109505e-79,2.7230334625242218e-76,0.2869955013201709,0.34879416496532195
LMNA,0.2745139949278414,5.134372832800569e-58,1.3503400550265496e-55,0.2424246794470194,0.30600331954552557
SPP1,0.2693168891857826,8.458267574218115e-56,2.0222948836539676e-53,0.23713529091187277,0.30090805834413864
ACP5,0.2691162904983321,1.0276021495111061e-55,2.2521613776785076e-53,0.23693116851621118,0.300711354509345
PPP2R3A,0.2627660036542313,4.4598017062642165e-53,9.022521913442224e-51,0.23047080126929045,0.29448297597245693
RP11-802E16.3,0.2596736966434301,8.06407753695696e-52,1.5148945658712003e-49,0.22732592039095081,0.2914490570715408
CA2,0.24882810542738612,1.5056560691029905e-47,2.63991697449391e-45,0.21630126837032926,0.28080319415549854
HIST1H2AC,0.2372723767905762,3.1316135160888005e-43,5.147589717070966e-41,0.20456387484010377,0.2694516070216058
ITGAV,0.2348387387767437,2.371558402442964e-42,3.6689403520147034e-40,0.20209317661873288,0.26705982074930135
DSC2,0.22803454050479646,6.004960061775206e-40,8.773913868038218e-38,0.195187572914616,0.260370528455385
