,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
IER3,0.37652879244360415,8.734257939040383e-113,1.5314065586450804e-110,0.3466385936624883,0.4056550842339638
OLR1,0.36597207434796936,4.885730582508366e-106,7.847847231259562e-104,0.3358199676065608,0.3953749173378674
FCGR3A,0.36594602663653736,5.07275296317158e-106,7.847847231259562e-104,0.33579328349691495,0.3953495428771928
CXCL2,0.3655186528002309,9.390385284134326e-106,1.3720396276262932e-103,0.33535547496558066,0.3949332088906905
VSIG4,0.3611631596539797,4.713123743660855e-103,6.523955497804236e-101,0.3308943815990002,0.390689537038507
C5AR1,0.35844505833998686,2.1668360080968094e-101,2.8493893506473046e-99,0.32811106454475125,0.38804058308485095
CXCL3,0.3549947131271261,2.6374760746445664e-99,3.303124798245338e-97,0.3245786932407761,0.3846773087641136
PLAUR,0.3514293202914097,3.523239346162734e-97,4.028747600177386e-95,0.3209294303640772,0.3812010618971592
NAMPT,0.339352338105441,3.3985607901004526e-90,3.724256199151746e-88,0.30857508239625675,0.3694197831539816
ZFP36,0.3380917236836418,1.7433870718279882e-89,1.8340431995630437e-87,0.30728611432615777,0.36818947735243507
CD83,0.333626885776372,5.346750869005936e-87,5.208131402031708e-85,0.3027217625873917,0.36383113843101694
CD163,0.33314693583318405,9.835202889669228e-87,9.238065571367882e-85,0.3022311997260988,0.36336255791098715
MS4A7,0.33174195865527295,5.8174062492944524e-86,5.27578566746359e-84,0.3007952490438818,0.36199077503112376
NEAT1,0.33055717503391574,2.5842843432316894e-85,2.2655559408997808e-83,0.2995844552516675,0.3608338815365405
ZFP36L1,0.3177089258043295,1.7415100823489075e-78,1.3879307625992808e-76,0.286460545927593,0.3482820966795169
BCL2A1,0.31714019723912135,3.428248148900771e-78,2.651850774002655e-76,0.285879886150702,0.3477262376267589
IL1B,0.30701316377625626,4.568606182297595e-73,3.2474146647142364e-71,0.27554424250014503,0.33782476308930504
DUSP1,0.30515038419967044,3.7964338079217867e-72,2.6275318196932368e-70,0.2736438828108867,0.3360027302154089
ZNF331,0.3027339898144604,5.777267044697774e-71,3.8959518788602934e-69,0.2711791060194854,0.33363884827294826
IL10,0.29986116970997856,1.4190275158228826e-69,8.885815158605193e-68,0.26824930306354255,0.3308279537413667
CCL3,0.2978985980952241,1.236483118990927e-68,7.562675820804971e-67,0.26624813966828126,0.3289073707162852
ATF3,0.2967490573383826,4.3581543394212894e-68,2.6049877074268164e-66,0.2650761211701695,0.3277823048774941
PLIN2,0.29615343230732316,8.35113779057588e-68,4.774672258524905e-66,0.264468886290669,0.32719932670223006
NR4A2,0.29472665040828117,3.939498339137106e-67,2.204442687644806e-65,0.2630143959025452,0.325802743426162
FN1,0.2939980363511571,8.667883259343395e-67,4.749277702515235e-65,0.2622716875619341,0.3250894985698492
TNFAIP3,0.29121388951385396,1.725253745035032e-65,8.896896763612028e-64,0.2594340304692213,0.3223637539672609
TREM2,0.2901405342441951,5.414196897577686e-65,2.738334200121022e-63,0.25834019224932964,0.32131277618217907
IL8,0.28798459391663667,5.300536035879219e-64,2.581557365622657e-62,0.25614335623344847,0.3192015511960153
CD14,0.28251983743072756,1.566837373195951e-61,7.358539806259555e-60,0.25057641275870285,0.3138487481828239
NFKBIA,0.28042343266182285,1.3411328843348678e-60,6.081343941035694e-59,0.24844136725156582,0.311794762650153
SGK1,0.2800678762012082,1.9265374423373025e-60,8.587785548045941e-59,0.24807928802668788,0.31144637153383964
MAFB,0.2788441960305084,6.672703319047557e-60,2.9248682881825123e-58,0.24683322747104303,0.3102472870765767
RGS1,0.27057260715976367,2.490763138223077e-56,1.0738864022174906e-54,0.23841313134668132,0.302139334041855
LGMN,0.26735825214071757,5.617365559753857e-55,2.3828502293794587e-53,0.2351423700991153,0.2989873354574685
SLC11A1,0.26701626637811654,7.804847005181122e-55,3.258213908512119e-53,0.23479442603088377,0.2986519433742572
PPP1R15A,0.26684744868299787,9.17891149321672e-55,3.771958941743746e-53,0.23462267012450308,0.298486377699167
JUNB,0.2648084640055984,6.444784525538577e-54,2.568148985176736e-52,0.23254835654652742,0.2964865206033006
SDS,0.26441989374995767,9.324643060917339e-54,3.6602703358526276e-52,0.23215308693744902,0.29610537539073045
MARCKS,0.2623524165334127,6.584017711208963e-53,2.5464656735999372e-51,0.23005014345987407,0.29407723512518896
RGS2,0.26224404959927183,7.2906377942718665e-53,2.778895275207972e-51,0.22993992587948317,0.2939709221590523
GADD45B,0.25979349200606455,7.214028035393315e-52,2.7104133904406315e-50,0.22744773989307598,0.29156660239432036
DAB2,0.25839033963580915,2.6494548906202617e-51,9.81417797511449e-50,0.22602094247248336,0.2901897443328341
CTSL,0.25627017309237554,1.8620466346103378e-50,6.708469382226286e-49,0.22386531164801252,0.28810905876728765
GPR183,0.2554457058179661,3.9543816010801855e-50,1.386669814778785e-48,0.2230271390171112,0.28729986323360984
SERPINA1,0.2553752267028078,4.21678991138916e-50,1.4592312456517752e-48,0.22295549053126631,0.2872306875048561
MSR1,0.2539355925065708,1.559435118270591e-49,5.258095334681608e-48,0.2214920469535114,0.2858176040740349
ELL2,0.25053702094957025,3.302888139580138e-48,1.0858244758869703e-46,0.2180378477435775,0.2824811613099151
THBS1,0.25028934534645714,4.118182669753624e-48,1.3371383236360534e-46,0.21778615002578444,0.2822379832105884
CYBB,0.2498496295247124,6.088835055529217e-48,1.952882462931932e-46,0.21733930411345237,0.28180624200674714
PHLDA1,0.2464550135999965,1.2131221415878535e-46,3.75354262632477e-45,0.21389010232666605,0.27847275466072197
FOSB,0.244472306900792,6.812055380956093e-46,2.0358756422630143e-44,0.21187588901435409,0.27652539465454945
AQP9,0.2440131000580102,1.013530017144445e-45,2.995038140550438e-44,0.21140942454209352,0.27607433677296456
KLF4,0.24277792686189748,2.938462003333653e-45,8.58683896529723e-44,0.21015480349418522,0.2748610125438803
DUSP2,0.23809640879123095,1.5692425257431112e-43,4.437750368499336e-42,0.205400549921198,0.27026137802594546
CDKN1A,0.23722319839702258,3.2631654983691573e-43,9.033816063906195e-42,0.20451394341622897,0.26940327828817223
MAP3K8,0.23692131157189802,4.199993528535328e-43,1.1506232270883242e-41,0.20420743776350542,0.2691066036410302
RASGEF1B,0.23679694030647505,4.6597105254141806e-43,1.2634060496741541e-41,0.20408116550008568,0.26898437791095703
C15orf48,0.23654985076500512,5.72663358747256e-43,1.5213178116214983e-41,0.2038303024581017,0.2687415478485546
TIMP1,0.2351129443669945,1.890093711955478e-42,4.970946462442907e-41,0.20237153706421318,0.2673293306184024
SLC43A2,0.23372594791617465,5.937790090151328e-42,1.546177023475049e-40,0.20096357867627146,0.26596603449645195
CCL2,0.23001841744198015,1.2191150707153238e-40,3.143404545079708e-39,0.19720067998455204,0.26232122330565977
CTSS,0.22772230508731306,7.706811755463076e-40,1.96785581717164e-38,0.19487076227561514,0.26006349140450796
SOD2,0.2275101581696122,9.128649496661818e-40,2.308495016944287e-38,0.19465551065564798,0.2598548727616177
ADORA3,0.22678221765342832,1.629768487100756e-39,4.0821820200714174e-38,0.19391694101992685,0.2591390158730824
THBD,0.224715173654576,8.354623334128618e-39,2.05351956717367e-37,0.19181991788265748,0.25710609046500027
FOS,0.22436687354187157,1.0985157153529802e-38,2.675089195720683e-37,0.19146659580645062,0.25676351116248436
LUCAT1,0.22431342870591015,1.1455901461232488e-38,2.7641303525726096e-37,0.1914123811309566,0.2567109434345754
STAB1,0.22217619307265177,6.077801515968019e-38,1.4531470897268991e-36,0.1892445244797694,0.2546086258570084
CHMP1B,0.21964963904737025,4.269814449474056e-37,9.937709736386521e-36,0.18668218552414534,0.2521229550814116
HMOX1,0.2187857995127351,8.267842058961855e-37,1.9074056679885683e-35,0.18580621385195945,0.2512729953897554
VEGFA,0.21851920890727022,1.0132166374020762e-36,2.31718239684127e-35,0.18553588971722326,0.2510106781426095
SAMSN1,0.21693972015348634,3.360825446555516e-36,7.427706659194125e-35,0.1839343830572925,0.24945641016386297
VCAN,0.21445231674151638,2.1775123847785607e-35,4.772381309973012e-34,0.18141266072993703,0.24700838511871462
SOCS3,0.21410530340139655,2.8206128217281903e-35,6.130753488549703e-34,0.18106089415070445,0.2466668323521359
CREM,0.21301056018454914,6.361435006137657e-35,1.3713585300116425e-33,0.17995121102140837,0.24558926290789942
CCL3L1,0.21276166048690703,7.64855845267819e-35,1.635423474027938e-33,0.17969892634012402,0.24534425658734632
NR4A3,0.21131315124935973,2.224483549810669e-34,4.7180578516145643e-33,0.17823080398074995,0.2439183228423724
RP11-290F20.3,0.20995342494690408,6.0153270585554736e-34,1.2555801717461028e-32,0.17685280070733428,0.24257966002656345
SKIL,0.20989226481970896,6.289543242414395e-34,1.3024802147677055e-32,0.17679082153643247,0.24251944440931694
MARCO,0.20835994097351315,1.912610832759734e-33,3.8993538683396124e-32,0.17523806280534304,0.24101070253804627
UPP1,0.20339888041431695,6.585654969450012e-32,1.3221582114239338e-30,0.17021197224046858,0.2361249083060812
PFKFB3,0.202876942809803,9.504435033896394e-32,1.8794484315148508e-30,0.16968329340254207,0.23561079301940868
SDC2,0.20251201095218022,1.2276043428370394e-31,2.409402553478667e-30,0.16931365951257873,0.23525131953925923
LHFPL2,0.20040482347730548,5.3267131969999775e-31,1.0377226450451807e-29,0.16717950423242767,0.23317547460458074
KLF6,0.199376961749168,1.0832354996335636e-30,2.0947862970854943e-29,0.1661386008887412,0.2321627930197776
CLEC5A,0.1985852201957106,1.866330710765151e-30,3.5828100505929544e-29,0.16533686413549836,0.23138269596715066
CXCL1,0.19842542168997873,2.082330760414821e-30,3.9684999274572306e-29,0.16517505361162033,0.23122524257483618
CEBPB,0.19765769816319131,3.519368889737381e-30,6.658949769790873e-29,0.1643976886581993,0.2304687617715548
C3AR1,0.19642206202503965,8.151968548544742e-30,1.5314055201909052e-28,0.16314662158303458,0.229251137289781
GABARAPL1,0.19503420752169484,2.0798093610279327e-29,3.879360723052101e-28,0.1617415627874667,0.2278833907821475
NPL,0.19192486920999505,1.651707934205141e-28,3.0591492020841698e-27,0.1585941700107559,0.2248186316310011
NFKBIZ,0.19167463964519513,1.948371774776185e-28,3.583369068294662e-27,0.1583409073920563,0.22457196135518417
RBFOX3,0.19002968013386232,5.737727877667015e-28,1.0479322443239061e-26,0.15667611836930292,0.22295029494266563
CCL4,0.18920548445090432,9.820104000747472e-28,1.781163691170059e-26,0.15584205851216285,0.22213770158383356
CLEC7A,0.18874781503541016,1.3220074670986505e-27,2.3814244099105827e-26,0.15537893214059018,0.22168645509225027
GPR34,0.1886826758736868,1.3790610224625879e-27,2.4672996524330652e-26,0.15531301749376678,0.22162222894543587
HERPUD1,0.18768235904852337,2.6333632497652074e-27,4.648151239518454e-26,0.15430082916071056,0.22063589704214093
MCL1,0.1874196753885635,3.1189964257629703e-27,5.468640399837741e-26,0.15403503965275941,0.22037687465529382
FPR1,0.1868847612231335,4.398967759935907e-27,7.661778283861879e-26,0.15349381585016447,0.21984940172948875
SDCBP,0.18425913611042063,2.3425696732326844e-26,4.053262000396027e-25,0.1508375103754081,0.21726002239133546
TNFRSF1B,0.18404216272374627,2.6867051198301574e-26,4.618323179838767e-25,0.15061802324729734,0.2170460234627404
SERPINB9,0.18373051990155637,3.270305974696462e-26,5.585003060682919e-25,0.15030277565784153,0.2167386473582321
CD36,0.17992934523191054,3.4941683497896605e-25,5.8908094615043635e-24,0.14645817990037713,0.2129889879451164
NR4A1,0.17980739149801506,3.766758830253651e-25,6.309920843036371e-24,0.14633484981904932,0.2128686708591651
JMJD1C,0.17752834146365867,1.518052968817712e-24,2.526885637968723e-23,0.14403027024749201,0.21062002175377628
TMEM176B,0.17651751052338382,2.7997849888794232e-24,4.6310908935552725e-23,0.1430082324559429,0.20962256247314517
TNFAIP2,0.1759284946328085,3.992848441543428e-24,6.56324462578701e-23,0.1424127192341817,0.20904130653680877
CEBPD,0.17515593825421236,6.348116573238639e-24,1.0369904712805976e-22,0.14163167770270868,0.20827889268455074
CCL20,0.17410693660384713,1.1872717197603776e-23,1.9156592778955785e-22,0.14057122145124026,0.20724359843917564
ATP2B1,0.17314407096565443,2.1018381677786726e-23,3.370630720279213e-22,0.13959790950049394,0.20629324932370802
ID2,0.17130955855258645,6.182363933611626e-23,9.678343538927723e-22,0.13774367350066566,0.20448241107567972
CXCL16,0.17095645230411827,7.598610742032555e-23,1.182505695357729e-21,0.1373867978629066,0.20413383556231526
CCL4L2,0.1701335075990443,1.2267244017245842e-22,1.897814809726857e-21,0.13655510209349223,0.20332141747483418
SLC16A10,0.16992641817920753,1.3833268526642803e-22,2.1275728786590977e-21,0.1363458179718598,0.20311696982217578
LINC00936,0.16725725958036386,6.418364105564206e-22,9.701320458410265e-21,0.13364864029880155,0.20048160168238055
HBEGF,0.1671661060393487,6.760656517805904e-22,1.0160300938188301e-20,0.13355653867878067,0.20039159361661768
LIPA,0.16622395158433204,1.1546576639649732e-21,1.725425941038568e-20,0.13260461897777803,0.19946124582745017
FCGR1A,0.16616266165844767,1.1954398357045006e-21,1.7762750101145972e-20,0.13254269594225399,0.1994007218841261
BTG2,0.16595186324774586,1.3468822011029983e-21,1.9900562858993737e-20,0.13232972204009524,0.19919255603080505
LPAR6,0.16582501561167445,1.4469979505046688e-21,2.1260360948755745e-20,0.13220156680129388,0.19906729108656906
GK,0.1653054059718169,1.9398079107662136e-21,2.834274891841745e-20,0.13167661252371837,0.19855415333411428
FGL2,0.16448972197637116,3.067124153556858e-21,4.456650013179302e-20,0.1308525765509241,0.19774859214879634
DDIT4,0.1631723023798097,6.395981516876603e-21,9.142082276839927e-20,0.12952176573589508,0.19644742713171312
NLRP3,0.16308612503103023,6.709523170123787e-21,9.538403209419222e-20,0.12943471664151382,0.19636230897185122
FGD4,0.16304196219358835,6.876041402042451e-21,9.722574670629917e-20,0.12939010726635183,0.19631868873683625
TGIF1,0.1628591471008099,7.609909970496105e-21,1.070270760556404e-19,0.12920544514908489,0.1961381183828914
ICAM1,0.16234381989223245,1.0121502313129651e-20,1.4159335682729245e-19,0.12868492402976808,0.19562910659443677
