gene,source
C1QA,core_module
C1QB,core_module
C1QC,core_module
APOE,core_module
APOC1,core_module
TREM2,core_module
GPNMB,core_module
MERTK,core_module
CD74,TAM_DEG
HLA-DRA,TAM_DEG
HLA-DPA1,TAM_DEG
HLA-DPB1,TAM_DEG
HLA-DRB1,TAM_DEG
RGS1,TAM_DEG
HLA-DQB1,TAM_DEG
HLA-DQA1,TAM_DEG
NPC2,TAM_DEG
HLA-DMA,TAM_DEG
IER3,TAM_DEG
SAT1,TAM_DEG
GPR183,TAM_DEG
GADD45B,TAM_DEG
ZFP36,TAM_DEG
CTSB,TAM_DEG
CCL3,TAM_DEG
NR4A2,TAM_DEG
NFKBIA,TAM_DEG
CCL4,TAM_DEG
CXCL2,TAM_DEG
JUNB,TAM_DEG
CD83,TAM_DEG
PPP1R15A,TAM_DEG
SGK1,TAM_DEG
CREM,TAM_DEG
PLAUR,TAM_DEG
SOD2,TAM_DEG
HERPUD1,TAM_DEG
TNFAIP3,TAM_DEG
FTH1,TAM_DEG
GLUL,TAM_DEG
B2M,TAM_DEG
TUBA1B,TAM_DEG
CDKN1A,TAM_DEG
CXCL3,TAM_DEG
IL1B,TAM_DEG
CD63,TAM_DEG
OLR1,TAM_DEG
IL8,TAM_DEG
ZNF331,TAM_DEG
PLIN2,TAM_DEG
LITAF,TAM_DEG
ATP1B3,TAM_DEG
UBC,TAM_DEG
HLA-DMB,TAM_DEG
INSIG1,TAM_DEG
HLA-DRB5,TAM_DEG
SRGN,TAM_DEG
CHMP1B,TAM_DEG
CXCL16,TAM_DEG
ATF3,TAM_DEG
FCGR3A,TAM_DEG
VSIG4,TAM_DEG
NR4A3,TAM_DEG
CTSL,TAM_DEG
HSPB1,TAM_DEG
FOSB,TAM_DEG
ZFP36L1,TAM_DEG
LMNA,TAM_DEG
SELK,TAM_DEG
GPX1,TAM_DEG
MSR1,TAM_DEG
HSP90AB1,TAM_DEG
RGS10,TAM_DEG
CALR,TAM_DEG
CXCR4,TAM_DEG
FABP5,TAM_DEG
CYCS,TAM_DEG
TGIF1,TAM_DEG
MS4A7,TAM_DEG
ELL2,TAM_DEG
DDIT4,TAM_DEG
FTL,TAM_DEG
HSPA8,TAM_DEG
HLA-A,TAM_DEG
RPS27L,TAM_DEG
CD68,TAM_DEG
CD9,TAM_DEG
CD81,TAM_DEG
CKS2,TAM_DEG
THBD,TAM_DEG
HBEGF,TAM_DEG
REL,TAM_DEG
CTSC,TAM_DEG
HSP90AA1,TAM_DEG
NFKBID,TAM_DEG
GPR34,TAM_DEG
DAB2,TAM_DEG
C5AR1,TAM_DEG
LAPTM5,TAM_DEG
FCGR2A,TAM_DEG
PDK4,TAM_DEG
UBB,TAM_DEG
NR4A1,TAM_DEG
HSPE1,TAM_DEG
JUN,TAM_DEG
IL18,TAM_DEG
SRSF2,TAM_DEG
MS4A4A,TAM_DEG
CPM,TAM_DEG
GSN,TAM_DEG
BTG2,TAM_DEG
MS4A6A,TAM_DEG
NAMPT,TAM_DEG
ID2,TAM_DEG
SOCS3,TAM_DEG
FUS,TAM_DEG
PRDX1,TAM_DEG
DNAJB1,TAM_DEG
MARCKS,TAM_DEG
SERPINB9,TAM_DEG
TUBB,TAM_DEG
NFE2L2,TAM_DEG
AKR1B1,TAM_DEG
MAP3K8,TAM_DEG
SLCO2B1,TAM_DEG
PNRC1,TAM_DEG
HSPA1A,TAM_DEG
C15orf48,TAM_DEG
ARHGAP18,TAM_DEG
ITM2B,TAM_DEG
LIMS1,TAM_DEG
RASGEF1B,TAM_DEG
FCGRT,TAM_DEG
LGMN,TAM_DEG
SKIL,TAM_DEG
TGFBI,TAM_DEG
SDS,TAM_DEG
SERTAD1,TAM_DEG
LIPA,TAM_DEG
NLRP3,TAM_DEG
TMEM176B,TAM_DEG
PLEK,TAM_DEG
PDE4B,TAM_DEG
KLF6,TAM_DEG
RB1,TAM_DEG
BCL2A1,TAM_DEG
DUSP2,TAM_DEG
HLA-DQA2,TAM_DEG
PLTP,TAM_DEG
CSF1R,TAM_DEG
MT2A,TAM_DEG
ARL6IP1,TAM_DEG
