Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
KEGG_2021_Human,Antigen processing and presentation,21/78,8.587580212426799e-28,1.74327878312264e-25,CD74;HSPA8;HSP90AA1;HLA-DRB5;HSP90AB1;HLA-A;HLA-DMA;HLA-DMB;CTSL;HLA-DPB1;HLA-DRA;CALR;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;CTSB;HLA-DPA1;HLA-DQB1;HSPA1A;LGMN
KEGG_2021_Human,Rheumatoid arthritis,17/93,1.5425839295541434e-19,1.5657226884974556e-17,HLA-DRB5;JUN;IL18;CXCL3;CXCL2;HLA-DMA;HLA-DMB;CTSL;IL1B;CCL3;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Phagosome,19/152,1.8557577901460212e-18,1.2557294379988076e-16,MSR1;HLA-DRB5;TUBB;HLA-A;TUBA1B;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;CTSL;HLA-DPB1;HLA-DRA;OLR1;CALR;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Leishmaniasis,15/77,8.28024653214831e-18,4.202225115065267e-16,HLA-DRB5;JUN;NFKBIA;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Epstein-Barr virus infection,20/202,2.3891546947434657e-17,9.699968060658469e-16,RB1;HLA-DRB5;JUN;CDKN1A;GADD45B;TNFAIP3;HLA-A;NFKBIA;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;CYCS;CALR;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Graft-versus-host disease,12/42,1.1183405615491667e-16,3.783718899908014e-15,HLA-DMA;HLA-DRB5;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Type I diabetes mellitus,12/43,1.5418047417819083e-16,4.471233751167535e-15,HLA-DMA;HLA-DRB5;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Inflammatory bowel disease,13/65,9.591605110682657e-16,2.433869796835724e-14,HLA-DRB5;JUN;IL18;HLA-DMA;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Th17 cell differentiation,15/107,1.4750021673861136e-15,3.3269493331042345e-14,HLA-DRB5;JUN;HSP90AA1;HSP90AB1;NFKBIA;HLA-DMA;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Allograft rejection,11/38,1.8629131407841624e-15,3.78171367579185e-14,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Influenza A,17/172,6.956961604715002e-15,1.283875641597405e-13,HLA-DRB5;IL18;NFKBIA;SOCS3;DNAJB1;HLA-DMA;HLA-DMB;IL1B;HLA-DPB1;NLRP3;HLA-DRA;CYCS;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Asthma,10/31,1.0628037159689898e-14,1.7979096195142078e-13,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Viral myocarditis,12/60,1.2678619752914175e-14,1.979815238339675e-13,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;CYCS;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,18/219,2.7475710014998536e-14,3.9839779521747883e-13,RB1;HLA-DRB5;JUN;CDKN1A;HLA-A;NFKBIA;ZFP36;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;CALR;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Intestinal immune network for IgA production,11/48,3.290739655852703e-14,4.4534676675873253e-13,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;CXCR4;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Toxoplasmosis,14/112,6.954391372650946e-14,8.823384054050888e-13,HSPA8;HLA-DRB5;NFKBIA;HLA-DMA;HLA-DMB;HLA-DPB1;CYCS;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1;HSPA1A
KEGG_2021_Human,Autoimmune thyroid disease,11/53,1.0767043532688977e-13,1.2857116689034484e-12,HLA-DMA;HLA-DRB5;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),29/621,7.38707219455015e-16,1.3739954281863278e-12,CSF1R;CDKN1A;CXCL3;CXCL2;SOCS3;MT2A;UBB;UBC;CCL4;CCL3;MAP3K8;JUNB;B2M;HLA-DQA2;HLA-DQA1;HLA-DPA1;HSPA8;HLA-DRB5;HSP90AA1;IL18;HLA-A;SOD2;NFKBIA;IL1B;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DQB1;LIMS1
KEGG_2021_Human,Staphylococcus aureus infection,13/95,1.697215828340105e-13,1.914082295294674e-12,HLA-DRB5;C5AR1;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Tuberculosis,16/180,2.388189549622675e-13,2.5515919924915947e-12,CD74;HLA-DRB5;IL18;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;IL1B;HLA-DPB1;HLA-DRA;CYCS;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Hematopoietic cell lineage,13/99,2.9359969873074573e-13,2.9800369421170695e-12,CSF1R;HLA-DRB5;HLA-DMA;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;CD9;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen (GO:0002478),14/103,2.104096361469888e-14,1.956809616166996e-11,CD74;HLA-DRB5;HLA-A;HLA-DMA;HLA-DMB;CTSL;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;LGMN;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Th1 and Th2 cell differentiation,12/92,2.7032266329256614e-12,2.613119078494806e-11,NFKBIA;HLA-DMA;HLA-DRB5;JUN;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Lipid and atherosclerosis,16/215,3.717121516777545e-12,3.4298893995720066e-11,HSPA8;JUN;HSP90AA1;HSP90AB1;IL18;CXCL3;SOD2;CXCL2;NFKBIA;IL1B;CCL3;NLRP3;CYCS;OLR1;NFE2L2;HSPA1A
GO_Biological_Process_2021,antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),13/100,3.3541575958204373e-13,1.5596832820565028e-10,CD74;HLA-DRB5;HLA-DMA;HLA-DMB;CTSL;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;LGMN;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),13/98,2.566088859568052e-13,1.5596832820565028e-10,CD74;HLA-DRB5;HLA-DMA;HLA-DMB;CTSL;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;LGMN;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,interferon-gamma-mediated signaling pathway (GO:0060333),11/68,1.9757866493832283e-12,7.349926335705609e-10,MT2A;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-A;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),13/121,4.071531354497954e-12,1.2621747198943659e-09,HLA-DRB5;HLA-A;MT2A;CCL4;CCL3;HLA-DPB1;HLA-DRA;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Systemic lupus erythematosus,12/135,2.64845201842799e-10,2.3375467814820953e-09,HLA-DRB5;FCGR3A;HLA-DMA;HLA-DMB;FCGR2A;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,Herpes simplex virus 1 infection,20/498,5.012152959142945e-10,4.239446044608408e-09,ZNF331;CD74;HLA-DRB5;HLA-A;NFKBIA;SOCS3;HLA-DMA;HLA-DMB;IL1B;SRSF2;HLA-DPB1;HLA-DRA;CYCS;CALR;B2M;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Biological_Process_2021,peptide antigen assembly with MHC protein complex (GO:0002501),5/6,1.076267019259527e-10,2.8597952226038862e-08,HLA-DMA;HLA-DMB;HLA-DRA;CALR;HLA-DRB1
KEGG_2021_Human,Legionellosis,8/57,7.284355133705643e-09,5.914896368568981e-08,NFKBIA;HSPA8;IL1B;IL18;CYCS;CXCL3;CXCL2;HSPA1A
KEGG_2021_Human,NOD-like receptor signaling pathway,12/181,7.685385778495267e-09,6.000512742440535e-08,NFKBIA;JUN;HSP90AA1;HSP90AB1;IL1B;NAMPT;IL18;NLRP3;TNFAIP3;CXCL3;CXCL2;CTSB
KEGG_2021_Human,Cell adhesion molecules,11/148,1.0093797656128317e-08,7.589040459977958e-08,HLA-DRB5;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-A;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human,IL-17 signaling pathway,9/94,2.5578351848475668e-08,1.854430509014486e-07,NFKBIA;HSP90AA1;JUN;HSP90AB1;IL1B;TNFAIP3;FOSB;CXCL3;CXCL2
KEGG_2021_Human,Lysosome,10/128,3.006422700193566e-08,2.1044958901354967e-07,CD63;CTSL;NPC2;LAPTM5;CD68;LIPA;LITAF;CTSC;LGMN;CTSB
GO_Biological_Process_2021,neutrophil activation involved in immune response (GO:0002283),19/485,2.124713815589157e-09,3.592697906359848e-07,HSPA8;CD63;HSP90AA1;HSP90AB1;GSN;TUBB;C5AR1;PLAUR;FCGR2A;FABP5;NPC2;FTH1;OLR1;CD68;B2M;CTSC;FTL;CTSB;HSPA1A
GO_Biological_Process_2021,response to unfolded protein (GO:0006986),8/49,2.08670030697598e-09,3.592697906359848e-07,DNAJB1;HSPA8;HSP90AA1;HSP90AB1;HSPB1;HSPE1;HERPUD1;HSPA1A
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),19/482,1.918664719820898e-09,3.592697906359848e-07,CSF1R;HSPA8;CDKN1A;HSP90AA1;IL18;CXCR4;CXCL2;ZFP36L1;SOCS3;ZFP36;MT2A;UBB;IL1B;UBC;CCL4;CCL3;JUNB;NFE2L2;HLA-DPA1
GO_Biological_Process_2021,neutrophil degranulation (GO:0043312),19/481,1.8542070908927467e-09,3.592697906359848e-07,HSPA8;CD63;HSP90AA1;HSP90AB1;GSN;TUBB;C5AR1;PLAUR;FCGR2A;FABP5;NPC2;FTH1;OLR1;CD68;B2M;CTSC;FTL;CTSB;HSPA1A
GO_Biological_Process_2021,neutrophil mediated immunity (GO:0002446),19/488,2.351111489671399e-09,3.644222808990669e-07,HSPA8;CD63;HSP90AA1;HSP90AB1;GSN;TUBB;C5AR1;PLAUR;FCGR2A;FABP5;NPC2;FTH1;OLR1;CD68;B2M;CTSC;FTL;CTSB;HSPA1A
KEGG_2021_Human,Apoptosis,10/142,8.081953183144407e-08,5.468788320594382e-07,NFKBIA;JUN;TUBA1B;GADD45B;BCL2A1;CTSL;LMNA;CYCS;CTSC;CTSB
KEGG_2021_Human,TNF signaling pathway,9/112,1.1842335881517237e-07,7.754819948219352e-07,NFKBIA;SOCS3;JUN;IL1B;TNFAIP3;MAP3K8;CXCL3;JUNB;CXCL2
GO_Biological_Process_2021,positive regulation of T cell cytokine production (GO:0002726),6/21,6.227297839520347e-09,8.909826139621419e-07,CD81;IL1B;IL18;NLRP3;HLA-A;B2M
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,11/193,1.5561378008946886e-07,9.87174917442568e-07,RB1;NFKBIA;ZFP36;JUN;CDKN1A;UBB;UBC;CYCS;HLA-A;CXCL3;CXCL2
KEGG_2021_Human,Osteoclast differentiation,9/127,3.486640179551126e-07,2.144811989239026e-06,NFKBIA;CSF1R;SOCS3;JUN;FCGR3A;FCGR2A;IL1B;FOSB;JUNB
GO_Biological_Process_2021,cellular response to lipopolysaccharide (GO:0071222),10/120,1.615267558433456e-08,2.14599832763302e-06,ZFP36;IL1B;PDE4B;IL18;CCL3;NLRP3;TNFAIP3;CXCL3;CD68;CXCL2
