Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),5/621,0.0009006078352715545,0.0777623111031916,SOCS3;HSPA8;MT2A;MAP3K8;LIMS1
GO_Biological_Process_2021,response to unfolded protein (GO:0006986),2/49,0.0017016730877234,0.0777623111031916,HSPA8;HERPUD1
GO_Biological_Process_2021,regulation of gene expression (GO:0010468),6/1079,0.0017761946778134,0.0777623111031916,FUS;ID2;CREM;NFKBID;LIMS1;LGMN
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),5/764,0.0022566984287947,0.0777623111031916,BTG2;ID2;NAMPT;LIMS1;LGMN
GO_Biological_Process_2021,receptor metabolic process (GO:0043112),2/58,0.0023754913784137,0.0777623111031916,CD9;LGMN
GO_Biological_Process_2021,cellular response to nutrient levels (GO:0031669),2/66,0.0030637473161426,0.0777623111031916,HSPA8;PDK4
GO_Biological_Process_2021,insulin receptor signaling pathway (GO:0008286),2/73,0.0037336095301643,0.0777623111031916,NAMPT;PDK4
GO_Biological_Process_2021,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),4/547,0.0044340880997437,0.0777623111031916,HSPA8;BTG2;ID2;LIMS1
GO_Biological_Process_2021,"negative regulation of transcription, DNA-templated (GO:0045892)",5/948,0.005696380592648,0.0777623111031916,TGIF1;HSPA8;ID2;CREM;LIMS1
GO_Biological_Process_2021,negative regulation of B cell differentiation (GO:0045578),1/5,0.0062349390704731,0.0777623111031916,ID2
GO_Biological_Process_2021,His-Purkinje system development (GO:0003164),1/5,0.0062349390704731,0.0777623111031916,ID2
GO_Biological_Process_2021,cellular response to erythropoietin (GO:0036018),1/5,0.0062349390704731,0.0777623111031916,MT2A
GO_Biological_Process_2021,regulation of protein import (GO:1904589),1/5,0.0062349390704731,0.0777623111031916,HSPA8
GO_Biological_Process_2021,negative regulation of gene expression (GO:0010629),3/322,0.007314037085207,0.0777623111031916,BTG2;ID2;LGMN
GO_Biological_Process_2021,steroid metabolic process (GO:0008202),2/104,0.0074314203155166,0.0777623111031916,LIPA;LGMN
GO_Biological_Process_2021,axo-dendritic transport (GO:0008088),1/6,0.007477446810139,0.0777623111031916,HSPA8
GO_Biological_Process_2021,protein processing (GO:0016485),2/106,0.0077096444199907,0.0777623111031916,CPM;LGMN
