,coef
PDK4,-0.15941158004604275
KLF6,-0.2132420333749443
MAP3K8,0.15785113496359487
HERPUD1,-0.18157465637936285
MT2A,0.0008967897080452589
SOCS3,0.08923925098621302
CPM,-0.03881152048326128
HSPA8,-0.03581230199107159
LIPA,-0.24188313836900857
SAT1,0.008261643862300166
NAMPT,0.25104867474598513
FUS,0.17710159376733892
ATP1B3,0.15235689198531085
CHMP1B,-0.05078749099738145
LIMS1,-0.1261921928033196
TGIF1,-0.07149059963839872
GPR34,-0.11188014313662926
CD9,-0.02166010435720818
BTG2,-0.17194313745116807
FCGRT,-0.1587936281777107
ID2,-0.0628353878549568
CREM,0.09321296416923028
LGMN,-0.021209353882410194
VSIG4,0.2721276139536654
NFKBID,0.033249118003393884
