program,HR,ci_low,ci_high,p,cindex,n,events,fdr,endpoint
ATF3_NFkB,0.8025863461048952,0.6416037862251736,1.0039604765174208,0.054184514124313264,0.42359160486034403,550,95,0.06773064265539158,PFI
complement_C1Q,1.0556545075394954,0.9271068895761038,1.2020258416998593,0.4136282120397259,0.5035347956446268,550,95,0.4136282120397259,PFI
RCC_skew_CORE,1.1694924975384118,1.0345269972619062,1.3220657415597385,0.012331723214726479,0.5645258008521382,550,95,0.02482501393265267,PFI
CLEC_LAM8,1.1772305098265388,1.0323389255887196,1.3424580231498302,0.014895008359591603,0.5582610067855452,550,95,0.02482501393265267,PFI
partA_signature,1.5995916020004777,1.3425995732621339,1.9057754405310592,1.4653552929722534e-07,0.6749250433959286,550,95,7.326776464861266e-07,PFI
ATF3_NFkB,0.7648739726838504,0.5758720292422477,1.0159065979623654,0.06417169863623749,0.4222743198680956,464,56,0.1051416823350089,biochemical_recurrence
complement_C1Q,0.9024382965160588,0.5771271968723691,1.4111185254000573,0.6526570658275196,0.49948474855729597,464,56,0.6526570658275196,biochemical_recurrence
RCC_skew_CORE,1.1691329712889604,0.9941112795978069,1.3749687108549422,0.05894776465890508,0.5282100164880462,464,56,0.1051416823350089,biochemical_recurrence
CLEC_LAM8,1.1649699287628128,0.9796425623287462,1.385357258973607,0.08411334586800712,0.5242941055234954,464,56,0.1051416823350089,biochemical_recurrence
partA_signature,1.4892625892128704,1.1691866461235867,1.8969623601008723,0.0012551074413190404,0.6418487221764221,464,56,0.006275537206595202,biochemical_recurrence
