gene,HR,ci_low,ci_high,p,fdr
PDK4,0.5548397160295377,0.46897232492703855,0.6564291624919063,6.561750752294851e-12,9.777008620919327e-10
PLAUR,1.6354386856756415,1.3773708968361906,1.941858725742021,1.9763384465582535e-08,1.472372142685899e-06
PLTP,1.501743780111565,1.2777316510359151,1.7650297535287252,8.073406890082667e-07,4.0097920887410583e-05
CXCL3,1.439506093527195,1.2354777810471733,1.6772278911771104,2.9889196833646547e-06,0.00011133725820533338
KLF6,0.6758132883955852,0.5717328302946347,0.7988409560750397,4.390179529336161e-06,0.00011707391995706353
CALR,1.41917489509395,1.220551613936136,1.6501206174885346,5.344393046631184e-06,0.00011707391995706353
SGK1,0.7006578108951409,0.6010062663221318,0.8168323617864632,5.500117044962716e-06,0.00011707391995706353
MAP3K8,1.4856081072861245,1.2477573860178188,1.76879854462568,8.729903410148441e-06,0.00016259445101401472
HERPUD1,0.6835046917045616,0.5773195558568608,0.8092202296677076,9.993413234430185e-06,0.00016544650799223305
TUBA1B,1.45348496349821,1.2271449792822569,1.7215720838062993,1.4910656728449518e-05,0.0002221687852538978
ITM2B,0.7113089223004943,0.602855021089184,0.839273731236686,5.439420405344988e-05,0.0007367942185421847
MERTK,0.775694008199202,0.684863637263714,0.8785708009847985,6.405163052457363e-05,0.0007953077456801227
MT2A,1.413950317583884,1.1892519814035412,1.6811033589669269,8.749281752278824e-05,0.0010028022931458038
CD63,1.3859582272504782,1.1756158213539414,1.6339353152554852,0.00010170103012422762,0.0010823895348935654
SOCS3,1.3786931944538199,1.1703541438490868,1.6241194465992161,0.00012209211825227413,0.0012127817079725896
GPX1,1.362717572333524,1.1596799956211106,1.6013031085803866,0.0001701449758496616,0.0015156975449834734
HSPB1,1.3982378539824525,1.171981608598298,1.6681738706187863,0.00019760872522469336,0.0015156975449834734
CKS2,1.3596213268942863,1.1565080242374233,1.5984066809780135,0.00019818640094886736,0.0015156975449834734
CXCL2,1.3682958309296986,1.159654585539151,1.614475124132889,0.0002034261262717116,0.0015156975449834734
CPM,0.7450237373094997,0.6375973295756449,0.870550021788888,0.00021143432143768643,0.0015156975449834734
RASGEF1B,0.7290449478638799,0.6167347583359404,0.861807330982846,0.00021362180164196602,0.0015156975449834734
TUBB,1.3997614479301284,1.1686080312049645,1.6766375540746206,0.00026023141794287257,0.0017624764215221822
HSPA8,0.7538759713933031,0.6457495081502428,0.8801074922568374,0.00034785171759628246,0.002253474170515047
IL8,1.3283390553328165,1.133844913714986,1.5561957588549158,0.00043960334065277666,0.002729204073219322
LIPA,0.7377885941770828,0.6217322538106377,0.8755087199699703,0.0004967674517104914,0.002960734012194529
SAT1,1.3610833537310512,1.1420613413377623,1.6221089259827053,0.000573380230922976,0.003285909784904747
RB1,0.7730500492557927,0.6673729643756419,0.8954608750348042,0.0005986772331050088,0.003303811397505419
ARHGAP18,0.7513752960023171,0.6348115186485739,0.8893424565522223,0.0008891492087667354,0.004670591023785638
NAMPT,1.3096433387811257,1.1166950756940417,1.535930185550227,0.0009090412059717014,0.004670591023785638
FABP5,1.3417949087527776,1.1249890473876287,1.6003832049171234,0.0010763951392394474,0.005343367331284661
FUS,1.3552780059658769,1.1289268379000472,1.6270128513123963,0.001111707297112916,0.005343367331284661
ATP1B3,1.2863456208427437,1.1050422909893252,1.4973952307109377,0.001159839718931311,0.005400503691273917
CHMP1B,0.747550516250721,0.62678635961471,0.891582539687426,0.001210067037417141,0.005463636017428909
REL,0.7993466788798861,0.6953295998708471,0.9189240802563065,0.0016400567772763563,0.007187307641593444
IER3,1.2971441451583692,1.0979881160388263,1.5324236289449402,0.002219744145545979,0.00944976793389574
FOSB,0.7763427223654744,0.6553795407707823,0.9196320377364845,0.0033957597253974803,0.014054672196784015
DAB2,0.8202297602160401,0.7146883845078165,0.9413569243991324,0.0048038004177715,0.019345034114809555
GSN,0.7845569814112016,0.659508784166757,0.9333153277992118,0.006162413443825334,0.02416314745078881
LIMS1,0.796034583003862,0.6750997648260425,0.9386332070511307,0.0066629989471729155,0.025456072900737547
PRDX1,1.2619942128593775,1.063884152679434,1.4969951279746576,0.0075688382326917535,0.028193922416776783
TGIF1,1.2236398789229026,1.0485027387261254,1.4280311323836772,0.010439069158897916,0.037291381276164486
TGFBI,1.229712245007561,1.0495650867927517,1.440779828283422,0.010511664520798042,0.037291381276164486
GPR34,0.8231746057977599,0.7055635707494088,0.9603903315339429,0.013369897879376683,0.046328250791328504
BCL2A1,1.221311283296713,1.0413188090990544,1.4324155462037533,0.013983622285834421,0.047353630013393835
CD9,0.8219223151620093,0.702347485403175,0.9618547886926391,0.01449280332121138,0.047987282108011016
BTG2,0.7991823160478032,0.6659377473772868,0.9590872071735554,0.016002757089917524,0.051835017530385025
SOD2,1.2234193634060573,1.0357100866775362,1.445148558471933,0.017651867120063006,0.05488531106268577
FCGRT,0.8361959537765559,0.7213034790167695,0.9693890206455358,0.01768117403361689,0.05488531106268577
RGS10,1.2157754525831403,1.028090789631549,1.4377231719325783,0.02238418370287345,0.06806619125975803
FTH1,1.2109609426316201,1.0235418317966334,1.4326980676551628,0.025668137143543605,0.07649104868775994
ID2,0.8342313626945046,0.7095344092674201,0.9808431520913498,0.028226449133973885,0.08246550825415899
NR4A1,0.8249863231068542,0.6936265203967654,0.981223199084215,0.02969179587712014,0.08388283969490894
CREM,1.1981295642395229,1.017821404960084,1.4103795083392705,0.02983752015993405,0.08388283969490894
LGMN,0.8242095279795187,0.688905237335621,0.986088229840629,0.034593403926537064,0.09545217009359301
PLIN2,0.850832444065099,0.7301705348541381,0.991433936756161,0.03843219882883109,0.10411632046356058
SELK,1.1764147843732384,1.0047687446322564,1.3773833554092656,0.04347829616701483,0.11568332373009303
VSIG4,1.1880521023227961,1.0021803505987428,1.4083969985944627,0.04713845462393094,0.12322157436781947
NFKBID,1.186496029645797,1.0008214420995423,1.4066173736365875,0.04890482721817437,0.1256348147501376
IL1B,1.1722633978563946,0.9905369127822791,1.3873298977762278,0.06441011886676887,0.16026168188082343
NFE2L2,0.8563494960399356,0.7261357035215115,1.0099137885817053,0.06536686161775594,0.16026168188082343
LMNA,1.172229881241745,0.9897909137937978,1.3882961293402067,0.06561048721295457,0.16026168188082343
HLA-DQA2,0.8620803501968117,0.7334099266228544,1.0133248858760382,0.07194533203521408,0.17290087860075642
NFKBIA,0.8559247831832048,0.7209090126757424,1.0162270433380411,0.07570230849533441,0.17904196771118772
ZNF331,0.8561361601401271,0.7186268182325696,1.0199579338023954,0.08207860436732255,0.1910892507926728
NR4A3,0.8645169999273852,0.7302729355050713,1.023438781346233,0.09086020841210074,0.20556716961181695
MARCKS,1.1576095021217379,0.9766826327856332,1.372052409266768,0.09143607789653502,0.20556716961181695
C1QA,1.1529909034521781,0.976814439146826,1.3609422323902074,0.09243624405363582,0.20556716961181695
