"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"MSC","MSC","FGF7","FGFR1",0.0140573916629195,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"Pericyte","MSC","PDGFA","PDGFRA",0.00770079139368704,0,"PDGFA_PDGFRA","PDGFA - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"Pericyte","MSC","PDGFA","PDGFRB",0.00703317008143958,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"Pericyte","Pericyte","PDGFA","PDGFRB",0.00775120990752485,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"Pericyte","Tumor","PDGFA","PDGFRB",0.00640686763722296,0,"PDGFA_PDGFRB","PDGFA - PDGFRB","PDGF","Secreted Signaling","PMID: 15207812"
"Endothelial","T_NK","CXCL12","CXCR4",0.00703593469049086,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MSC","T_NK","CXCL12","CXCR4",0.072535108315936,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Pericyte","T_NK","CXCL12","CXCR4",0.0150127837385222,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Tumor","T_NK","CXCL12","CXCR4",0.0286641266673175,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Endothelial","T_NK","MIF","CD74_CXCR4",0.00629865042193897,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MSC","T_NK","MIF","CD74_CXCR4",0.00615276736607907,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","T_NK","MIF","CD74_CXCR4",0.0148932455706195,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T_NK","T_NK","MIF","CD74_CXCR4",0.00673693938893871,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor","T_NK","MIF","CD74_CXCR4",0.0152762069517589,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MSC","T_NK","MIF","CD74_CD44",0.00589010761997684,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Pericyte","T_NK","MIF","CD74_CD44",0.0142628123049224,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"T_NK","T_NK","MIF","CD74_CD44",0.00644950335313001,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor","T_NK","MIF","CD74_CD44",0.0146298036212073,0.04,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Endothelial","Pericyte","MDK","SDC2",0.00389566672677033,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"MSC","Pericyte","MDK","SDC2",0.023341594786238,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"Tumor","Pericyte","MDK","SDC2",0.005093102232224,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"Endothelial","Endothelial","MDK","ITGA6_ITGB1",0.00769577700667727,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"MSC","Endothelial","MDK","ITGA6_ITGB1",0.0452489640244843,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"Tumor","Endothelial","MDK","ITGA6_ITGB1",0.0100494918786271,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"Endothelial","MSC","MDK","LRP1",0.0156472828576039,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"MSC","MSC","MDK","LRP1",0.0885394708230101,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"Tumor","MSC","MDK","LRP1",0.0203829716259947,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"MSC","Endothelial","MDK","NCL",0.0317659233869463,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"MSC","MSC","MDK","NCL",0.0779493342500967,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor","MSC","MDK","NCL",0.0177859024586565,0.01,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Endothelial","Pericyte","MDK","NCL",0.0145823064940623,0.02,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"MSC","Pericyte","MDK","NCL",0.0829313228796219,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor","Pericyte","MDK","NCL",0.0190018995445871,0.01,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"MSC","T_NK","MDK","NCL",0.0315558795121733,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"MSC","Tumor","MDK","NCL",0.0788788439193903,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"MSC","Pericyte","PTN","SDC2",0.0040549357752466,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Pericyte","Pericyte","PTN","SDC2",0.0113069828508172,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Tumor","Pericyte","PTN","SDC2",0.00419189626256516,0,"PTN_SDC2","PTN - SDC2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"MSC","Endothelial","PTN","NCL",0.0055580356293216,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Pericyte","Endothelial","PTN","NCL",0.0154565807684804,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"MSC","MSC","PTN","NCL",0.0141973848008154,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Pericyte","MSC","PTN","NCL",0.0388805520738914,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Tumor","MSC","PTN","NCL",0.0146718724260883,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"MSC","Pericyte","PTN","NCL",0.0151718296801506,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Pericyte","Pericyte","PTN","NCL",0.0414778575683078,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Tumor","Pericyte","PTN","NCL",0.0156783660638157,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"MSC","T_NK","PTN","NCL",0.00552029655697257,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Pericyte","T_NK","PTN","NCL",0.0153526681936273,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"MSC","Tumor","PTN","NCL",0.0143785368495738,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Pericyte","Tumor","PTN","NCL",0.0393640737986906,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Tumor","Tumor","PTN","NCL",0.0148589874614955,0.04,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"MSC","Pericyte","GAS6","AXL",0.011444912847515,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"Endothelial","Pericyte","GRN","SORT1",0.00365844039008703,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MSC","Pericyte","GRN","SORT1",0.00363146882508265,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"MSC","Endothelial","IGFBP3","TMEM219",0.0150658019843893,0,"IGFBP3_TMEM219","IGFBP3 - TMEM219","IGFBP","Secreted Signaling","PMID:20353938"
"MSC","MSC","IGFBP3","TMEM219",0.00547512251641689,0,"IGFBP3_TMEM219","IGFBP3 - TMEM219","IGFBP","Secreted Signaling","PMID:20353938"
"MSC","Pericyte","IGFBP3","TMEM219",0.00497770884965955,0,"IGFBP3_TMEM219","IGFBP3 - TMEM219","IGFBP","Secreted Signaling","PMID:20353938"
"MSC","T_NK","IGFBP3","TMEM219",0.00439214354729802,0,"IGFBP3_TMEM219","IGFBP3 - TMEM219","IGFBP","Secreted Signaling","PMID:20353938"
"MSC","Tumor","IGFBP3","TMEM219",0.00499257646850034,0,"IGFBP3_TMEM219","IGFBP3 - TMEM219","IGFBP","Secreted Signaling","PMID:20353938"
"Endothelial","Endothelial","PPIA","BSG",0.0858820335054079,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MSC","Endothelial","PPIA","BSG",0.0733269262096547,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Pericyte","Endothelial","PPIA","BSG",0.0801144791326544,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"T_NK","Endothelial","PPIA","BSG",0.0676211628435609,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Tumor","Endothelial","PPIA","BSG",0.0827661704185106,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Endothelial","MSC","PPIA","BSG",0.0805877882728289,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MSC","MSC","PPIA","BSG",0.0687484394662566,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Pericyte","MSC","PPIA","BSG",0.0751465498879597,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"T_NK","MSC","PPIA","BSG",0.0633745756616168,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Tumor","MSC","PPIA","BSG",0.0776476885557279,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Endothelial","Pericyte","PPIA","BSG",0.0870339797891884,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MSC","Pericyte","PPIA","BSG",0.0743241616480671,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Pericyte","Pericyte","PPIA","BSG",0.0811959360331784,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"T_NK","Pericyte","PPIA","BSG",0.0685465406723512,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Tumor","Pericyte","PPIA","BSG",0.0838801582464234,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Endothelial","T_NK","PPIA","BSG",0.0285269159569779,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Endothelial","Tumor","PPIA","BSG",0.087797776327161,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"MSC","Tumor","PPIA","BSG",0.0749855799960817,0.01,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Pericyte","Tumor","PPIA","BSG",0.0819130956086521,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"T_NK","Tumor","PPIA","BSG",0.0691603848151274,0.03,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"Tumor","Tumor","PPIA","BSG",0.0846188426434036,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
