"pathway","group","outdeg","indeg"
"CypA","Endothelial",0.369828493851564,0.389710772109788
"CypA","MSC",0.29138510732006,0.36550504184439
"CypA","Pericyte",0.318370060662444,0.394980776389208
"CypA","T_NK",0.268702663992656,0.0285269159569779
"CypA","Tumor",0.328912859864066,0.398475679390426
"CD99","Endothelial",0.0852706252539066,0.0852706252539066
"CD99","MSC",0.46858203603607,0.46858203603607
"CD99","Pericyte",0.0834159894945114,0.0834159894945114
"CD99","T_NK",0.0755066672392602,0.0755066672392602
"CD99","Tumor",0.0950672561808221,0.0950672561808221
"MK","Endothelial",0.0418210330851139,0.094760156296735
"MK","MSC",0.460211333581961,0.220304962015362
"MK","Pericyte",0,0.148845892663504
"MK","T_NK",0,0.0315558795121733
"MK","Tumor",0.0723133677400893,0.0788788439193903
"APP","Endothelial",0.152676850914361,0.270762692079838
"APP","MSC",0.131347041075539,0.0424673496014565
"APP","Pericyte",0.0421997732467464,0
"APP","T_NK",0,0.0444791118989338
"APP","Tumor",0.0314854883435821,0
"PTN","Endothelial",0,0.021014616397802
"PTN","MSC",0.0588810192920806,0.0677498093007952
"PTN","Pericyte",0.161838715253815,0.091881868200903
"PTN","T_NK",0,0.0208729647505999
"PTN","Tumor",0.0494011222139647,0.06860159810976
"ESAM","Endothelial",0.123177054244936,0.123177054244936
"ESAM","MSC",0,0
"ESAM","Pericyte",0.0914290339022914,0.0914290339022914
"ESAM","T_NK",0,0
"ESAM","Tumor",0.0269241075377771,0.0269241075377771
"COLLAGEN","Endothelial",0.021117702560003,0
"COLLAGEN","MSC",0.177038460480879,0.143641444246938
"COLLAGEN","Pericyte",0.0240748368629786,0
"COLLAGEN","T_NK",0,0.0860551735688196
"COLLAGEN","Tumor",0.00746561791189704,0
"CXCL","Endothelial",0.00703593469049086,0
"CXCL","MSC",0.072535108315936,0
"CXCL","Pericyte",0.0150127837385222,0
"CXCL","T_NK",0,0.123247953412267
"CXCL","Tumor",0.0286641266673175,0
"LAMININ","Endothelial",0.0297914796639379,0.027719138439654
"LAMININ","MSC",0.0757457446265899,0.0293821190457007
"LAMININ","Pericyte",0,0.0300160922018074
"LAMININ","T_NK",0,0.0184198746033658
"LAMININ","Tumor",0,0
"MIF","Endothelial",0.00629865042193897,0
"MIF","MSC",0.0120428749860559,0
"MIF","Pericyte",0.0291560578755419,0
"MIF","T_NK",0.0131864427420687,0.0905900365985716
"MIF","Tumor",0.0299060105729662,0
"IGFBP","Endothelial",0,0.0150658019843893
"IGFBP","MSC",0.0349033533662641,0.00547512251641689
"IGFBP","Pericyte",0,0.00497770884965955
"IGFBP","T_NK",0,0.00439214354729802
"IGFBP","Tumor",0,0.00499257646850034
"Netrin","Endothelial",0,0
"Netrin","MSC",0,0.0165430662565999
"Netrin","Pericyte",0.0345823998768818,0.0132641112180501
"Netrin","T_NK",0,0
"Netrin","Tumor",0,0.00477522240223177
"PDGF","Endothelial",0,0
"PDGF","MSC",0,0.0147339614751266
"PDGF","Pericyte",0.0288920390198744,0.00775120990752485
"PDGF","T_NK",0,0
"PDGF","Tumor",0,0.00640686763722296
"NOTCH","Endothelial",0,0.00512128659689679
"NOTCH","MSC",0,0.00406043150943286
"NOTCH","Pericyte",0.0269848722890538,0.0137366848738562
"NOTCH","T_NK",0,0
"NOTCH","Tumor",0,0.004066469308868
"FGF","Endothelial",0,0
"FGF","MSC",0.0140573916629195,0.0140573916629195
"FGF","Pericyte",0,0
"FGF","T_NK",0,0
"FGF","Tumor",0,0
"FN1","Endothelial",0,0
"FN1","MSC",0.0130263930347523,0
"FN1","Pericyte",0,0.00749963616578869
"FN1","T_NK",0,0.00552675686896356
"FN1","Tumor",0,0
"GAS","Endothelial",0,0
"GAS","MSC",0.011444912847515,0
"GAS","Pericyte",0,0.011444912847515
"GAS","T_NK",0,0
"GAS","Tumor",0,0
"GRN","Endothelial",0.00365844039008703,0
"GRN","MSC",0.00363146882508265,0
"GRN","Pericyte",0,0.00728990921516968
"GRN","T_NK",0,0
"GRN","Tumor",0,0
"TENASCIN","Endothelial",0,0
"TENASCIN","MSC",0.00708092677828915,0
"TENASCIN","Pericyte",0,0.00708092677828915
"TENASCIN","T_NK",0,0
"TENASCIN","Tumor",0,0
"GAP","Endothelial",0,0
"GAP","MSC",0.00613162379175842,0.00613162379175842
"GAP","Pericyte",0,0
"GAP","T_NK",0,0
"GAP","Tumor",0,0
"CDH5","Endothelial",0.00546854015231256,0.00546854015231256
"CDH5","MSC",0,0
"CDH5","Pericyte",0,0
"CDH5","T_NK",0,0
"CDH5","Tumor",0,0
"JAM","Endothelial",0.00441494486821338,0.00441494486821338
"JAM","MSC",0,0
"JAM","Pericyte",0,0
"JAM","T_NK",0,0
"JAM","Tumor",0,0
"CD46","Endothelial",0,0
"CD46","MSC",0.003048129295554,0
"CD46","Pericyte",0,0.003048129295554
"CD46","T_NK",0,0
"CD46","Tumor",0,0
