"pathway","group","outdeg","indeg"
"COLLAGEN","Endothelial",0.910339539996505,0
"COLLAGEN","MSC",2.83695401383723,0.814619953141376
"COLLAGEN","Osteoclast",0.18456812006247,0.687504555336157
"COLLAGEN","Pericyte",2.95268785823424,0.916051588896341
"COLLAGEN","T_NK",0,0.950153607265414
"COLLAGEN","TAM_CLEC_LAM",0,0.988178896520554
"COLLAGEN","TAM_other",0,1.02638024633867
"COLLAGEN","TIM",0,1.20123768648257
"COLLAGEN","Tumor",0,0.30042299814936
"MIF","Endothelial",0.280743676179738,0
"MIF","MSC",0.588881459303543,0.0265851227423995
"MIF","Osteoclast",0,0.144728519706681
"MIF","Pericyte",0.31277328263386,0
"MIF","T_NK",0.236153068043168,0.465578951155775
"MIF","TAM_CLEC_LAM",0.16289379457558,0.873214761349566
"MIF","TAM_other",0.120598028203953,0.94455990330865
"MIF","TIM",0.170118476850381,0.638606298657206
"MIF","Tumor",1.26990726421759,0.0487954930875329
"MHC-I","Endothelial",0.246901028404129,0
"MHC-I","MSC",0.232139098712246,0
"MHC-I","Osteoclast",0.201709470285742,0
"MHC-I","Pericyte",0.272893590208472,0
"MHC-I","T_NK",0.325018599926902,2.36941217546372
"MHC-I","TAM_CLEC_LAM",0.297711682726609,0
"MHC-I","TAM_other",0.2892919290311,0
"MHC-I","TIM",0.262132050462154,0
"MHC-I","Tumor",0.241614725706366,0
"CypA","Endothelial",0.33909607133067,0.228480233737612
"CypA","MSC",0.171941141864923,0.628294657860372
"CypA","Osteoclast",0.269227456941054,0.336581804346958
"CypA","Pericyte",0.305760297813402,0.663585103233582
"CypA","T_NK",0.177949236356814,0
"CypA","TAM_CLEC_LAM",0.258191253150581,0.05388254873589
"CypA","TAM_other",0.259599597081469,0
"CypA","TIM",0.25799437737598,0.0263466149865905
"CypA","Tumor",0.213086368862182,0.315674837876073
"MHC-II","Endothelial",0.0251459938318771,0
"MHC-II","MSC",0.0183559647589457,0
"MHC-II","Osteoclast",0.0931685064992397,0.581176155783381
"MHC-II","Pericyte",0,0
"MHC-II","T_NK",0.0556847405894934,0
"MHC-II","TAM_CLEC_LAM",0.742823956027117,0.772749012887352
"MHC-II","TAM_other",0.720946549663829,0.651687009536322
"MHC-II","TIM",0.345925445055073,0
"MHC-II","Tumor",0.00356102178148075,0
"APP","Endothelial",1.00702108203599,0.105334284502331
"APP","MSC",0.260518382158777,0.0465199884498544
"APP","Osteoclast",0.355416486092348,0.137526366447243
"APP","Pericyte",0.292220536262293,0
"APP","T_NK",0,0.160326343113296
"APP","TAM_CLEC_LAM",0,0.622030626081578
"APP","TAM_other",0,0.507043759781246
"APP","TIM",0,0.28778439869978
"APP","Tumor",0,0.0486107194740758
"CD99","Endothelial",0.395804709270372,0.395804709270372
"CD99","MSC",0.49114513721923,0.49114513721923
"CD99","Osteoclast",0.198254761597241,0.198254761597241
"CD99","Pericyte",0.341920097195471,0.341920097195471
"CD99","T_NK",0.25259614266519,0.25259614266519
"CD99","TAM_CLEC_LAM",0,0
"CD99","TAM_other",0,0
"CD99","TIM",0,0
"CD99","Tumor",0,0
"FN1","Endothelial",0.134853563584215,0.0753053031740059
