"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Endothelial","TAM_CLEC_LAM","APP","CD74",0.211543416280851,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","TAM_other","APP","CD74",0.200977899098529,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor","TAM_other","MIF","CD74_CXCR4",0.172728006687428,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.160007422449809,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Osteoclast","TIM","SPP1","CD44",0.156856108126441,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Endothelial","TIM","APP","CD74",0.150855580039798,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor","TAM_CLEC_LAM","MIF","CD74_CD44",0.14036858082126,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor","TAM_other","MIF","CD74_CD44",0.138973302633445,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Osteoclast","TAM_other","SPP1","CD44",0.135314544680975,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Osteoclast","TAM_CLEC_LAM","SPP1","CD44",0.130551980657908,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Tumor","TIM","MIF","CD74_CD44",0.12884357447006,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor","TIM","MIF","CD74_CXCR4",0.122852603753412,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","TAM_CLEC_LAM","APP","TREM2_TYROBP",0.110945766566857,0,"APP_TREM2_TYROBP","APP - (TREM2+TYROBP)","APP","Cell-Cell Contact","PMID:27477013"
"MSC","TAM_other","MIF","CD74_CXCR4",0.0901806897105049,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MSC","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0829299063057719,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Osteoclast","TAM_CLEC_LAM","APP","CD74",0.0787564547825542,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Osteoclast","TAM_other","APP","CD74",0.0741988535133245,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MSC","TAM_CLEC_LAM","MIF","CD74_CD44",0.0719411088450276,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"MSC","TAM_other","MIF","CD74_CD44",0.0711696943718138,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"MSC","TIM","MIF","CD74_CD44",0.0656055857106539,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Pericyte","TAM_CLEC_LAM","APP","CD74",0.0650836814448999,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MSC","TIM","MIF","CD74_CXCR4",0.0623446223493723,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TAM_other","APP","CD74",0.0612646985281568,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MSC","TAM_CLEC_LAM","APP","CD74",0.0581710945125091,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MSC","TAM_other","APP","CD74",0.054733982104298,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Osteoclast","TIM","APP","CD74",0.0535742777261072,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","TAM_other","APP","TREM2_TYROBP",0.0517309953592278,0,"APP_TREM2_TYROBP","APP - (TREM2+TYROBP)","APP","Cell-Cell Contact","PMID:27477013"
"Pericyte","TAM_other","MIF","CD74_CXCR4",0.0512436120011236,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","TAM_other","MIF","CD74_CXCR4",0.0498178570559953,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T_NK","TAM_other","MIF","CD74_CXCR4",0.0476921533838534,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0469618861992049,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0456495300469556,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TIM","APP","CD74",0.0440642287432864,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"T_NK","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0436935080574546,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TAM_CLEC_LAM","MIF","CD74_CD44",0.0405284784347557,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TIM","TAM_other","MIF","CD74_CXCR4",0.040488661735161,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TAM_other","MIF","CD74_CD44",0.0400793506616237,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Endothelial","TAM_CLEC_LAM","MIF","CD74_CD44",0.0393884744210545,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"MSC","TIM","APP","CD74",0.0392903121905881,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","TAM_other","MIF","CD74_CD44",0.0389514670536671,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TAM_CLEC_LAM","TAM_other","MIF","CD74_CXCR4",0.038779328695525,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Osteoclast","TAM_CLEC_LAM","APP","TREM2_TYROBP",0.038241801981979,0,"APP_TREM2_TYROBP","APP - (TREM2+TYROBP)","APP","Cell-Cell Contact","PMID:27477013"
"T_NK","TAM_CLEC_LAM","MIF","CD74_CD44",0.0376901352912882,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"T_NK","TAM_other","MIF","CD74_CD44",0.0372712395734336,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TIM","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0370704671842737,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TIM","MIF","CD74_CD44",0.0368494801722962,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TAM_other","TAM_other","MIF","CD74_CXCR4",0.0367236296631855,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","TIM","MIF","CD74_CD44",0.0358090985243468,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"TAM_CLEC_LAM","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0355001029049281,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TIM","MIF","CD74_CXCR4",0.0349643707374871,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T_NK","TIM","MIF","CD74_CD44",0.0342595894986287,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Endothelial","TIM","MIF","CD74_CXCR4",0.0339753344637803,0.02,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
