"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Endothelial","TAM_CLEC_LAM","APP","CD74",0.211543416280851,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","TAM_other","APP","CD74",0.200977899098529,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"TAM_CLEC_LAM","TAM_CLEC_LAM","APOE","TREM2_TYROBP",0.174128710655938,0,"APOE_TREM2_TYROBP","APOE - TREM2","ApoE","Cell-Cell Contact","uniprot;PMID:27477015"
"Tumor","TAM_other","MIF","CD74_CXCR4",0.172728006687428,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.160007422449809,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Osteoclast","TIM","SPP1","CD44",0.156856108126441,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"MSC","TIM","COL1A2","CD44",0.151301464294837,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","TIM","APP","CD74",0.150855580039798,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor","TAM_CLEC_LAM","MIF","CD74_CD44",0.14036858082126,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor","TAM_other","MIF","CD74_CD44",0.138973302633445,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Osteoclast","TAM_other","SPP1","CD44",0.135314544680975,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Osteoclast","TAM_CLEC_LAM","SPP1","CD44",0.130551980657908,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"MSC","TAM_other","COL1A2","CD44",0.13040475412642,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Tumor","TIM","MIF","CD74_CD44",0.12884357447006,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"MSC","TAM_CLEC_LAM","COL1A2","CD44",0.125789857370595,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Tumor","TIM","MIF","CD74_CXCR4",0.122852603753412,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MSC","TIM","COL6A2","CD44",0.121790499201642,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TIM","FN1","CD44",0.116631202515596,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TIM","COL6A2","CD44",0.113666909860102,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TIM","COL1A2","CD44",0.111923021238506,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","TAM_CLEC_LAM","APP","TREM2_TYROBP",0.110945766566857,0,"APP_TREM2_TYROBP","APP - (TREM2+TYROBP)","APP","Cell-Cell Contact","PMID:27477013"
"Pericyte","TIM","COL4A1","CD44",0.106983701770578,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_other","COL6A2","CD44",0.104467934882816,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_CLEC_LAM","COL6A2","CD44",0.100664662832148,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TIM","COL6A1","CD44",0.100204514124794,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_other","FN1","CD44",0.0999589334583667,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TAM_other","COL6A2","CD44",0.0973716743000789,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_CLEC_LAM","FN1","CD44",0.0963021640095045,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TAM_other","COL1A2","CD44",0.0958507526528344,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TAM_CLEC_LAM","COL6A2","CD44",0.0937996897793118,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TAM_CLEC_LAM","COL1A2","CD44",0.0923288545956645,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TAM_other","COL4A1","CD44",0.0915476073895504,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_other","MIF","CD74_CXCR4",0.0901806897105049,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","TAM_CLEC_LAM","COL4A1","CD44",0.0881684037878609,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TIM","FN1","CD44",0.0876463179284984,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TIM","COL4A2","CD44",0.0861620988512475,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_other","COL6A1","CD44",0.0856527352083382,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"TAM_CLEC_LAM","TAM_other","APOE","TREM2_TYROBP",0.0843925539684357,0,"APOE_TREM2_TYROBP","APOE - TREM2","ApoE","Cell-Cell Contact","uniprot;PMID:27477015"
"MSC","TIM","COL6A3","CD44",0.0843781594938552,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_CLEC_LAM","MIF","CD74_CXCR4",0.0829299063057719,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MSC","TAM_CLEC_LAM","COL6A1","CD44",0.0824713695780101,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Osteoclast","TAM_CLEC_LAM","APP","CD74",0.0787564547825542,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Pericyte","TIM","COL6A1","CD44",0.0759042364656884,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","TIM","COL4A1","CD44",0.0757586736824771,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TAM_other","FN1","CD44",0.0747667125640537,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Osteoclast","TAM_other","APP","CD74",0.0741988535133245,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Pericyte","TAM_other","COL4A2","CD44",0.0734830324015642,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Pericyte","TAM_CLEC_LAM","FN1","CD44",0.071957861540871,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_CLEC_LAM","MIF","CD74_CD44",0.0719411088450276,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"MSC","TAM_other","COL6A3","CD44",0.0719409401368508,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_other","MIF","CD74_CD44",0.0711696943718138,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Pericyte","TAM_CLEC_LAM","COL4A2","CD44",0.0707187208921023,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TAM_CLEC_LAM","COL6A3","CD44",0.0692303049755083,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","TIM","COL4A2","CD44",0.0676191575517759,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MSC","TIM","MIF","CD74_CD44",0.0656055857106539,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Pericyte","TAM_CLEC_LAM","APP","CD74",0.0650836814448999,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
