gene,compartment,mean_lognorm,frac_expr,n
C1QA,Tumor,0.11619264632463455,0.073559670781893,1944
C1QA,TAM_CLEC_LAM,3.4687342643737793,0.9982788296041308,1162
C1QA,TAM_other,2.1360368728637695,0.7550540667606959,2127
C1QA,TIM,0.46852001547813416,0.2320094376720409,2543
C1QA,MSC,0.12722672522068024,0.057763645998940114,1887
C1QA,Pericyte,0.1481436938047409,0.058333333333333334,600
C1QA,Endothelial,0.1671142429113388,0.07585139318885449,646
C1QA,Osteoclast,0.2986854016780853,0.1595744680851064,94
C1QB,Tumor,0.1538170576095581,0.060699588477366256,1944
C1QB,TAM_CLEC_LAM,3.7101192474365234,0.9939759036144579,1162
C1QB,TAM_other,1.8514232635498047,0.688763516690174,2127
C1QB,TIM,0.37698593735694885,0.16476602438065277,2543
C1QB,MSC,0.11246361583471298,0.0498145204027557,1887
C1QB,Pericyte,0.15033330023288727,0.05,600
C1QB,Endothelial,0.07114245742559433,0.043343653250773995,646
C1QB,Osteoclast,0.16560077667236328,0.07446808510638298,94
C1QC,Tumor,0.0738186314702034,0.03497942386831276,1944
C1QC,TAM_CLEC_LAM,3.72367000579834,1.0,1162
C1QC,TAM_other,1.877687931060791,0.7193229901269393,2127
C1QC,TIM,0.3818856179714203,0.16397955171057807,2543
C1QC,MSC,0.08225423097610474,0.03232644409114997,1887
C1QC,Pericyte,0.07286623865365982,0.035,600
C1QC,Endothelial,0.12790754437446594,0.043343653250773995,646
C1QC,Osteoclast,0.2368525266647339,0.10638297872340426,94
C3,Tumor,0.4143123924732208,0.31635802469135804,1944
C3,TAM_CLEC_LAM,0.897094190120697,0.38812392426850256,1162
C3,TAM_other,0.32557743787765503,0.22190879172543487,2127
C3,TIM,0.08638786524534225,0.03539127015336217,2543
C3,MSC,0.05220256373286247,0.04239533651298357,1887
C3,Pericyte,0.025686586275696754,0.008333333333333333,600
C3,Endothelial,0.007783364504575729,0.0046439628482972135,646
C3,Osteoclast,0.03501457720994949,0.010638297872340425,94
C1R,Tumor,0.42229801416397095,0.32253086419753085,1944
C1R,TAM_CLEC_LAM,0.02512340247631073,0.00946643717728055,1162
C1R,TAM_other,0.014201555401086807,0.01457451810061119,2127
C1R,TIM,0.0068405088968575,0.006291781360597719,2543
C1R,MSC,1.2675241231918335,0.6248012718600954,1887
C1R,Pericyte,0.8657074570655823,0.33166666666666667,600
C1R,Endothelial,0.06937169283628464,0.02786377708978328,646
C1R,Osteoclast,0.014250075444579124,0.031914893617021274,94
C1S,Tumor,0.46539294719696045,0.29372427983539096,1944
C1S,TAM_CLEC_LAM,0.016900597140192986,0.00946643717728055,1162
C1S,TAM_other,0.012764165177941322,0.011753643629525154,2127
C1S,TIM,0.025720104575157166,0.009044435705859222,2543
C1S,MSC,1.324767827987671,0.6104928457869634,1887
C1S,Pericyte,0.5642391443252563,0.19833333333333333,600
C1S,Endothelial,0.01761210896074772,0.018575851393188854,646
C1S,Osteoclast,0.0,0.0,94
CFB,Tumor,,,0
CFB,TAM_CLEC_LAM,,,0
CFB,TAM_other,,,0
CFB,TIM,,,0
CFB,MSC,,,0
CFB,Pericyte,,,0
CFB,Endothelial,,,0
CFB,Osteoclast,,,0
SERPING1,Tumor,0.44300758838653564,0.46656378600823045,1944
SERPING1,TAM_CLEC_LAM,0.3653796911239624,0.193631669535284,1162
SERPING1,TAM_other,0.23773391544818878,0.1612599905970851,2127
SERPING1,TIM,0.07044801115989685,0.044435705859221394,2543
SERPING1,MSC,1.621619462966919,0.7217806041335453,1887
SERPING1,Pericyte,1.2597179412841797,0.6033333333333334,600
SERPING1,Endothelial,0.11782518774271011,0.06501547987616099,646
SERPING1,Osteoclast,0.05098056420683861,0.0425531914893617,94
