module,unit,method,estimate,ci_low,ci_high,p,score_SD,est_SD,ci_low_SD,ci_high_SD,fdr
CLEC_LAM8,all_myeloid,mixedlm,0.10634111831285453,0.02303339103062442,0.18964884559508466,0.012352466889368037,0.10670547258287925,0.9965854209610315,0.21585951004278758,1.7773113318792757,0.027793050501078085
CLEC_LAM8,TAM+TIM,ols_cluster,0.06874387764421093,0.015595997955272306,0.12189175733314955,0.011241321025706555,0.12450635390732583,0.5521314815417313,0.12526266705136124,0.9790002960321013,
RCC_skew_CORE,all_myeloid,mixedlm,0.13764413771412898,0.03223991060560881,0.24304836482264913,0.010482173818670667,0.13529041072000778,1.0173975892422442,0.23830152066232826,1.79649365782216,0.027793050501078085
RCC_skew_CORE,TAM+TIM,ols_cluster,0.08878990626549259,0.021829238871654083,0.1557505736593311,0.009351918911170197,0.15814780188708435,0.5614362337384083,0.13803061826455165,0.984841849212265,
complement_C1Q,all_myeloid,mixedlm,0.2100868558346461,0.0713468504521492,0.348826861217143,0.0029981531919836555,0.18541832044283396,1.1330425997436302,0.38478857041608266,1.881296629071178,0.013946483007727179
complement_C1Q,TAM+TIM,ols_cluster,0.12736525427107814,0.03698811873360061,0.21774238980855568,0.005742966856772368,0.2163663243078941,0.5886556268795071,0.17095136616992992,1.0063598875890845,
complement_C1Q_C3,all_myeloid,mixedlm,0.16871397399735855,0.05691190866584209,0.28051603932887503,0.003099218446161595,0.1477744455873167,1.1416992520379252,0.385126863035423,1.8982716410404274,0.013946483007727179
complement_C1Q_C3,TAM+TIM,ols_cluster,0.1039137159817906,0.03146455010452208,0.17636288185905913,0.004936123329179791,0.1746087134633344,0.5951233126954524,0.1802003432728415,1.0100462821180634,
APOE_TREM2,all_myeloid,mixedlm,0.04966443762970364,-0.014979500232349036,0.11430837549175632,0.13211273924596417,0.07838976547726609,0.6335576758946535,-0.19108999932769616,1.458205351117003,0.19816910886894626
APOE_TREM2,TAM+TIM,ols_cluster,0.04854850656886797,0.005811294098359648,0.0912857190393763,0.025982398561884064,0.0941139031229041,0.5158484023924509,0.06174745606683247,0.9699493487180693,
MERTK_GPNMB_support,all_myeloid,mixedlm,0.012068567524944503,-0.00927832181003031,0.03341545685991931,0.26782056736168636,0.023966861707685822,0.5035522661306253,-0.387131278312291,1.3942358105735413,0.3443407294650253
MERTK_GPNMB_support,TAM+TIM,ols_cluster,0.008364850864588888,-0.006465465744618568,0.023195167473796345,0.2689461651594357,0.028846043787347002,0.28998260303057705,-0.2241370009794748,0.8041022070406288,
SPP1_TAM,all_myeloid,mixedlm,0.02019993580086952,-0.06110655355064306,0.10150642515238209,0.6262965608239283,0.09951521357934777,0.20298339393868897,-0.6140423293361087,1.0200091172134866,0.7045836309269193
SPP1_TAM,TAM+TIM,ols_cluster,0.032485623080519735,-0.024453919707050867,0.08942516586809034,0.26347517628267136,0.12104712843586725,0.2683716953907845,-0.20201982503043808,0.7387632158120071,
inflammatory_mono,all_myeloid,mixedlm,-0.09083654964571052,-0.20887741482588662,0.02720431553446559,0.13148079661378542,0.1259988850275206,-0.7209313767012308,-1.6577719301267129,0.21590917672425147,0.19816910886894626
inflammatory_mono,TAM+TIM,ols_cluster,-0.01426087356815391,-0.09605480061920799,0.06753305348290017,0.7325599830845926,0.13993190548711062,-0.10191295200698532,-0.6864395956364345,0.4826136916224639,
panTAM,all_myeloid,mixedlm,-0.0018784590455393263,-0.029170823593496202,0.025413905502417553,0.8926897879468251,0.03219167752468257,-0.05835231929429714,-0.9061604065563168,0.7894557679677225,0.8926897879468251
panTAM,TAM+TIM,ols_cluster,-0.007277761529545937,-0.024977542577951782,0.01042201951885991,0.4203038689101273,0.034964325577855254,-0.2081482027542761,-0.7143722112509836,0.2980758057424314,
