Sample,cancer_type,dataset,patient_id,condition,CLEC_LAM8,RCC_skew_CORE,complement_C1Q,complement_C1Q_C3,APOE_TREM2,MERTK_GPNMB_support,SPP1_TAM,inflammatory_mono,panTAM,n_cells
GSM4274678_BMET1-Tumor.count,prostate,prostate_kfoury,BMET1,Tumor,0.19562025874595396,0.24456447445194635,0.36614000438885236,0.27845918071904235,0.2944159902556884,0.047156367405104295,0.2745852820082344,0.19778350721509375,0.35630634678168144,186
GSM4274679_BMET1-Involved.count,prostate,prostate_kfoury,BMET1,Involved,0.010605725538513383,0.012853326325931766,0.01881492196262172,0.014124293785310734,0.208850699526305,0.0037699690548373414,0.08279671518282822,0.6619200638481086,0.287744781748842,177
GSM4274680_BMET1-Distal.count,prostate,prostate_kfoury,BMET1,Distal,0.0022294518498251494,0.0029670720432401682,0.00591762977084078,0.006256761476408303,0.17314064722768818,0.0,0.06779100303536714,0.601759830837966,0.2797398482021926,109
GSM4274686_BMET2-Tumor.count,prostate,prostate_kfoury,BMET2,Tumor,0.004736072956870935,0.005952351962336133,0.009410808588071116,0.007132717894869888,0.18508363837885924,0.0010480908733605384,0.05774148971369626,0.48549504661437554,0.2512493498033611,764
GSM4274687_BMET2-Involved.count,prostate,prostate_kfoury,BMET2,Involved,0.005086805407115435,0.006754853851077448,0.011898379034683099,0.009018851209186237,0.22832813711209357,4.46386817559582e-05,0.03927219399065516,0.5568031445039391,0.2706448638334483,872
GSM4274688_BMET2-Distal.count,prostate,prostate_kfoury,BMET2,Distal,0.0009189108847253913,0.0011913035730196917,0.002375976513907548,0.0019657360270653903,0.22318941504178272,9.45426267403833e-05,0.04846761099004401,0.560645536896979,0.2765477753231091,696
GSM4274689_BMET3-Tumor.count,prostate,prostate_kfoury,BMET3,Tumor,0.02842291482816353,0.036070522055292584,0.05801011742857508,0.04354798508913923,0.22645664374162908,0.0052490424598325225,0.09381517912951937,0.5921768595585091,0.284681309110032,339
GSM4274690_BMET3-Involved.count,prostate,prostate_kfoury,BMET3,Involved,0.0031823913162655555,0.004179072449773343,0.006966636922148538,0.005229829110080866,0.22287174742090837,0.0001680397394742665,0.053263786161742196,0.5912542931014523,0.2946384452519333,1445
GSM4274691_BMET3-Distal.count,prostate,prostate_kfoury,BMET3,Distal,0.0028205634134684,0.003753754471505852,0.007044880925368372,0.005288566599963166,0.21199785098304166,0.0,0.045992351100532215,0.5740842907193099,0.27317994390798545,973
GSM4274692_BMET5-Tumor.count,prostate,prostate_kfoury,BMET5,Tumor,0.0814043729160668,0.10124002664285815,0.1281233783192519,0.09648559968359534,0.2559847840589083,0.021212680845728575,0.21299620097456215,0.41014251442474325,0.274817142207262,547
GSM4274693_BMET5-Distal.count,prostate,prostate_kfoury,BMET5,Distal,0.008070492594796709,0.010361445783132531,0.016686411695017545,0.01252642883511763,0.20795158349274534,0.0011333564098842078,0.07644555918842656,0.5291104940206924,0.3011824456600776,166
GSM4274694_BMET5-Involved.count,prostate,prostate_kfoury,BMET5,Involved,0.010641609135080847,0.01351817566041996,0.02399024923296768,0.018009393226420027,0.2011087973605214,0.001925551346536257,0.053698343378929515,0.506517486555744,0.27372330547818013,515
GSM4274695_BMET6-Distal.count,prostate,prostate_kfoury,BMET6,Distal,0.01387585278246709,0.016745289525228284,0.019749018986436374,0.015173293417526608,0.2295481054861104,0.005145135702954166,0.050703806109354536,0.6074084853616267,0.27905543605044986,562
GSM4274696_BMET6-Involved.count,prostate,prostate_kfoury,BMET6,Involved,0.01274274474956111,0.01655219037317469,0.027994707396700753,0.02122605860378744,0.16126298287663837,0.0012150570079962066,0.03339457076164952,0.4303741246649952,0.2368970115091447,344
GSM4274697_BMET6-Tumor.count,prostate,prostate_kfoury,BMET6,Tumor,0.1736658029761478,0.20912684215009797,0.1812711098425384,0.13977998170198727,0.4025945425666874,0.06574565379013943,0.3362923322031129,0.3317442161308332,0.3386212209331987,546
