"ligand","target","weight"
"IL1B","CD14",0.07614023800691
"ICAM1","SPP1",0.0725821890541916
"TGFB1","CTSD",0.0692562929734418
"IL1B","CCL4",0.0688727682066134
"APP","CD14",0.0688225784079255
"IL1B","APOE",0.0683521570490399
"TGFB1","CD14",0.0675294049768
"TGFB1","CCL3",0.0649590617791793
"TGFB1","CD9",0.0648094625017449
"APP","ITM2B",0.0640908385494461
"ICAM1","CD14",0.0187325995251006
"IL1B","CCL3",0.0165089613511195
"IL1B","CCL3L1",0.0151869375312764
"IL1B","SPP1",0.0142721473311419
"ICAM1","CCL3L1",0.0141241568553382
"ICAM1","CCL3",0.0139034448492596
"ICAM1","CTSD",0.0136259109740647
"IL1B","CTSD",0.0131682134571752
"APP","CTSD",0.0123268950567498
"ICAM1","A2M",0.0121684790337707
"APP","SPP1",0.0118214312467927
"ICAM1","HLA-DRB1",0.0114926031910345
"TGFB1","SPP1",0.011228647164155
"APP","A2M",0.0111789724691071
"APP","CCL3",0.0110753953295713
"ICAM1","CCL4",0.010999019894859
"IL1B","A2M",0.010921004648426
"APP","APOE",0.0107124160612741
"ICAM1","APOE",0.010544977705817
"ICAM1","GRN",0.010530683707045
"TIMP1","SPP1",0.0104824431593682
"IL1B","GRN",0.0103424322963137
"C3","CTSD",0.00989160629440705
"APP","CCL3L1",0.00974017644075325
"C3","CCL3",0.00962052245223126
"ICAM1","C1QA",0.00952694705933977
"TIMP1","CTSD",0.00951925552164419
"ICAM1","CD9",0.00949697811276704
"IL1B","C1QA",0.00947519974906514
"TGFB1","A2M",0.00947466243771292
"IL1B","HLA-DRB1",0.00944305538163117
"ICAM1","C1QB",0.00939736400599332
"IL1B","C1QB",0.00917582147247493
"APP","PSAP",0.00905814501276678
"APOE","CTSD",0.00887534225977208
"TIMP1","CCL3",0.00884741602858618
"APP","GRN",0.00878304625656844
"TIMP1","CD14",0.00869084599110634
"C3","SPP1",0.00860488028151315
"TIMP1","PSAP",0.008477351592092
"APP","HLA-DRB1",0.00846543749556572
"IL1B","PSAP",0.0083219461002951
"IL1B","CD9",0.00831782705468
"IL1B","CXCL16",0.00824108487506145
"TGFB1","APOE",0.00818467188730599
"IL1B","C3",0.00816739521299821
"ICAM1","PSAP",0.0081638599240272
"C3","CD14",0.00815825721994849
"TGFB1","CCL3L1",0.00811404647781503
"IL1B","APOC1",0.00807466419279388
"APOE","SPP1",0.00807264882763962
"APOE","CD14",0.0079738516644742
"ALCAM","CCL3",0.00793422653586051
"ALCAM","CTSD",0.00791725012855797
"APP","C1QB",0.007914974321557
"TGFB1","HLA-DRB1",0.00784504687183728
"IL1B","CFD",0.00781030371402161
"TGFB1","PSAP",0.0077223828700571
"ICAM1","ITM2B",0.00752135710896403
"APP","C1QA",0.00749735907709643
"C3","APOE",0.00740662309228201
"TIMP1","CCL3L1",0.00738951621297271
"ICAM1","APOC1",0.00737441494406447
"ICAM1","C3",0.00733959066685908
"ALCAM","SPP1",0.00731788349478482
"TGFB1","GRN",0.00727084447327353
"APP","CCL4",0.00718739560590377
"C3","A2M",0.00716815634918118
"TIMP1","A2M",0.00716034060336363
"ICAM1","CFD",0.00709811221516365
"TIMP1","APOE",0.00709474892623149
"ICAM1","CD59",0.00702046783772468
"APP","CD9",0.00694748673122088
"IL1B","CD59",0.00688247817767244
"IL1B","ITM2B",0.00686585825571089
"ALCAM","CD14",0.00682911701660711
"TIMP1","HLA-DRB1",0.00681808405395671
"TGFB1","C1QA",0.00680366947525109
"C3","HLA-DRB1",0.00680200729120215
"TGFB1","C1QB",0.00677001302546272
"APOE","APOE",0.00674811593754931
"CD9","CTSD",0.00674615041784546
"C3","GRN",0.00673193402661983
"ALCAM","CCL3L1",0.00672289301733775
"C3","PSAP",0.00666312100535125
"APOE","GRN",0.00663842218000167
"TIMP1","GRN",0.00657570360794595
"TIMP1","CD9",0.00649917547502209
"ALCAM","GRN",0.00641399222227481
"APP","C3",0.00640458929553087
"ALCAM","PSAP",0.00637245735130042
"C3","ITM2B",0.00636172029876126
"C3","CCL3L1",0.00629629201071984
"ALCAM","A2M",0.00628802362872982
"C3","CCL4",0.00623084804529795
"CD9","CCL3",0.00615582164830789
"CD9","PSAP",0.00612600207528581
"TGFB1","CCL4",0.00610902933406247
"ICAM1","CXCL16",0.00609476081118899
"CD9","SPP1",0.00608839936490355
"APOE","PSAP",0.00607743534751684
"C3","C1QA",0.00604540336239585
"APOE","CCL3L1",0.00602804576036499
"APP","APOC1",0.0060053694168472
"ALCAM","APOE",0.00599795127302264
"APP","CFD",0.00586041710459008
"APP","CD59",0.00585006698634292
"APOE","CCL3",0.00579948215725175
"APOE","A2M",0.00579010560061039
"C3","C1QB",0.0057427788418936
"GAS6","PSAP",0.00573259682908565
"TGFB1","CFD",0.00571156520632954
"C3","CD9",0.00563761709265991
"ALCAM","HLA-DRB1",0.00562923350389565
"TIMP1","CCL4",0.00561215921464494
"TGFB1","C3",0.00555826350171755
"APOE","HLA-DRB1",0.00553873923862085
"GAS6","CD14",0.00553458590499505
"CD9","CD14",0.00552422720881933
"TGFB1","ITM2B",0.00550968045722576
"TGFB1","CD59",0.00549580894218046
"TIMP1","CFD",0.00544966932142721
"TGFB1","APOC1",0.00544759730753476
"CD9","GRN",0.00544477979737249
"C3","CFD",0.0054288151908791
"C3","CD59",0.00538923538402677
"TIMP1","CD59",0.00534120636209925
"C3","APOC1",0.00529992936519226
"ALCAM","CCL4",0.00524574505206838
"TIMP1","APOC1",0.00520280163689742
"TIMP1","C1QB",0.00514921097496171
"TIMP1","C1QA",0.00514694658725382
"GAS6","CTSD",0.00504233946514253
"HEBP1","CTSD",0.00501444708891836
"CD9","A2M",0.0049824286886916
"C3","C3",0.0049616523819541
"ALCAM","CD9",0.00496020704977444
"ALCAM","C1QA",0.00493227524090097
"GAS6","SPP1",0.00489751453216065
"CD9","APOE",0.00489370272048861
