model,HR_per_SD,ci_low,ci_high,p,n,events,module,endpoint
unadj,0.8383073079039065,0.6545335458745862,1.0736793353289023,0.162443227616637,181,58,complement_C1Q,OS
adj(Myeloid+Purity),1.1544824647923357,0.8182526712772386,1.6288730954370452,0.4134106020675049,117,38,complement_C1Q,OS
unadj,1.1363097606517523,0.7342361767879115,1.7585620444379346,0.5663024638176275,181,22,complement_C1Q,PFS
adj(Myeloid+Purity),1.487954276743776,0.8581645355103514,2.579934077983565,0.15699802931565024,117,15,complement_C1Q,PFS
unadj,0.846698827619371,0.6626699731868564,1.081833995351212,0.183225831064103,181,58,complement_C1Q_C3,OS
adj(Myeloid+Purity),1.1701485746705915,0.8321898136031977,1.6453550192774862,0.3662064674087304,117,38,complement_C1Q_C3,OS
unadj,1.1601748022115876,0.7453902684894198,1.805772933438562,0.5104188563059316,181,22,complement_C1Q_C3,PFS
adj(Myeloid+Purity),1.521599456405248,0.8738166131961772,2.649600466239882,0.13798950142777977,117,15,complement_C1Q_C3,PFS
unadj,0.7974715771923224,0.6231139412798946,1.0206173771739524,0.07220215928930734,181,58,CLEC_LAM8,OS
adj(Myeloid+Purity),1.023056078336871,0.7302303916471969,1.4333061885593128,0.8945925638818445,117,38,CLEC_LAM8,OS
unadj,0.9731672850477221,0.6413543271245914,1.47664796920155,0.8982686244312197,181,22,CLEC_LAM8,PFS
adj(Myeloid+Purity),1.275493307572515,0.7389589699990468,2.2015879686315647,0.3822633057451247,117,15,CLEC_LAM8,PFS
unadj,0.8170287230764126,0.6397291566276038,1.043466484865026,0.10543265674284256,181,58,RCC_skew_CORE,OS
adj(Myeloid+Purity),1.0757209393028717,0.7669170969149405,1.508866530567118,0.6724454096721804,117,38,RCC_skew_CORE,OS
unadj,1.0286535122242426,0.6680738435169676,1.583848938974956,0.8979205480464204,181,22,RCC_skew_CORE,PFS
adj(Myeloid+Purity),1.3751245171573543,0.7784706962253038,2.4290797930561614,0.272505275508184,117,15,RCC_skew_CORE,PFS
unadj,0.8251224529371952,0.6458433101242326,1.0541675537525221,0.12406885729814705,181,58,APOE_TREM2,OS
