Sample,cancer_type,dataset,patient_id,condition,score,score_add,n_cells,n_high,unit,ok
GSM4274678_BMET1-Tumor.count,prostate,prostate_kfoury,BMET1,Tumor,0.25166772943542454,0.9361176527205267,38,18,TAM,True
GSM4274679_BMET1-Involved.count,prostate,prostate_kfoury,BMET1,Involved,0.052606177606177605,0.12364999192101614,28,3,TAM,True
GSM4274680_BMET1-Distal.count,prostate,prostate_kfoury,BMET1,Distal,0.03471575023299161,0.05301568797656469,7,1,TAM,False
GSM4274686_BMET2-Tumor.count,prostate,prostate_kfoury,BMET2,Tumor,0.050908667287977626,0.11966700345277785,20,1,TAM,True
GSM4274687_BMET2-Involved.count,prostate,prostate_kfoury,BMET2,Involved,0.058502075743455055,0.20271436895836484,44,6,TAM,True
GSM4274688_BMET2-Distal.count,prostate,prostate_kfoury,BMET2,Distal,0.013211683470304159,-0.013864180296659468,44,0,TAM,True
GSM4274689_BMET3-Tumor.count,prostate,prostate_kfoury,BMET3,Tumor,0.1692295744019882,0.736684790611267,6,2,TAM,False
GSM4274690_BMET3-Involved.count,prostate,prostate_kfoury,BMET3,Involved,0.07147017707362535,0.2788714760422707,20,5,TAM,True
GSM4274691_BMET3-Distal.count,prostate,prostate_kfoury,BMET3,Distal,0.015051258154706431,-0.01547624814510345,20,1,TAM,True
GSM4274692_BMET5-Tumor.count,prostate,prostate_kfoury,BMET5,Tumor,0.12946669446215725,0.558398700124339,76,18,TAM,True
GSM4274693_BMET5-Distal.count,prostate,prostate_kfoury,BMET5,Distal,0.16222041006523766,0.5715133881568908,4,1,TAM,False
GSM4274694_BMET5-Involved.count,prostate,prostate_kfoury,BMET5,Involved,0.036283963008100946,0.0832256491596882,26,3,TAM,True
GSM4274695_BMET6-Distal.count,prostate,prostate_kfoury,BMET6,Distal,0.11876100238169204,0.39459234805901844,18,4,TAM,True
GSM4274696_BMET6-Involved.count,prostate,prostate_kfoury,BMET6,Involved,0.14787200994097546,0.3936409390502506,9,4,TAM,False
GSM4274697_BMET6-Tumor.count,prostate,prostate_kfoury,BMET6,Tumor,0.23308383814849332,0.9525096812645595,48,25,TAM,True
GSM4274698_BMET7-Tumor.count,prostate,prostate_kfoury,BMET7,Tumor,0.040376075873033275,0.09729417249735664,17,2,TAM,True
GSM4274699_BMET7-Distal.count,prostate,prostate_kfoury,BMET7,Distal,0.03507582817927646,0.06327928145004041,33,4,TAM,True
GSM4274700_BMET8-Involved.count,prostate,prostate_kfoury,BMET8,Involved,0.0,-0.036287181258201594,14,0,TAM,True
GSM4274701_BMET8-Tumor.count,prostate,prostate_kfoury,BMET8,Tumor,0.030288909599254427,0.05748094153404235,5,0,TAM,False
GSM4274702_BMET8-Distal.count,prostate,prostate_kfoury,BMET8,Distal,0.02071507243921037,-0.03090686655044556,11,0,TAM,True
GSM4274703_BMM2-Benign.count,prostate,prostate_kfoury,BMM2,Benign,0.0,-0.10929814529418945,2,0,TAM,False
GSM4274704_BMM3-Benign.count,prostate,prostate_kfoury,BMM3,Benign,0.005287117356082873,-0.07935713549760672,13,0,TAM,True
GSM4274705_BMM4-Benign.count,prostate,prostate_kfoury,BMM4,Benign,0.0,-0.09654834675788879,8,0,TAM,False
GSM4274706_BMM5-Benign.count,prostate,prostate_kfoury,BMM5,Benign,0.01691519105312209,-0.012758941713968918,15,1,TAM,True
GSM4274707_BMM6-Benign.count,prostate,prostate_kfoury,BMM6,Benign,0.08338510924717821,0.28841832428508335,9,1,TAM,False
GSM4274708_BMM8-Benign.count,prostate,prostate_kfoury,BMM8,Benign,0.0944004349176763,0.30355944764614107,12,3,TAM,True
GSM4274709_BMM9-Benign.count,prostate,prostate_kfoury,BMM9,Benign,0.0,-0.13052107772827148,5,0,TAM,False
GSM6133738_RCC-BM10-Tumor.count,RCC,rcc_bm,BM10,Tumor,0.46273172258519285,1.3935534353218904,944,398,TAM,True
GSM6133739_RCC-BM10-Involve.count,RCC,rcc_bm,BM10,Involved,0.6031967721911856,2.1812016514415293,1,1,TAM,False
