Sample,cancer_type,patient_id,condition,score,n_cells
GSM4274678_BMET1-Tumor.count,prostate,BMET1,Tumor,0.19639678131453392,186
GSM4274679_BMET1-Involved.count,prostate,BMET1,Involved,0.01219740337486437,177
GSM4274680_BMET1-Distal.count,prostate,BMET1,Distal,0.003493529376025275,109
GSM4274686_BMET2-Tumor.count,prostate,BMET2,Tumor,0.004546478970909469,764
GSM4274687_BMET2-Involved.count,prostate,BMET2,Involved,0.016457561212710373,872
GSM4274688_BMET2-Distal.count,prostate,BMET2,Distal,0.006382260028925934,696
GSM4274689_BMET3-Tumor.count,prostate,BMET3,Tumor,0.025400965051085196,339
GSM4274690_BMET3-Involved.count,prostate,BMET3,Involved,0.005453837164004675,1445
GSM4274691_BMET3-Distal.count,prostate,BMET3,Distal,0.005002620420220116,973
GSM4274692_BMET5-Tumor.count,prostate,BMET5,Tumor,0.09839340411879366,547
GSM4274693_BMET5-Distal.count,prostate,BMET5,Distal,0.0150003989467805,166
GSM4274694_BMET5-Involved.count,prostate,BMET5,Involved,0.030132450331125826,515
GSM4274695_BMET6-Distal.count,prostate,BMET6,Distal,0.024466192170818506,562
GSM4274696_BMET6-Involved.count,prostate,BMET6,Involved,0.02255794701986755,344
GSM4274697_BMET6-Tumor.count,prostate,BMET6,Tumor,0.17730089998301918,546
GSM4274698_BMET7-Tumor.count,prostate,BMET7,Tumor,0.01674804504807872,354
GSM4274699_BMET7-Distal.count,prostate,BMET7,Distal,0.017230368968779566,420
GSM4274700_BMET8-Involved.count,prostate,BMET8,Involved,0.008255822605848648,445
GSM4274701_BMET8-Tumor.count,prostate,BMET8,Tumor,0.0028997621037741912,515
GSM4274702_BMET8-Distal.count,prostate,BMET8,Distal,0.004760963394945801,402
GSM4274703_BMM2-Benign.count,prostate,BMM2,Benign,9.738994935722633e-05,34
GSM4274704_BMM3-Benign.count,prostate,BMM3,Benign,0.011539233393538028,99
GSM4274705_BMM4-Benign.count,prostate,BMM4,Benign,0.004050604115059906,262
GSM4274706_BMM5-Benign.count,prostate,BMM5,Benign,0.005683570715776105,365
GSM4274707_BMM6-Benign.count,prostate,BMM6,Benign,0.008776441844017232,206
GSM4274708_BMM8-Benign.count,prostate,BMM8,Benign,0.020941328311787234,313
GSM4274709_BMM9-Benign.count,prostate,BMM9,Benign,0.006176770249617931,104
GSM6133738_RCC-BM10-Tumor.count,RCC,BM10,Tumor,0.3747680106282333,1645
GSM6133739_RCC-BM10-Involve.count,RCC,BM10,Involved,0.11479600590193186,193
GSM6133740_RCC-BM10-Noninvolved.count,RCC,BM10,Distal,0.04480045663319804,992
GSM6133741_RCC-BM3-Tumor.count,RCC,BM3,Tumor,0.4311471907712028,155
GSM6133742_RCC-BM4-Tumor.count,RCC,BM4,Tumor,0.11455376852727846,63
GSM6133743_RCC-BM5-Tumor.count,RCC,BM5,Tumor,0.3244695229085011,98
GSM6133744_RCC-BM7-Tumor.count,RCC,BM7,Tumor,0.3925368880636044,1127
GSM6133745_RCC-BM8-Tumor.count,RCC,BM8,Tumor,0.023800372798125875,2352
GSM6133746_RCC-BM1-Tumor.count,RCC,BM1,Tumor,0.28287226815415256,1433
GSM6133747_RCC-BM1-Involve.count,RCC,BM1,Involved,0.0499051226223956,876
GSM6133748_RCC-BM1-Noninvolved.count,RCC,BM1,Distal,0.08288413162893372,645
GSM6133749_RCC-BM2-Tumor.count,RCC,BM2,Tumor,0.17933868297372357,1488
GSM6133750_RCC-BM2-Involve.count,RCC,BM2,Involved,0.10320985660187727,369
GSM6133751_RCC-BM2-Noninvolved.count,RCC,BM2,Distal,0.1135244501793203,698
GSM6133752_RCC-BM9-Involve.count,RCC,BM9,Involved,0.053101918291575054,2012
GSM6133753_RCC-BM9-Noninvolved.count,RCC,BM9,Distal,0.0781955107542636,339
GSM6133754_RCC-BM9-Tumor.count,RCC,BM9,Tumor,0.2579096241732725,1523
GSM6507012_BMM2-Benign-immune.count,RCC,BMM2,Benign,0.015871203471112125,29
GSM6507013_BMM3-Benign-immune.count,RCC,BMM3,Benign,0.03159785824996477,94
GSM6507014_BMM4-Benign-immune.count,RCC,BMM4,Benign,0.03271003765744708,255
GSM6507015_BMM5-Benign-immune.count,RCC,BMM5,Benign,0.03644233970920123,358
GSM6507016_BMM6-Benign-immune.count,RCC,BMM6,Benign,0.036466293088809644,195
GSM6507017_BMM8-Benign-immune.count,RCC,BMM8,Benign,0.08234070926474245,293
GSM6507018_BMM9-Benign-immune.count,RCC,BMM9,Benign,0.03899351545253863,96
