,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
FCER1A,0.744678512125705,2.0057198679292348e-266,3.808862029197617e-263,0.7196378452300423,0.7677846744914657
CD1C,0.5961220686549052,3.063448001451918e-137,2.9087438773785963e-134,0.5601845873154578,0.629819810996945
HLA-DQA1,0.5900866820766357,1.3380650253670883e-133,8.469951610573668e-131,0.5537623079110429,0.6241694177916016
CLEC10A,0.5186028958533825,1.649104680038843e-96,7.829124468484408e-94,0.47802343035859896,0.5569732415380857
TUBA1B,0.5103127044340902,7.828114249074764e-93,2.9731177917985953e-90,0.4692786403831528,0.5491476535113401
HLA-DQB1,0.4919063711292934,4.545508919670255e-85,1.4386535730756358e-82,0.44989171179339754,0.5317484780239697
HLA-DPA1,0.48440176579022587,4.707733674310718e-82,1.2771408925022934e-79,0.44199864664240646,0.5246448447346771
HLA-DPB1,0.4684745756249469,6.307194045935049e-76,1.4971701866538324e-73,0.42526874734590053,0.509550055997156
HLA-DQA2,0.4660758147345571,4.916255238907622e-75,1.0373298554095082e-72,0.42275164776025564,0.5072744686034488
STMN1,0.45746795949957303,6.719872640198406e-72,1.2761038143736773e-69,0.4137246387965246,0.4991038838250392
PPP1R14A,0.4273272016551353,1.1284781217202671e-61,1.7858166276223228e-59,0.3821838400236999,0.47043578057227775
HLA-DRB1,0.4180986826594509,9.157598094235892e-59,1.3377137523810739e-56,0.3725476424911749,0.46163992613497146
GPR183,0.3997641194717585,2.843551876185794e-53,3.857075009197731e-51,0.3534322314791982,0.44413951045677336
KIAA0101,0.3743039697327723,3.028149606273969e-46,3.833637401542845e-44,0.32695177958670835,0.41978140594947033
FABP5,0.3702622966553879,3.4342988875556854e-45,4.076083492167654e-43,0.32275496623652744,0.41590864269684474
HLA-DRB5,0.3671064175382158,2.2291456944371544e-44,2.4900868669036216e-42,0.3194792465215591,0.41288350271149404
HSPE1,0.34234164538766637,2.463389812143414e-38,2.5988762518113016e-36,0.2938135155147554,0.3891095517892129
PKIB,0.3298069255516865,1.7184249323652797e-35,1.7175204981903506e-33,0.28084939178363744,0.37705254387557496
PTTG1,0.3254475222603269,1.5540693290695715e-34,1.475588827951558e-32,0.2763448310116699,0.37285552591913973
CYCS,0.3170659282600697,9.636574828638379e-33,8.71421695218299e-31,0.2676902077544648,0.3647806876697243
HIST1H4C,0.3160740080320807,1.556222284133471e-32,1.3433027807133917e-30,0.26666650285549515,0.3638245952696607
CALR,0.30868359586592165,5.209268581746438e-31,4.3010439290158633e-29,0.2590427834518707,0.35669795337059673
CKS2,0.2927050212643202,7.226922770035532e-28,5.489570536118991e-26,0.24258089925620527,0.34127054214116503
DDIT4,0.2924526570860401,8.070867371895264e-28,5.894837361241965e-26,0.24232113307095587,0.34102667291973354
MKI67,0.28489568080054506,2.0883454805331048e-26,1.4163457384044165e-24,0.2345458344387406,0.3337210453935476
CENPF,0.2844636704842035,2.5073153816746789e-26,1.6418592792414534e-24,0.23410153785317686,0.333303226651516
ASPM,0.2803902023192841,1.3827950806457075e-25,8.753092860487329e-24,0.22991325527695503,0.32936262881634965
TOP2A,0.2790730742283468,2.386523794084108e-25,1.4619382854728132e-23,0.22855940263763402,0.32808809834399005
PHACTR1,0.277603775119391,4.370878837126957e-25,2.5938434099075288e-23,0.22704936661314729,0.32666610766111664
LDHA,0.26681564888159703,3.306932617485834e-23,1.7444069557237773e-21,0.21596957484834145,0.3162185299955695
C19orf77,0.2556287146749105,2.37154381034878e-21,1.1851478146979824e-19,0.2044940061422322,0.30537206299066333
UBE2C,0.2551412134822149,2.8430383634436503e-21,1.3843409877383312e-19,0.20399424630835541,0.30489910489892963
NUCB2,0.25436059657413157,3.797699130810136e-21,1.802957662352112e-19,0.20319405562567308,0.30414172418286795
PRSS57,0.25357741774714637,5.072491517713836e-21,2.3494296078386766e-19,0.20239130746182873,0.3033817945588319
HSP90AA1,0.2510941458916772,1.2612993406026211e-20,5.570249878614832e-19,0.19984644069527246,0.3009718213507182
HSPB1,0.23537878314789173,3.1694579689481807e-18,1.3679092461437716e-16,0.18375729238579602,0.2857055406100201
APOC1,0.233927877819181,5.1724392254427855e-18,2.1827693531368556e-16,0.18227327106602087,0.2842948071643091
HIST1H1D,0.23283370199207284,7.466657540283877e-18,3.0824310149998005e-16,0.18115427700899525,0.2832307820065012
LGMN,0.22338363695546906,1.6415254520396048e-16,6.632461347708956e-15,0.1714954297628609,0.2740359532755091
HIST1H1B,0.21885737409927622,6.857655038107024e-16,2.6576912076255586e-14,0.16687269759186013,0.2696286577253751
IGLL1,0.21608332298318142,1.6210311383885688e-15,6.03595712117626e-14,0.1640406515888857,0.2669264674744222
CXorf21,0.21529393567596047,2.066089075208069e-15,7.545198372731006e-14,0.16323491795357062,0.26615738283793294
ATP1B1,0.2020338871652824,1.0521575469147548e-13,3.700087373316888e-12,0.14971065833439337,0.25322868902413675
LYPD3,0.19931395805550262,2.278726240449273e-13,7.86782023747849e-12,0.1469389515445592,0.25057446588819543
SPINK2,0.19572348506031825,6.21210312849846e-13,2.1065685430390314e-11,0.1432813878888493,0.24706954831986783
HIST1H1E,0.19525682810226036,7.06682510349297e-13,2.3543685739531842e-11,0.14280611626765322,0.24661391239750557
CLIC3,0.19087293878466707,2.334574964112351e-12,7.643720442843714e-11,0.13834247935886268,0.24233244857628275
CA2,0.18784025408749733,5.2468821536527e-12,1.6387056333070052e-10,0.1352558752087664,0.239369446414536
MPO,0.18782803883168392,5.26387802168127e-12,1.6387056333070052e-10,0.13524344483588874,0.23935750988978727
AXL,0.1873527688550428,5.968665112735216e-12,1.828144362755512e-10,0.13475981795635392,0.23889307266087706
KIF11,0.1862530983734879,7.9722905340225e-12,2.3655280818919884e-10,0.13364090748869992,0.237818376374141
TXN,0.18526362123879975,1.032820196879433e-11,3.01742392903699e-10,0.132634232957361,0.23685126295298453
EIF4A3,0.18178249031004814,2.538627877423898e-11,7.304324756406034e-10,0.12909346172210195,0.23344799822447954
HILPDA,0.1808705604996927,3.203530713593638e-11,9.079857947931818e-10,0.12816613034180965,0.232556257253129
CST7,0.17987212466620672,4.1269746681756534e-11,1.152518366891995e-09,0.12715093761596905,0.23157982571261776
HAMP,0.17754315276472263,7.408862514935886e-11,2.0099185594090355e-09,0.1247833074955663,0.229301776448543
PRTN3,0.17443693007375907,1.597000743932789e-10,4.2714146658146e-09,0.12162645996871972,0.22626258817577
CTSG,0.17241753021533757,2.611389881867643e-10,6.701391061711695e-09,0.11957472108399748,0.2242862269683091
SDS,0.17185152326392297,2.9941164113034853e-10,7.581102753420424e-09,0.1189997309681807,0.22373220653060885
MIF,0.16956184381221126,5.181879396585479e-10,1.2947880229099768e-08,0.11667407343856517,0.22149067417705512
CSTB,0.16763991652847576,8.163940954141649e-10,2.013418684664285e-08,0.11472239426856885,0.21960873722524074
AC002310.12,0.1647927145577885,1.5852558211140979e-09,3.8106339294881924e-08,0.11183186759770607,0.21682006708449122
HIST1H1C,0.16309379207886823,2.3423757178628923e-09,5.56021436027704e-08,0.11010752013553449,0.21515566589170984
RP11-620J15.3,0.16253043557833752,2.6636938385961786e-09,6.244882221597708e-08,0.10953580321403396,0.2146036897424511
IL3RA,0.16179815123812613,3.145991931370979e-09,7.28565692399206e-08,0.10879270390928295,0.2138861485375074
DAB2,0.15930383650628613,5.513644822451017e-09,1.231813119745233e-07,0.10626199560308622,0.21144163015930686
MS4A4A,0.15841250305822505,6.723308691438849e-09,1.484600372679346e-07,0.10535782367864331,0.21056793302024984
NFKB1,0.1568187151859587,9.558595225024625e-09,2.0627014014002004e-07,0.1037412980368455,0.20900547280655926
AK5,0.1552599375463879,1.3437983433214255e-08,2.804256103260865e-07,0.10216055329946813,0.20747707688807215
FCGR2B,0.1500279865160448,4.111364187791814e-08,8.305830417677292e-07,0.09685683075927326,0.20234523592078396
HSPH1,0.14959786329389943,4.499532120532734e-08,8.994327891464907e-07,0.0964209414275833,0.20192321497793791
ELANE,0.14479423357705723,1.2108833880848034e-07,2.3463954632377976e-06,0.09155430111422158,0.1972087511534179
MATK,0.1446163960806683,1.2553086773315478e-07,2.407910281063242e-06,0.09137417967836417,0.19703416816260003
TMEM102,0.1415411420596178,2.324481135978922e-07,4.370484828934627e-06,0.08825998155708077,0.1940146667848753
TRH,0.14140675127696145,2.387202315558071e-07,4.444409016906644e-06,0.0881239126389311,0.19388268975385872
AZU1,0.14048302734553952,2.8646653059783523e-07,5.180951824812277e-06,0.08718870798441371,0.19297550514538467
HIST1H2BN,0.13992250855476163,3.197962209611002e-07,5.729179467972918e-06,0.08662126844362336,0.19242497871767897
MS4A3,0.13852972271017475,4.195942430130951e-07,7.446817453101565e-06,0.08521143552975803,0.19105687895227047
LMNB1,0.1378305235702447,4.804042206647122e-07,8.447107546687858e-06,0.08450375899387444,0.19036999564006973
WEE1,0.13750813498006445,5.112218393186688e-07,8.906516264827084e-06,0.08417747974346405,0.19005326833586136
SLAMF9,0.13521979980542184,7.915708837063591e-07,1.3421367037128357e-05,0.08186185703691097,0.18780480295156712
EMP1,0.13315773477714604,1.1665941837941958e-06,1.9433003114255946e-05,0.0797756960005393,0.18577819320034558
PPP6R1,0.13276296209323604,1.2556725744606664e-06,2.0734975816528742e-05,0.07937636357303735,0.18539015719787355
PNP,0.13267825668557484,1.2756196238476242e-06,2.0882772980057228e-05,0.0792906820250149,0.18530689512479256
PDLIM3,0.13007534544615196,2.0605311431232768e-06,3.2881921351185733e-05,0.07665815948128177,0.1827479676595616
S100B,0.12821659397950494,2.885643576575118e-06,4.497517786170122e-05,0.07477871813931902,0.18092018834451468
IL1B,0.12785654831623666,3.0784952779788647e-06,4.6768500263054916e-05,0.07441470867155502,0.18056609998424705
PMP22,0.12727396136195934,3.4169464126909223e-06,5.14821003373415e-05,0.0738257380811879,0.17999312355209557
RNASE2,0.12510660140655927,5.0165950577410595e-06,7.328087703577132e-05,0.0716349568167692,0.17786120283629203
CA13,0.12440365951203093,5.67420576935404e-06,8.225432638170475e-05,0.07092452945003866,0.17716964861474552
ADRB2,0.12250469488679087,7.888122271677795e-06,0.00011178764323818009,0.06900561439230511,0.17530118670720288
FOXM1,0.12176694478097022,8.953372227266133e-06,0.0001259441026635436,0.06826022027845993,0.17457518434925837
TRIM28,0.12123172140429399,9.810664580480934e-06,0.0001369886179289213,0.06771948870885526,0.17404844779499093
SNX29P2,0.12100907036875877,1.0189881252384839e-05,0.000141245142323203,0.06749455554313306,0.17382931834562879
IGFBP7,0.11964498722521698,1.2836493737348417e-05,0.0001728829901221606,0.06611660955655883,0.1724866961845216
NMB,0.11938271108074537,1.3415372020479092e-05,0.00017940698216119573,0.06585169136332933,0.1722285238963629
FBP1,0.11816254877800342,1.6451120407293994e-05,0.00021694915037118954,0.0646193369196609,0.17102735811379188
SERPINH1,0.11810850781451411,1.6599661524632292e-05,0.00021739832576052911,0.0645647597429988,0.17097415487148646
MIR155HG,0.11743783469612488,1.855262675662871e-05,0.00023966964769277498,0.06388745862726115,0.1703138526012018
XIST,0.1170542791833503,1.9765788992682587e-05,0.0002519143174302297,0.06350013475966011,0.1699362067937815
SMIM4,0.11644472779056145,2.1850221220556534e-05,0.000274791854952562,0.06288462783972061,0.16933601522361447
SYNPO2L,0.11626809954643388,2.249223210228121e-05,0.00027916829256360794,0.06270628149004699,0.16916209182156075
GLA,0.11539592617501268,2.593404517959361e-05,0.00031979708958472904,0.061825674424924836,0.1683032264032485
GEM,0.11466078968406263,2.9217971496586185e-05,0.0003511704295697289,0.061083494122110144,0.16757924451029435
WASF1,0.1140509072360993,3.223817328419332e-05,0.00038503327714895045,0.06046781296158079,0.16697857279587663
KIAA0825,0.11365888930605673,3.4333386546474426e-05,0.00040496336056990644,0.060072089282125374,0.1665924545619198
SPAG5,0.1127569978388672,3.965461621996377e-05,0.00045917144025433665,0.05916173617399027,0.16570407452027677
RGS1,0.11255292434752943,4.096266351894969e-05,0.00047144301831809367,0.05895576041055487,0.16550304637403992
C12orf57,0.11248344475032622,4.1417259158976146e-05,0.0004738034647162392,0.058885634200300456,0.16543460260192344
