,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
S100A12,0.455653764409283,2.9894745015700873e-71,5.163637775439242e-69,0.41182319950094115,0.49738090292879716
CTSD,0.29527612905159706,2.3299823699256737e-28,1.8445693761911584e-26,0.24522782902289095,0.343754730018269
NCF1,0.28502381551140116,1.977980769642405e-26,1.3919123934520626e-24,0.2346776173147964,0.33384496718000645
CD14,0.2712481003989703,5.730823301153692e-24,3.2073803791531593e-22,0.22052027693526066,0.320512513171548
DUSP1,0.27124430165004343,5.739522783747758e-24,3.2073803791531593e-22,0.22051637589615075,0.3205088339609664
RGS2,0.271127336940842,6.0138698957581926e-24,3.2646722291258765e-22,0.2203962624333614,0.32039554914861795
RBP7,0.2626222716871569,1.6824048812811386e-22,8.639376417389631e-21,0.21166635769578046,0.3121542882907091
CDA,0.2524636483219029,7.642013223052378e-21,3.5414207619023216e-19,0.20124982666889316,0.3023009790220988
CYP1B1,0.22026922922939005,4.4055783078273575e-16,1.743874746848329e-14,0.16831439870877427,0.2710036322600863
RP11-290F20.3,0.21828076419118392,8.208570254075915e-16,3.119256696548848e-14,0.16628396233182238,0.2690670505225167
FOS,0.20126991602084868,1.3087056356576577e-13,4.604705014351018e-12,0.14893206086179153,0.2524832511442781
DUSP6,0.1921181376894031,1.667525232217589e-12,5.462582657264516e-11,0.13961011279322608,0.24354875839980322
ITGAM,0.18771219519627072,5.427760595833113e-12,1.6633459890456314e-10,0.135125561956117,0.23924430883197956
RETN,0.17501662426856174,1.3852276069391997e-10,3.759903504549257e-09,0.1222155208712519,0.22682984876672255
CD36,0.17457647254309297,1.543306224390188e-10,4.129974403297687e-09,0.12176825376793528,0.2263991408731088
SLC2A3,0.17192759256595969,2.93966408157044e-10,7.54778615538356e-09,0.11907700551334986,0.22380666683843176
MSRB1,0.1656243093848722,1.3075178453511937e-09,3.184979366881113e-08,0.11267602381887572,0.21763465405629928
THBS1,0.16034343411511923,4.368620574433726e-09,1.0000456736655517e-07,0.10731667806497965,0.21246055258481705
QPCT,0.1602332747346462,4.478043936833517e-09,1.0128908904742479e-07,0.10720491458767195,0.2123525893867203
MAFB,0.1576806925976945,7.905749173247589e-09,1.7265429228931515e-07,0.10461553802961213,0.20985054018618957
C5AR1,0.15759195899166306,8.062168281817537e-09,1.7406954244833317e-07,0.10452553830312168,0.20976355093004398
DMXL2,0.15706258113877794,9.059702682393424e-09,1.9340938310727534e-07,0.10398862493306807,0.209244562571685
SAMSN1,0.15314974818264288,2.1194742486725403e-08,4.3771750787802465e-07,0.1000210532089656,0.20540761043093492
KLF2,0.15174643679765762,2.85969538008065e-08,5.842388410917458e-07,0.09859852164790635,0.20403112168772367
CSF3R,0.14934805055622757,4.7410211750678843e-08,9.482042350135769e-07,0.09616778913437785,0.20167809907064485
CEBPB,0.1480370774072883,6.228713508682139e-08,1.2200572852057798e-06,0.09483940336449237,0.20039166659214858
HK3,0.1428317609457601,1.7977327744941475e-07,3.4156922715388804e-06,0.08956681763081205,0.1952820085570659
CKAP4,0.13993442826848448,3.1905004665864175e-07,5.735456744123611e-06,0.0866333349706783,0.19243668628271463
