,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
S100A12,0.27061429419299327,1.1776675619753737e-46,1.427185876668906e-44,0.23512054251697345,0.3053872646825674
CDA,0.1916184778723169,1.1584450206915335e-23,6.239513597558009e-22,0.15483755761206494,0.22786894144310285
CTSD,0.18340846275230357,9.037809537301663e-22,4.381078173206981e-20,0.14652154160137223,0.219786034346528
NCF1,0.1693883297143472,9.61662728450043e-19,3.729328060929267e-17,0.13233243613811224,0.20597140507536843
CD14,0.16692896551380262,3.074455993124337e-18,1.1688961118957038e-16,0.12984499606175018,0.20354658540732182
RBP7,0.16099266312823263,4.7227838292173073e-17,1.7278260084627093e-15,0.12384284787593859,0.1976918137060815
CYP1B1,0.15941377717004382,9.598332970106376e-17,3.4465125238956046e-15,0.12224690635268796,0.19613417163698824
TMEM176B,0.15719824632771906,2.5648119364774584e-16,9.04212789969053e-15,0.12000776676206713,0.19394813822295962
TYMP,0.1554068674519464,5.618962542911588e-16,1.9114330474922052e-14,0.11819757552214034,0.19218034275731954
CD36,0.15290421773888277,1.6546957745435282e-15,5.3474251780665016e-14,0.11566905798303614,0.1897102406270608
LGALS2,0.151163817267452,3.4695443883176527e-15,1.1028600932701522e-13,0.11391095286813521,0.1879921997939353
DUSP6,0.14972442329486407,6.3583356629098545e-15,1.8967404385203397e-13,0.112457092571416,0.18657112800829473
DUSP1,0.14672248716004566,2.206262381083187e-14,6.291092289588676e-13,0.10942549942697921,0.18360690762598347
RP11-290F20.3,0.14254741969544493,1.1925071189453313e-13,3.256720145964785e-12,0.10521033851652511,0.17948317938930797
MAFB,0.1282796546777493,2.620796357865565e-11,5.908981555699222e-10,0.09081567860436485,0.16538105561821778
MSRB1,0.12512968699182128,7.979330501050166e-11,1.6636475098426097e-09,0.08763980387762095,0.16226561154787722
ITGAM,0.1222836683483159,2.13063915633856e-10,4.215621759327008e-09,0.08477103323866883,0.15945014843581523
IFITM3,0.12202607251886145,2.3261300998621258e-10,4.510366263632662e-09,0.0845114087935549,0.15919528837502112
C4orf48,0.11883343655932803,6.800012873765061e-10,1.2557357106886145e-08,0.08129405295961535,0.15603614820501274
VAMP5,0.11322895974048668,4.175919459611897e-09,6.980265372575403e-08,0.07564807337054319,0.15048862983653646
MS4A7,0.11052631690691767,9.715505646994897e-09,1.5830559201279921e-07,0.07292627761953768,0.14781261517440866
MTRNR2L1,0.10804777702887938,2.0708174783988386e-08,3.23815733114141e-07,0.07043066522282598,0.14535801544913504
RGS2,0.1059811318722879,3.84268262788122e-08,5.644667890501276e-07,0.06835014469065197,0.1433109807570726
GIMAP7,0.10352658011926757,7.888072582558484e-08,1.1246303483515369e-06,0.06587953832233702,0.14087930529000006
FCGR3A,0.10268324086146961,1.0061107304393609e-07,1.4136584828419716e-06,0.06503078951996946,0.14004372187019437
KCNE3,0.10168649575161044,1.3380272299062933e-07,1.8531677134202162e-06,0.06402772109282522,0.1390560747891482
C19orf59,0.10106093614130947,1.5980051367131898e-07,2.197540397224734e-06,0.06339823181481477,0.13843618715163716
CLEC12A,0.09845568008619729,3.3097582457522744e-07,4.395630985283329e-06,0.0607769322102947,0.13585423806569072
CD300E,0.09817188626114325,3.5790063168122054e-07,4.720879760747528e-06,0.0604914221279391,0.13557295241181497
FAM65B,0.09793153896689927,3.823447086530453e-07,4.9528937328729456e-06,0.060249626143420186,0.13533472459262255
PDK4,0.09783110378869456,3.93029384615935e-07,5.046913753445682e-06,0.06014858690350448,0.1352351738093341
ATP5D,0.09436761528710844,1.000014841289702e-06,1.2508757631530371e-05,0.05666473984119428,0.1318017213840841
CD163,0.09365203498540159,1.207984794178567e-06,1.4918996916638482e-05,0.05594506774983094,0.13109223476569506
SPI1,0.09285482426240826,1.488594845903278e-06,1.8039908788790347e-05,0.05514334460126821,0.13030176770168822
SLC1A3,0.09279921225490423,1.5103482786751422e-06,1.8189846660565843e-05,0.055087419629263945,0.13024662434358766
DMXL2,0.09229569567592727,1.7217100077319385e-06,2.060738089501376e-05,0.054581080208264486,0.12974734041759495
C5AR1,0.08940112198707624,3.6080080680740786e-06,4.091185756722595e-05,0.051670655008165756,0.1268767305903846
NRG1,0.0885131053362445,4.507119016527171e-06,5.0516206780613786e-05,0.050777903778003904,0.12599593988451843
TNFSF10,0.0883519570116908,4.691775359295755e-06,5.198487098099696e-05,0.05061590273420165,0.12583609651636052
LILRA3,0.08795671683590689,5.175831992782988e-06,5.6700216011334534e-05,0.050218579545785284,0.1254440486990286
CEBPB,0.08722303807284816,6.203838911408805e-06,6.758002050124535e-05,0.04948106578173094,0.12471626482632948
VSTM1,0.08716515943461649,6.292758827247371e-06,6.816569478230532e-05,0.04942288635843834,0.12465884950872926
ENTPD1,0.08677197032425453,6.929880665457352e-06,7.423778237746853e-05,0.04902766069368751,0.12426880124462142
VNN2,0.08672471210814359,7.010483732395753e-06,7.468861514898553e-05,0.04898015849557069,0.1242219197532196
NFAM1,0.08669433034699886,7.062774862571452e-06,7.483453802473248e-05,0.048949619971384285,0.12419178009562805
GIMAP8,0.08654349869820416,7.327943338452683e-06,7.722218550684648e-05,0.04879801111010389,0.12404214935659882
CATSPER1,0.0864835685739634,7.435921845157055e-06,7.793649977167314e-05,0.04873777265790613,0.1239826959178895
CREB5,0.08612951370350908,8.105523671578224e-06,8.449790537199019e-05,0.04838190185200549,0.12363145171387213
CARS2,0.08180258498518787,2.2635847914474598e-05,0.0002274140368195142,0.04403355455087078,0.11933811304088628
FPR2,0.08151215639322552,2.420842672199191e-05,0.00024195948151516656,0.043741739559994906,0.11904988877076435
CHST15,0.08103481536387942,2.7020920508511024e-05,0.0002646139639697115,0.04326213388199637,0.11857615696431893
PSTPIP1,0.08087076333683889,2.8057252226909026e-05,0.0002733819701908372,0.04309730756279731,0.11841334140469868
QPCT,0.0807089773640566,2.911617354207054e-05,0.0002822813024903739,0.04293476000699389,0.11825277284286377
BRI3,0.08062674781006872,2.9668825847645455e-05,0.00028620822546559474,0.042852144136314524,0.11817116129922242
HK3,0.08037041770413944,3.145622121226447e-05,0.00030046114744128474,0.04259461309965775,0.11791675443134117
MAP3K3,0.08007306171255836,3.365776073093224e-05,0.0003199137159670471,0.04229587025637661,0.11762162331867408
DOK3,0.07802000164876167,5.335573055327365e-05,0.00048344281094765234,0.04023341914859502,0.11558374366298996
TLR8,0.07766133372322252,5.7762522472019276e-05,0.0005185256068205805,0.0398731436512075,0.11522769529171088
