,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
RGS1,0.5061303910333843,1.4629747563867155e-182,2.836708052633841e-179,0.4773835014797682,0.5337950166309228
HLA-DRB5,0.4139735928844128,1.1299733003443343e-114,1.095509114683832e-111,0.3820633255459719,0.44489786661220243
AREG,0.39283146980212347,4.070839147448446e-102,2.6311190356341787e-99,0.3602908116900675,0.4244172531256313
FCER1A,0.3757367588602407,1.1397146619222647e-92,5.524766823668178e-90,0.34271227522408737,0.40783374890104546
HLA-DQA1,0.3671727680968758,3.6620162012004516e-88,1.4201298828255352e-85,0.3339145869145446,0.3995178895641579
GPR183,0.35527812401501063,3.8252203048862027e-82,1.2361836951957245e-79,0.32170496243071445,0.38795904065113057
PHACTR1,0.3362836520572384,4.3188859799844236e-73,1.1963314164556853e-70,0.3022306242670276,0.36947945742361604
DDIT4,0.3224580839171701,6.456175183723886e-67,1.564815460155077e-64,0.2880736269572074,0.3560121314584812
HLA-DQB1,0.30487784944365665,1.5100991453806727e-59,3.2534247143256934e-57,0.27009363646365375,0.3388672751768101
HLA-DPB1,0.2864569958453963,2.211475293650378e-52,4.288050594388083e-50,0.25127990375144094,0.3208783658942609
HLA-DQA2,0.28587587661244895,3.645469212385522e-52,6.425968002559569e-50,0.25068682261369596,0.3203104687559552
CD1C,0.2801151091135037,4.835934690309615e-50,7.814064470425286e-48,0.2448089025453242,0.31467943577758367
TOB1,0.2792444981865658,1.001617113628469e-49,1.493950448712001e-47,0.24392081231392285,0.31382821964330404
PMAIP1,0.2762271276451077,1.222989160506967e-48,1.6938399873021493e-46,0.24084332027103547,0.31087763745764263
STMN1,0.274477519397137,5.1405566018988473e-48,6.64502616738791e-46,0.23905917668545282,0.30916645016210786
NR4A2,0.2695886473791367,2.6804206499415813e-46,3.05725625896278e-44,0.23407507117262652,0.3043837455040954
HLA-DRB1,0.26599020767954645,4.66153338584506e-45,5.021507352863095e-43,0.23040772739156237,0.3008623287419828
TUBA1B,0.2646430991339195,1.3419696626819425e-44,1.3695153557580457e-42,0.22903508395562383,0.2995438097574342
HLA-DPA1,0.2626815202912809,6.186795982047998e-44,5.998098704595533e-42,0.22703657593505636,0.2976236229011283
PPP1R14A,0.2548586081540651,2.4012719989607123e-41,2.217174479040391e-39,0.21906937255360215,0.2899629718542076
HSPE1,0.2527605635627367,1.1458923051112796e-40,1.0099478089139868e-38,0.21693344148096338,0.2879076791413087
BHLHE40,0.25224181890332315,1.682446754160188e-40,1.4183757636159151e-38,0.21640538222205644,0.2873994550188433
KIAA0101,0.24478718222544765,3.79203009182581e-38,3.063644311687602e-36,0.20881920478754082,0.2800938169836565
CTA-29F11.1,0.2400289770325148,1.0915174283960315e-36,8.46580917463962e-35,0.20397930089627783,0.27542857658991715
EREG,0.23934221138378942,1.761618365410437e-36,1.3137607732810911e-34,0.20328088893446472,0.2747550910961864
HSP90AA1,0.23636735150796584,1.3756243334527808e-35,9.879020676166451e-34,0.20025600446999312,0.2718373554933191
CD69,0.2207572847782463,4.117528152790828e-31,2.8513882458076486e-29,0.1843947184321336,0.2565163423959291
HIST1H4C,0.2120029923115027,9.437824880091183e-29,6.2171143267993905e-27,0.1755078211382054,0.2479162822882229
FABP5,0.2119716459903293,9.61905259432603e-29,6.2171143267993905e-27,0.1754760106846206,0.24788547805035505
CD83,0.20495099615844128,6.2982428546003076e-27,3.9394493209903215e-25,0.16835332829319796,0.24098440884525157
CALR,0.2046414929177712,7.546227683823935e-27,4.572542337167066e-25,0.16803941490623245,0.24068009339945173
NR4A1,0.2016980217462775,4.1484013740544943e-26,2.437500080088383e-24,0.16505437283977958,0.23778560559954426
LMNA,0.19716151624277495,5.440576761106906e-25,3.1027289234665566e-23,0.1604551121169964,0.23332333826952414
PTTG1,0.19434117337256032,2.6097416021883377e-24,1.4457968476123392e-22,0.15759655765678168,0.23054838126084987
GADD45B,0.1892082289255211,4.2523765822895197e-23,2.2284751873133453e-21,0.1523956489384598,0.22549652609662924
LYPD3,0.18788075019350195,8.637440345750396e-23,4.407367586950005e-21,0.15105092507902573,0.2241897009388823
CKS2,0.18518904290816254,3.5748156112347386e-22,1.7773249923549124e-20,0.14832466847034706,0.2215394716880724
RP1-313I6.12,0.17872742409768327,9.889390776599518e-21,4.676958223372308e-19,0.14178239795808018,0.21517523106822356
