,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
RP11-830F9.6,0.3005104775537558,4.6938279526400324e-74,9.087250916311103e-71,0.2698457977674594,0.330566236719499
FGFBP3,0.2199139894089737,2.3428762677772867e-39,2.2679042272084135e-36,0.18792232982623544,0.2514395155466589
ZNF414,0.16550181847505907,1.0503714063564581e-22,6.778396809020343e-20,0.13286485593305122,0.19778025829631424
RELL1,0.16145672908633252,1.1439835154547754e-21,5.536880214801113e-19,0.1287798215214949,0.1937834016171567
EP400NL,0.15290620396217075,1.4526138339995678e-19,5.624520765246326e-17,0.12014850856556127,0.18533129785560137
GLI4,0.12517923700702643,1.4886226320713174e-13,4.803289026150117e-11,0.09219359497680157,0.15789044183310721
HTRA1,0.11058061947597847,7.078951716902214e-11,1.9578357891318122e-08,0.0774958266512081,0.143422133689763
CCDC149,0.10940476448553639,1.1252106467964294e-10,2.7230097652473593e-08,0.07631261096143552,0.14225616333156502
RP11-293M10.5,0.0998272612398761,4.0887967950998995e-09,8.795456217014895e-07,0.06667862373057368,0.13275577513802198
S100B,0.09458564314499339,2.549110270493464e-08,4.935077483675346e-06,0.06140870848843861,0.12755379775583964
GPX8,0.0879484623744533,2.2556511166005675e-07,3.9699459652169985e-05,0.05473834955208606,0.12096420842998433
CA11,0.08516305258541128,5.382179962731458e-07,8.68325033987342e-05,0.05193989868998398,0.11819790413157105
HIST1H1D,0.07966442271667225,2.7707275706697073e-06,0.00041262527513973485,0.046417055916678086,0.11273548444714065
HES1,0.07882135234379783,3.529687968088802e-06,0.00048810542187285145,0.04557045280629584,0.11189778917746829
RPP21,0.07806825053640755,4.372897105683294e-06,0.0005643952531068571,0.04481423564642646,0.11114944911215091
LMNA,0.0752029146109705,9.70687870455572e-06,0.0011745323232512422,0.04193739499493886,0.1083018873055733
NR4A3,0.07369494266019772,1.460428449916771e-05,0.0016631702817875697,0.0404235898277916,0.10680305136375813
LONRF1,0.07164262789317045,2.5151017574137024e-05,0.002705131667973849,0.03836358155318682,0.10476292871335513
ID1,0.0707318718597893,3.186710063786207e-05,0.00324708983341584,0.03744950197774705,0.10385749386769863
EREG,0.06915696574642984,4.766778437440417e-05,0.004614241527442323,0.035868980113751656,0.10229165973489165
RPGR,0.06558343238000393,0.00011525086492305033,0.010625032118620259,0.03228332185457689,0.09873810201389903
UBQLN2,0.06090543155612284,0.00034325285687873404,0.030206251405328594,0.027590743849869852,0.09408497234738325
ACP5,0.057823858837775695,0.0006770767699712248,0.056992201159317,0.02450037058705817,0.09101899100285812
GMIP,0.057186349433413025,0.0007762036853668204,0.0626137639529235,0.023861120042295205,0.09038462853957913
CCDC159,0.05641761403691513,0.0009136012000660769,0.07074927693311699,0.023090321347733048,0.08961965202646092
NDUFA7.1,0.05610478438837961,0.0009757066825545472,0.07265262067021551,0.02277666340182434,0.08930834080556162
DUSP2,0.054621180654280004,0.0013270373138315804,0.09199486732468151,0.02128922078120524,0.08783184991195163
LIPE-AS1,0.05460844357596125,0.0013305042794891954,0.09199486732468151,0.021276451383988877,0.08781917326718666
NADK,0.05348204234307003,0.0016723066358885076,0.1111153578288482,0.02014723503951583,0.08669807392492992
LMNB1,0.053336790750111066,0.0017218288919759535,0.1111153578288482,0.020001626622858683,0.08655349989691938
DENND5A,0.05298796565618599,0.0018463124052337063,0.11530518763007921,0.01965195038415705,0.08620629627665123
ZBTB43,0.05015984622591945,0.0032044159566959754,0.1907106559489256,0.01681723131332709,0.08339102510043557
NR4A1,0.05008438635425843,0.0032507498173112315,0.1907106559489256,0.016741602691072662,0.0833159007795422
IL1B,0.04980071763105329,0.003430436487807493,0.19533308942339137,0.01645730301356829,0.08303349007979986
FURIN,0.0494499626744499,0.0036650932975482494,0.20273201783009748,0.016105775339854928,0.08268428328212014
CRISPLD2,0.04913762898849372,0.0038862242890613575,0.20700102369919765,0.0157927605171312,0.08237332130216465
RP5-940J5.9,0.0489734752008437,0.004007237773772568,0.20700102369919765,0.01562825136332502,0.08220988585008582
INSIG1,0.048899294897245565,0.004063036622194995,0.20700102369919765,0.015553911063706289,0.08213602957241571
PDLIM5,0.04830239103348372,0.004538326550026555,0.2212727727784487,0.014955733183850956,0.08154171974831284
HIST1H1C,0.048262577597688906,0.0045717515036869565,0.2212727727784487,0.014915835620412293,0.08150207849382266
TCN2,0.0467892818678585,0.005976641230360738,0.28221408346288757,0.013439501413893938,0.0800350803763494
TREX1,0.04648670442615086,0.006309329147336788,0.2908300292677148,0.013136317942733407,0.07973377847680514
TMEM259,0.04466259147414992,0.00869195897282725,0.3913402923579897,0.01130868140131204,0.07791722651705754
ISG15,0.04427653992937761,0.009289079794747178,0.4087195109688758,0.01092191270166142,0.07753274685193559
CTB-61M7.2,0.04397554847362082,0.00977973468155106,0.4207459187440634,0.010620369028129156,0.07723297407537306
CTA-29F11.1,0.043563036906931495,0.010489644329510947,0.43914515002674404,0.010207110496188753,0.0768221229517707
PARP8,0.04346716019065247,0.010661065109120335,0.43914515002674404,0.01011106180072767,0.07672663054112135
COX19,0.04294178698032668,0.011645326763088052,0.4696948461112181,0.009584757127455247,0.07620335236796848
AC093673.5,0.042645983076554185,0.012234253712097116,0.48337786095142893,0.009288436908686418,0.07590871998283132
PPIF,0.04218263911035346,0.013209816567219208,0.5114840974827277,0.008824295967497122,0.07544719939534576
SAP30,0.04189018201948967,0.0138603986853287,0.5261516049960071,0.008531343234972417,0.07515588586203921
EIF4E,0.04147442458510183,0.01483389770832025,0.5522774223713077,0.00811489105182752,0.07474174433685009
AMPD2,0.041306454416922184,0.015243971378716921,0.5568363884753955,0.007946643480146415,0.07457442375741273
GRASP,0.04105750896361658,0.01587008023784226,0.5689717655641225,0.007697290366291826,0.0743264376020545
CHPT1,0.03968031307487635,0.01975858185128146,0.6955020811651074,0.006317914206825003,0.07295447431587869
CATSPER1,0.03829968665133022,0.02446676492897167,0.8458510161158777,0.004935229505536965,0.0715789671134782
TREM1,0.0375500608615306,0.02740889504707985,0.9309407159850279,0.004184539587874241,0.07083206783373568
LINC00936,0.037311532129637524,0.028406910739952985,0.9388081204963773,0.003945680140193023,0.07059439884211802
BASP1,0.03726379222336079,0.028610371440747035,0.9388081204963773,0.003897874500656999,0.07054683055316915
NFAM1,0.03538759124466739,0.03766200995518906,0.9981158848214339,0.002019210940586769,0.06867725433308684
ARHGAP24,0.03446151984371425,0.04296220594839576,0.9981158848214339,0.0010920108516759366,0.06775436664170642
NRGN,0.03152612770959481,0.06409060881383817,0.9981158848214339,-0.0018465797989776092,0.06482868943494483
TNFAIP3,0.030782243585806997,0.07063260601611375,0.9981158848214339,-0.00259118295978079,0.06408717631968697
IRF1,0.030404364613101226,0.07415986708624547,0.9981158848214339,-0.0029694130159909774,0.06371048768799709
UBALD2,0.02962075900554601,0.0819331582398453,0.9981158848214339,-0.0037537162329736398,0.06292932023755911
NFKBIA,0.027831461003997787,0.10216662491287377,0.9981158848214339,-0.0055444532590122235,0.06114543655570647
NLRP3,0.027742789847125263,0.10326447126573514,0.9981158848214339,-0.005633190162170401,0.06105702817797734
PELI1,0.02758236785473475,0.10527447307639688,0.9981158848214339,-0.00579372976564377,0.0608970802717653
C4orf48,0.026404750509873978,0.12099423955558512,0.9981158848214339,-0.006972157796554972,0.05972289069313957
PER1,0.025950050962617224,0.1275337797676089,0.9981158848214339,-0.007427145557716747,0.059269489994201306
KLF2,0.0259500272384983,0.12753412800007125,0.9981158848214339,-0.007427169296512797,0.05926946633749162
SELK,0.025823539742964856,0.12940129501640402,0.9981158848214339,-0.007553734509813494,0.05914333770896084
CYCS,0.02518211573170098,0.1391981076051149,0.9981158848214339,-0.008195536170581375,0.05850371715246443
LENG8,0.02506502084411612,0.14104661992907133,0.9981158848214339,-0.008312697031635593,0.058386948540653884
