,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
DUSP1,0.3636046815689515,1.4081191658351372e-138,1.3968542125084562e-135,0.33746667870341374,0.3891824383161048
FOS,0.2702827646088415,3.0979975809772112e-74,5.122022667215656e-72,0.24244124608428386,0.2976794629497242
RP11-1143G9.4,0.26507161545569,2.4700876419448885e-71,3.769733755091276e-69,0.23715067316167854,0.2925550019901039
THBS1,0.24434747944322735,1.8741037197289782e-60,2.4788145199615284e-58,0.2161270551034616,0.2721599812944626
IL1R2,0.188163167252295,5.537428978863609e-36,3.923663962166214e-34,0.15926216736919876,0.2167419296499413
RETN,0.1771310821349862,5.367878721377465e-32,3.328084807254028e-30,0.1481189271555735,0.20583862630092414
SAMSN1,0.16260787707012464,3.8529197289339515e-27,1.737316532319309e-25,0.13346061541285953,0.1914740801360461
CXCR4,0.1585228602806499,7.456059861316165e-26,3.215831035837233e-24,0.12933989316312325,0.1874314606494165
AREG,0.156852551775915,2.4474662510564176e-25,1.011619383769986e-23,0.12765527544835037,0.18577820571025064
C4orf48,0.14617999231996673,3.5661494577849864e-22,1.2634358079009666e-20,0.11689526191883495,0.1752107434440556
PET100,0.14609159885541553,3.7794798511730836e-22,1.3057835711374204e-20,0.11680617282935353,0.17512319248803837
S100A12,0.1435315516358983,2.0014797448901938e-21,6.730399684512109e-20,0.11422618342476226,0.1725873467308497
TFRC,0.1428188327316488,3.1661617640878128e-21,1.0297811376967574e-19,0.11350798293912757,0.17188129698300633
ATP5D,0.13950466838039766,2.589901834489371e-20,7.556419470039577e-19,0.11016873142118173,0.16859775213960027
WDR74,0.13496054588700945,4.2551279606253466e-19,1.1564621745042038e-17,0.10559128766037841,0.1640945628584635
CEBPB,0.12905403500981308,1.4039984953779384e-17,3.665175019512934e-16,0.09964332507052096,0.15823944198443218
PER1,0.12831259620375904,2.1531658374520968e-17,5.547897430525922e-16,0.098896831323022,0.15750430909445723
RHOB,0.12497564504563835,1.430286955309155e-16,3.378201570634957e-15,0.09553753944566332,0.15419533807560024
SAP30,0.12252253880527567,5.571006256047625e-16,1.2280973791109431e-14,0.09306843735764377,0.15176238288087773
TRIB1,0.11909413461607893,3.559439089487899e-15,6.992007082716824e-14,0.08961828458347568,0.1483615475970036
EGR1,0.1141445595355329,4.7161356225270566e-14,8.584232178985028e-13,0.08463855870152892,0.14345055226253842
JDP2,0.11353292361563576,6.440817490368178e-14,1.1512235946748167e-12,0.08402329924923055,0.14284358356084567
JUND,0.10933102684537414,5.237839884350478e-13,8.958512353923577e-12,0.07979711722050181,0.138673154189892
KLF6,0.10385624114572968,7.1414995007659025e-12,1.1334988007615641e-10,0.07429228194191714,0.13323780661330265
CD163,0.10378672134706046,7.376075760379688e-12,1.1614392308407382e-10,0.07422239215092578,0.1331687762410679
