,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
CXCL3,0.5502666292399722,0.0,0.0,0.529147934605065,0.5707040301421791
CXCL2,0.51015453277554,5.162543388960911e-300,5.121243041849224e-297,0.4877746045633036,0.5318643209941143
APOC1,0.4295800580249266,1.692861221584773e-200,1.1195455545413966e-197,0.4049693557801356,0.4535687444920504
SPP1,0.41198374567152046,1.8659880287221363e-182,9.255300622461797e-180,0.3869394236929795,0.4364207058021667
MT1E,0.39093600005123424,2.2374862421360175e-162,8.878345408795718e-160,0.36539812910617997,0.4158858164329392
C1QC,0.3904436203905459,6.319979339818491e-162,2.089806501699981e-159,0.3648945308330425,0.41540512950956965
FN1,0.37837098258252166,3.970300833113297e-151,1.1252966932709688e-148,0.3525514994943255,0.4036148224717118
CCL20,0.37816537249583193,6.0044860151740984e-151,1.4891125317631765e-148,0.35234136208960826,0.403413948145484
HSPA1B,0.37694027260974616,7.014550966024876e-150,1.5463187907325948e-147,0.3510893407691103,0.40221701519532177
G0S2,0.37255261529064265,4.252554240108163e-146,8.437067612374596e-144,0.34660602343481284,0.3979295278959101
HSPA1A,0.3648299669177992,1.3617548364029045e-139,2.4561105412939657e-137,0.33871788380202383,0.3903804937026253
TREM2,0.35500336111752745,1.3709580969702927e-131,2.2666507203242173e-129,0.32868600446201984,0.38076983164560996
OLR1,0.3523626657165161,1.7226215236617446e-129,2.62898546380377e-127,0.3259911580751323,0.37818621726151647
MT1G,0.3489835268014586,7.781306787081258e-127,1.102722333254944e-124,0.3225433503922252,0.3748795346275737
RGS1,0.3485100107315732,1.8208966262963112e-126,2.408439271047921e-124,0.3220602678612106,0.37441611915850065
C15orf48,0.34654633434212273,6.084367023702354e-125,7.54461510939092e-123,0.3200570662388746,0.3724941919511621
IL8,0.33618635580317446,4.2874083167192864e-117,5.003657706100627e-115,0.30949247987006995,0.36235078798912734
C1QB,0.32779074841120465,5.751140568969713e-111,6.339034938242173e-109,0.3009358919595773,0.3541261411697127
CCL4,0.32696318477213515,2.252618159344119e-110,2.2644014775735867e-108,0.30009269435522623,0.35331520866053256
DNAJB1,0.32695514011564275,2.2826627798120835e-110,2.2644014775735867e-108,0.3000844979287213,0.3533073254790909
CKS2,0.3264829344667236,4.9644937377008756e-110,4.690264559808828e-108,0.29960339062767005,0.35284459154362163
APOE,0.32244332633521544,3.6013088621893254e-107,3.2477258102652824e-105,0.2954881895828811,0.348885484624546
PMP22,0.3126336205902242,2.0467329059409662e-100,1.7655296023421205e-98,0.28549907771543476,0.3392673360075597
SOD2,0.3123877686785515,2.998430278944271e-100,2.478702363927264e-98,0.2852488052153858,0.3390262133700155
IER3,0.3068842102193888,1.39818790093108e-96,1.1096019181789052e-94,0.2796472574970874,0.33362760662481633
CCL3,0.30135053636693443,5.635393645020427e-93,4.3002388429694336e-91,0.27401692707026937,0.32819768966396007
C1QA,0.30041893742023557,2.2374151623214913e-92,1.6440858081651255e-90,0.2730692401357246,0.3272833837600972
SLCO2B1,0.2971242675575411,2.8109268867717883e-90,1.9917424797697244e-88,0.26971809967961935,0.32404946846558336
IL1B,0.29655171896437393,6.4665645734058e-90,4.424022108150727e-88,0.269135805309391,0.32348741363215405
GPNMB,0.28754465424228265,2.446774248957731e-84,1.6181333699773795e-82,0.2599780617022184,0.3146429296099917
NR4A2,0.28723211166452023,3.787243612864204e-84,2.4238359122330906e-82,0.2596603796062222,0.3143359440429668
PLAU,0.286146016836909,1.7205240533405082e-83,1.066724913071115e-81,0.2585564711968877,0.31326911591632417
MT1X,0.28586580433176156,2.5395458325575557e-83,1.5268057369073306e-81,0.2582716744804497,0.31299386311093913
LGMN,0.28579767567089204,2.791500649131284e-83,1.628922731728373e-81,0.2582024319753704,0.3129269396237065
NFKBIA,0.2663994019418585,4.568868385078966e-72,2.5898956788561905e-70,0.23849853939156107,0.29386085044283444
ID3,0.2635372229108343,1.714794964024933e-70,9.450425579515186e-69,0.23559321030315938,0.2910458333962921
MT2A,0.260586940171375,6.853068646653867e-69,3.674726539178722e-67,0.23259897193696247,0.2881436657565276
HSPB1,0.2602948113586147,9.847197807146838e-69,5.141273802468244e-67,0.2323025196250652,0.2878562736205614
PPP1R15A,0.2568640499594395,6.706533396789212e-67,3.411733912623025e-65,0.22882137219018583,0.28448076823986995
