,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
LYPD3,0.5897436010230299,3.503260934400214e-89,6.85938490955562e-86,0.5448138202804862,0.6312969993477936
CXCL11,0.5430999432332276,2.3073992204808466e-72,2.2589438368507487e-69,0.4946856208216186,0.5881537938219745
CXCL9,0.4747763754893346,1.3861337414020088e-52,9.046832885550444e-50,0.4218348799100849,0.5244913667889662
MKI67,0.44436039496036495,2.8183874580707345e-45,9.19733773817083e-43,0.3896219265620161,0.49597045403073964
IDO1,0.40625147018437086,3.314521196508394e-37,7.210925003070484e-35,0.3494496789829947,0.46007804744510195
UBE2C,0.30238848235623245,2.753801044445547e-20,1.4189322223748369e-18,0.24101329029438048,0.36135467335898264
TOP2A,0.28543589220801174,3.973314785642946e-18,1.8975000854363145e-16,0.2234585093253954,0.34511448780765713
RP11-481A20.11,0.2683550288062808,4.2007140927297606e-16,1.8693177712647434e-14,0.20581146965252128,0.3287151968445042
A2M,0.2614427886780822,2.5154569257295045e-15,1.0707097088213846e-13,0.19868165343112706,0.32206841215124093
HIST1H1B,0.24569535118780464,1.213456073116374e-13,4.658719590513452e-12,0.18246330358264548,0.3069033826831531
MMP14,0.2411573860829628,3.523835418697593e-13,1.301824481096205e-11,0.17779601292957628,0.30252747467359686
HIST1H4C,0.2266985532482499,9.073271863645649e-12,2.96091105150303e-10,0.16294411026709169,0.2885677124196872
CENPF,0.210691693133454,2.557295309127826e-10,7.0523721341863155e-09,0.1465357262033413,0.27308261566240916
AC040977.1,0.20129857360187586,1.6046302672184292e-09,4.134034293702216e-08,0.13692339418672303,0.26398059793745526
S100A12,0.19803783592581387,2.9730170891428322e-09,7.276459325677082e-08,0.13358939119371893,0.260818301094693
CXCL10,0.19643465120704148,4.010322326144389e-09,9.460495318783993e-08,0.13195071937817204,0.2592630219111626
HIST1H1D,0.17974882940605297,7.77085309271062e-08,1.6538402560355863e-06,0.1149164484894704,0.2430564293194397
ASPN,0.17524185674462603,1.6516949412274797e-07,3.4042302051825315e-06,0.11032188787645437,0.23867282920068844
GIMAP7,0.16675437592912573,6.480646051231041e-07,1.2440298988539586e-05,0.1016769885653496,0.23041065839443095
IL32,0.16155226664237077,1.4481393800528355e-06,2.7004351487080494e-05,0.09638324877973604,0.225342104432456
ITPR3,0.1607315840950203,1.6401647462098558e-06,3.0296628047914127e-05,0.0955484472009684,0.22454217606106944
ASPM,0.16050513351807735,1.6973077690977234e-06,3.105914590554526e-05,0.09531811690495431,0.2243214370351206
AAK1,0.15774078112783202,2.568262016455227e-06,4.5715063892903045e-05,0.09250696614867092,0.2216262793206285
SPAG4,0.15619159744903785,3.2291617345671816e-06,5.645266675252269e-05,0.09093201054506678,0.22011544646396963
CD3E,0.15592564518283805,3.357878551044287e-06,5.818341772517446e-05,0.09066166677534354,0.2198560471323242
