,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
CTSK,0.8405830837392142,0.0,0.0,0.8347009001154438,0.8462734877273768
CKB,0.769163516753713,0.0,0.0,0.7609882898180049,0.7770945110501971
MMP9,0.7367451473258363,0.0,0.0,0.7275985802485365,0.745629815232531
S100A3,0.7069487709479677,0.0,0.0,0.6969475993541134,0.7166749954850087
SLC9B2,0.6017459623127859,0.0,0.0,0.5890189005910206,0.6141745951445542
AK5,0.5229930810736183,0.0,0.0,0.5085215296875453,0.5371692549313325
ACP5,0.4760209845820244,0.0,0.0,0.46062906685903293,0.49112669316232677
CA2,0.45501115425096295,0.0,0.0,0.43923654208055063,0.47050527236983275
PPIC,0.3741262097169433,0.0,0.0,0.3570449499271618,0.3909573383005882
MATK,0.3602082429021567,1.4746678199338153e-307,2.9272156225686233e-305,0.3429287689133545,0.37724402991462214
IGFBP6,0.31758565810038536,1.579892734108695e-234,2.850988252005236e-232,0.29974766096396926,0.33520167329851963
COL6A2,0.2965407367114153,7.491115620236433e-203,1.2391553755141101e-200,0.27845388738440563,0.31441733553083373
COL6A1,0.26514179103317587,1.438798672787674e-160,2.196934896525795e-158,0.2467166755664907,0.28337528442794696
AC092484.1,0.26138102168415855,6.912132753909681e-156,9.800416797507655e-154,0.24291803938102727,0.27965469768785534
EXT1,0.2611720507507712,1.2514393657673253e-155,1.6560714273654273e-153,0.24270698094351453,0.2794479434446168
RUFY4,0.25875953528993806,1.1372405051633388e-152,1.4108890017182673e-150,0.24027049236138837,0.2770608963642985
SPP1,0.25621513678047714,1.382670551395592e-149,1.6144712026589704e-147,0.23770106260662877,0.2745431137066438
RAB13,0.23956163324347596,2.816910076463499e-130,3.1064258343222474e-128,0.22089012074579592,0.2580576074662067
SELM,0.23066682508889605,1.4046789759910559e-120,1.4675198775485504e-118,0.21191576629663986,0.249248113548057
CRABP2,0.23043807216369,2.4627616575119386e-120,2.4442909450805992e-118,0.21168500933630222,0.24902151413184162
CSTB,0.22405046671290418,1.227363472365862e-113,1.1601507107839218e-111,0.20524228823467908,0.2426932206822316
COL27A1,0.22199001221225975,1.5985623947128593e-111,1.437706261643666e-109,0.20316440269296482,0.24065155999295101
ADAMDEC1,0.22197247143003077,1.665856121803744e-111,1.437706261643666e-109,0.20314671424701808,0.24063417849471264
MMP14,0.2211502084021548,1.1463312265509945e-110,9.481114519598852e-109,0.20231754294376872,0.23981936882514845
SPARC,0.2134874603738983,4.977995670249345e-103,3.952528562177979e-101,0.19459171409106518,0.2322248144768678
TM4SF1,0.21190371839035504,1.7293215025562748e-101,1.320270454836233e-99,0.19299522682145767,0.2306548818653097
FXYD6,0.1886920733375361,2.3091437380328095e-80,1.6976482666648617e-78,0.16960826494548117,0.20763442374054786
PRKCDBP,0.17816949214413813,1.144225479671055e-71,8.11174134695373e-70,0.15901328290824557,0.19719159746406878
MYO10,0.17673473821580038,1.5930364862817448e-70,1.090406008713539e-68,0.15756899886588335,0.19576738362448187
NRIP3,0.1662199158835139,1.9092713498850145e-62,1.2633012098405847e-60,0.14698683534240492,0.18532735512488943
ANPEP,0.15576897837149367,6.1242895363336e-55,3.921520880523289e-53,0.13647332657680716,0.1749464811431656
HIST1H2AC,0.14409815345549484,3.64390154317575e-47,2.2603576760012073e-45,0.12473776176913284,0.1633488564401626
TFPI,0.12364764675302077,4.623731442672815e-35,2.622316261058725e-33,0.10418686714036712,0.14301377866511575
GOLM1,0.12291762765309927,1.1527395785804039e-34,6.326944702941273e-33,0.10345357157933377,0.1422875776368118
MAP4K4,0.11292353331878453,1.7829780918465461e-29,9.074901313629215e-28,0.09341674909928936,0.13234365613395654
CALR,0.1057561224276967,4.975043961043111e-26,2.296619130853622e-24,0.08622113553447788,0.12520981963183245
RP11-1008C21.1,0.10468361479503385,1.5584231944949468e-25,6.874377869049932e-24,0.08514458302107875,0.12414216290615718
COL18A1,0.09997697443901796,2.034554691655291e-23,8.413731381116151e-22,0.08042073126402643,0.11945627771374506
RP11-802E16.3,0.09836889541656398,1.0206095496040027e-22,4.05181991192789e-21,0.07880697308132618,0.11785509101077941
F5,0.09534318479053591,1.9757465656411184e-21,7.542032563072346e-20,0.07577085463640928,0.11484207404533586
IL32,0.09511297269529106,2.4659863639210707e-21,9.235816853553445e-20,0.07553986551509717,0.11461281306332867
EEPD1,0.09425999844646892,5.5797356521600246e-21,2.0510694943588237e-19,0.07468403056552575,0.11376334474169646
CD9,0.09406745592330995,6.702238444527397e-21,2.3340251425240147e-19,0.07449084628363578,0.11357158966905882
SPINK2,0.09366573879925022,9.812591140118536e-21,3.301354815785643e-19,0.07408779493695937,0.1131715107885558
NRP2,0.09190122190181599,5.135821740871587e-20,1.671246910759033e-18,0.07231749329594327,0.1114141148578903
PPFIBP1,0.08451943687311068,3.7139051620919873e-17,1.0684205430076223e-15,0.06491284568122617,0.10406079662043743
HIST1H1C,0.08349434739416219,8.87277377162913e-17,2.446174435650531e-15,0.06388475203880346,0.10303949128702136
MAPK13,0.08299736305189569,1.3482945368448936e-16,3.666252952927553e-15,0.06338632619803264,0.1025443267420547
FILIP1L,0.08279977741458225,1.5912353799348812e-16,4.26838139077127e-15,0.06318817018327809,0.10234746190869339
TGM2,0.08224589019233451,2.526524417831249e-16,6.598882854467143e-15,0.06263269227816369,0.10179558713667737
TNFRSF12A,0.08220520114359761,2.613491034274243e-16,6.737376237706977e-15,0.06259188685554666,0.101755045449875
MSC,0.08123911960083853,5.808578108630081e-16,1.441253443203839e-14,0.061623061504282754,0.10079244365179321
SPHK1,0.07641191212726083,2.7319594764047892e-14,6.093190517599446e-13,0.05678269780848381,0.0959820748556213
ANKRD28,0.07587593484513204,4.1299060790768494e-14,9.108737296630607e-13,0.056245316667643,0.09544791082630986
TXN,0.07488436438696501,8.804056826743419e-14,1.920445362756669e-12,0.055251179022005145,0.09445966521162083
GBE1,0.07462777642413367,1.0692016054658484e-13,2.282113104139472e-12,0.05499393308951701,0.09420393133262739
SERPINE1,0.07169944577265466,9.373464413791317e-13,1.8986047817730374e-11,0.05205827790868722,0.09128516498242582
FAM151B,0.07074463876382668,1.86782232032038e-12,3.707627305835954e-11,0.051101156055559066,0.0903334037398901
LMNA,0.07036018661507631,2.459209880846278e-12,4.7858153073331975e-11,0.050715782026414406,0.08995016786173031
SLC6A8,0.06822850810483483,1.100642011259354e-11,1.986158538499834e-10,0.0485790980879498,0.08782512796259812
CTSD,0.06758978020428884,1.709493385076476e-11,2.925296870152418e-10,0.04793890539479729,0.08718835449875673
JDP2,0.06723443510661224,2.1801829905062415e-11,3.6063860301290744e-10,0.047582752374624,0.08683408978424263
C17orf96,0.06218688098991069,6.033116517018943e-10,9.212104835602001e-09,0.042524261531848184,0.08180134677795413
PDLIM5,0.05875340174737668,5.004833137038284e-09,7.096138412157853e-08,0.039083918834112163,0.07837737070673739
HSPG2,0.05864099485378416,5.353335889158407e-09,7.48336038026721e-08,0.038971295124192756,0.07826526710538581
COPG1,0.05574407748748797,2.9079389738627533e-08,3.900174907511869e-07,0.036068962420886336,0.07537599488075117
TBKBP1,0.05499802223395089,4.437241702992562e-08,5.911358913047139e-07,0.035321566273296266,0.07463185512991065
AGAP3,0.052351071948866325,1.90243238900935e-07,2.3310668470268888e-06,0.0326700361547313,0.07199152448655441
SPRY1,0.05167112627535218,2.734914159537416e-07,3.290184610110165e-06,0.03198895873826888,0.07131323481920328
IGSF21,0.05035373702135337,5.455452076373075e-07,6.3993054465242706e-06,0.03066942875421361,0.06999900236664626
RP3-473L9.4,0.0497587826119262,7.411006140474102e-07,8.602834613357363e-06,0.030073530045398155,0.06940545126515742
BIRC3,0.04768494907785926,2.0991685719905616e-06,2.3675281905689005e-05,0.02799651435517787,0.06733640048970299
SLC9A3R2,0.047190664049323185,2.674024893769376e-06,2.965329281638107e-05,0.027501495967273516,0.06684323045661018
PTTG1,0.04576567057261245,5.30285178849752e-06,5.720739565308465e-05,0.026074442308215748,0.06542139769457482
MTRNR2L12,0.045589073713278194,5.76460441977707e-06,6.185264742301342e-05,0.025897595723340144,0.06524518697820801
SULT1B1,0.04545400213305289,6.143497254999496e-06,6.556366694179569e-05,0.02576233397031435,0.06511040991526411
VNN1,0.045407095412472204,6.28056437484377e-06,6.666802290943788e-05,0.02571536137651706,0.06506360530483199
SRC,0.044497569325963784,9.594117496003937e-06,9.766319604906572e-05,0.02480457519067343,0.06415604204695304
CYCS,0.04427270831853868,1.0640612188298528e-05,0.00010776334282537031,0.024579407690645535,0.06393166129361842
RCN3,0.042011924667988226,2.9333466421304454e-05,0.0002911346542314467,0.022315653551224304,0.06167559572502761
MT-ND6,0.041938512923935384,3.029068622481818e-05,0.00029913936396151286,0.022242148735518243,0.061602333817217234
FAM129B,0.04151253714177399,3.6457792465449334e-05,0.0003547486178623379,0.02181563710246054,0.0611772232864191
RP11-838N2.4,0.041128554611804195,4.302247310335188e-05,0.00041456120927258974,0.02143117769065726,0.06079401459612589
PIK3CB,0.04062183650892729,5.3413707814846867e-05,0.0005122039131037248,0.020923839192319132,0.060288308808920985
DFNB31,0.03974389102716816,7.725723333054105e-05,0.0007166149914071214,0.020044842820989693,0.059412093376861264
RNF19B,0.03964773729862147,8.040834475236151e-05,0.0007423747178299423,0.01994857584785829,0.059316127284132644
ITGA5,0.039609724370524985,8.168727803670556e-05,0.0007506909578836136,0.019910518250964848,0.059278188434758176
AKR1C1,0.039269192440306924,9.403368034334397e-05,0.0008484402521888081,0.019569588709740952,0.05893831759090426
MED25,0.03888332756621459,0.00011014737847967502,0.000980459848798901,0.019183278829673554,0.05855319629866501
KRT18,0.03869014988829747,0.00011916081814927594,0.0010466116107358972,0.01898988057542364,0.0583603886849388
FXYD2,0.038663834650509404,0.00012044115268047052,0.0010531968637477267,0.018963535404161107,0.0583341237448275
PLEC,0.03842548991333872,0.0001326429638129425,0.0011398107496480123,0.01872492079680611,0.05809623332799982
OSCAR,0.03818970277417771,0.00014585271436362308,0.0012372548632982555,0.018488868891501045,0.05786089343588246
CAMTA2,0.03800418152618369,0.00015710679474674192,0.00131585226823748,0.018303140864920252,0.05767572255244756
