,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
C1QC,0.2449177214665168,2.540866206062705e-136,3.1522621368965436e-134,0.22629563411365256,0.26336083974571456
C1QA,0.24120826946001236,4.054492160008188e-132,4.734215845656619e-130,0.22255182975197424,0.25968811270911324
C1QB,0.23288194053929528,5.91503348582474e-123,6.52296748297895e-121,0.21415039585935966,0.2514422703842822
IER3,0.2151514690737129,1.1594652795264693e-104,1.2113360946631798e-102,0.196269221888631,0.23387420875336257
CD14,0.2098354830280071,1.7010389721071062e-99,1.6078868379202883e-97,0.1909104979054912,0.2286045333927567
CCL3,0.20904226479507002,9.754771493579942e-99,8.801464279434629e-97,0.19011099928744277,0.22781813103558884
MS4A7,0.20485264086524613,8.757019818783923e-95,7.24278514178587e-93,0.1858886200995294,0.22366410083954924
CD163,0.1847809099823237,4.5570134096458125e-77,3.3502487474618285e-75,0.1656696755724842,0.2037534087714918
FCGR3A,0.18408435165142467,1.7284576249706883e-76,1.2253529948452917e-74,0.16496829675832106,0.20306215715442055
C5AR1,0.1826833376790928,2.4830287322546003e-75,1.6995903563880624e-73,0.16355764571478573,0.2016717594866375
CXCL2,0.18179923829225694,1.319352028226518e-74,8.729712586765461e-73,0.16266750517355272,0.20079432005327047
CTSB,0.17583635975179182,8.190043976814666e-70,5.244270094831327e-68,0.15666469481455797,0.1948755640130532
APOE,0.1734575954183455,5.9869325449612535e-68,3.4953120887494375e-66,0.15427039569335396,0.19251401444032465
CTSL,0.17317457417944773,9.934609855077945e-68,5.634343017808491e-66,0.15398554115260896,0.19223302668938538
TREM2,0.16897808690254387,1.6336119314920924e-64,8.764107254085956e-63,0.14976224490754275,0.18806632416482638
PLAUR,0.1682173833597761,6.124387352575424e-64,3.1991865512795306e-62,0.1489967567301989,0.18731094617703117
SOD2,0.16686058805946583,6.365314912320417e-63,2.9384070002223322e-61,0.1476314847127052,0.18596359350801614
PLIN2,0.16619458426523126,1.9938358602152994e-62,8.994918596653112e-61,0.146961346805103,0.18530219848567647
SLCO2B1,0.16523891838581414,1.0174767231306503e-61,4.4882028786985355e-60,0.14599977962422578,0.18435311560746717
A2M,0.16378757853373346,1.1862087378121243e-60,5.118748575124058e-59,0.14453954717133297,0.1829117049765896
DAB2,0.1637256950903109,1.316491959706472e-60,5.5600777447177595e-59,0.1444772864212383,0.18285024307598335
CXCL3,0.16297764934434414,4.6242713842164056e-60,1.9123288953478262e-58,0.14372469185627992,0.1821072811054987
MSR1,0.16033381248637874,3.733827251580188e-58,1.5125810396707498e-56,0.14106495642597067,0.17948123692390894
STAB1,0.15963865283977577,1.1697620383225768e-57,4.643955292140629e-56,0.14036566265494238,0.17879071030078242
OLR1,0.15933467839594267,1.9241590511408766e-57,7.489128855911059e-56,0.14005988651289655,0.17848875582329324
IL1B,0.1584235930103165,8.500736754846502e-57,3.1837665015793033e-55,0.13914342302208493,0.17758370315623231
VSIG4,0.15668046342575656,1.422266327357251e-55,4.9529801049195495e-54,0.13739009584031775,0.17585202531037894
GPR34,0.15664769132807863,1.4991556491872114e-55,5.130730971787266e-54,0.1373571331781193,0.17581946737732446
MS4A4A,0.15529442021370368,1.305066549508296e-54,4.390774747074521e-53,0.13599603031613341,0.17447500322192205
NFKBIA,0.14913684732768573,1.9193205132681237e-50,6.2456577357987306e-49,0.12980374164302944,0.16835660004142863
APOC1,0.14912520215410086,1.9537134384004006e-50,6.2550341535883796e-49,0.12979203224363212,0.16834502754220634
CCL3L1,0.1468922157589005,5.730835664902764e-49,1.8056680626717439e-47,0.12754683006302306,0.16612587869337364
SDS,0.1439641002852733,4.437878193175454e-47,1.355259725146658e-45,0.12460299644558769,0.16321561314579347
SEPP1,0.14362960239347208,7.251502305742287e-47,2.1809442540755213e-45,0.12426672465919088,0.16288313304455607
LPAR6,0.14047274177027874,7.038551473744888e-45,2.024858648606319e-43,0.12109334176045866,0.15974510015811283
MAFB,0.1380428488468794,2.2160186885444267e-43,6.195488868677024e-42,0.1186510011085474,0.1573294339716785
SLC40A1,0.13764653660183254,3.866577511159219e-43,1.0659939388404235e-41,0.11825268091105214,0.1569354201951578
LIPA,0.13639784033741686,2.2095842154732565e-42,6.008252969471801e-41,0.1169976988234526,0.15569392576655156
C3,0.1360687315238909,3.488413336253524e-42,9.357433070896278e-41,0.11666694362263536,0.15536670493186616
GADD45B,0.1347805166981281,2.0611223056938716e-41,5.455103702403113e-40,0.11537232581252227,0.1540858393999765
IL8,0.13391321481126503,6.748606787414153e-41,1.7626295359233018e-39,0.11450075019815101,0.15322344893977427
MT2A,0.1331743561023579,1.842117660647171e-40,4.7488357875125124e-39,0.11375827425311263,0.1524887510966028
CCL4L2,0.13302480142095288,2.2557234111420517e-40,5.7405268860474007e-39,0.11360799003490386,0.15234003603106444
TMEM176B,0.12781681945553272,2.2533664248658748e-37,5.522138707850323e-36,0.10837515737759064,0.14716074661250148
CCL3L3,0.1255968742865149,3.9247587674349355e-36,9.386320666696803e-35,0.10614494684690226,0.1449527093790238
DUSP1,0.1230901217923336,9.294047938362966e-35,2.1451959485640103e-33,0.10362683799515025,0.14245917149623213
SLC1A3,0.1228034335021891,1.3291472199474885e-34,3.0325945190755914e-33,0.10333886681764441,0.14217397884645167
FOLR2,0.122701964163348,1.5082532625399953e-34,3.402139461524876e-33,0.1032369442004914,0.142073038098174
CD81,0.12233704863004653,2.374273269283674e-34,5.295429707334937e-33,0.10287040191477823,0.1417100202123831
HBEGF,0.12152292474396786,6.501136433483917e-34,1.4338617578295084e-32,0.10205266780985567,0.14090011118354526
BCL2A1,0.12122342663386873,9.400825285658443e-34,2.050619581541979e-32,0.10175184820076115,0.1406021571001077
PLTP,0.12027730700421432,2.9957290306530355e-33,6.326087367921569e-32,0.10080157732516715,0.1396608920175232
CPM,0.11963790887388247,6.521875759469341e-33,1.3627287771101728e-31,0.1001593938583451,0.13902475480687015
MERTK,0.11852493122383041,2.500855686229216e-32,5.171040142880202e-31,0.09904160658056273,0.13791741515856704
CCL4,0.1178440712091345,5.654841709606575e-32,1.1572021436669125e-30,0.09835782853268794,0.13723998026970327
SAMSN1,0.11776316128788972,6.228572555154228e-32,1.2616037267327698e-30,0.09827657307046861,0.1371594761666906
TNFAIP3,0.1175777892595673,7.770161000433679e-32,1.5579565238243286e-30,0.09809041035574678,0.1369750329390236
SOCS3,0.11593970242465415,5.40007672647428e-31,1.0613022081239055e-29,0.09644539569470828,0.1353450952271475
PLAU,0.11335739013915458,1.0844223867322486e-29,2.0500747025366795e-28,0.09385237849894477,0.13277541606592852
CEBPB,0.11235669019539309,3.4041956790159145e-29,6.315260208267841e-28,0.0928476013171367,0.13177954153531315
HMOX1,0.10979164975963433,6.095316494271298e-28,1.1100186459750941e-26,0.09027229135985725,0.12922669076262255
PDK4,0.10852159640433705,2.4803255569619575e-27,4.4758602096086234e-26,0.08899724977401327,0.12796257762772045
RHOB,0.10560990241891878,5.817079845697299e-26,1.0218498666999239e-24,0.08607436138222496,0.12506426362261575
CTSD,0.10511359072193159,9.874035068558995e-26,1.7192947027271584e-24,0.08557617509083812,0.1245701994808022
CCL20,0.10263703367361053,1.3327964065707776e-24,2.2806904026232702e-23,0.08309040995431109,0.12210471335889768
NLRP3,0.10244380372511679,1.6285688957059994e-24,2.7629993657918025e-23,0.08289647178640973,0.12191233709954094
VEGFA,0.10242860247267312,1.6544233867782323e-24,2.7830766294532126e-23,0.08288121488170659,0.12189720294410632
ATF3,0.10156172130864972,4.0461815527219585e-24,6.749302842145452e-23,0.08201117519933748,0.1210341331397443
