,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
CLEC9A,0.836681122227826,0.0,0.0,0.8306682091387068,0.8424988886996094
DNASE1L3,0.6907784821628445,0.0,0.0,0.6803288048484776,0.7009473650388248
IDO1,0.6831112745760047,0.0,0.0,0.6724526901665814,0.6934865876872153
TACSTD2,0.5800081778789603,0.0,0.0,0.5667743286965192,0.5929427979779412
CPNE3,0.40587606169543783,0.0,0.0,0.38927619708767536,0.4222123793132286
DUSP4,0.2800105663030137,7.183550575929811e-180,2.376557982203446e-177,0.26174070971258606,0.2980798186756459
S100B,0.2642732138228127,1.763422355125541e-159,5.000561964177427e-157,0.2458393024471223,0.28251603642742334
LGALS2,0.25672418581684364,3.3607123270208936e-150,8.338767461420593e-148,0.2382150988257379,0.27504685791217
HLA-DQA2,0.25181800180194513,2.4377061671221055e-144,5.3764963797082e-142,0.23326128026231285,0.27019138273994653
HBB,0.2280005827819408,9.387369586279545e-118,1.8633928628764897e-115,0.2092262956789381,0.246606845232817
CST7,0.21276901422721012,2.4981879146581474e-102,3.8145407773818635e-100,0.19386747378674815,0.2315126448897322
IGLL5,0.20209997193083304,3.099051698211293e-92,3.8447610130933856e-90,0.1831148114981094,0.22093444565643158
DBN1,0.19594339947647693,1.1324101313647906e-86,1.1830705846100575e-84,0.1769120523167532,0.21482827717145028
TSPAN2,0.16893985540480766,1.7460589172970946e-64,1.5069247612324925e-62,0.14972377239346926,0.1880283608581833
PTPRCAP,0.15185982326945535,2.8982210374265297e-52,1.9837823307902281e-50,0.13254188347883622,0.17106243718008188
HLA-DRB5,0.1488046275236493,3.183828485758494e-50,2.038677272332455e-48,0.12946969168775135,0.16802645145043563
IGJ,0.1460383957169514,2.0565756414359115e-48,1.166372185214367e-46,0.1266883915041739,0.16527729818133757
BZRAP1,0.1455330994066202,4.3647150730039517e-48,2.4066553944202346e-46,0.12618037557683878,0.1647750892415787
HLA-DQB1,0.12610860336755117,2.0405029056510728e-36,6.750663779528966e-35,0.10665902488410678,0.1454617106093509
HLA-DPB1,0.12473498701064857,1.1737676959027429e-35,3.757949800591846e-34,0.10527912681214223,0.1440953933670975
KLRB1,0.12433765944024393,1.9398783136088694e-35,6.11215627383112e-34,0.10487999618418724,0.14370016334890748
KIAA0101,0.12331446793273793,7.020414086712368e-35,2.1114427215339472e-33,0.10385219032700568,0.14268234498953697
HLA-DQA1,0.11269888903523083,2.3047755203216904e-29,6.09997254378474e-28,0.09319118993668432,0.1321200946906113
HLA-DPA1,0.11153963855741675,8.596612297917284e-29,2.2161396638137413e-27,0.09202725015962011,0.13096640067620988
PMAIP1,0.10708088957489381,1.1945508350387287e-26,2.9273869229035514e-25,0.08755096191974195,0.12652853271661185
CCR7,0.10439913508394712,2.1055233581209552e-25,4.803981455023099e-24,0.08485903807150974,0.1238589623242496
MARCKSL1,0.10289160909283102,1.0229040627648389e-24,2.281420859087871e-23,0.0833459206944454,0.12235816183190999
TUBA4A,0.10174570625451161,3.348813983448404e-24,7.14773737327428e-23,0.08219582801112989,0.1212173116322258
CXCR4,0.09922989720501149,4.317944857977981e-23,8.928250565714888e-22,0.07967100286935017,0.11871241509808603
LTB,0.09800926328693958,1.458584087050888e-22,2.9345779326613093e-21,0.07844608488714562,0.117496986420613
MKI67,0.09676988171660703,4.942788802411525e-22,9.714292844343443e-21,0.07720241388849503,0.1162628302999166
BIRC3,0.09631797662874131,7.683336968902146e-22,1.4874499220491814e-20,0.07674895993203935,0.11581281554696064
CLIC3,0.09630339817852582,7.793188508469263e-22,1.4874499220491814e-20,0.07673433165013803,0.11579829794565777
BTG2,0.09627684372593846,7.9972889297571725e-22,1.5076139342824954e-20,0.07670768645144803,0.1157718543071498
PNOC,0.09627000097399227,8.05073435939267e-22,1.5076139342824954e-20,0.07670082031988998,0.11576504010613461
UBE2C,0.09569937321577164,1.4006729649154898e-21,2.5743850327381917e-20,0.07612824943030476,0.11519678679745525
HIST1H1D,0.091931157824153,4.994922529429481e-20,8.932361460286053e-19,0.07234752633044843,0.11144393098715953
PRKCZ,0.09139550351760006,8.205539533522577e-20,1.4287715766703787e-18,0.07181013972820906,0.11091041487178271
HIST1H1B,0.09017269370153357,2.520689644179784e-19,4.350929516258149e-18,0.0705834179736279,0.10969244404319949
ZNF516,0.08925676771666864,5.785137931739333e-19,9.899567926295325e-18,0.06966460062581131,0.10878010422461937
NLRC5,0.0887191815788491,9.383483371448267e-19,1.5652281085987234e-17,0.06912533293554753,0.10824460760426723
CD55,0.08835207472820801,1.3033958895419467e-18,2.156034033950637e-17,0.0687570843658688,0.10787892113257268
TSPYL2,0.08581700103699554,1.2147772700186247e-17,1.9446232911185243e-16,0.0662142722238191,0.10535351169427111
ADAM19,0.08574752387622193,1.2902375542366815e-17,2.0488972361278503e-16,0.06614458656468769,0.1052842958476418
VMO1,0.08569065319432333,1.3554327673168618e-17,2.135344478669818e-16,0.06608754535832802,0.10522763892411818
DDIT4,0.08479622326430687,2.9303484829838886e-17,4.580111605293715e-16,0.06519045036920233,0.10433655418117825
HIST1H4C,0.08244101942629237,2.1475323134480893e-16,3.2051516106725246e-15,0.06282838050833121,0.10199000877630628
SPINK2,0.08047199127641501,1.0879273029900968e-15,1.5878938944377515e-14,0.060853780755536525,0.10002805238240357
MAP2K6,0.08033954704288303,1.2116948716084624e-15,1.7556308906151807e-14,0.06072096726647477,0.09989607836294323
PSTPIP1,0.07973547850062909,1.976281435448874e-15,2.8222436326374206e-14,0.06011522338601274,0.09929414570664362
SELL,0.07765687877126154,1.0347014769848117e-14,1.4566542069608873e-13,0.05803096922542493,0.09722278618328033
CD3E,0.07699966897891135,1.7307809489078048e-14,2.385833460820828e-13,0.05737200721770801,0.09656783032261786
STMN1,0.07635957153153636,2.844819022110526e-14,3.894459144061651e-13,0.056730219618515404,0.09592991182882162
PPP1R14A,0.073845466744124,1.9255785200100262e-13,2.514653527776251e-12,0.0542096334167795,0.09342420971789141
ERO1LB,0.07262974409365552,4.746529410317141e-13,6.039654409922773e-12,0.052990866362350245,0.09221246130369923
IL7R,0.07245725843358528,5.388283999877009e-13,6.812575630417746e-12,0.052817953504135214,0.09204053480629934
F12,0.07091738971471494,1.6498712067088146e-12,2.0216014477265415e-11,0.051274323152018866,0.09050560627883848
ASNS,0.07052465322327918,2.186598280376197e-12,2.646583894235824e-11,0.050880642294212575,0.09011411486580981
FAM160A2,0.06970079716596571,3.928321550847448e-12,4.641498975257252e-11,0.05005482504379125,0.08929285097942671
AP1G2,0.06947745899803932,4.599174307255376e-12,5.370212352883483e-11,0.04983095984650735,0.08907021093000256
R3HDM4,0.06945291502428586,4.679416428528813e-12,5.431954158262979e-11,0.04980635807472253,0.08904574355728126
PTGDS,0.06916159235932906,5.743215449779678e-12,6.628071318495733e-11,0.049514351201705595,0.088755328295926
CKS2,0.06793880659780965,1.3446004097658681e-11,1.5427929557140163e-10,0.04828873020872705,0.08753631489480018
PIK3CB,0.066813334196802,2.9037805033736784e-11,3.293716742398144e-10,0.04716070050722862,0.08641426276214643
ELANE,0.06612053253545559,4.635459013310711e-11,5.140439185151823e-10,0.046466349584313366,0.08572354177199129
TOP2A,0.06600642842310174,5.004387590838506e-11,5.518727426563574e-10,0.046351992130889495,0.08560977853785871
SLC25A29,0.0650647945578919,9.368819934786934e-11,1.0274645066603351e-09,0.045408287258964154,0.08467093822411233
INSIG1,0.06396397736544515,1.9286428562474422e-10,2.069381659270904e-09,0.04430509343539526,0.08357334269456156
AC093673.5,0.06368675874327036,2.3088812132953801e-10,2.464047961500715e-09,0.0440272838636985,0.08329692788333531
KRT18,0.06355040764121761,2.5218516190048337e-10,2.6769387506548637e-09,0.04389064321622604,0.08316097103183509
