TF,fdr,nes,es,tag %,gene %,lead_genes
HMGB2 human tf ARCHS4 coexpression,0.0,2.3083825712379324,0.9209761682474601,16/18,5.90%,TUBA1B;KIAA0101;PTTG1;HIST1H4C;CKS2;MKI67;CENPF;ASPM;TOP2A;UBE2C;KIF11;LMNB1;WEE1;FOXM1;SPAG5;KIF22
TCF19 human tf ARCHS4 coexpression,0.0,2.248403699315214,0.8569726767271671,15/23,10.16%,TUBA1B;CALR;MKI67;KIF11;LMNB1;PPP6R1;FOXM1;TRIM28;SPAG5;KIF22;APOBEC3B;UBE2S;H2AFX;NUP153;ALYREF
IRF8 human tf ARCHS4 coexpression,0.0,2.2276311120098176,0.778338343055783,10/42,3.69%,HLA-DQA1;HLA-DQB1;HLA-DPA1;HLA-DPB1;HLA-DQA2;HLA-DRB1;GPR183;IL3RA;NFKB1;FCGR2B
FOXM1 human tf ARCHS4 coexpression,0.0,2.178748557109003,0.783357143361805,14/29,10.85%,TUBA1B;CALR;MKI67;KIF11;LMNB1;TRIM28;SPAG5;KIF22;UBE2S;WDR62;H2AFX;NUP153;ALYREF;CDK16
HMX2 human tf ARCHS4 coexpression,0.0,2.1086242007080314,0.8167153527756723,10/21,8.85%,HLA-DQB1;HLA-DRB1;HSPE1;MKI67;HIST1H1D;HIST1H1B;HIST1H1E;LMNB1;TRMT6;H2AFX
MKRN1 human tf ARCHS4 coexpression,0.0,-2.1525403195092,-0.5954374427952371,25/49,21.17%,DMXL2;VNN2;CLEC12A;KCNE3;CR1;GIMAP8;FPR2;CHST15;PLBD1;MAP3K1;TLR8;EIF4E3;ARAP1;GLT1D1;FAM65B;KDM7A;FRAT2;SYNE1;MEFV;RBM38;MXI1;MCTP2;TNFRSF10C;TMEM154;TECPR2
KLF2 human tf ARCHS4 coexpression,0.0,-2.1551740074711883,-0.5737679967917189,46/94,22.59%,NCF1;CSF3R;HK3;NFAM1;SIRPB1;GIMAP8;DOK3;RASSF3;NADK;DPEP2;PPM1M;PXN;KLF13;LFNG;ABTB1;FGD3;NBEAL2;ARAP1;NLRC5;GLT1D1;AP5B1;FAM65B;GRK6;IQSEC1;FRAT1;PSTPIP1;JUND;ATG16L2;MAP3K3;NLRP1;RASGRP4;CCDC88B;RP11-206L10.2;CSF2RB;YPEL3;ITGAL;ABCA7;SLC46A2;ANKRD13D;TNFRSF10C;RNF44;SIPA1;JAK3;PRKD2;ZNF467;UNC13D
ZNF524 human tf ARCHS4 coexpression,0.0,-2.1877703257597867,-0.5909050267486383,23/71,8.95%,NCF1;MSRB1;CEBPB;HK3;NFAM1;FCGR3A;OSCAR;DOK3;NADK;DPEP2;PPM1M;PXN;PLEKHO2;LFNG;EHD1;ABTB1;FGD3;NBEAL2;ARAP1;AP5B1;TOM1;GRK6;PSTPIP1
NFYC human tf ARCHS4 coexpression,0.0,-2.188638370342079,-0.5677730503554631,28/73,12.64%,NCF1;MSRB1;C5AR1;CSF3R;NFAM1;SIRPB1;OSCAR;DOK3;FPR2;NADK;NLRP12;LILRA6;DPEP2;PPM1M;PLEKHO2;ABTB1;FGD3;NBEAL2;ARAP1;GLT1D1;AP5B1;GRK6;PSTPIP1;FRAT2;ATG16L2;BCL6;CEBPA;MEFV
SLC22A4 human tf ARCHS4 coexpression,0.0,-2.1905917072846353,-0.6405058855298311,20/50,8.48%,NCF1;MSRB1;C5AR1;VNN2;NFAM1;KCNE3;DOK3;DYSF;FPR2;NADK;LILRA6;CLEC4D;TLR8;TREM1;ABTB1;AQP9;ARAP1;GLT1D1;AP5B1;FRAT1
