TF,fdr,nes,es,tag %,gene %,lead_genes
NFE2L2 human tf ARCHS4 coexpression,0.0,2.6927392749903625,0.7405628677096459,50/89,13.57%,CXCL3;CTSL;CXCL2;CTSB;OLR1;VSIG4;BCL2A1;DAB2;IER3;GPNMB;IL1B;CSTB;VMO1;PLAUR;CCL2;CD83;RNASE1;IL1RN;SOD2;CTSD;THBD;C1QC;HBEGF;LGMN;C1QA;PPIF;MMP19;FAM129B;NFKB1;MS4A4A;CCR1;GK;PLEKHM2;INSIG1;EMP1;CD163;STAB1;CEBPB;MAPK13;CD9;ATF3;BHLHE40;TNF;SRC;PTGS2;METRNL;TOM1;PIM3;TRIM25;TNFAIP6
EGR2 human tf ARCHS4 coexpression,0.0,2.6406447413569816,0.7248153598366643,51/98,10.59%,MARCO;CXCL3;SPP1;CLEC5A;TREM2;CTSL;FBP1;CTSB;OLR1;SDC2;VSIG4;BCL2A1;GPNMB;CCL3;IL1B;CSTB;SLCO2B1;FCGR2B;LIPA;PLAUR;CCL2;HLA-DRB1;RGCC;CD83;IL1RN;CTSD;THBD;CREM;MS4A7;MSR1;HBEGF;PPIF;MMP19;CCL7;DUSP2;NFKB1;MS4A4A;CCR1;C5AR1;INSIG1;ITGAM;EMP1;CD163;CEBPB;SGK1;ATF3;GADD45B;ICAM1;BHLHE40;TNF;SRC
NR1H3 human tf ARCHS4 coexpression,0.0,2.582226285179114,0.7016187534094238,67/103,13.92%,MARCO;CXCL3;CLEC5A;TREM2;CTSL;FBP1;CTSB;OLR1;SDC2;VSIG4;G0S2;TYMP;IER3;GPNMB;CD14;CSTB;SLAMF9;VMO1;SLCO2B1;FCGR2B;LIPA;PLAUR;CCL2;SDS;HLA-DRB1;RGCC;RNASE1;PLTP;IL1RN;SOD2;CTSD;APOC1;MS4A7;C1QC;MSR1;LGMN;C1QA;PPIF;MMP19;CCL7;C1QB;MS4A4A;CCR1;MERTK;APOE;PLEKHM2;C5AR1;INSIG1;STX4;CD163;STAB1;CEBPB;LILRB5;MAPK13;ANPEP;ATF3;ICAM1;SRC;LPL;BRI3;METRNL;TOM1;PQLC1;PIM3;SEMA6B;TNFAIP6;OSCAR
ETV3 human tf ARCHS4 coexpression,0.0,2.484919873320814,0.7044989294444836,57/99,18.86%,CXCL3;CXCL2;OLR1;BCL2A1;IER3;GPNMB;IL1B;TREM1;PLAUR;RGCC;CD83;IL1RN;SOD2;HLA-DPA1;THBD;MS4A7;HBEGF;NFKBIA;GPR183;PPIF;MMP19;DUSP2;NFKB1;HK2;CCR1;IL6;TNFAIP3;C5AR1;INSIG1;DENND5A;EMP1;CEBPB;SGK1;RGS1;ATF3;GADD45B;ICAM1;BHLHE40;TNF;SRC;PTGS2;METRNL;PNP;DNAJC5;PIM3;TRIM25;TNFAIP6;OTUD1;SAMSN1;OASL;SIGLEC1;IL10;NR4A3;FOLR2;SPHK1;PRDM1;KDM2A
ATF3 human tf ARCHS4 coexpression,0.0,2.4682728071581814,0.6748339328117006,68/116,15.94%,CXCL3;TREM2;CTSL;CXCL2;CTSB;OLR1;VSIG4;BCL2A1;TYMP;IER3;GPNMB;CCL3;IL1B;CSTB;PLAUR;CCL2;RGCC;CD83;RNASE1;IL1RN;SOD2;CTSD;THBD;MS4A7;C1QC;MSR1;HBEGF;NFKBIA;LGMN;C1QA;PPIF;DUSP2;NFKB1;MS4A4A;HK2;CCR1;IL6;TNFAIP3;PLEKHM2;C5AR1;INSIG1;STX4;EMP1;CD163;STAB1;GEM;CEBPB;LILRB5;SGK1;GADD45B;MAFK;ICAM1;BHLHE40;TNF;SRC;PTGS2;METRNL;TOM1;PNP;PIM3;TNFAIP6;SERTAD1;DOT1L;PARP12;OTUD1;OASL;NR4A1;SIGLEC1
ETV3L human tf ARCHS4 coexpression,0.0,2.402431911660456,0.6415199387449116,58/102,16.39%,CXCL3;CTSL;CXCL2;OLR1;VSIG4;BCL2A1;TYMP;CXCL1;IER3;CCL3;IL1B;VMO1;PLAUR;CCL2;CD83;RNASE1;IL1RN;SOD2;MS4A7;C1QC;NFKBIA;LGMN;C1QA;MMP19;DUSP2;NFKB1;MS4A4A;IL6;PLEKHM2;INSIG1;STX4;CD163;STAB1;CEBPB;LILRB5;ATF3;IL2RA;GADD45B;CCL3L1;ICAM1;TNF;SRC;PTGS2;METRNL;TOM1;PIM3;SEMA6B;TRIM25;TNFAIP6;OSCAR;DOT1L;CHST7;BATF;PARP12;SAMSN1;OASL;SIGLEC1;IL10
MAFB human tf ARCHS4 coexpression,0.0,2.400541064121323,0.6943121807934226,48/96,8.88%,CXCL3;CLEC5A;TREM2;CTSL;CTSB;OLR1;SDC2;VSIG4;TYMP;IER3;GPNMB;CD14;IL1B;CSTB;VMO1;SLCO2B1;FCGR2B;PLAUR;CCL2;RGCC;RNASE1;CTSD;THBD;MS4A7;C1QC;MSR1;LGMN;C1QA;PPIF;MMP19;CCL7;NFKB1;MS4A4A;CCR1;MERTK;PLEKHM2;C5AR1;INSIG1;SLC7A8;DMXL2;STX4;ITGAM;CD163;STAB1;CEBPB;LILRB5;MAPK13;TMEM176B
SMAD7 human tf ARCHS4 coexpression,0.0,2.3653720430504577,0.626202514777659,53/113,12.00%,CXCL3;CLEC5A;TREM2;CTSL;CTSB;OLR1;VSIG4;TYMP;IER3;CD14;SLCO2B1;PLAUR;RGCC;CD83;RNASE1;IL1RN;CTSD;THBD;MS4A7;C1QC;HBEGF;LGMN;C1QA;PPIF;MMP19;DUSP2;FAM129B;NFKB1;MS4A4A;ADM;CCR1;TNFAIP3;PLEKHM2;C5AR1;INSIG1;CD163;STAB1;CEBPB;LILRB5;SGK1;ATF3;GADD45B;MAFK;ICAM1;BHLHE40;TNF;GAK;SRC;MESDC1;PTGS2;KLHL21;METRNL;TOM1
NR4A3 human tf ARCHS4 coexpression,0.0,2.360461612124231,0.6625432072297864,59/107,16.39%,CXCL3;CXCL2;OLR1;VSIG4;BCL2A1;IER3;CCL3;IL1B;PLAUR;HLA-DRB1;RGCC;CD83;IL1RN;SOD2;HLA-DPA1;THBD;CREM;MS4A7;MSR1;HBEGF;NFKBIA;GPR183;PPIF;MMP19;DUSP2;NFKB1;MS4A4A;CCR1;IL6;HLA-DQB1;TNFAIP3;INSIG1;DENND5A;IL23A;GPR34;CEBPB;SGK1;HLA-DPB1;RGS1;ATF3;GADD45B;ICAM1;BHLHE40;TNF;SRC;PTGS2;METRNL;PIM3;IL3RA;FURIN;DOT1L;PARP12;OTUD1;SAMSN1;EIF2AK3;OASL;NR4A1;SIGLEC1;IL10
HIVEP3 human tf ARCHS4 coexpression,0.0,2.3554315059722515,0.7128054885643448,43/71,18.41%,TREM2;CTSL;CTSB;VSIG4;IER3;SLCO2B1;PLAUR;RGCC;RNASE1;IL1RN;SOD2;CTSD;THBD;MS4A7;C1QC;MSR1;LGMN;C1QA;MMP19;DUSP2;NFKB1;CCR1;PLEKHM2;INSIG1;CD163;STAB1;CEBPB;USP36;LILRB5;ICAM1;TNF;SRC;METRNL;PIM3;SEMA6B;DOT1L;BATF;SIGLEC1;IL10;VPS16;FOLR2;HMOX1;SPHK1
