TF,fdr,nes,es,tag %,gene %,lead_genes
NFE2L2 KO MOUSE GSE18344 CREEDSID GENE 964 UP,0.0,2.074688567948653,0.7475375520074804,21/40,7.87%,CXCL2;ISG15;MX1;ATF3;IFI44;IFIT3;IFIT2;PLA1A;MT2A;IL1B;OAS2;CCL7;CCL2;STAT1;NR4A1;IFIT1;RGS1;SOCS3;RGS16;NNMT;OASL
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2301 UP,0.0,2.0498103595532418,0.7010523351310943,57/104,12.46%,PLAU;SPP1;APOC2;CXCL13;IFI44L;APOE;C1QC;C1QB;ISG15;FN1;C1QA;MX1;ATF3;IFI44;IFIT3;OAS3;GPNMB;FCGR3A;INHBA;SIGLEC1;PLA1A;MT2A;SNAI1;MX2;VSIG4;CCR1;OAS2;MS4A7;CCL7;LIF;CCL2;COL3A1;FCGR2B;COL1A1;IFIT1;CCL3;MMP19;TREM2;SOCS3;RGS16;CDKN1A;IL1RN;MGP;APOD;NNMT;OASL;SLC7A5;EREG;BCL3;KRT18;COL1A2;ZBP1;ANGPTL4;MSR1;MAFB;GBP5;EGR2
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2302 DOWN,0.0,2.0498103595532418,0.7010523351310943,57/104,12.46%,PLAU;SPP1;APOC2;CXCL13;IFI44L;APOE;C1QC;C1QB;ISG15;FN1;C1QA;MX1;ATF3;IFI44;IFIT3;OAS3;GPNMB;FCGR3A;INHBA;SIGLEC1;PLA1A;MT2A;SNAI1;MX2;VSIG4;CCR1;OAS2;MS4A7;CCL7;LIF;CCL2;COL3A1;FCGR2B;COL1A1;IFIT1;CCL3;MMP19;TREM2;SOCS3;RGS16;CDKN1A;IL1RN;MGP;APOD;NNMT;OASL;SLC7A5;EREG;BCL3;KRT18;COL1A2;ZBP1;ANGPTL4;MSR1;MAFB;GBP5;EGR2
CTCF SIRNA LNCAP HUMAN GSE63487 RNASEQ UP,0.0,2.0342058982629663,0.7377205074293129,19/51,9.19%,IFITM3;IFI44L;IFI6;ISG15;FN1;HSPA1B;ATF3;IFI44;IFIT3;OAS3;SOD2;IFIT2;HERC5;STAT1;IFIT1;CDKN1A;OAS1;OASL;JUN
DUX4 OE HUMAN GSE33799 CREEDSID GENE 1430 UP,0.0,2.022729334949978,0.719204819243048,28/63,8.68%,IFITM3;LY6E;IFI44L;IFI6;ISG15;MX1;IFI44;IFIT3;CCL20;OAS3;SOD2;TYMP;IFIT2;MX2;HERC5;OAS2;STAT1;CMPK2;IFIT1;SAMD4A;GADD45B;CDKN1A;RRAD;OAS1;OASL;GBP1;IRF1;PPP1R15A
IRF9 KD HUMAN GSE50588 CREEDSID GENE 2809 DOWN,0.0,2.0099899120444897,0.6930940061986894,19/46,9.60%,LY6E;IFI44L;IFI6;ISG15;IFI44;IFIT3;TYMP;IFIT2;MX2;HERC5;OAS2;SCO2;SNHG7;CMPK2;IFIT1;GADD45B;CCDC151;OASL;IFIT5
FLI1 KD HUMAN GSE27524 CREEDSID GENE 1596 DOWN,0.0,-2.0905756129406194,-0.7565801114062661,5/15,1.69%,CXCR4;UBE2C;MKI67;CENPF;FOXM1
LEF1 KD HUMAN GSE42637 CREEDSID GENE 1775 DOWN,0.0,-2.09202231403976,-0.6176113942997802,12/28,9.86%,CXCR4;UBE2C;MKI67;PLAC8;PTTG1;FOXM1;ZAP70;IL7R;TCL1A;FBP1;CPNE2;WASF1
ZFX KD HUMAN GSE43021 CREEDSID GENE 157 DOWN,0.0,-2.14070886684982,-0.6574318564140553,11/30,5.41%,S100A12;HIST1H1B;MPO;ELANE;CTSD;NKG7;RNASE2;PRTN3;HIST1H1E;NUCB2;CTSG
SRF KD HUMAN GSE22606 CREEDSID GENE 2323 UP,0.0,-2.1609096328347603,-0.6236222121209152,9/34,3.32%,MT1H;MT1G;UBE2C;TOP2A;PTTG1;CLU;CENPF;FOXM1;S100P
DNMT1 KO MOUSE GSE31626 CREEDSID GENE 1237 DOWN,0.0,-2.166350994732048,-0.6497706134535521,15/32,8.48%,UBE2C;MKI67;STMN1;TOP2A;PLAC8;MPO;ELANE;NKG7;PRTN3;HP;HIST1H1E;NUCB2;CTSG;CKAP4;LDHA
ZXDC DEPLETION HUMAN GSE45417 CREEDSID GENE 3044 UP,0.0,-2.184017160268853,-0.6665032998507302,11/26,5.82%,PLAC8;F13A1;SELL;FOXM1;ELANE;RNASE2;PRTN3;AZU1;NUCB2;CTSG;TSPAN2
ERG OE CD34 HUMAN GSE53665 RNASEQ DOWN,0.0,-2.2116846662469953,-0.6883320705603434,14/26,9.14%,STMN1;TOP2A;CENPF;SELL;MPO;PRTN3;CYP1B1;NUCB2;TRIM28;SOX4;IL7R;LDHA;HSP90AA1;PRSS57
FLI1 KD HUMAN GSE27524 CREEDSID GENE 1599 DOWN,0.0,-2.242795965976675,-0.7648851070638292,6/17,1.69%,CXCR4;UBE2C;MKI67;PTTG1;CENPF;FOXM1
ZFX KO MOUSE GSE7069 CREEDSID GENE 178 UP,0.0,-2.3039949454358433,-0.6558564678635358,12/30,5.41%,TMEM176B;DUSP1;FOS;STMN1;PLAC8;RGS2;SELL;MPO;NKG7;ALOX5AP;SOX4;CTSG
PCGF2 KD HUMAN GSE7578 CREEDSID GENE 130 DOWN,0.000525171631157743,1.8984799854725454,0.7436201705741214,17/31,10.37%,IFITM3;LY6E;ISG15;HSPA1B;DUSP6;HSPA1A;IER2;COL3A1;GABARAP;IER3;MGP;NNMT;ID3;PET100;KRT18;IRF2BPL;IGFBP5
