TF,fdr,nes,es,tag %,gene %,lead_genes
VDR KO MOUSE GSE2421 CREEDSID GENE 1151 DOWN,0.0,2.4535124546539557,0.7470892110222984,25/44,8.93%,PLIN2;ALOX5AP;TREM2;CTSB;PMP22;FCGR3A;LDHA;GPNMB;CD14;SLAMF9;PLTP;CTSD;MS4A7;C1QC;ADAM8;LGMN;C1QA;C1QB;FAM129B;C5AR1;STX4;UBA1;STAB1;TMEM176B;CD9
KLF5 KO MOUSE GSE58719 CREEDSID GENE 2318 UP,0.0,2.4336847410585984,0.8418127904651422,15/27,7.77%,SPP1;FABP5;CXCL2;SLC16A10;OLR1;CCL20;GPNMB;CCL3;TREM1;AQP9;MSR1;A2M;PPBP;SLC7A8;DEFB1
VDR KO MOUSE GSE2421 CREEDSID GENE 2719 DOWN,0.0,2.27214768706333,0.7447496856515531,20/34,12.00%,TREM2;CTSB;LDHA;MIF;GPNMB;CSTB;CTSD;LGMN;CALR;FAM129B;COLGALT1;CTNNB1;CEBPB;SGK1;ANPEP;CD9;TGM2;GDF15;C3;TOM1
VDR KO MOUSE GSE2421 CREEDSID GENE 1153 DOWN,0.0,2.2572959712460365,0.7275052816666872,29/49,12.00%,PLIN2;SPP1;TREM2;CTSB;PMP22;LDHA;MIF;GPNMB;CD14;CSTB;SLAMF9;CTSD;C1QC;LGMN;CALR;C1QB;FAM129B;ATP1B3;CTNNB1;FAM173A;CEBPB;ANPEP;CD9;RGS1;TGM2;BRI3;GDF15;C3;TOM1
MYC ACTIVATION MOUSE GSE4356 CREEDSID GENE 752 UP,0.0,2.2529766270304328,0.704638919184573,24/51,12.05%,MARCO;CXCL2;CXCL5;CXCL1;IER3;CD14;IL1B;CCL2;TUBA1B;RNASE1;IL1RN;SOD2;LGMN;CCL7;PPARG;SLC7A5;COLGALT1;CEBPB;SLC6A8;GADD45B;CH25H;LPL;C3;PNP
GATA6 KO MOUSE GSE47049 CREEDSID GENE 2225 UP,0.0,2.203061245724555,0.6802156347326624,31/64,12.51%,MARCO;PLIN2;CTSL;CTSB;PMP22;FCGR3A;LDHA;CSTB;FCGR2B;LIPA;PLTP;CTSD;ABCA1;C1QC;C1QA;C1QB;ATP1B3;MERTK;LYVE1;DENND5A;EMP1;CD163;ARF6;CEBPB;HPSE;SGK1;MAF;RNF145;METRNL;PNP;F13A1
DDIT3 MUT MOUSE GSE2082 CREEDSID GENE 899 DOWN,0.0,2.175477810022367,0.7597713223548772,18/37,6.66%,SPP1;CXCL2;LDHA;CXCL5;CXCL1;IER3;CD14;IL1B;CCL2;TUBA1B;C1QC;C1QA;ERRFI1;CCL7;EREG;ADM;HTRA1;COLGALT1
VDR KO MOUSE GSE2421 CREEDSID GENE 1152 DOWN,0.0,2.1738063929138125,0.6810236568879735,24/43,10.89%,FABP5;TREM2;CTSB;PMP22;LDHA;MIF;GPNMB;CSTB;FCGR2B;LIPA;CTSD;LGMN;CALR;FAM129B;NRP2;CTNNB1;CEBPB;SLC6A8;SGK1;ANPEP;CD9;BHLHE40;TGM2;BRI3
MAF OE MACROPHAGE HUMAN GSE98368 RNASEQ UP,0.0,2.1734944033886676,0.5845331604386008,54/133,10.94%,PLIN2;TIMP1;CTSL;CTSB;SDC2;VSIG4;FCGR3A;TYMP;DAB2;IER3;CD14;FCGBP;CCL3;IL1B;PLAUR;CCL2;TUBA1B;RNASE1;PLTP;IL1RN;SOD2;CTSD;CREM;C1QC;MSR1;NFKBIA;LGMN;C1QA;PLAU;MMP19;CALR;FAM129B;CCR1;MERTK;CD81;HTRA1;PLEKHM2;C5AR1;CTNNB1;DMXL2;UBA1;EMP1;IFI6;CD163;ARF6;ATP1B1;HPSE;LPAR6;MTRNR2L12;TMEM176B;MAF;ICAM1;SRC;LY6E
NEUROG3 OE MOUSE GSE3653 CREEDSID GENE 2289 UP,0.0,2.173106337263436,0.760642482358338,8/20,5.95%,FABP5;CTSL;LDHA;CSTB;TUBA1B;BNIP3;CALR;APOE
NFE2L2 KO MOUSE GSE867 CREEDSID GENE 1362 DOWN,0.0,2.170470142717443,0.7428232049043608,15/37,5.95%,MARCO;PLIN2;FBP1;G0S2;CXCL1;CSTB;AQP9;SOD2;CTSD;APOC1;C1QC;NFKBIA;C1QA;CD81;APOE
MAF SIRNA MACROPHAGE HUMAN GSE98368 RNASEQ UP,0.0,2.168970657382491,0.7216528975272201,28/44,8.93%,MARCO;PLIN2;CLEC5A;CTSL;FBP1;OLR1;SDC2;LDHA;TYMP;PHLDA1;FN1;IER3;PLAUR;CCL2;CD83;PLTP;SOD2;CTSD;NFKBIA;FAM129B;CD81;APOE;IFI6;CD163;SGK1;ANPEP;TMEM176B;CD9
MYC KD HUMAN GSE54872 CREEDSID GENE 1307 DOWN,0.0,2.149819227451753,0.6511174102170515,18/45,6.56%,PLIN2;CXCL2;FBP1;ANGPTL4;G0S2;CXCL1;CCL20;TREM1;SLCO2B1;SOD2;CST6;NFKBIA;PLAU;EREG;MIR155HG;AXL;IL6;NT5E
NFKB1 KD HUMAN GSE65363 CREEDSID GENE 1558 DOWN,0.001309269177965153,2.117911921860003,0.6689071482443621,20/45,11.70%,CXCL3;FABP5;CCL20;CCL3;IL1B;PLAUR;CCL2;HLA-DRB1;SOD2;HLA-DPA1;NFKBIA;PLAU;EREG;PPARG;IL6;HLA-DQB1;ICAM1;QPCT;PTGS2;C3
NR1I3 KNOCKIN MOUSE GSE40120 CREEDSID GENE 3069 UP,0.001402788404962664,2.12025710303999,0.6436727306581174,20/67,8.17%,MARCO;PLIN2;SPP1;ALOX5AP;FABP5;TIMP1;LDHA;CXCL1;FN1;IER3;CD14;BNIP3;THBD;ABCA1;ERRFI1;A2M;LYVE1;DUSP1;HAMP;CEBPB
ZXDC DEPLETION HUMAN GSE45417 CREEDSID GENE 3044 DOWN,0.0016365864724564411,2.0809582012135253,0.5999590512033429,54/122,11.95%,SPP1;TIMP1;CTSB;OLR1;VSIG4;BCL2A1;PHLDA1;CCL20;IER3;GPNMB;CD14;CCL3;IL1B;TREM1;FCGR2B;PLAUR;CCL2;AQP9;RGCC;CD83;THBD;DUSP4;ABCA1;APOC1;MMP19;CCL7;A2M;MS4A4A;PPBP;ADM;CCR1;HTRA1;TNFAIP3;C5AR1;NDRG1;OTOA;ITGAM;EMP1;IFI6;CD163;GPR34;CEBPB;SGK1;PIM1;RGS1;ATF3;ICAM1;BHLHE40;MAP3K7CL;MAFF;GDF15;MIR22HG;C3;METRNL
CEBPG KO MOUSE GSE47777 CREEDSID GENE 3104 UP,0.001707742406041504,2.0843015003149463,0.6214334435372355,40/86,11.70%,MARCO;CXCL3;ALOX5AP;CXCL2;ANGPTL4;FCGR3A;CXCL5;CXCL1;IER3;GPNMB;CD14;CCL3;CCL2;BNIP3;THBD;DUSP4;C1QC;MSR1;ADAM8;NFKBIA;ERRFI1;CCL7;EREG;C1QB;PPARG;PPBP;ADM;APOE;GCHFR;NDRG1;DMXL2;STAB1;MAPK13;ACKR3;ATF3;ICAM1;LPL;HILPDA;PTGS2;C3
TSHZ3 SIRNA MDAMB231 HUMAN GSE79586 RNASEQ UP,0.0017853670608615722,2.090230041363919,0.646118340659072,30/61,10.44%,LDHA;PHLDA1;CXCL1;IER3;PLAUR;HLA-DRB1;CTSD;THBD;ABCA1;HBEGF;ADAM8;NFKBIA;PPIF;PLAU;ERRFI1;CALR;EREG;VEGFA;FAM129B;AXL;INSIG1;NT5E;COLGALT1;TNFRSF12A;EMP1;ATP1B1;MTRNR2L12;ICAM1;BHLHE40;MYO10
E2F1 KD MOUSE GSE24594 CREEDSID GENE 473 DOWN,0.0018703845399502185,2.100225261125614,0.6771938706826485,28/58,11.70%,SPP1;CTSL;CTSB;LDHA;G0S2;MIF;GPNMB;CD14;CSTB;BNIP3;SOD2;CTSD;CST6;ATP1B3;HK2;CD81;CTNNB1;EMP1;FABP3;CEBPB;TMEM176B;CD9;BHLHE40;TGM2;LPL;BASP1;RNF145;C3
E2F1 MUT MOUSE GSE24594 CREEDSID GENE 1245 UP,0.0018703845399502185,2.100225261125614,0.6771938706826485,28/58,11.70%,SPP1;CTSL;CTSB;LDHA;G0S2;MIF;GPNMB;CD14;CSTB;BNIP3;SOD2;CTSD;CST6;ATP1B3;HK2;CD81;CTNNB1;EMP1;FABP3;CEBPB;TMEM176B;CD9;BHLHE40;TGM2;LPL;BASP1;RNF145;C3
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2301 UP,0.002067267123102873,2.1010245358059185,0.5918088477495569,40/109,10.24%,SPP1;CLEC5A;TIMP1;TREM2;ANGPTL4;VSIG4;FCGR3A;PHLDA1;FN1;GPNMB;CCL3;SLAMF9;FCGR2B;CCL2;IL1RN;CTSD;MS4A7;C1QC;MSR1;LGMN;C1QA;PLAU;MMP19;CCL7;EREG;C1QB;MS4A4A;CCR1;IL6;APOE;SLC7A5;TNFRSF12A;SLC7A8;ITGAM;ACKR3;ATF3;APOC2;IL2RA;CH25H;BHLHE40
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2302 DOWN,0.002067267123102873,2.1010245358059185,0.5918088477495569,40/109,10.24%,SPP1;CLEC5A;TIMP1;TREM2;ANGPTL4;VSIG4;FCGR3A;PHLDA1;FN1;GPNMB;CCL3;SLAMF9;FCGR2B;CCL2;IL1RN;CTSD;MS4A7;C1QC;MSR1;LGMN;C1QA;PLAU;MMP19;CCL7;EREG;C1QB;MS4A4A;CCR1;IL6;APOE;SLC7A5;TNFRSF12A;SLC7A8;ITGAM;ACKR3;ATF3;APOC2;IL2RA;CH25H;BHLHE40
TWIST2 MUT N HUMAN GSE16524 CREEDSID GENE 2262 DOWN,0.002266042808016611,2.0512678640625053,0.6362327178887034,30/51,17.80%,PLIN2;LDHA;MIF;CXCL1;FN1;IER3;GPNMB;CCL2;RGCC;BNIP3;NFKBIA;ADM;IL6;HTRA1;NDRG1;FABP3;CEBPB;TMEM176B;BASP1;PTGS2;IGFBP7;CA12;TNFAIP6;IGFBP2;SERPINE1;NUPR1;AKR1C1;IFIT1;TMEM45A;MX1
E2F2 KD MOUSE GSE24594 CREEDSID GENE 474 DOWN,0.0023104750199385055,2.105026741319292,0.661338202748593,21/45,10.24%,SPP1;CTSL;G0S2;PHLDA1;FN1;IER3;GPNMB;CD14;CTSD;C1QA;CALR;FAM129B;A2M;HK2;SLC7A5;EMP1;FABP3;CEBPB;SGK1;CD9;BHLHE40
TFEB OE HUMAN GSE16267 CREEDSID GENE 2976 UP,0.0023566845203372754,2.067575277475058,0.6264437309652325,27/56,13.11%,PLIN2;CTSL;CTSB;PMP22;DAB2;IER3;CSTB;SOD2;CTSD;PPIF;CALR;VEGFA;HK2;ADM;TNFAIP3;SLC7A5;NDRG1;DUSP1;CTNNB1;PIM1;ICAM1;BHLHE40;BRI3;GDF15;TOM1;LSS;LPCAT1
PPARA KO MOUSE GSE18564 CREEDSID GENE 543 UP,0.002454879708684662,2.105319808501094,0.6667180236813245,20/45,12.05%,CTSL;FBP1;CTSB;G0S2;FN1;TUBA1B;ERRFI1;CD81;NDRG1;NT5E;CTNNB1;HAMP;METTL7B;ANPEP;TMEM176B;APOC2;TGM2;LY6E;C3;PNP
ZXDC KD HUMAN GSE45417 CREEDSID GENE 885 DOWN,0.002805576809925328,2.031063955431147,0.6030478217038048,18/62,11.50%,TREM2;OLR1;VSIG4;CCL20;IER3;TREM1;CCL2;CD83;CCL7;PPBP;MIR155HG;FPR2;C5AR1;GPR34;ATP1B1;SGK1;TNF;MIR22HG
NFE2L2 DEFICIENCY MOUSE GSE7810 CREEDSID GENE 1048 UP,0.0029094870621447846,2.0404741152993853,0.65238014332329,36/71,6.30%,MARCO;PLIN2;SPP1;ALOX5AP;FABP5;TIMP1;CTSL;CXCL2;CTSB;FCGR3A;LDHA;CXCL5;CXCL1;FN1;CD14;CCL3;IL1B;SLAMF9;FCGR2B;CCL2;TUBA1B;BNIP3;IL1RN;SOD2;CTSD;ABCA1;C1QC;MSR1;ADAM8;NFKBIA;LGMN;C1QA;CCL7;C1QB;ADM;C5AR1
ADNP DEFICIENCY  NULL MUTATION MOUSE GSE4068 CREEDSID GENE 719 UP,0.004063249172995303,1.99464631881598,0.6859856236123754,10/27,5.95%,CTSL;PMP22;LDHA;DAB2;CSTB;TUBA1B;BNIP3;LGMN;HK2;APOE
FOXD3 KO MOUSE GSE58960 CREEDSID GENE 1417 UP,0.004582442122878035,1.9887708258322743,0.6074669887569957,24/70,5.95%,PLIN2;SPP1;FABP5;TIMP1;CTSL;CXCL2;CTSB;PHLDA1;CXCL1;FN1;IER3;CD14;CCL3;IL1B;CSTB;CCL2;TUBA1B;CTSD;DUSP4;CCL7;IL6;CD81;HTRA1;APOE
NFE2L2 KO MOUSE GSE35124 CREEDSID GENE 2151 DOWN,0.004651351026981464,1.9436569203220837,0.6869487197099896,8/28,6.05%,MARCO;PLIN2;ANGPTL4;LDHA;G0S2;APOC1;APOE;GCHFR
GATA4 OE MOUSE GSE66016 CREEDSID GENE 2657 UP,0.004760978828964193,1.9634023410700319,0.6181805074324156,15/33,8.93%,SPP1;SDC2;LDHA;MIF;PHLDA1;CXCL1;IER3;CSTB;TUBA1B;ERRFI1;ATP1B3;EMP1;SGK1;TMEM176B;CD9
ELF4 KO MOUSE GSE15324 CREEDSID GENE 2839 UP,0.004777063216899882,1.9477098971809588,0.7769812722160476,12/21,11.40%,LDHA;IER3;RGCC;BNIP3;NFKBIA;CD81;NDRG1;DENND5A;PIM1;ATF3;BASP1;RNF187
GATA1 MUT MOUSE GSE2433 CREEDSID GENE 979 UP,0.004909759417369323,1.9478581380583309,0.6558597387934348,13/32,13.62%,ALOX5AP;FCGR3A;MIF;FCGR2B;TUBA1B;BNIP3;HK2;CD81;CEBPB;HPSE;CDC34;F13A1;UBE2H
ERG KD HUMAN GSE14801 CREEDSID GENE 827 UP,0.004909759417369324,1.9769794371357248,0.6955918172837803,20/42,11.55%,CXCL3;TIMP1;CXCL2;LDHA;CXCL1;FN1;CCL20;CCL2;SOD2;NFKBIA;ERRFI1;AXL;IL6;TNFAIP3;TNFRSF12A;CEBPB;SGK1;ICAM1;BASP1;PTGS2
VDR KO MOUSE GSE2421 CREEDSID GENE 1152 UP,0.00505003825786559,1.9492957438141134,0.6272792155915164,24/40,12.36%,PLIN2;SPP1;ALOX5AP;CTSL;FCGR3A;SLAMF9;TUBA1B;PLTP;ABCA1;MS4A7;ADAM8;C1QA;C1QB;ATP1B3;APOE;DUSP1;ITGAM;TMEM176B;RGS1;LPL;BASP1;METRNL;PNP;CDC34
FOXA2 KO MOUSE GSE19204 CREEDSID GENE 2166 UP,0.0050681387534134955,1.9790119708048288,0.6108267002645577,29/85,7.41%,CXCL3;SPP1;CLEC5A;ALOX5AP;TIMP1;CTSL;CXCL2;FBP1;OLR1;FCGR3A;CXCL5;CXCL1;GPNMB;CD14;FCGBP;CCL3;SLAMF9;FCGR2B;AQP9;IL1RN;C1QC;MSR1;ADAM8;C1QA;CCL7;CCR1;IL6;SLC7A8;PKIB
