,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
S100A12,0.4572037413256631,8.356806788158736e-72,1.441929025811389e-69,0.4134476906894791,0.4988529705062671
CTSD,0.2983246761061312,5.99187104717255e-29,4.7385713531389584e-27,0.24836724491827045,0.34669933770565114
NCF1,0.28572668178165594,1.4677288190708794e-26,1.031758999480196e-24,0.23540052803921133,0.33452469398669993
DUSP1,0.2727853879578956,3.0954401155471226e-24,1.7803470725177087e-22,0.22209909277821602,0.3220013036363896
CD14,0.27171491143114324,4.755328497316563e-24,2.6545922023255402e-22,0.22099967029771847,0.3209646233641282
RGS2,0.2697705213902544,1.0318705753169045e-23,5.595686719861385e-22,0.219003033102586,0.31908131818790153
RBP7,0.2639584427725683,1.0051789869772865e-22,5.156296533196999e-21,0.21303731357684852,0.3134495086865959
CDA,0.25218825950978074,8.454276090507542e-21,3.820527623757932e-19,0.20096760743558398,0.3020337185733067
CYP1B1,0.2189260716158948,6.712071484888164e-16,2.5999003425138235e-14,0.16694284219875039,0.26969556551171436
RP11-290F20.3,0.2151061012444771,2.1885498359096056e-15,7.988206901070061e-14,0.1630432041466589,0.2659743698814242
FOS,0.20328527324065715,7.345551448424859e-14,2.6305389903981852e-12,0.15098614257853907,0.2544495862467044
DUSP6,0.1898691168669235,3.056893562137571e-12,9.833871154130695e-11,0.13732069704646882,0.24135179792568187
ITGAM,0.187017420274779,6.520705434332125e-12,1.9644918911686306e-10,0.13441858785629,0.23856535343407873
RETN,0.17939294488711854,4.657996534388965e-11,1.2812865829377182e-09,0.12666375491708765,0.23111116946167376
SLC2A3,0.1729447767910254,2.2980541105877878e-10,6.0579259748550295e-09,0.12011036754523034,0.22480227771091868
CD36,0.17271891684058654,2.427512948302719e-10,6.311533665587069e-09,0.1198809055162858,0.22458121735192063
MSRB1,0.1664584100567779,1.0767373684697876e-09,2.6200609299431502e-08,0.1135228005211405,0.2184516228468709
QPCT,0.1602467610924541,4.464505968194342e-09,1.0209195575461278e-07,0.10721859725643589,0.2123658069433454
THBS1,0.1589793993967557,5.927224209759053e-09,1.3235143000144333e-07,0.10593287525361851,0.21112362214718605
MAFB,0.1562671352229717,1.0787337438724527e-08,2.3266325521249036e-07,0.10318191426906433,0.20846467268702049
C5AR1,0.15565049123286334,1.2342636277787203e-08,2.63217119721799e-07,0.10255658569413438,0.20786004233279526
DMXL2,0.15547904466920187,1.281236952045162e-08,2.701986372201908e-07,0.10238273199617001,0.20769192885180174
SAMSN1,0.1520139102383061,2.701575196434732e-08,5.573467090036002e-07,0.09886964173162824,0.20429349863688787
KLF2,0.15115834543519213,3.239512011415927e-08,6.611391180287558e-07,0.09800244018924696,0.20345420951875104
CEBPB,0.1481839457096689,6.041876623321856e-08,1.194529357402592e-06,0.09498821297995294,0.2005357945838277
CSF3R,0.14680291137115373,8.035735759613121e-08,1.5723532445098664e-06,0.09358901797776668,0.1991804384406007
HK3,0.14307401404189332,1.7126371767972803e-07,3.2505853615612377e-06,0.08981213518792489,0.1955198729442022
CKAP4,0.14172688429771477,2.2404051516006678e-07,4.168910762488302e-06,0.08844804642883962,0.19419706983682455
C19orf59,0.14134907098358096,2.414620028712974e-07,4.406681552401178e-06,0.08806551270254519,0.19382604485596633
VNN2,0.13514169307003154,8.03370246438294e-07,1.3714822619451416e-05,0.08178282907408534,0.1877280473460285
RHOB,0.13510282620923075,8.093046013585662e-07,1.3714822619451416e-05,0.08174350404933402,0.187689852584549
NFAM1,0.1337249407958815,1.049162199417921e-06,1.7622211101727558e-05,0.08034948341649147,0.1863356912823239
FAM198B,0.1305939705642835,1.8741506198040019e-06,3.0402887832376032e-05,0.07718262518986621,0.18325788603110435
ENTPD1,0.12995523660291872,2.1061638941872116e-06,3.359242916947334e-05,0.0765367022261001,0.1826298711778778
BRI3,0.12833511355404228,2.8247329696509858e-06,4.467785980331309e-05,0.07489854563176002,0.18103674390932992
HMOX1,0.12758888490776654,3.2298012150306108e-06,4.983872118803333e-05,0.07414410773928581,0.1803028564708878
SIRPB1,0.12724670854554423,3.4336208874245533e-06,5.226423887227952e-05,0.07379818755768539,0.17996631943006536
APOBEC3A,0.12723296390938618,3.4420599889541307e-06,5.226423887227952e-05,0.07378429280742121,0.1799528010579231
GIMAP7,0.12638571821788638,4.00239208441916e-06,5.9815276978169806e-05,0.07292783385673665,0.1791194642650136
VSTM1,0.12562197564252314,4.581451818807565e-06,6.793434025075593e-05,0.07215585363084047,0.1783681948945025
FCGR3A,0.12448512068977183,5.5939746239048185e-06,8.167202950901035e-05,0.07100685531045861,0.17724979278913558
UBR4,0.12336388210097549,6.799921270088406e-06,9.777462553505906e-05,0.06987377915232634,0.17614662006975942
OSCAR,0.12312645193576142,7.085375059197721e-06,0.00010111309670945318,0.06963386000520157,0.1759129984676964
FOLR3,0.1205781467937754,1.0963890171373593e-05,0.00015079321409613826,0.06705923053685213,0.17340519566486498
CLEC12A,0.11969772180905577,1.2723011238658985e-05,0.0001737285995034155,0.06616987627545724,0.17253860474939264
IFITM3,0.11864054455072884,1.5191219493839437e-05,0.0002030488352063891,0.06510208947898001,0.1714979307663666
STAB1,0.11801140597100783,1.6869775564863823e-05,0.0002223530140424412,0.06446669522618274,0.17087855748687772
KCNE3,0.11720558421984414,1.9278475865780077e-05,0.00024723342698142284,0.06365292441049945,0.17008518242389323
VAMP5,0.11708584848766718,1.9663155613649755e-05,0.0002504742909711895,0.06353201361667737,0.16996729027457302
CR1,0.1154565466260441,2.567949456029703e-05,0.00031753295103719494,0.06188687836334661,0.16836292448210866
BCL2A1,0.11543635857107075,2.576400129595786e-05,0.00031753295103719494,0.0618664959484223,0.16834304364215386
RAB3D,0.11469036709775848,2.907855296629961e-05,0.00035229803873740117,0.061113353792045286,0.16760837423298977
FAM101B,0.1146769711948927,2.914161858892096e-05,0.00035229803873740117,0.06109983004065947,0.16759518110524874
GIMAP8,0.1142826645873645,3.1057168542580985e-05,0.0003730791512267007,0.06070176903999606,0.16720683466619424
DOK3,0.11322759928690117,3.678747043542857e-05,0.00043368086264871687,0.05963674173274204,0.16616763651064367
PADI4,0.1131460682408694,3.726970074406007e-05,0.0004366536543964569,0.05955444594249855,0.16608732671655543
DYSF,0.11280043083033084,3.938138018292272e-05,0.0004530052096193171,0.0592055746153138,0.16574685880258677
LILRA3,0.11152624546369685,4.818728270926518e-05,0.0005411802519655936,0.057919580563431855,0.16449162164178976
RASSF3,0.10998700867011839,6.131398036220007e-05,0.0006845525572203279,0.056366315912060976,0.1629750457695813
FPR2,0.10932250943759685,6.796845622362345e-05,0.0007456886122106203,0.05569584095984055,0.16232025202322659
CD300E,0.10744966106481278,9.058688643880255e-05,0.0009551883914491513,0.053806410618230216,0.16047450674182734
NADK,0.10708187484510949,9.579202733368213e-05,0.0010044931927034734,0.053435413182076605,0.16011199940510432
TMEM91,0.10650350086969168,0.00010455150061673793,0.0010903227921459813,0.05285201926166648,0.1595418979697796
PLEC,0.10635828290273844,0.00010686648793830863,0.0011083748311852993,0.052705546640155365,0.15939875151319538
NLRP12,0.10600598017767798,0.00011268500559714515,0.001156087246612873,0.05235020968285296,0.15905146505922252
KLF6,0.10586235640745985,0.00011514160810106504,0.0011689303010444362,0.05220535284113603,0.15890988251279586
SOD2,0.1058607955419335,0.00011516858076675953,0.0011689303010444362,0.05220377858731433,0.15890834381877042
SGK1,0.10464044750487714,0.00013817882263648365,0.0013803337124423472,0.050973044643752574,0.15770525149385947
CHST15,0.10409844521422544,0.00014972841851710984,0.0014724587479040129,0.050426481852941796,0.15717086258619897
F5,0.10404707459785757,0.00015086894002292456,0.001476027052389231,0.050374680663264254,0.15712021194869988
LILRA6,0.1039343581210797,0.0001534001315291034,0.00149309461354994,0.05026102044227999,0.15700907425808097
CARS2,0.10266163569907875,0.00018489073177962897,0.0017813330401915523,0.04897773833280253,0.15575408519167647
DPEP2,0.1013249729854374,0.00022443435166496776,0.0021513959568692366,0.04763017621665918,0.15443586218205177
CRISPLD2,0.10041715047225855,0.00025567089180655097,0.002392167830027975,0.04671506258472668,0.15354045554268
ABHD5,0.10041215387489151,0.00025585356664682766,0.002392167830027975,0.046710026106922584,0.15353552704007714
KIAA0319L,0.09942947033396671,0.00029425406226151016,0.00271251888222581,0.04571955232895071,0.15256618435536368
CLEC4D,0.09942587304621837,0.0002944040514955305,0.00271251888222581,0.045715926717642935,0.15256263571636736
SULT1A1,0.09879398884057235,0.0003218887766396089,0.0029514246283187328,0.045079089269838765,0.15193927568335097
ALDH1A1,0.09823812042273176,0.0003480316551507388,0.0031757888532504917,0.04451889957941296,0.151390871021369
PLAUR,0.098081570177839,0.0003557445838094395,0.0032152534289062677,0.04436113842320336,0.15123641690223222
NRG1,0.09688703234917909,0.0004200704033978534,0.003760818988910971,0.04315744909565418,0.15005778784228896
KCNJ2,0.09679249104717624,0.0004255991886478641,0.003792428450956085,0.04306219016204042,0.1499644991802285
HP,0.09669542635604961,0.00043134606960644174,0.0038078829772698903,0.042964389701482364,0.1498687195780544
PLBD1,0.09588809199468071,0.0004820262687152477,0.004216063861850415,0.0421509754875893,0.14907203525421542
MAP3K1,0.09421709264132283,0.0006050146429523853,0.00521962632874376,0.04046761849324274,0.14742285968595648
SLC24A4,0.09190720929496926,0.0008234276911329553,0.0070083666267728665,0.03814115502722665,0.14514265691133993
TNFSF10,0.0914552885388007,0.0008739098599014394,0.007404825509343446,0.03768605858959092,0.14469647690661505
LINC00936,0.09049737796665926,0.000990523909216609,0.008318647697757186,0.036721490445283195,0.14375066308598627
TLR8,0.09021573784323536,0.001027452746618469,0.008553093478429185,0.036437911955290475,0.14347256108135845
CATSPER1,0.09016618960587303,0.0010340796713182068,0.008570669066209418,0.03638802360182688,0.14342363442628372
APBB3,0.08939626707431489,0.0011422615887138703,0.0094261412842562,0.03561285049954811,0.14266333711396326
STEAP4,0.0892224658381533,0.0011680853996086495,0.009597515534446826,0.035437872960093174,0.14249169996409372
AGFG1,0.08917796262667764,0.0011747838727549694,0.00961094737279712,0.035393069076937775,0.14244775036922463
SMPDL3A,0.08884912353257099,0.0012253888425194574,0.009939265055991155,0.0350620149878551,0.14212299549829677
PPM1M,0.08806569409608314,0.001354155951974613,0.010936970199352407,0.034273356084277506,0.14134925014242675
PXN,0.08784696394095844,0.00139227061315528,0.011103065646087065,0.03405317784702212,0.14113321211546714
IER3,0.08775344363021653,0.0014088663878185769,0.011188403364350038,0.03395903998754514,0.1410408413027441
EIF4E3,0.08747504918473288,0.001459353232212208,0.011541051811411544,0.033678812851981474,0.14076586323022397
SMARCD3,0.08736513266503093,0.0014797410268092273,0.011653728086655242,0.03356817507319581,0.1406572933090447
CPD,0.08721911341740864,0.0015072306714552705,0.011821172786868197,0.03342119970391481,0.14051306097579944
MAP4K4,0.08643101400145216,0.0016638798509013776,0.012781912655411752,0.03262798004782395,0.13973456689469457
KLF13,0.08640098677080951,0.0016701340034468463,0.012781912655411752,0.03259775907218255,0.13970490433190813
CTB-61M7.2,0.08537742747524579,0.001896684381354365,0.014285345062740417,0.03156765428697279,0.13869371851010423
KCNE1,0.08465534967360851,0.0020730995162404745,0.015491113707970159,0.030841027677892773,0.1379803027888758
MS4A7,0.08415007717717628,0.002205349715122778,0.01622385178024431,0.030332605987032024,0.13748105865656562
MTMR3,0.08391679816068509,0.0022689758994116054,0.016627475896074235,0.030097882416820924,0.13725055372905914
FXYD6,0.08343629963701321,0.002405352546544215,0.01755907358977277,0.02961442716456132,0.13677575095682423
TMEM176B,0.08335408253954714,0.0024294246615919916,0.017586943942753976,0.029531706670385963,0.13669450599187946
TREM1,0.08333218084802399,0.0024358742253329396,0.017586943942753976,0.029509671004105367,0.13667286314426794
PLEKHO2,0.08254000303230032,0.0026799381945604834,0.019122265764194724,0.02871268252527556,0.13589001340578952
LFNG,0.08242766827600177,0.002716299071272395,0.019252344589396408,0.028599671133231544,0.13577899602351617
TMEM170B,0.08242104960255658,0.002718455400399493,0.019252344589396408,0.02859301263587916,0.13577245492689283
CYP27A1,0.08231808695333276,0.002752201814099566,0.01941888120134192,0.028489431085680854,0.13567069849380578
ANPEP,0.08208694200217453,0.002829356510215693,0.019815936001436846,0.02825690094958845,0.1354422573254437
PDK4,0.08140279421106048,0.0030694188818055964,0.02141822440318758,0.027568687397267127,0.1347660790034538
EHD1,0.08058295380731734,0.0033814479597574264,0.023169632590684462,0.026744042052725504,0.13395572324989766
ABTB1,0.08036225221919613,0.003470235892221593,0.023692473825311453,0.026522059488976048,0.1337375627414386
CDKN1C,0.07970495752340809,0.00374735836273024,0.02522158217185105,0.025860981238113537,0.13308780525585845
FGD3,0.0791686751325104,0.0039881748392722,0.026716166558718085,0.025321646753903217,0.13255763842969961
IER2,0.07840068147285482,0.00435750343517762,0.028570178115525723,0.02454933686856736,0.13179834947960076
WLS,0.0780176771595505,0.004553025000927367,0.029696362377182622,0.024164204040741155,0.1314196628542563
AQP9,0.07747167413034736,0.004845484370541856,0.031175353678943873,0.02361519428114005,0.13087978808461825
IFI6,0.0774365268325161,0.004864879563876404,0.031194396662964235,0.023579854546909803,0.13084503418983107
TNNT1,0.07731383480204589,0.0049331351253174395,0.031441066183715484,0.02345649181531436,0.13072371442006314
NFKBIZ,0.0773078629898823,0.004936479305978511,0.031441066183715484,0.02345048739984741,0.1307178093593787
METTL22,0.07717754358928967,0.005009969099663184,0.03180241254568804,0.02331945748381509,0.13058894569400487
TNFRSF8,0.07704134241479822,0.005087830012392468,0.03218900454506968,0.023182515703312073,0.13045426402849364
NBEAL2,0.0769298068541144,0.0051524021020516834,0.03248923318835247,0.023070375163302573,0.13034397133025305
B4GALT1,0.07687306793990427,0.005185533332553257,0.03258987505028504,0.023013329012008574,0.13028786416149404
NLRC5,0.07651260420468144,0.005400544074493143,0.03382915067124748,0.022650921583823196,0.12993140593006208
GLT1D1,0.07644775644367616,0.005440066864089317,0.0339646279869787,0.022585725652979366,0.12986727729738168
HK2,0.07632763662734325,0.005513965702142763,0.03431313738579332,0.02246496211947084,0.1297484883674114
ARAP1,0.07624078107851542,0.005567962285506819,0.034535922934287394,0.02237764209449057,0.12966259419299833
JDP2,0.07578552717956823,0.005858855556585858,0.03610424625454532,0.02191996708308204,0.12921236622903517
PELI1,0.07575348060722364,0.005879838699190946,0.03611629078014374,0.021887750932519864,0.12918067261617128
ARHGAP24,0.07570753685829204,0.0059100392942530505,0.03618469219513642,0.021841564261972184,0.12913523469916374
RIN1,0.07534511488038062,0.0061532095745487955,0.03743202491183851,0.02147723408523532,0.12877679505267914
RP11-274B18.2,0.07432576257153002,0.0068861150347520545,0.04112057924118266,0.020452591458394783,0.12776856863452793
AP5B1,0.07416461170420166,0.007008891456089256,0.04170180559140253,0.020290614596225137,0.12760916656331275
SAMD4A,0.07395276375409197,0.007173277734346302,0.04241395993703826,0.020077685100828274,0.12739961336947803
S100P,0.07370862681046632,0.007366998259352019,0.043289667790248086,0.019832307828440216,0.12715811502160015
JUN,0.07353211701993635,0.007509962304319667,0.04399354460987262,0.0196549053288822,0.12698350897549107
HOMER3,0.07308030923245755,0.007887284975687492,0.04592045056397196,0.019200827951109306,0.1265365590639506
RIN2,0.07233547415014976,0.008546449739293565,0.049454760991399956,0.018452299820074358,0.12579968512376893
SNORD3B-2,0.07230539799836574,0.00857407048829426,0.04946378658596507,0.018422075813097714,0.12576992920059352
FAM65B,0.07213710553371384,0.008730099054922094,0.05021129698861253,0.01825295783520745,0.12560342681442335
MTRNR2L10,0.07166107256307908,0.009185249113030175,0.05217537778273581,0.017774606508259124,0.1251324409593562
TOM1,0.07139684533713381,0.009446908697017385,0.05336378781827082,0.017509103099555053,0.12487100478774411
LINC01001,0.07120079990005371,0.009645317810545917,0.05409791395892406,0.017312115699784327,0.12467702539629771
MARCO,0.07054928407321227,0.01033160042561617,0.057674640022998505,0.016657499509398984,0.12403234626984937
GRK6,0.07043047012359781,0.010461330903023917,0.05822758373589265,0.01653812514144747,0.12391477422991205
IFI44L,0.07006982965028287,0.010864013208374955,0.06011631798686782,0.016175793018171174,0.12355789417485272
IQSEC1,0.06942354560755813,0.011620161955914634,0.06355582663760752,0.015526512871361794,0.12291831435569156
ARHGEF40,0.0691426726314582,0.01196306616864822,0.06487399882312664,0.015244351966664873,0.122640341160474
FRAT1,0.06900137449223319,0.012138933292461115,0.06545368008264545,0.015102409157459792,0.12250049863403388
PPP2R5A,0.06890675767232442,0.012257973571793134,0.0659083111593863,0.015007361864543677,0.1224068553418467
SERPINB9,0.068839298338818,0.012343475666350663,0.06598855984289716,0.014939596209785943,0.12234008952661238
GIMAP6,0.06881280346568197,0.012377200897824757,0.06598855984289716,0.014912981163403536,0.12231386690260003
CD163,0.06878193227458732,0.012416599504316478,0.06601318167841085,0.014881970045666115,0.12228331283543754
CLMN,0.06870396818700596,0.012516593402055068,0.06635892256173329,0.014803653039968561,0.1222061491815439
SLC15A3,0.0681514948850643,0.013245802318922468,0.06964136510059513,0.014248697818053392,0.1216593294242582
IFFO1,0.06800615187687933,0.013443765612729908,0.07044536559428073,0.014102707390965249,0.12151546833704907
RP11-481A20.11,0.06798488160452079,0.01347295453673546,0.07044536559428073,0.014081342564636565,0.12149441474835274
NPTN,0.06783775292847867,0.013676392871336759,0.07131261997197025,0.013933561196679862,0.12134878357726868
VNN3,0.06774246941286113,0.013809584630000274,0.07180984007600143,0.013837856240907893,0.12125446864717009
AL627309.1,0.06653218066636424,0.015603596517333916,0.08025914956612404,0.012622300313729799,0.12005639876169431
PSTPIP1,0.06604347767149822,0.016384133644008172,0.08270501504342423,0.012131515636785158,0.11957258543641291
MAP2K6,0.06573069112808377,0.01690149486561838,0.08486768997583534,0.011817410378285317,0.11926291510424458
PADI2,0.06573039274645914,0.01690199515851726,0.08486768997583534,0.011817110743756762,0.11926261969034616
NBR1,0.06515693660946216,0.01788781260195946,0.08930057531487165,0.01124126455536099,0.11869484967708256
