,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
S100A12,0.26787775286932247,1.0481077002661604e-45,1.196692380127422e-43,0.23233128986846543,0.302709590487544
CDA,0.19389611462389106,3.33488046620302e-24,1.7980563846944616e-22,0.15714552524986405,0.2301104307341895
CTSD,0.18285671974512885,1.2023585347983951e-21,5.834444790109213e-20,0.1459628618530934,0.21924265429713785
NCF1,0.16926375969918353,1.0204124058561172e-18,4.0420826117688235e-17,0.13220643282057856,0.20584859558648996
CD14,0.1672855494397391,2.6005578697483217e-18,9.897417304277435e-17,0.1302056217868545,0.20389818855797723
CYP1B1,0.16563524263082793,5.625606598738947e-18,2.0998658477215955e-16,0.12853669148315183,0.20227085398393163
LGALS2,0.161549554894251,3.67119898435376e-17,1.319592079376046e-15,0.1244058011942062,0.19824116829351582
TMEM176B,0.1598330911006778,7.956237372854876e-17,2.807828498311148e-15,0.122670731085699,0.19654786177753072
CD36,0.159133900145348,1.0875821376134936e-16,3.703503384399634e-15,0.12196402607196809,0.19585804101639648
RBP7,0.15866715947331955,1.3388718367644215e-16,4.480603853723694e-15,0.12149229041151148,0.1953975351309105
DUSP6,0.15179572895369606,2.654366032211361e-15,8.446105686102052e-14,0.11454926585145901,0.18861601911223574
TYMP,0.14740159444920678,1.6688228248378797e-14,4.983361696938962e-13,0.11011125509255199,0.18427754145564704
RP11-290F20.3,0.13848145016499325,5.879706878514971e-13,1.563357678246241e-11,0.1011066123111378,0.17546595958744488
DUSP1,0.13516157243629748,2.0892638065820354e-12,5.407014731434308e-11,0.09775684904146878,0.17218497255122855
MAFB,0.12772620245240787,3.193468689649197e-11,6.887247474010102e-10,0.09025761930078433,0.16483372283944958
MSRB1,0.12734725739891908,3.6543894270753355e-11,7.794692173574974e-10,0.08987553338156776,0.16445895454892318
ITGAM,0.12503269134823156,8.25400584311485e-11,1.6688568064047838e-09,0.087542022582839,0.1621696672241169
IFITM3,0.11954587956935506,5.36551549735939e-10,1.003023358957628e-08,0.08201194445351097,0.15674118254086028
VAMP5,0.11503380953113901,2.349686361396145e-09,4.0006501995350155e-08,0.077466025576399,0.15227539307787327
MS4A7,0.11338473837264641,3.975116353763372e-09,6.65146624366785e-08,0.07580497303642669,0.15064285699684224
GIMAP7,0.10950426888316563,1.3300898539270813e-08,2.151420338727054e-07,0.07189713253855873,0.1468004947365496
C4orf48,0.10921399834594708,1.4534434548134954e-08,2.312404709666389e-07,0.07160486097527424,0.14651302948009517
