,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
CTSD,0.01981556518183611,0.24460761088374694,0.9984030845204589,-0.013564169080738962,0.05315118321283873
HLA-DRB1,0.019101052689403934,0.26204049486177317,0.9984030845204589,-0.014278813677879195,0.05243839239289378
RP11-1143G9.4,0.016626552471483865,0.3289385574293303,0.9984030845204589,-0.01675350787022016,0.04996959211686962
MTRNR2L12,0.016062166278318735,0.3456249057362272,0.9984030845204589,-0.01731788103567556,0.049406448899527035
CXCR4,0.01589277122070996,0.3507365567548175,0.9984030845204589,-0.017487268033088067,0.049237422772469557
RGS2,0.015810804476597568,0.3532270871833195,0.9984030845204589,-0.017569230189160793,0.04915563386048638
KLF6,0.01540396415857585,0.3657535995444806,0.9984030845204589,-0.017976041095172104,0.048749669590206796
CSTB,0.015303549589217277,0.3688874671726565,0.9984030845204589,-0.018076446704673833,0.048649469547926455
PLAC8,0.014554750953261836,0.39278003599760836,0.9984030845204589,-0.018825157297792414,0.04790224949124836
RBP7,0.014549715294619507,0.39294382216947465,0.9984030845204589,-0.0188301922376243,0.04789722432217722
NCF1,0.013883708049838106,0.41496874153272767,0.9984030845204589,-0.019496089494989877,0.047232589533317805
FOS,0.013408539885836027,0.4311190991632997,0.9984030845204589,-0.019971161087180226,0.04675838250896644
FAM65B,0.01289165010578246,0.4490944178639651,0.9984030845204589,-0.0204879287001405,0.04624252119031151
HLA-DPB1,0.012724696016013651,0.4549899479210332,0.9984030845204589,-0.020654839519572022,0.046075895490206256
TXN,0.012721133748307129,0.45511621258107837,0.9984030845204589,-0.020658400843753987,0.046072340209065844
SELL,0.012179470431038461,0.47454344411957194,0.9984030845204589,-0.02119991083594049,0.04553172940738476
MTRNR2L10,0.011959715717114325,0.48255305345713606,0.9984030845204589,-0.021419597760921085,0.045312396132041556
PLBD1,0.011869815040546117,0.48585078876548893,0.9984030845204589,-0.021509469776269406,0.045222666937289054
MSRB1,0.011808954389648504,0.48809017661695453,0.9984030845204589,-0.02157031071797868,0.04516192207007461
CTSB,0.011788168708154197,0.48885626540231497,0.9984030845204589,-0.021591089611575603,0.04514117587557122
HSP90AA1,0.011699613330709853,0.4921273557377219,0.9984030845204589,-0.0216796157467013,0.04505278840623626
VAMP5,0.01155732520606732,0.4974077246212756,0.9984030845204589,-0.02182185578949664,0.044910768977702506
MT2A,0.011387594875204878,0.5037457103762766,0.9984030845204589,-0.021991526997915012,0.044741357401384726
TYMP,0.011374746323451769,0.5042272232766821,0.9984030845204589,-0.022004370995824984,0.0447285329011793
CDA,0.011270827471114526,0.5081305912200735,0.9984030845204589,-0.022108252611821155,0.04462480817329911
LDHA,0.011031567184110304,0.5171774827120803,0.9984030845204589,-0.022347424426690174,0.04438599209989484
HLA-DQB1,0.01102098276746528,0.5175796165066138,0.9984030845204589,-0.022358004841249966,0.04437542724635687
LGALS2,0.010931294429645981,0.5209936256379011,0.9984030845204589,-0.022447658966805624,0.044285904379447974
JUND,0.010791706683779297,0.5263300285085292,0.9984030845204589,-0.022587192397939843,0.044146573100985374
CD55,0.010699018339975986,0.5298888345950643,0.9984030845204589,-0.022679843957525547,0.04405405433848824
DUSP6,0.01057698384537923,0.5345929634873556,0.9984030845204589,-0.02280182914722061,0.043932242243981345
CYP1B1,0.010058402893067588,0.5548150102658977,0.9984030845204589,-0.02332018949484822,0.04341459531019194
CDC42SE1,0.010052193223549048,0.5550594024083801,0.9984030845204589,-0.023326396414031118,0.04340839671642196
IFITM3,0.009906806992659216,0.5607963031583497,0.9984030845204589,-0.023471717516242326,0.0432632690667388
TUBA1B,0.009835829260957689,0.5636074499823678,0.9984030845204589,-0.023542662939630872,0.043192417063295185
CALR,0.00902870715357174,0.5960424250415892,0.9984030845204589,-0.02434939400621986,0.04238670107074115
PET100,0.009015922020016462,0.5965629816481806,0.9984030845204589,-0.02436217259578527,0.04237393786150249
SLC2A3,0.009012907821627824,0.5966857371974286,0.9984030845204589,-0.02436518524978664,0.04237092883036239
SOD2,0.008782204411077238,0.606115199158192,0.9984030845204589,-0.02459576865570548,0.04214061911957709
MTRNR2L1,0.008765349467935814,0.6068067100926036,0.9984030845204589,-0.02461261469222699,0.042123792800753256
ENTPD1,0.008637200819108164,0.6120757675078592,0.9984030845204589,-0.02474069500380362,0.041995861164624226
JUN,0.008631427729647057,0.6123136138059393,0.9984030845204589,-0.024746464988881372,0.04199009782582381
GNLY,0.00859728330412447,0.6137211689710944,0.9984030845204589,-0.024780591008332367,0.04195601102432579
TNFSF10,0.008493107060407266,0.6180244699850868,0.9984030845204589,-0.024884710613521183,0.04185201011429416
GIMAP7,0.008301955416593438,0.6259546232151212,0.9984030845204589,-0.02507575644867326,0.041661178307826334
MDM4,0.008158755211258601,0.6319239808222241,0.9984030845204589,-0.025218875790711814,0.04151821611222494
LY6E,0.008152254547037262,0.6321955373537278,0.9984030845204589,-0.02522537275162706,0.0415117262201944
CTNNB1,0.008061487316945538,0.635992382729612,0.9984030845204589,-0.02531608797880259,0.04142110910558912
CREB5,0.00805674403619665,0.6361910611168482,0.9984030845204589,-0.02532082852688862,0.04141637365443147
PSTPIP1,0.00798986126322637,0.6389953112349741,0.9984030845204589,-0.025387672608049184,0.041349601123290315
C1orf56,0.007986304836235353,0.6391445695295637,0.9984030845204589,-0.025391226969283344,0.041346050549958546
CARS2,0.007820319169765649,0.6461269201294342,0.9984030845204589,-0.025557115283882798,0.041180337148332434
GCHFR,0.0078075212394066625,0.6466665839082357,0.9984030845204589,-0.02556990563182776,0.04116756013409798
PPP1R15A,0.0077717337445039935,0.6481766583362789,0.9984030845204589,-0.025605671865641482,0.041131831070090386
PDK4,0.007749732624962995,0.6491057274502263,0.9984030845204589,-0.025627659872064463,0.041109865829830346
MIF,0.00771415427810039,0.6506092940070977,0.9984030845204589,-0.02566321694516379,0.04107434543566795
FGD2,0.007622634912262201,0.6544834911584756,0.9984030845204589,-0.025754681199760543,0.0409829747560548
KCNE3,0.007531539941371468,0.658348980959037,0.9984030845204589,-0.025845720760036373,0.040892027227809366
TMEM205,0.007525825497822664,0.65859177136171,0.9984030845204589,-0.02585143170918872,0.040886322015001794
PLAUR,0.007524138842413074,0.6586634394152608,0.9984030845204589,-0.0258531173327879,0.040884638083690084
