,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
CTSD,0.019960541594822873,0.24117209497640424,0.9996098483911123,-0.013419161701643197,0.053295806148668405
HLA-DRB1,0.01888507509077029,0.26747485286616524,0.9996098483911123,-0.014494824496329585,0.052222928522816
RP11-1143G9.4,0.016406917265516092,0.3353691256047615,0.9996098483911123,-0.01697314053449695,0.04975044314432642
MTRNR2L12,0.01631565736467641,0.33806470518211684,0.9996098483911123,-0.017064398431938264,0.04965938433254131
RGS2,0.016272351036670667,0.3393487132943126,0.9996098483911123,-0.017107703614682706,0.04961617323507865
CXCR4,0.01563234626835251,0.3586880219427456,0.9996098483911123,-0.01774767685668605,0.04897756128208146
PLAC8,0.01551774413621578,0.3622227419877435,0.9996098483911123,-0.017862270456337044,0.048863205675601866
CSTB,0.015437137685405052,0.3647219374082721,0.9996098483911123,-0.017942870380423533,0.04878277209715977
KLF6,0.01513883845247913,0.3740640076920374,0.9996098483911123,-0.018241141686579355,0.048485108848919024
RBP7,0.01446822750172274,0.3955999817345429,0.9996098483911123,-0.01891166816325716,0.047815906038433796
NCF1,0.014244864797472074,0.4029360570913817,0.9996098483911123,-0.019134996065618803,0.047593005701988565
FAM65B,0.01354268612469815,0.4265231174831444,0.9996098483911123,-0.019837043638799887,0.04689225892826023
SELL,0.012871867332157108,0.44979072243802043,0.9996098483911123,-0.02050770644373829,0.04622277742525658
TXN,0.012854128203246738,0.4504156155740674,0.9996098483911123,-0.02052544104002869,0.046205073253006795
HLA-DPB1,0.012771405693287182,0.45333614779941933,0.9996098483911123,-0.020608142135743003,0.04612251347905239
FOS,0.012686380684962582,0.4563490698356346,0.9996098483911123,-0.020693144657741594,0.04603765526150595
MSRB1,0.012305514092641868,0.4699825499435829,0.9996098483911123,-0.021073904601081047,0.04565752989537163
PLBD1,0.012234364764469728,0.472554110253508,0.9996098483911123,-0.021145032932895297,0.04558651796426389
LGALS2,0.011983674302866919,0.4816762610211591,0.9996098483911123,-0.021395646722361546,0.045336308926962124
VAMP5,0.011849751318140032,0.4865884256694306,0.9996098483911123,-0.021529527028532055,0.045202641412145875
MTRNR2L10,0.011806202780866547,0.4881915542798422,0.9996098483911123,-0.021573061429834752,0.045159175690233165
HSP90AA1,0.011783971438217205,0.4890110408892032,0.9996098483911123,-0.02159528550732734,0.04513698657578387
CTSB,0.011775840387825266,0.48931095066187924,0.9996098483911123,-0.02160341389226978,0.04512887096201645
CDA,0.011658301358819978,0.4936573566850244,0.9996098483911123,-0.021720913897708964,0.04501155458653599
TYMP,0.011584096429356441,0.49641193628972513,0.9996098483911123,-0.021795093715915037,0.044937489749326785
LDHA,0.011271177254840383,0.508117426230331,0.9996098483911123,-0.022107902954639203,0.044625157304821576
HLA-DQB1,0.011032700363685949,0.5171344393988304,0.9996098483911123,-0.022346291675139185,0.04438712318458007
DUSP6,0.010969012059428703,0.5195564838102431,0.9996098483911123,-0.02240995579009771,0.04432355248718575
CYP1B1,0.01090940859506341,0.5218284709995642,0.9996098483911123,-0.02246953637139222,0.04426405884192842
MT2A,0.010842250937734084,0.5243945165572775,0.9996098483911123,-0.022536667961352855,0.04419702463881405
CD55,0.0106955629885461,0.530021740100453,0.9996098483911123,-0.022683297926581924,0.044050605297859445
CDC42SE1,0.010193393178727623,0.549515270534848,0.9996098483911123,-0.0231852583619707,0.04354934418850504
JUND,0.01004052272861971,0.5555188568730198,0.9996098483911123,-0.023338061732998298,0.04339674703038067
TUBA1B,0.010026491065170838,0.5560715135524497,0.9996098483911123,-0.02335208716125336,0.043382740373853874
IFITM3,0.009960851026270172,0.5586603929350582,0.9996098483911123,-0.023417697857456128,0.043317217143038614
MTRNR2L1,0.009180321024916728,0.5898851883026184,0.9996098483911123,-0.024197856905876464,0.042538054120145316
TNFSF10,0.009120311606347313,0.5923187460507738,0.9996098483911123,-0.024257836121561547,0.042478148119087476
CALR,0.009120167260615403,0.5923246052392945,0.9996098483911123,-0.024257980394354204,0.04247800402182528
ENTPD1,0.008982328899113611,0.5979317364554406,0.9996098483911123,-0.02439574847028103,0.04234040229516787
GIMAP7,0.008935774026540047,0.5998309719240795,0.9996098483911123,-0.02444227931751156,0.04229392706006351
SOD2,0.008597878209723964,0.6136966326337078,0.9996098483911123,-0.024779996424091653,0.04195660492659436
CREB5,0.008579619236833964,0.6144499041881863,0.9996098483911123,-0.024798245523007405,0.04193837673741513
