,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
IFITM3,0.4886580163592191,3.431018018369716e-258,6.717933279967904e-255,0.46508995021389443,0.5115338847768703
LY6E,0.4233594437357883,3.373170335914923e-185,3.3023337588607096e-182,0.3979988047849006,0.44807350054078604
IFI6,0.3718117147294776,6.736621478409493e-139,4.396768284908596e-136,0.3452269032697995,0.3978003350283293
IFI44L,0.34814276667079413,1.7061468854569576e-120,8.351589004311807e-118,0.3210520419714164,0.3746642230847476
SPI1,0.320576695812492,4.1697008501501585e-101,1.632854852918802e-98,0.29294119002241226,0.34767702168712444
DUSP6,0.25114056066137913,4.5997220528732765e-61,1.1257819724407344e-58,0.22234391318551314,0.2794994129098762
ISG15,0.24758014042411033,2.5263789121212593e-59,4.496954463575842e-57,0.21873207474083248,0.2759958002766823
MT1H,0.245712789419924,2.0108704989222114e-58,3.0286803360689923e-56,0.21683807214210202,0.27415794149756045
MT1G,0.2399129881858784,1.1246605007679455e-55,1.468056840335758e-53,0.2109568795395044,0.2684484149537607
CRIP1,0.2363531736399428,5.0115218876467345e-54,6.132849910007691e-52,0.20734814637197893,0.264943016174254
MX1,0.22701631306421227,7.780238697386844e-50,8.463170760824135e-48,0.19788672861233678,0.25574528840504457
IFI44,0.21475842214981253,1.2686536643892e-44,1.1828685118447873e-42,0.18547354799677745,0.24366215649269016
IFIT3,0.19985716209700352,1.0142536007736299e-38,7.63810980890295e-37,0.17039608703806988,0.2289612478605929
LPAR6,0.18859115057517276,1.4451840434575151e-34,9.757483989964878e-33,0.15900601013825422,0.21783789114692503
OAS3,0.18678891614785184,6.310932663000446e-34,4.118935384718291e-32,0.1571846592588973,0.21605777212528915
APOBEC3A,0.18050089879559844,9.586729962490279e-32,5.865880395798739e-30,0.15083152108783004,0.2098453915448548
TYMP,0.1787318386308304,3.8101279903916395e-31,2.260675940965706e-29,0.14904458157838252,0.20809718373266972
SIGLEC1,0.17399912496951847,1.4225283049088125e-29,7.958029774318442e-28,0.14426498889340117,0.20341933319533906
CSF3R,0.1737222046025936,1.752476075226066e-29,9.273913933223343e-28,0.14398536850086008,0.2031455813770391
IER2,0.16858019241418915,7.90469008550343e-28,4.072995575635714e-26,0.1387940832999753,0.1980615687411567
ATP5EP2,0.16481957673474615,1.1866357725813918e-26,5.682022457507684e-25,0.13499846785934336,0.19434236654722642
MS4A7,0.16481583454248994,1.1898004124505364e-26,5.682022457507684e-25,0.13499469127462924,0.19433866514277764
STAT1,0.16246625983047333,6.255056966965743e-26,2.7835003502997558e-24,0.13262369393616963,0.1920145335026012
CCR1,0.15781573926756798,1.5512967158970844e-24,6.462636105801045e-23,0.12793177829192115,0.18741339505657614
C1orf56,0.15736306258232122,2.10939577669824e-24,8.604576939114905e-23,0.1274751436812132,0.1869654557973715
MT2A,0.15518707976028365,9.12216234774425e-24,3.572238775376648e-22,0.12528031222704858,0.18481207360942895
OAS2,0.15352649547539393,2.749009465111144e-23,1.0554040260171803e-21,0.1236055406731879,0.18316854542414082
IFIT2,0.15238029170422585,5.844064457388422e-23,2.2005150399166403e-21,0.12244964368641781,0.18203401781128226
MX2,0.1484548416656102,7.397270848342584e-22,2.732803079444298e-20,0.11849161202844477,0.178147957270188
HERC5,0.14742253645393033,1.4256019400483665e-21,5.0751429065721847e-20,0.11745089668412481,0.17712585677473966
