,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
PLAUR,0.6644592954131364,6.818793585982604e-124,1.3364835428525904e-120,0.6257859825639045,0.6998737056929325
IL1B,0.6602718202623881,1.244122948801716e-121,1.2192404898256816e-118,0.6212257040641664,0.6960474861330538
NFKBIA,0.6542705411684703,1.824036971848618e-118,1.1917041549410972e-115,0.6146947497016474,0.6905603953396215
C5AR1,0.6075568746605698,1.7484329662668795e-96,8.567321534707709e-94,0.5640429563682722,0.6477058584763666
IER3,0.6039119533469889,6.034913086194082e-95,2.3656859297880803e-92,0.5601044795807117,0.644351334165307
NR4A2,0.5991811406079278,5.5284348427382925e-93,1.8059553819611757e-90,0.5549956070392785,0.639995111210319
SOD2,0.5753402486961172,1.1845884115875562e-83,3.3168475524451573e-81,0.5293001113349258,0.6180019618210654
SAMSN1,0.5707446379263977,5.910789802107869e-82,1.448143501516428e-79,0.5243566943032169,0.6137548348907449
NR4A1,0.5631419308870245,3.26456617968602e-79,7.109499680205109e-77,0.516185456885423,0.6067231690135122
CXCL2,0.5548323032882869,2.6221776891153375e-76,5.1394682706660616e-74,0.5072642019996095,0.5990298705296697
CD83,0.5532462352856075,9.172070789351291e-76,1.6342962497389573e-73,0.5055625499133447,0.5975605139902931
IL8,0.5343515411099926,1.549653549767185e-69,2.531100797953069e-67,0.48531940495265574,0.580033271707291
CDKN1A,0.5335812472624388,2.7204761499988303e-69,4.101640964613621e-67,0.4844952515102458,0.5793178273010223
CXCR4,0.5291788978438702,6.572985521057916e-68,9.202179729481082e-66,0.47978675755686057,0.5752275982331782
JUNB,0.5213732439020768,1.6361057701507733e-65,2.1378448729970105e-63,0.47144527745326337,0.5679696886370451
FOSB,0.5175396093262096,2.316652963224923e-64,2.8378998799505305e-62,0.4673517482174571,0.5644024151916992
CD55,0.5173029672240967,2.725003765910844e-64,3.1417690477560317e-62,0.4670991338718388,0.564182157626526
PPP1R15A,0.5149843032459452,1.3270101795971595e-63,1.4449666400057957e-61,0.46462440431596574,0.5620236793990427
TIMP1,0.5048271942116379,1.1607844420296671e-60,1.197440792830604e-58,0.4537928993409793,0.5525607213453689
THBS1,0.5037113310715896,2.4052105957635273e-60,2.357106383848257e-58,0.45260386551168164,0.551520367058751
G0S2,0.5033233879224872,3.0963072957027655e-60,2.8898868093225813e-58,0.4521905262698037,0.5511586406185154
EREG,0.49691782433761106,1.9018034591695377e-58,1.6943339908964973e-56,0.44536880621742836,0.5451833564029013
HBEGF,0.48729230687156727,7.713587710095898e-56,6.573318222516505e-54,0.4351291798271634,0.5361951803262103
NR4A3,0.4798057695317419,7.114512771571476e-54,5.8101854301167055e-52,0.4271743186023466,0.5291966790156709
SLC2A3,0.472329008019394,5.764041796868327e-52,4.519008768744768e-50,0.41923796828230475,0.5222006027441427
BCL2A1,0.4637042015231898,7.901715975178456e-50,5.95667819667299e-48,0.41009307134929046,0.5141219438401108
NLRP3,0.4579087488014114,1.976386274719481e-48,1.4347100364630305e-46,0.40395419245588754,0.5086884462297807
BIRC3,0.4507652867631816,9.518239177384427e-47,6.662767424169099e-45,0.39639410478749143,0.5019855588627499
NFKBIZ,0.44153993113071366,1.2218499898980585e-44,8.258020621379982e-43,0.3866416002776472,0.4933200654015802
CXCL3,0.4412843956057443,1.3944567812632692e-44,9.110450970920025e-43,0.38637163776788636,0.49307989127110957
RGS1,0.4340820435664827,5.493091813517475e-43,3.473051598223952e-41,0.37876652424210056,0.4863072563796477
