,Osteoclasts_corr,Osteoclasts_pval,Osteoclasts_qval,Osteoclasts_ci_low,Osteoclasts_ci_high
S100A3,0.45570731248327456,8.00164206659475e-138,7.937628930061993e-135,0.4246084434420706,0.48573210782753234
COL27A1,0.37630826506550746,6.5920474562359714e-90,4.359540717724056e-87,0.3427211727560813,0.4089345677284016
MMP9,0.3061082837689679,4.388467476188784e-58,2.176679868189637e-55,0.27074388229495244,0.340647571388336
FOXM1,0.27732321972319207,1.9348166094345882e-47,7.677352306236447e-45,0.2413439121119182,0.31254117057834063
RUFY4,0.2680242862848753,2.83355714658816e-44,9.369628964718183e-42,0.23186042806550497,0.3034482800192967
COL6A1,0.2626733791232969,1.6425180859407377e-42,4.655365546437748e-40,0.22640643877448544,0.2982130104836596
ZNF628,0.24529766021239996,4.4989678611467225e-37,1.1157440295643872e-34,0.2087116553150484,0.281198037134851
SLC9B2,0.22498586668227222,2.9346301837046565e-31,6.469229204966709e-29,0.18805720599812834,0.26127929001855904
EXT1,0.21272462151197474,5.05436783275535e-28,1.0027865780186614e-25,0.1756049058425934,0.24924032841156896
AK5,0.21169402820304586,9.257077228034432e-28,1.6696401109473012e-25,0.17455879466772684,0.24822790424240052
FILIP1L,0.21105924081511257,1.3416655145101985e-27,2.2182203173235285e-25,0.1739144908667206,0.24760426829803592
CCL21,0.19350175953534549,2.37179088029602e-23,3.6197177742363875e-21,0.15610639179734834,0.2303432124546873
CTSK,0.18556210295121636,1.4602435097975413e-21,2.0693736595988014e-19,0.14806137805862435,0.22252998246713193
COL6A2,0.1829677159462143,5.390790684436366e-21,7.130219145281167e-19,0.14543363961680753,0.2199758772327346
RP11-6J24.6,0.1793082181940442,3.290292661220806e-20,4.079962899913799e-18,0.14172799824448054,0.21637233587885427
ADAMDEC1,0.17734768920847252,8.533767397846163e-20,9.959408539603994e-18,0.1397431815902209,0.21444136928967214
PF4,0.17293665679962747,6.9941712424786545e-19,7.709130969487583e-17,0.13527860841234685,0.2100957895660661
MATK,0.16552413956893497,2.114937832040266e-17,2.208440346719941e-15,0.12777956111386618,0.20278995403077082
GOLM1,0.16511541891827136,2.5406918753330293e-17,2.5203663403303653e-15,0.12736619476333103,0.2023869950063125
HIST1H2AC,0.16444991867649797,3.4214317972719916e-17,3.2324384218036342e-15,0.1266931582088486,0.20173084913770378
FAM229A,0.15572954213879195,1.5052136698691532e-15,1.3574290550092727e-13,0.11787724077281758,0.19312995439704853
PPIC,0.1505018760011164,1.3129935905867112e-14,1.1325996885756675e-12,0.11259515909057588,0.18797115774543013
NCR3,0.14942982469739632,2.0280263992527363e-14,1.6765018233822621e-12,0.11151221330371237,0.18691297417162353
DBN1,0.1488003848277092,2.613871703732226e-14,2.0743685840818948e-12,0.11087641884903723,0.1862916360142017
AC092484.1,0.14821482062647295,3.306611747811434e-14,2.523199118329956e-12,0.11028497088520024,0.18571358186103085
