,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
S100A12,0.383168634389114,1.6528440148196546e-93,1.0925298937957917e-90,0.34977644641064626,0.4155884474485805
THBS1,0.31111882518553874,4.51339655261681e-60,8.950065363839135e-58,0.27586820884535096,0.34553367962807396
U91328.20,0.2442973990986687,8.973382049490568e-37,5.740069872303161e-35,0.20769375538339993,0.2802178553442197
LINC00936,0.24135309720607553,6.719634447569994e-36,4.16407347172853e-34,0.20469799305837297,0.27733222280719666
IL1R2,0.22717560187137636,7.381920195259853e-32,3.570328718829339e-30,0.19028231184262823,0.2634281399309372
IGLL5,0.20885877271067707,4.810504640797608e-27,2.0296235537663102e-25,0.1716812806133485,0.24544222182157643
HBB,0.20874658476932237,5.1320557790204864e-27,2.1201805437078384e-25,0.17156743359281904,0.24533198300451697
HLA-DQA2,0.18815988802539974,3.8713239874612604e-22,1.3235923219199446e-20,0.15069308889365768,0.2250869246692722
RBP7,0.17929971832736316,3.3039957336330977e-20,1.02372242809288e-18,0.14171939242647058,0.2163639648056567
RP11-1143G9.4,0.17891867763858768,3.9797878835110924e-20,1.214141442000384e-18,0.14133360787862437,0.21598869220428965
SELL,0.16681518187684788,1.1812263914520098e-17,3.082068334538599e-16,0.12908536411504687,0.20406271396608344
IDO1,0.1648049788240234,2.919542909026131e-17,7.236816985748523e-16,0.12705223483186073,0.20208092266958458
APOBEC3A,0.1639994701849598,4.182013213396425e-17,1.0238187903907545e-15,0.12623762843893518,0.20128671322827718
PLBD1,0.16207372396783606,9.800868729076023e-17,2.3137050821140186e-15,0.12429033842840402,0.19938778150965775
MT1E,0.16145997976642731,1.2828848043818298e-16,2.9928947848107865e-15,0.12366978927350664,0.19878252431636995
CD55,0.15521673740554712,1.8678479743099046e-15,4.070266519842353e-14,0.11735900341128029,0.19262399682944045
CSF3R,0.14963071712298523,1.8698120703801495e-14,3.9029866690145646e-13,0.111715140397413,0.1871112745367118
CES1,0.14544232941377597,9.935411812879503e-14,1.9701921624940055e-12,0.10748498627108137,0.18297629631330253
KLRB1,0.14449340516449197,1.440779087282508e-13,2.8287771584962507e-12,0.10652679030698774,0.18203928800471764
FOLR3,0.1418191881165619,4.052022568239815e-13,7.726116108480339e-12,0.10382682345237196,0.17939828502882724
JUNB,0.14170681012696237,4.2301502452836726e-13,7.988940891807164e-12,0.10371337564318474,0.17928729092590753
CXCR4,0.14095681633001714,5.632006190946909e-13,1.0536102147780867e-11,0.1029562673459471,0.178546508481079
FAM65B,0.140906875662418,5.740062921223766e-13,1.0637892311015633e-11,0.10290585450079516,0.17849717966667775
CLEC12A,0.14086824850068877,5.825033055506825e-13,1.0695407915805587e-11,0.10286686226200872,0.17845902561997298
IER2,0.13937714407962143,1.0239731867241625e-12,1.8459443902491037e-11,0.1013617542257549,0.17698609820084132
FOS,0.1389462869631677,1.203885803922357e-12,2.131522811766102e-11,0.10092688314607463,0.1765604619855417
LGALS2,0.1322382346361703,1.4015393625347188e-11,2.35529877619182e-10,0.09415821040343589,0.16993187938282517
IGJ,0.13175292110102738,1.6659566230180643e-11,2.7761277171805224e-10,0.09366864763324846,0.16945218296799164
PLAC8,0.1282305122199645,5.7295891989131705e-11,9.017282048765729e-10,0.0901159496179205,0.16597000778405296
HSPA1A,0.1275349710623937,7.283321038758778e-11,1.1283457515514575e-09,0.08941454217651891,0.16528229995756868
CLU,0.12425525521079354,2.2184957310350673e-10,3.358226744001938e-09,0.08610767419550538,0.16203902625304345
HSPA1B,0.12263401016833939,3.8065762732314753e-10,5.7185157195591026e-09,0.08447331757083677,0.16043549391401357
AC074289.1,0.12161977874315766,5.316940792461079e-10,7.809995252926164e-09,0.08345098809107573,0.15943224187465602
MT2A,0.12100634103375396,6.499171646297701e-10,9.47636571662378e-09,0.08283269142502399,0.1588254069208169
MSANTD2,0.11959198835431707,1.0285653861269464e-09,1.488792088094697e-08,0.08140724783371982,0.15742616877135324
RETN,0.11822529732867501,1.5947076476858678e-09,2.2587894752579115e-08,0.08002998803022529,0.1560739386014827
COL5A2,0.11712378289920483,2.2625717227368406e-09,3.115749809852191e-08,0.0789200615897661,0.15498397595368057
CTB-61M7.2,0.11533004980739538,3.971833327500903e-09,5.394620197557734e-08,0.07711283285824619,0.15320885678919333
FCER1A,0.11414635461151279,5.730991564249722e-09,7.678754237775135e-08,0.07592036933694778,0.15203731113477198
GRASP,0.1138265781254471,6.323697809128681e-09,8.416035406377299e-08,0.07559824283708044,0.15172079859165996
MT1G,0.1133336613187294,7.3556938108423284e-09,9.659828362185654e-08,0.07510171924975394,0.1512328977400542
MT1X,0.11205479607531657,1.0855608373107442e-08,1.3888175099272296e-07,0.07381358466184461,0.14996696020563485
HLA-DRB5,0.11186391224942563,1.1500650336325553e-08,1.461909590829075e-07,0.0736213282344145,0.14977799531087846
PHACTR1,0.109164855626306,2.5745715249990422e-08,3.1684621155130987e-07,0.07090316753489743,0.1471057754633228
ZNF467,0.10864567807749508,2.999634724028936e-08,3.626997352286207e-07,0.07038038037447941,0.14659169658664306
NRGN,0.10857153693345645,3.0656334398198256e-08,3.6843340067652815e-07,0.07030572547510462,0.14651828188584642
FFAR2,0.10720106830186787,4.571953817648387e-08,5.428852946345359e-07,0.06892583747605685,0.14516116597766918
VNN1,0.10562003787752366,7.205901109656144e-08,8.505536845504841e-07,0.06733412238714584,0.14359536235677328
SLC2A3,0.1031435627227711,1.4502982452206666e-07,1.6433950972986182e-06,0.06484130275835406,0.14114235576410497
