,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
IFITM3,0.35467555634842246,2.0886440961354695e-125,4.089565140233249e-122,0.32772094165445004,0.38105324816334335
CXCL2,0.3486371455404449,7.322280765996233e-121,7.168512869910312e-118,0.32155662722859485,0.3751478104572079
LY6E,0.31041151135931244,1.7549674536061328e-94,1.1454087580536027e-91,0.28258715690399916,0.33771395449088565
PLAU,0.30886278826823427,1.6962250049271799e-93,8.303021399118545e-91,0.28101023060856506,0.33619548785069314
SPP1,0.29802517463597855,8.900032329946219e-87,3.4852526604069395e-84,0.26997946436950493,0.3255656239249884
APOC2,0.2945793221120235,1.0540958995581692e-84,2.948456821655815e-82,0.26647374014578157,0.3221843667870259
CXCL13,0.2945793221106764,1.054095901511272e-84,2.948456821655815e-82,0.2664737401444112,0.32218436678570395
AC092484.1,0.2862803500033525,7.83203696773101e-80,1.9168910478521647e-77,0.25803362446941813,0.31403807401668155
CXCL3,0.27606635132786345,4.515296734885064e-74,9.823278896561062e-72,0.24765182781987108,0.3040063722800716
IFI44L,0.2748221528594506,2.1829078819032976e-73,4.274133632766657e-71,0.2463876350577637,0.3027839564578927
SPI1,0.2697421791271713,1.2429909663299902e-70,2.2125239200673826e-68,0.24122702990726697,0.29779196487519016
IFI6,0.2683531556813439,6.872607754985322e-70,1.1213804986884383e-67,0.2398162400194741,0.2964267313711354
APOE,0.2679527623463465,1.1228999856567991e-69,1.691260132243087e-67,0.23940959477024348,0.29603317430854337
C1QC,0.26680526632124235,4.563501157668413e-69,6.38238233336768e-67,0.23824423671808284,0.2949052176874236
C1QB,0.24364074117324688,1.9667347401187124e-57,2.2652156595014348e-55,0.21473670518004662,0.2721183751669816
A2M,0.2415452638085188,1.9293843794411362e-56,2.0987414527476358e-54,0.2126118497130393,0.27005548673861135
OLR1,0.2285868325965286,1.5830867797323404e-50,1.6314125866925906e-48,0.19947781983729992,0.2572927688417855
SLCO2B1,0.22187446040874448,1.3096082236723925e-47,1.2821064509752723e-45,0.1926785983292057,0.25067783507874936
NUPR1,0.21416908276897054,2.2169974302169056e-44,2.0670861754117623e-42,0.1848769779288045,0.24308099308377887
ISG15,0.2096856065270351,1.4645477015436943e-42,1.303447454373888e-40,0.18033920000300704,0.2386590369042337
FN1,0.20574777086553658,5.356477505377912e-41,4.559992589360849e-39,0.17635470132978656,0.2347742429672221
HSPA1B,0.19598737166397812,2.901546672682656e-37,2.1850878404279385e-35,0.16648279319960044,0.22514131506689786
CD83,0.18804830518667523,2.2565669563592476e-34,1.6364289261301507e-32,0.158457385549116,0.2173017275484611
C1QA,0.1877188780381906,2.955251783962012e-34,2.066565354642007e-32,0.15812446018597331,0.21697634665483784
APOC1,0.18559136866363246,1.666452223579791e-33,1.125142570265252e-31,0.15597452064709302,0.21487481225747612
DUSP6,0.18390861874694212,6.447560624859486e-33,4.208107901158291e-31,0.1542742283621732,0.2132124151141952
IL8,0.1836708608352288,7.79745014845665e-33,4.924970126025199e-31,0.15403400601769202,0.2129775191905735
MX1,0.1782206114341848,5.661579766817087e-31,3.2604038774787815e-29,0.1485282236769069,0.20759194755239732
CRIP1,0.17340541742844845,2.2238032616781243e-29,1.2440590818187905e-27,0.14366549841532297,0.2028324132703504
ATF3,0.1723291788907286,4.977703337850697e-29,2.707317537642129e-27,0.14257883254772408,0.20176842502276704
IFI44,0.1711038959764154,1.2376467064901607e-28,6.549492571101986e-27,0.141341765559009,0.20055700430762075
IFIT3,0.1646654588510243,1.324130959571148e-26,6.647816458564891e-25,0.13484293427874913,0.19418992776678784
LPAR6,0.16417777445269985,1.8719187602318868e-26,9.163042331335085e-25,0.13435077978899676,0.193707547259712
APOBEC3A,0.15958757360754983,4.617754825814554e-25,2.1527533211773565e-23,0.12971922631533347,0.18916656812681332
CCL20,0.15627621856051516,4.39493367212416e-24,2.0012279372137453e-22,0.12637884869176175,0.18588993573417037
OAS3,0.15470822162617787,1.255455672494705e-23,5.513812191391364e-22,0.12479734545996927,0.1843381508976417
HAMP,0.15163817409293742,9.493279392688262e-23,4.040835011061656e-21,0.12170129343794021,0.18129941789912196
CCL18,0.15112663911883248,1.3244217704632356e-22,5.517484737376629e-21,0.12118548217794081,0.1807930455350768
SOD2,0.14521919682336165,5.691718769538473e-21,2.228877070151266e-19,0.11522982675540705,0.17494408362513086
TYMP,0.1443720940100199,9.636156654336002e-21,3.699528378272528e-19,0.11437598709452408,0.1741051946292528
GPNMB,0.1436087871496101,1.5443991683217892e-20,5.815256868411661e-19,0.11360664775565828,0.1733492521042626
DUSP4,0.1430733159766647,2.1468357582249785e-20,7.931140404914165e-19,0.11306696618152778,0.17281892620731998
FCGR3A,0.14287039492810802,2.431422373898582e-20,8.816157422395229e-19,0.11286245419407319,0.1726179504955291
IFIT2,0.14163202848192455,5.1768426422168254e-20,1.84295598062919e-18,0.11161443382584192,0.17139140217414142
ATP5EP2,0.1406496068196784,9.382954055290681e-20,3.2806828643319916e-18,0.11062442085845754,0.1704182904479706
INHBA,0.13976040794019662,1.6014337890120785e-19,5.5010655419046486e-18,0.10972840238906635,0.16953746801268274
SIGLEC1,0.1396047692389511,1.7578840744880897e-19,5.934374168702896e-18,0.10957157505715333,0.16938329056916188
PMP22,0.13946357990637237,1.9128154066589787e-19,6.347953502098781e-18,0.10942930873887392,0.16924342557149766
HSPA1A,0.1381223701413666,4.248469303147943e-19,1.386417149260612e-17,0.10807792964867895,0.1679147363353231
PLA1A,0.13719968880827482,7.32231314298462e-19,2.3124337312844977e-17,0.10714831682026811,0.16700060561176783
MT2A,0.1368702339319744,8.885241133102037e-19,2.7614765299386967e-17,0.10681639969660822,0.16667419142382492
SNAI1,0.13604975056739083,1.4355428824070157e-18,4.3918640058639635e-17,0.10598981339691423,0.16586125227879123
IER2,0.13510424804458193,2.486086909348243e-18,7.488858720775169e-17,0.10503732953694511,0.16492439325621824
PLTP,0.13317179664017942,7.54523896888643e-18,2.2050116270268104e-16,0.10309078100325407,0.16300944034852854
CTHRC1,0.13311562788876496,7.790783088342771e-18,2.2432872480845804e-16,0.10303420594942321,0.16295377684722603
ADAMDEC1,0.13197278623033054,1.4902578972798972e-17,4.228876757788462e-16,0.10188313969439171,0.16182117404642005
MX2,0.13089357010352004,2.7351618589090607e-17,7.650638456777058e-16,0.10079623082220342,0.16075155455102044
CSF3R,0.12811685086998256,1.2745863112269925e-16,3.467865425995897e-15,0.09800004906916,0.15799920413398183
IL1B,0.12811595708652,1.275210984023006e-16,3.467865425995897e-15,0.09799914909755805,0.15799831811970713
VSIG4,0.12784097837444605,1.482443723495654e-16,3.976198370691083e-15,0.09772226890008212,0.157725727367771
HERC5,0.12673988370256023,2.7003048209111656e-16,7.144860593708193e-15,0.0966136068410206,0.15663414914712936
CCR1,0.12653176775632277,3.0225949988227774e-16,7.787159220651313e-15,0.09640406899610743,0.15642782368172442
G0S2,0.12650034741014718,3.0744376439670322e-16,7.817855723230454e-15,0.09637243421051196,0.15639667342704586
OAS2,0.12601263646265196,4.001006802122537e-16,1.0043552972507598e-14,0.09588140250956761,0.15591314725060748
MS4A7,0.12349285858563874,1.5349836634919331e-15,3.756872516396506e-14,0.09334470141547814,0.15341476186840936
CCL7,0.12342402710983269,1.5917952943262734e-15,3.847821217643016e-14,0.09327541314840558,0.15334650939234518
C1orf56,0.12151039365056662,4.336436022224618e-15,1.0229809315079281e-13,0.09134919701432127,0.1514488588118765
ZNF331,0.12123279900723923,5.008409462504909e-15,1.1674363961410251e-13,0.09106979585209657,0.15117356434033463
SCO2,0.12068785686422863,6.639020819447473e-15,1.5293179722915474e-13,0.0905213211680821,0.15063312412418178
SDC2,0.11893439417572785,1.6300181282554192e-14,3.668477580602426e-13,0.08875661597339812,0.14889402584221023
SNHG7,0.1183236139647193,2.221882817432546e-14,4.943689268787415e-13,0.0881419641678626,0.14828820563193565
LIF,0.11826134894134271,2.292959199325916e-14,5.044510238517015e-13,0.08807930575181655,0.14822644498477341
CCL2,0.11803359835486305,2.5724988444430282e-14,5.596614152688277e-13,0.08785011826349287,0.14800053729498103
TM4SF1,0.11751275806300986,3.34381039761855e-14,7.194704130260573e-13,0.08732600394654527,0.14748389974975007
STAT1,0.1174745886347659,3.4085355419090875e-14,7.254252816367384e-13,0.0872875952408094,0.147446037673728
CCL4L2,0.11718270340495114,3.9459272790985025e-14,8.219282566462625e-13,0.08699388320068208,0.14715649989119264
COL3A1,0.11530011244342603,1.005583570917576e-13,2.029827455522282e-12,0.08509963582309324,0.14528892599444576
FCGR2B,0.11525193807038185,1.0297403858162166e-13,2.0573792606409716e-12,0.08505116603387564,0.1452411330946805
COL1A1,0.11488858927740626,1.2312528667524265e-13,2.4351445586881323e-12,0.08468559370837336,0.14488065700450173
GABARAP,0.11202274992155432,4.942622020224074e-13,9.487895995685036e-12,0.08180250164975332,0.14203719643518567
IER3,0.11171269589562996,5.732554200399322e-13,1.0897418567361041e-11,0.08149061137789176,0.1417295338639797
IFI30,0.1097893921754891,1.4249346843714651e-12,2.679575884515064e-11,0.07955604942362358,0.1398209350701392
CTSL,0.1097714947546211,1.4369533599289158e-12,2.679575884515064e-11,0.07953804830798675,0.13980317343883922
RND3,0.10959900982200306,1.557997904788654e-12,2.877886695826589e-11,0.07936456503623328,0.13963199617645558
SERPINB9,0.10844703895251083,2.665265341892066e-12,4.787696825160243e-11,0.07820597354292486,0.1384887127824738
NR4A1,0.10816328091117411,3.039488907008819e-12,5.3615489008317726e-11,0.0779205972215846,0.13820708238329224
CMPK2,0.10510386778833919,1.2262609004020901e-11,2.087842472162863e-10,0.0748440509243118,0.13517030037546426
CCL4,0.10500294054597308,1.2831384451431349e-11,2.147337671444665e-10,0.07474256828842538,0.135070110087352
LINC00482,0.10311612304590224,2.971265983949219e-11,4.930287115739467e-10,0.07284548318365235,0.13319695662240186
IFIT1,0.10233746307381567,4.18340490202148e-11,6.883283023662234e-10,0.07206264977822151,0.13242387293491478
NR4A3,0.10123932334222044,6.748308842162374e-11,1.0912149121130889e-09,0.07095868766957028,0.1313335351884535
