,TAM_corr,TAM_pval,TAM_qval,TAM_ci_low,TAM_ci_high
C15orf48,0.13818944185472423,1.5978409673008787e-12,1.4402357446171101e-10,0.10016302226818591,0.17581275386975107
MARCO,0.1323501151742501,1.3466740088126126e-11,9.54896635087544e-10,0.09427107314051687,0.17004246245854557
PLIN2,0.13041943781480975,2.6697451999939908e-11,1.7077757198671238e-09,0.09232358365217906,0.16813404171978852
CXCL3,0.12543901183886993,1.4890753158078554e-10,8.684812797785227e-09,0.08730113398167787,0.16320972387269647
SPP1,0.12349454253247281,2.8606197417801574e-10,1.5757247077639033e-08,0.08534078379657443,0.16128664949094626
CLEC5A,0.12097570202897198,6.56450017779046e-10,3.518217257448239e-08,0.08280181050341588,0.1587950969506455
ALOX5AP,0.11920515334538988,1.1650844838902045e-09,5.924006491164809e-08,0.08101740658848923,0.15704344122991434
FABP5,0.1158188974951401,3.4100135729417283e-09,1.649282174425231e-07,0.07760533363140269,0.15369265584030065
TIMP1,0.10984817281873187,2.103245923939128e-08,8.689034723273522e-07,0.07159126756950278,0.14778235078128685
TREM2,0.10779325905940579,3.849100248589867e-08,1.5265531585907411e-06,0.06952208045089449,0.14574760443963974
CTSL,0.10743460030855619,4.2724278297146307e-08,1.6612204679066887e-06,0.06916096422009872,0.1453924327364039
CXCL2,0.10463244875452789,9.542550734711796e-08,3.570354359798772e-06,0.06633995797586417,0.1426171881560569
MTRNR2L1,0.10454616964842177,9.778403951653935e-08,3.574530353132036e-06,0.06625310804150085,0.1425317280447919
FBP1,0.10449739132902665,9.914229421193242e-08,3.574530353132036e-06,0.06620400725827169,0.14248341249757293
CTSB,0.10429429391941376,1.0499640654099821e-07,3.7179977530499902e-06,0.06599956920541689,0.14228223997811584
SLC16A10,0.10283632017580431,1.5800032868170274e-07,5.401976754755457e-06,0.06453206577249544,0.14083799229353544
ANGPTL4,0.10108432937595696,2.5629521097481806e-07,8.218764989469426e-06,0.06276884263985412,0.13910228158926077
OLR1,0.10060423499093933,2.9221439672417273e-07,9.05408044850054e-06,0.06228571203048271,0.13862660762554788
SDC2,0.0966924786022805,8.319638004324711e-07,2.4261532592023384e-05,0.058349885960820816,0.13475021442486665
IL8,0.0952194013219082,1.2210981984319265e-06,3.4104756725218454e-05,0.05686805347939179,0.13329015211009396
PMP22,0.09428105418318126,1.5546477231361365e-06,4.2817589374707757e-05,0.05592421738688531,0.13236000930921737
VSIG4,0.09260499280948559,2.3796397451633098e-06,6.291767486211791e-05,0.05423852229203279,0.13069843550511862
FCGR3A,0.0910250309398053,3.5310966650581798e-06,9.093720372481001e-05,0.05264967927657472,0.12913193457235278
LDHA,0.09084064370868614,3.6959879818631285e-06,9.277397681056435e-05,0.05246426824318843,0.12894910588674283
BCL2A1,0.08886297895268529,5.997028304984621e-06,0.00014327839914198196,0.0504757889491919,0.12698799455137105
