TF,fdr,nes,es,tag %,gene %,lead_genes
ETV3 human tf ARCHS4 coexpression,0.0,2.454153033472311,0.7947457976390522,67/99,16.17%,IER3;MS4A7;C5AR1;CXCL2;PLAUR;SOD2;CXCL3;OLR1;IL1B;NFKBIA;MAFB;GADD45B;CCL3L3;FOLR2;HBEGF;BCL2A1;SAMSN1;TNFAIP3;SOCS3;CEBPB;NLRP3;ATF3;SGK1;GPR183;NFKBIZ;OSM;GPNMB;PTGS2;NFKB1;IL1RN;RGS1;IL10;SLC15A3;TREM1;CD83;MMP19;THBD;ICAM1;CCRL2;IL6;NR4A2;DUSP2;FOSB;SIGLEC1;TNF;CDKN1A;PELI1;OTUD1;PPIF;BHLHE40;PRDM1;PLEKHO2;METRNL;PIM3;ITGAX;TRIB1;EHD1;DENND5A;GBP1;GCH1;HCAR2;PLK3;GRASP;NR4A3;SNAI1;TNFAIP6;IER5
NR4A3 human tf ARCHS4 coexpression,0.0,2.379599777520695,0.7872942275039351,62/107,12.59%,IER3;CCL3;MS4A7;CXCL2;PLAUR;SOD2;CXCL3;MSR1;OLR1;IL1B;VSIG4;GPR34;MS4A4A;NFKBIA;GADD45B;CCL3L3;FOLR2;HBEGF;BCL2A1;SAMSN1;TNFAIP3;SOCS3;CEBPB;NLRP3;ATF3;SGK1;GPR183;EGR2;ZNF331;NFKBIZ;JUNB;OSM;PTGS2;NFKB1;IL1RN;RGS1;IL10;SLC15A3;CD83;MMP19;THBD;ICAM1;CREM;CCRL2;IL6;NR4A2;DUSP2;FOSB;SIGLEC1;TNF;CDKN1A;OTUD1;EIF2AK3;PPIF;BHLHE40;HLA-DRB1;METRNL;PIM3;ITGAX;EHD1;DENND5A;GBP1
HIVEP3 human tf ARCHS4 coexpression,0.0,2.3131335745850614,0.8030977329710297,40/71,11.23%,C1QC;C1QA;IER3;MS4A7;CD163;CTSB;CTSL;TREM2;PLAUR;SOD2;SLCO2B1;MSR1;STAB1;VSIG4;MAFB;CCL3L3;FOLR2;SOCS3;CEBPB;HMOX1;CTSD;LGMN;EGR2;RNASE1;NFKB1;IL1RN;IL10;SLC15A3;MMP19;THBD;ICAM1;DUSP2;SIGLEC1;TNF;LILRB5;IFI30;PLEKHO2;USP36;METRNL;PIM3
SNAI1 human tf ARCHS4 coexpression,0.0,2.2972933875818273,0.7876032256240622,57/75,17.58%,IER3;CXCL2;PLAUR;SOD2;CXCL3;OLR1;IL1B;VSIG4;GPR34;GADD45B;CCL3L3;FOLR2;HBEGF;BCL2A1;SAMSN1;SOCS3;CEBPB;NLRP3;ATF3;SGK1;ADM;OSM;PTGS2;NFKB1;IL1RN;RGS1;IL10;CD83;MMP19;THBD;ICAM1;CREM;CCRL2;NR4A2;DUSP2;FOSB;SERTAD1;SIGLEC1;TNF;CDKN1A;OTUD1;PPIF;BHLHE40;METRNL;PIM3;EIF4A3;EHD1;PLK3;GRASP;BAG3;CDC42EP2;NR4A3;TNFAIP6;IER5;PTX3;CD300E;FFAR3
NFKB1 human tf ARCHS4 coexpression,0.0,2.2723775406558158,0.7465284604317182,50/96,13.35%,C1QC;C1QA;IER3;MS4A7;CD163;C5AR1;CXCL2;PLAUR;SOD2;CXCL3;STAB1;IL1B;NFKBIA;CCL3L3;FOLR2;BCL2A1;SAMSN1;TNFAIP3;SOCS3;CEBPB;NLRP3;LGMN;NFKBIZ;PTGS2;IL1RN;IL10;SLC15A3;CD83;MMP19;ICAM1;CCRL2;IL6;DUSP2;EBI3;SIGLEC1;TNF;IL2RA;IFI30;PPIF;PLEKHO2;HLA-DRB1;METRNL;PIM3;STAT1;TOM1;EHD1;DENND5A;GBP1;IRF1;GCH1
NFKB2 human tf ARCHS4 coexpression,0.0,2.2654576181111645,0.7300618147980426,41/99,12.24%,C1QC;C1QA;IER3;C5AR1;PLAUR;SOD2;CXCL3;IL1B;GADD45B;CCL3L3;FOLR2;BCL2A1;SAMSN1;TNFAIP3;SOCS3;CEBPB;PTGS2;RNASE1;NFKB1;IL1RN;IL10;SLC15A3;CD83;MMP19;ICAM1;CCRL2;FCGR2B;DUSP2;EBI3;SIGLEC1;TNF;IFI30;PPIF;PLEKHO2;HLA-DRB1;METRNL;PIM3;ARAP1;TOM1;ITGAX;EHD1
EGR2 human tf ARCHS4 coexpression,0.0,2.225901104805341,0.743192387539459,58/98,11.89%,CCL3;MS4A7;CD163;C5AR1;CTSB;CTSL;TREM2;PLAUR;SLCO2B1;CXCL3;MSR1;OLR1;IL1B;VSIG4;MS4A4A;MAFB;LIPA;GADD45B;CCL3L3;HBEGF;BCL2A1;CCL4;SAMSN1;CEBPB;CTSD;ATF3;SGK1;EGR1;GPNMB;NFKB1;IL1RN;SLC15A3;CD83;CLEC5A;MMP19;THBD;ICAM1;CREM;CCRL2;FCGR2B;CCL2;NR4A2;DUSP2;MARCO;EBI3;TNF;IFI30;ITGAM;OTUD1;PPIF;BHLHE40;PRDM1;PLEKHO2;HLA-DRB1;METRNL;PIM3;STAT1;ITGAX
SMAD7 human tf ARCHS4 coexpression,0.0,2.217907246807193,0.7109570587783095,60/113,11.74%,C1QC;C1QA;IER3;CD14;MS4A7;CD163;C5AR1;CTSB;CTSL;TREM2;PLAUR;SLCO2B1;CXCL3;STAB1;OLR1;VSIG4;MS4A4A;MAFB;GADD45B;CCL3L3;FOLR2;HBEGF;TNFAIP3;SOCS3;CEBPB;HMOX1;CTSD;ATF3;SGK1;ADM;LGMN;JUNB;PTGS2;RNASE1;NFKB1;IL1RN;SLC15A3;CD83;CLEC5A;MMP19;THBD;ICAM1;CCRL2;JUND;NR4A2;DUSP2;FOSB;SIGLEC1;TNF;LILRB5;CDKN1A;IFI30;OTUD1;PPIF;BHLHE40;PLEKHO2;METRNL;PIM3;ARAP1;TOM1
ATF3 human tf ARCHS4 coexpression,0.0,2.2156906375219863,0.7379626950629835,67/116,9.92%,C1QC;C1QA;IER3;CCL3;MS4A7;CD163;C5AR1;CXCL2;CTSB;CTSL;TREM2;PLAUR;SOD2;CXCL3;MSR1;STAB1;OLR1;IL1B;VSIG4;MS4A4A;NFKBIA;MAFB;GADD45B;CCL3L3;FOLR2;HBEGF;BCL2A1;TNFAIP3;SOCS3;CEBPB;HMOX1;CTSD;SGK1;LGMN;EGR2;NFKBIZ;GPNMB;PTGS2;RNASE1;NFKB1;IL1RN;IL10;SLC15A3;CD83;PPP1R15A;THBD;ICAM1;CCRL2;CCL2;IL6;JUND;DUSP2;FOSB;SERTAD1;HSPA1A;JUN;SIGLEC1;TNF;LILRB5;CDKN1A;IFI30;HSPA6;STX4;OTUD1;PPIF;BHLHE40;DNAJB1
ETS2 human tf ARCHS4 coexpression,0.0,2.2094144421734785,0.7470900547198629,42/87,12.24%,C1QC;C1QA;C1QB;IER3;MS4A7;CXCL2;PLAUR;SLCO2B1;A2M;CXCL3;OLR1;IL1B;SEPP1;SLC40A1;HBEGF;SOCS3;CEBPB;NLRP3;ATF3;SGK1;C2;NFKBIZ;OSM;PTGS2;FCGBP;NFKB1;IL1RN;SLC15A3;TREM1;MMP19;SERPING1;THBD;ICAM1;CCRL2;PPIF;BHLHE40;HLA-DRB1;METRNL;PIM3;GK;TOM1;EHD1
