TF,fdr,nes,es,tag %,gene %,lead_genes
YEATS2 SHRNA H1299 HUMAN GSE90781 RNASEQ DOWN,0.0,2.353527668245642,0.8501069044323901,27/37,10.80%,TUBA1B;STMN1;HSPE1;PTTG1;CYCS;CALR;CKS2;MKI67;CENPF;ASPM;TOP2A;LDHA;UBE2C;HSP90AA1;HSPB1;AXL;KIF11;HSPH1;LMNB1;FOXM1;TRIM28;SPAG5;UBE2S;WDR62;H2AFX;NUP153;TFRC
RARA KD HUMAN GSE26298 CREEDSID GENE 69 DOWN,0.0,2.252518819724565,0.8492918266329758,14/23,7.74%,TUBA1B;HSPE1;PTTG1;HIST1H4C;CKS2;LDHA;UBE2C;TXN;HILPDA;MIF;LMNB1;RAB13;BCAS2;UBE2S
HOXA7 SHRNA FLHSPC HUMAN GSE76683 RNASEQ UP,0.0,2.2469063932034046,0.8231504213669731,16/33,5.00%,STMN1;HSPE1;PTTG1;CYCS;CALR;MKI67;CENPF;TOP2A;NUCB2;HSP90AA1;HIST1H1E;MPO;TXN;LMNB1;RNASE2;IGFBP7
NEUROG3 OE MOUSE GSE3653 CREEDSID GENE 1664 DOWN,0.0,2.242223723021006,0.8329327556918135,15/24,6.11%,TUBA1B;HSPE1;PTTG1;CYCS;CKS2;MKI67;TOP2A;LDHA;UBE2C;HSP90AA1;TRH;PNP;TRIM28;KIF22;KRT8
FOXM1 KD HUMAN GSE55204 CREEDSID GENE 1369 DOWN,0.0,2.242084675103662,0.8656223186722467,13/20,9.11%,TUBA1B;PTTG1;CYCS;HIST1H4C;DDIT4;ASPM;HSP90AA1;MIF;PMP22;KRT8;RAB13;BCAS2;CPNE3
U2AF1 OE CFUG HUMAN GSE94153 RNASEQ UP,0.0,2.2292084808803354,0.7597846917825437,27/48,10.90%,TUBA1B;STMN1;HIST1H4C;CALR;CKS2;MKI67;CENPF;TOP2A;LDHA;NUCB2;HSP90AA1;APOC1;MPO;CST7;PRTN3;CTSG;MS4A4A;ELANE;AZU1;MS4A3;RNASE2;SPAG5;AP1G2;NKG7;CPNE3;TFRC;SLPI
WT1 OE HUMAN GSE5117 CREEDSID GENE 2720 UP,0.0,2.224037055389264,0.757726520264053,25/49,9.90%,TUBA1B;FABP5;HSPE1;PTTG1;CALR;CKS2;ASPM;TOP2A;UBE2C;HSP90AA1;HSPB1;HSPH1;EMP1;PMP22;FOXM1;TRIM28;SERPINH1;SPAG5;KRT8;RAB13;FSTL1;UBE2S;DNAJB1;FSCN1;SNAPC1
AR KD HUMAN GSE22483 CREEDSID GENE 2194 DOWN,0.0,2.2187005401010538,0.7937508823316908,18/29,11.48%,TUBA1B;HSPE1;PKIB;PTTG1;CYCS;HIST1H4C;CKS2;DDIT4;LDHA;ATP1B1;TXN;MIF;RAB13;PPIF;UBE2S;CPNE3;GRB10;SPON2
KLF5 KO CFPAC1 HUMAN GSE64558 RNASEQ DOWN,0.0,2.2093349210097024,0.7566974343405408,16/40,7.74%,TUBA1B;STMN1;CALR;MKI67;CENPF;TOP2A;LDHA;UBE2C;AXL;KIF11;TXN;LMNB1;EMP1;TRIM28;KRT8;UBE2S
SOX11 DEPLETION HUMAN GSE34763 CREEDSID GENE 353 UP,0.0,2.202361066900429,0.8266677165269579,16/32,5.63%,HLA-DQA1;TUBA1B;HLA-DRB5;PTTG1;CYCS;HIST1H4C;CKS2;DDIT4;MKI67;ASPM;TOP2A;NUCB2;HSP90AA1;HSPH1;LMNB1;SPAG5
ATF4 KO HEK293 HUMAN GSE97384 RNASEQ UP,0.0,2.202040189300097,0.8679495183086626,7/16,1.84%,CYCS;HIST1H4C;CALR;MKI67;ASPM;TOP2A;HSP90AA1
TCF3 KO MOUSE GSE27402 CREEDSID GENE 2169 UP,0.0,2.1963974941106708,0.879832044541101,9/16,8.85%,TUBA1B;STMN1;CYCS;CKS2;MPO;MIF;NFKB1;PLAC8;H2AFX
NR2F2 KD HUMAN GSE33182 CREEDSID GENE 822 DOWN,0.0,2.195438654376473,0.738470427519061,21/39,12.48%,TUBA1B;HSPE1;PTTG1;CYCS;HIST1H4C;CKS2;LDHA;UBE2C;HSP90AA1;AXL;HIST1H1C;LMNB1;EMP1;IL1B;C2CD2;PPIF;UBE2S;SNAPC1;ALYREF;AREG;INSIG1
FOXP1 OE HUMAN GSE51382 CREEDSID GENE 1434 DOWN,0.0,2.1872224048759357,0.7701516970148747,16/27,12.74%,TUBA1B;GPR183;HSPE1;HIST1H4C;LDHA;HSP90AA1;LMNB1;WEE1;FBP1;PMAIP1;UBE2S;PLAC8;ALYREF;BASP1;HIRA;ASNS
DNMT1 KO MOUSE GSE31626 CREEDSID GENE 1237 DOWN,0.0,2.1872014722153197,0.801581291112055,18/32,4.16%,STMN1;HSPE1;CYCS;HIST1H4C;MKI67;TOP2A;LDHA;UBE2C;NUCB2;HIST1H1E;MPO;KIF11;PRTN3;CTSG;HSPH1;ELANE;MS4A3;LMNB1
NFKB1 INACTIVATION HUMAN GSE20667 CREEDSID GENE 2574 UP,0.0,2.186987693619232,0.7562502736011469,16/33,12.48%,TUBA1B;PTTG1;CYCS;HIST1H4C;CKS2;TOP2A;UBE2C;HSP90AA1;KIF11;EIF4A3;PMAIP1;BCAS2;UBE2S;TFRC;NFKBIA;INSIG1
MYCN SHRNA SKNBE2 HUMAN GSE84389 RNASEQ DOWN,0.0,2.173718504996446,0.8109072952236791,20/31,10.58%,TUBA1B;STMN1;CYCS;CALR;CKS2;MKI67;CENPF;ASPM;TOP2A;UBE2C;KIF11;LMNB1;FOXM1;SPAG5;KIF22;UBE2S;H2AFX;FSCN1;ALYREF;BASP1
NR2C2 KD HUMAN GSE16219 CREEDSID GENE 2628 DOWN,0.0,2.1546366369342493,0.7456132886927667,28/50,11.37%,TUBA1B;HLA-DRB1;HSPE1;PTTG1;CKS2;DDIT4;TOP2A;UBE2C;HSP90AA1;CA2;NFKB1;HSPH1;LMNB1;GLA;GEM;SPAG5;RGS1;PMAIP1;BCAS2;PPIF;ATP1B3;UBE2S;YRDC;FSCN1;ALYREF;BASP1;TFRC;NFKBIA
NEUROG3 OE MOUSE GSE3653 CREEDSID GENE 1658 DOWN,0.0,2.148042510016893,0.7745436480686696,9/22,3.95%,STMN1;FABP5;CKS2;DDIT4;LDHA;UBE2C;HSP90AA1;MIF;TRH
PAX6 KO MOUSE GSE45143 CREEDSID GENE 3098 DOWN,0.0,2.1475518664209234,0.8519595413549602,11/21,4.90%,TUBA1B;STMN1;FABP5;HIST1H4C;CKS2;MKI67;TOP2A;LDHA;UBE2C;HSP90AA1;TRIM28
SOX7 OE MOUSE GSE10809 CREEDSID GENE 1004 DOWN,0.0,2.140720579007523,0.7865606764108098,16/34,7.11%,FABP5;HSPE1;PTTG1;CYCS;HIST1H4C;LDHA;UBE2C;TXN;EIF4A3;MIF;HSPH1;LMNB1;WEE1;PNP;RAB13;FSTL1
PPARG OE MOUSE GSE2192 CREEDSID GENE 861 UP,0.0,2.140346491274756,0.7465194834439325,19/45,10.16%,TUBA1B;STMN1;FABP5;HSPE1;CYCS;CKS2;DDIT4;MKI67;TOP2A;LDHA;HSP90AA1;EIF4A3;EMP1;TRIM28;SERPINH1;UBE2S;H2AFX;FSCN1;ALYREF
OVOL2 KO MOUSE GSE53923 CREEDSID GENE 1486 DOWN,0.0,2.138949486733825,0.8424910580821922,11/22,3.16%,TUBA1B;STMN1;HSPE1;HIST1H4C;CKS2;MKI67;UBE2C;HSP90AA1;HSPB1;HIST1H1B;MIF
BNC2 SIRNA BT549 HUMAN GSE79586 RNASEQ UP,0.0,2.1340725348165557,0.7502754528560333,16/45,5.63%,TUBA1B;STMN1;HSPE1;PTTG1;MKI67;CENPF;ASPM;TOP2A;LDHA;UBE2C;HSP90AA1;KIF11;HSPH1;LMNB1;FOXM1;SPAG5
DOT1L INHIBITION HUMAN GSE29828 CREEDSID GENE 1239 DOWN,0.0,2.1264504201736916,0.8220811648092529,12/21,5.21%,FABP5;HSPE1;CYCS;CKS2;DDIT4;LDHA;HSP90AA1;HSPB1;TXN;MIF;RNASE2;MIR155HG
MEIS2 KD KASUMI1 HUMAN GSE81328 RNASEQ UP,0.0,2.125509610262427,0.834993569654703,15/27,4.16%,TUBA1B;STMN1;HSPE1;CYCS;MKI67;CENPF;ASPM;TOP2A;NUCB2;HSP90AA1;KIF11;TXN;EIF4A3;HSPH1;LMNB1
NFKB1 OE HEK293 HUMAN GSE57027 RNASEQ DOWN,0.0,2.1185361373371356,0.7487671948851256,19/38,10.80%,TUBA1B;STMN1;CYCS;CALR;CKS2;CENPF;TOP2A;LDHA;HSP90AA1;NFKB1;HSPH1;TRIM28;SERPINH1;EIF4E;PPIF;ATP1B3;DNAJB1;NUP153;TFRC
SP1 KD HUMAN GSE37935 CREEDSID GENE 2219 DOWN,0.0,2.1160260844743184,0.7602445074845652,12/29,6.11%,TUBA1B;PTTG1;HIST1H4C;CKS2;DDIT4;TOP2A;LDHA;HSP90AA1;HSPB1;TRIM28;WASF1;KRT8
STAT1 KD HUMAN GSE44652 CREEDSID GENE 186 DOWN,0.0,2.1144880380678446,0.7661215907459533,15/31,10.16%,CD1C;TUBA1B;CALR;DDIT4;NUCB2;HSP90AA1;IGLL1;SPINK2;CTSG;MIF;BCAS2;PLAC8;DNAJB1;AEBP1;ALYREF
FOXD4L6 SIRNA T47D HUMAN GSE79586 RNASEQ DOWN,0.0,2.111826847412716,0.776534398193494,7/21,2.69%,TUBA1B;STMN1;CALR;MKI67;CENPF;TOP2A;KIF11
