TF,fdr,nes,es,tag %,gene %,lead_genes
HMGB2 human tf ARCHS4 coexpression,0,2.308382571,0.920976168,16/18,5.90%,TUBA1B;KIAA0101;PTTG1;HIST1H4C;CKS2;MKI67;CENPF;ASPM;TOP2A;UBE2C;KIF11;LMNB1;WEE1;FOXM1;SPAG5;KIF22
TCF19 human tf ARCHS4 coexpression,0,2.248403699,0.856972677,15/23,10.16%,TUBA1B;CALR;MKI67;KIF11;LMNB1;PPP6R1;FOXM1;TRIM28;SPAG5;KIF22;APOBEC3B;UBE2S;H2AFX;NUP153;ALYREF
IRF8 human tf ARCHS4 coexpression,0,2.227631112,0.778338343,Oct-42,3.69%,HLA-DQA1;HLA-DQB1;HLA-DPA1;HLA-DPB1;HLA-DQA2;HLA-DRB1;GPR183;IL3RA;NFKB1;FCGR2B
FOXM1 human tf ARCHS4 coexpression,0,2.178748557,0.783357143,14/29,10.85%,TUBA1B;CALR;MKI67;KIF11;LMNB1;TRIM28;SPAG5;KIF22;UBE2S;WDR62;H2AFX;NUP153;ALYREF;CDK16
HMX2 human tf ARCHS4 coexpression,0,2.108624201,0.816715353,21-Oct,8.85%,HLA-DQB1;HLA-DRB1;HSPE1;MKI67;HIST1H1D;HIST1H1B;HIST1H1E;LMNB1;TRMT6;H2AFX
TFDP1 human tf ARCHS4 coexpression,0.001432123,2.0845375,0.759037576,14/29,11.64%,CALR;MKI67;KIF11;LMNB1;PPP6R1;FOXM1;TRIM28;SPAG5;UBE2S;H2AFX;NUP153;ALYREF;TFRC;HIRA
ZNF366 human tf ARCHS4 coexpression,0.001227534,2.071094901,0.791154683,Oct-33,3.69%,CD1C;HLA-DQA1;CLEC10A;HLA-DQB1;HLA-DPA1;HLA-DPB1;HLA-DQA2;HLA-DRB1;MS4A4A;FCGR2B
E2F2 human tf ARCHS4 coexpression,0.001074092,2.062472449,0.784443148,14/25,10.53%,TUBA1B;KIAA0101;MKI67;ASPM;KIF11;LMNB1;PNP;FOXM1;KIF22;WDR62;H2AFX;NUP153;ALYREF;HBB
E2F1 human tf ARCHS4 coexpression,0.001909498,2.035202804,0.725040955,13/35,11.64%,TUBA1B;MKI67;LMNB1;PPP6R1;FOXM1;TRIM28;SPAG5;KIF22;UBE2S;H2AFX;ALYREF;CDK16;HIRA
MYBL2 human tf ARCHS4 coexpression,0.001718548,2.02070968,0.718882337,28-Dec,11.64%,MKI67;KIF11;LMNB1;PPP6R1;FOXM1;SPAG5;KIF22;UBE2S;H2AFX;NUP153;ALYREF;HIRA
