TF,fdr,nes,es,tag %,gene %,lead_genes
ETV7 human tf ARCHS4 coexpression,0,2.079945779,0.711608468,47/86,16.75%,IFITM3;LY6E;IFI44L;IFI6;ISG15;C1QA;MX1;IFI44;IFIT3;APOBEC3A;OAS3;SOD2;TYMP;IFIT2;SIGLEC1;MX2;HERC5;OAS2;SCO2;STAT1;IFI30;CMPK2;IFIT1;DUSP2;SOCS3;IL1RN;OAS1;OASL;GBP1;IRF1;LILRA3;NCF1;BCL3;TNF;ZBP1;GBP5;LILRA6;HCAR2;RNF19B;GCH1;SBNO2;TNFSF10;IL10;CXCL10;FFAR2;ICAM1;APOL2
BATF2 human tf ARCHS4 coexpression,0,2.042222661,0.712675909,55/111,16.75%,IFITM3;LY6E;SPI1;IFI6;C1QC;ISG15;C1QA;MX1;IFI44;IFIT3;APOBEC3A;OAS3;SOD2;TYMP;FCGR3A;SIGLEC1;ADAMDEC1;MX2;HERC5;CCR1;OAS2;SCO2;STAT1;FCGR2B;CMPK2;IFIT1;MMP19;ITGAX;SOCS3;IL1RN;OAS1;OASL;GBP1;IRF1;LILRA3;NCF1;BCL3;TNF;ZBP1;PLAUR;GBP5;PIM3;SPHK1;LILRA6;R3HDM4;HCAR2;SIGLEC14;RNF19B;GCH1;SBNO2;TNFSF10;IL10;FFAR2;ICAM1;APOL2
NR4A3 human tf ARCHS4 coexpression,0,2.039342419,0.672791386,59/106,16.85%,CXCL2;CXCL3;OLR1;CD83;MX1;ATF3;IFIT3;SOD2;IFIT2;SIGLEC1;SNAI1;MX2;IL1B;VSIG4;CCR1;OAS2;MS4A7;ZNF331;IER3;NR4A1;DUSP2;RGS1;CCL3;MMP19;JUNB;GADD45B;THBD;BTG2;ITGAX;SOCS3;CDKN1A;IL1RN;OASL;PPIF;PTGS2;GBP1;BCL3;GRASP;NR4A2;GPR183;TNF;OTUD1;PLAUR;MSR1;EGR2;PIM3;SPHK1;TNFAIP3;HLA-DPB1;INSIG1;HCAR2;RNF19B;GCH1;BCL2A1;NFKBIZ;OSM;IL10;ICAM1;SLC16A6
ATF3 human tf ARCHS4 coexpression,0,2.035739647,0.689860969,65/115,16.55%,CXCL2;CXCL3;C1QC;OLR1;CD83;C1QA;SOD2;TYMP;GPNMB;SIGLEC1;HSPA1A;SNAI1;IL1B;VSIG4;CCR1;MS4A7;CCL2;IER3;IFI30;CTSL;NR4A1;NR4A3;DUSP2;CCL3;ACP5;HSPA6;MMP9;TREM2;CTSB;GADD45B;THBD;BTG2;DNAJB1;SOCS3;C5AR1;CDKN1A;IL1RN;OASL;PPIF;PTGS2;RNASE1;GBP1;PPP1R15A;IER5;JUN;BCL3;JUND;GEM;TNF;OTUD1;PLAUR;MSR1;MAFB;EGR2;PIM3;SPHK1;TNFAIP3;INSIG1;HMOX1;RNF19B;GCH1;BCL2A1;NFKBIZ;IL10;ICAM1
ZNFX1 human tf ARCHS4 coexpression,0,1.998932083,0.700394847,43/86,16.75%,IFI44L;IFI6;ISG15;MX1;IFI44;IFIT3;APOBEC3A;OAS3;SOD2;TYMP;IFIT2;SIGLEC1;MX2;HERC5;CCR1;OAS2;STAT1;FCGR2B;CMPK2;IFIT1;DUSP2;ITGAX;SOCS3;C5AR1;IL1RN;OAS1;OASL;GBP1;IRF1;NCF1;BCL3;TNF;PLAUR;GBP5;PIM3;TNFAIP3;RNF19B;BCL2A1;SBNO2;TNFSF10;CXCL10;ICAM1;APOL2
STAT2 human tf ARCHS4 coexpression,0,1.980562813,0.695248328,47/100,18.54%,IFITM3;LY6E;IFI44L;SPI1;IFI6;ISG15;MX1;IFI44;IFIT3;APOBEC3A;OAS3;TYMP;FCGR3A;IFIT2;SIGLEC1;MX2;HERC5;CCR1;STAT1;FCGR2B;CMPK2;IFIT1;SERPING1;ITGAX;CDC42SE1;OAS1;OASL;GBP1;IRF1;NCF1;BCL3;ZBP1;LUM;GBP5;LILRA6;HCAR2;SIGLEC14;RNF19B;GCH1;SBNO2;TNFSF10;CXCL10;FFAR2;APOL2;C1S;CSF2RB;CCL8
PARP12 human tf ARCHS4 coexpression,0,1.976723942,0.702831928,44/95,16.55%,LY6E;IFI44L;SPI1;IFI6;ISG15;MX1;IFI44;IFIT3;APOBEC3A;OAS3;TYMP;FCGR3A;IFIT2;SIGLEC1;MX2;HERC5;CCR1;OAS2;STAT1;FCGR2B;IFI30;CMPK2;IFIT1;ITGAX;SOCS3;CDC42SE1;IL1RN;OAS1;OASL;GBP1;IRF1;NCF1;BCL3;GBP5;PIM3;LILRA6;R3HDM4;SIGLEC14;RNF19B;SBNO2;TNFSF10;CXCL10;FFAR2;ICAM1
ETV3L human tf ARCHS4 coexpression,0,1.976038548,0.676590177,51/99,16.55%,CXCL2;CXCL3;C1QC;OLR1;ISG15;CD83;C1QA;ATF3;IFI44;IFIT3;SOD2;TYMP;SIGLEC1;MX2;IL1B;VSIG4;MS4A7;CCL2;IER3;IFI30;CTSL;CMPK2;DUSP2;CCL3;MMP19;MMP9;GADD45B;SOCS3;CDKN1A;IL1RN;OASL;CCL3L1;PTGS2;RNASE1;GBP1;VMO1;LILRA3;BCL3;TNF;PLAUR;MAFB;PIM3;SPHK1;INSIG1;HCAR2;RNF19B;GCH1;BCL2A1;SBNO2;IL10;ICAM1
ETV3 human tf ARCHS4 coexpression,0,1.960076464,0.678109479,52/98,16.55%,CXCL2;CXCL3;OLR1;CD83;ATF3;SOD2;GPNMB;SIGLEC1;SNAI1;IL1B;CCR1;MS4A7;IER3;NR4A3;DUSP2;RGS1;MMP19;CD300E;GADD45B;THBD;ITGAX;SOCS3;C5AR1;CDKN1A;IL1RN;OASL;IL1RL2;PPIF;PTGS2;GBP1;IER5;BCL3;GRASP;NR4A2;GPR183;TNF;OTUD1;PLAUR;MAFB;PIM3;SPHK1;TNFAIP3;INSIG1;HCAR2;RNF19B;GCH1;BCL2A1;SBNO2;NFKBIZ;OSM;IL10;ICAM1
IRF7 human tf ARCHS4 coexpression,0.00074844,1.919572428,0.674329196,44/105,16.55%,IFITM3;LY6E;IFI44L;SPI1;IFI6;ISG15;MX1;IFI44;IFIT3;APOBEC3A;OAS3;TYMP;FCGR3A;IFIT2;SIGLEC1;HERC5;CCR1;OAS2;SCO2;STAT1;CMPK2;IFIT1;ITGAX;SOCS3;IL1RN;OAS1;OASL;GBP1;IRF1;LILRA3;NCF1;BCL3;ZBP1;PIM3;LILRA6;R3HDM4;HCAR2;SIGLEC14;RNF19B;SBNO2;TNFSF10;CXCL10;FFAR2;ICAM1
