TF,fdr,nes,es,tag %,gene %,lead_genes
MAF OE MACROPHAGE HUMAN GSE98368 RNASEQ UP,0.0,2.339169610956094,0.7757347338951587,73/133,13.75%,C1QC;C1QA;IER3;CD14;CCL3;CD163;FCGR3A;C5AR1;CTSB;CTSL;PLAUR;SOD2;PLIN2;DAB2;MSR1;IL1B;VSIG4;NFKBIA;LPAR6;SLC40A1;TMEM176B;FOLR2;CD81;PLTP;MERTK;CCL4;SAMSN1;PLAU;HMOX1;CTSD;LGMN;C2;RGS2;MAF;IFITM3;FCGBP;RNASE1;IL1RN;TIMP1;SLC15A3;MMP19;THBS1;ICAM1;TCN2;CREM;CCL2;IFI6;HTRA1;HSPA1A;SIGLEC1;CDKN1A;IFI30;RCAN1;B4GALT1;DMXL2;HSPA1B;DNAJB1;PLEKHO2;ISG15;METRNL;ATP1B1;ARAP1;STAT1;NFIL3;TOM1;IFI44L;CCL8;GBP1;SPI1;GIMAP6;SDC2;IFI27;NISCH
GATA6 KO MOUSE GSE47049 CREEDSID GENE 2225 UP,0.0,2.2700072968948675,0.7649916092246376,36/64,12.44%,C1QC;C1QA;C1QB;CD163;FCGR3A;CTSB;CTSL;PLIN2;MAFB;LIPA;FOLR2;PLTP;MERTK;CEBPB;HMOX1;CTSD;SGK1;F13A1;MAF;PMP22;IFITM3;ABCA1;ATP1B3;TCN2;FCGR2B;MARCO;IFI30;DUSP6;SAP30;HSPA1B;RIN2;METRNL;EHD1;DENND5A;SMPDL3A;LYVE1
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2302 DOWN,0.0,2.124780969132801,0.7008784250994567,49/109,10.43%,C1QC;C1QA;C1QB;CCL3;MS4A7;FCGR3A;APOE;TREM2;MSR1;VSIG4;MS4A4A;MAFB;MT2A;FOLR2;SOCS3;PLAU;HMOX1;CTSD;ATF3;F13A1;LGMN;EGR2;EGR1;PHLDA1;GPNMB;CH25H;FN1;IL1RN;SLC7A8;TIMP1;CLEC5A;MMP19;THBS1;FCGR2B;CCL2;IL6;EREG;APOC2;GADD45G;SIGLEC1;CDKN1A;IL2RA;ITGAM;SLC7A5;BHLHE40;ANGPTL4;IFI44;GDF15;PLEKHO2
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2301 UP,0.0,2.124780969132801,0.7008784250994567,49/109,10.43%,C1QC;C1QA;C1QB;CCL3;MS4A7;FCGR3A;APOE;TREM2;MSR1;VSIG4;MS4A4A;MAFB;MT2A;FOLR2;SOCS3;PLAU;HMOX1;CTSD;ATF3;F13A1;LGMN;EGR2;EGR1;PHLDA1;GPNMB;CH25H;FN1;IL1RN;SLC7A8;TIMP1;CLEC5A;MMP19;THBS1;FCGR2B;CCL2;IL6;EREG;APOC2;GADD45G;SIGLEC1;CDKN1A;IL2RA;ITGAM;SLC7A5;BHLHE40;ANGPTL4;IFI44;GDF15;PLEKHO2
CEBPG KO MOUSE GSE47777 CREEDSID GENE 3104 UP,0.0,2.066646349047267,0.7201554481012699,43/86,13.45%,C1QC;C1QB;IER3;CD14;CCL3;FCGR3A;CXCL2;APOE;CXCL3;MSR1;STAB1;NFKBIA;SLC40A1;C3;MT2A;HMOX1;PDK4;ATF3;ADM;ALOX5AP;GPNMB;CXCL1;PTGS2;THBD;ICAM1;CCL2;EREG;MARCO;SERTAD1;HSPA1A;CDKN1A;IFI30;DMXL2;HSPA1B;KLF2;ANGPTL4;ALDH1A1;SLC48A1;CXCL5;CD36;PPARG;GCH1;RGS16
MAF SIRNA MACROPHAGE HUMAN GSE98368 RNASEQ DOWN,0.0,2.037340452920654,0.745222989923426,39/74,14.56%,C1QC;C1QA;CD14;FCGR3A;CTSB;SLCO2B1;DAB2;STAB1;VSIG4;GPR34;MS4A4A;LPAR6;FOLR2;SAMSN1;HMOX1;F13A1;LGMN;GPNMB;MAF;FCGBP;THBS1;HSPA1A;CSF3R;SIGLEC1;LILRB5;ATP6V0A1;IFI30;ITGAM;PLEKHO2;RIN2;ENTPD1;ATP1B1;ARAP1;COLGALT1;CD36;NISCH;TPCN1;SLC35F6;FAM198B
MECP2 MUT HUMAN GSE6955 CREEDSID GENE 2473 DOWN,0.0,2.032899312231145,0.7633145713300936,32/60,11.28%,C1QB;CD14;CCL3;CXCL2;SOD2;PLIN2;NFKBIA;MT2A;CCL4;TNFAIP3;CEBPB;CCL20;ADM;RGS2;ALOX5AP;JUNB;G0S2;CXCL1;IFITM3;RGS1;TIMP1;ATP1B3;CCL2;IL6;JUND;FOSB;CDKN1A;IFI30;DUSP6;BHLHE40;FOS;ATP1B1
VDR KO MOUSE GSE2421 CREEDSID GENE 2719 UP,0.0,2.0047764681699123,0.7579164450126359,28/44,13.30%,C1QC;C1QA;CD14;MS4A7;APOE;CTSL;MAFB;TMEM176B;DUSP1;FOLR2;PLTP;RHOB;RGS2;ALOX5AP;ABCA1;ATP1B3;FCGR2B;ITGAM;FOS;METRNL;STAT1;DENND5A;CEBPA;SMPDL3A;IRF1;CD36;SPI1;CXCL10
HES1 OE MOUSE GSE54622 CREEDSID GENE 2771 UP,0.0,1.993200811534627,0.6879683177774163,34/74,13.35%,IER3;CCL3;FCGR3A;CXCL2;GADD45B;HBEGF;CCL4;SOCS3;HMOX1;ADM;EGR2;EGR1;PHLDA1;CXCL1;SERPINB9;CD83;SERPING1;CCL2;IL6;FOSB;JUN;NUPR1;CDKN1A;TCHH;SAP30;RND3;IFI44;GDF15;FOS;ISG15;IRF1;PPARG;CXCL10;GCH1
NCOA2 KO MOUSE GSE55002 CREEDSID GENE 199 DOWN,0.0,1.9929052145795838,0.7044542804558288,32/68,10.88%,C1QC;C1QA;C1QB;FCGR3A;VSIG4;NFKBIA;MAFB;SLC40A1;DUSP1;FOLR2;PLTP;MERTK;CEBPB;PDK4;ATF3;LGMN;EGR1;JUNB;CXCL1;RGS1;SLC15A3;ATP1B3;FABP5;MARCO;IER2;JUN;GADD45G;DUSP6;BHLHE40;KLF2;GDF15;FOS
NR1I3 KNOCKIN MOUSE GSE40120 CREEDSID GENE 3068 DOWN,0.0,1.9687353691307017,0.752592885366968,17/45,7.61%,C1QC;C1QB;CD163;VSIG4;MT2A;FOLR2;TNFAIP3;HMOX1;LGMN;NFKBIZ;JUNB;CXCL1;SLC15A3;ICAM1;FCGR2B;FABP5;GADD45G
TCF4 DELETION MOUSE GSE12505 CREEDSID GENE 2866 UP,0.0,1.967115768212682,0.7400746329790546,30/59,11.28%,C1QC;CD14;CXCL2;CTSB;APOE;PLAUR;IL1B;DUSP1;CD81;CCL4;TNFAIP3;CTSD;ATF3;LGMN;GPR183;EGR1;ALOX5AP;JUNB;NFKB1;CD83;ATP1B3;ICAM1;FOSB;IER2;HSPA1A;IFI30;HSPA1B;KLF2;FOS;ATP1B1
MECOM OE MOUSE GSE22434 CREEDSID GENE 1345 DOWN,0.0,1.964036691563949,0.7752520948867722,15/30,7.56%,C1QB;IER3;MS4A7;CXCL2;DUSP1;ATF3;EGR2;EGR1;NFKBIZ;GPNMB;PTGS2;ABCA1;RGS1;MARCO;JUN
PPARG DEFICIENCY MOUSE GSE23421 CREEDSID GENE 1231 UP,0.0,1.962216370956892,0.7253986519329331,39/69,13.35%,CD14;CXCL2;CXCL3;IL1B;SLC40A1;SOCS3;CCL20;ATF3;ADM;F13A1;LGMN;EGR1;ALOX5AP;JUNB;CH25H;CXCL1;PTGS2;IL1RN;TIMP1;SLC15A3;THBS1;ICAM1;CCL2;IL6;EREG;HSPA1A;ITGAM;SLC7A5;IFI44;PRDM1;SNAPC1;ISG15;STAT1;NFIL3;CXCL5;CCL8;SPI1;CXCL10;GCH1
PPARD KO MOUSE GSE16048 CREEDSID GENE 81 UP,0.0,1.961916731466621,0.7396848936782987,18/48,6.65%,C1QC;CCL3;FCGR3A;CXCL2;CXCL3;SLC40A1;C3;GADD45B;PLAU;ADM;LGMN;C2;IL1RN;HAMP;RGS1;THBD;ICAM1;IL6
NR1I3 KNOCKIN MOUSE GSE40120 CREEDSID GENE 3069 UP,0.0,1.954528290023297,0.7129212933032812,33/67,12.44%,IER3;CD14;PLIN2;A2M;MT2A;DUSP1;SOCS3;CEBPB;HMOX1;RHOB;EGR1;ALOX5AP;NFKBIZ;JUNB;CXCL1;FN1;ABCA1;HAMP;TIMP1;THBD;FABP5;MARCO;IER2;JUN;GADD45G;CDKN1A;SAP30;B4GALT1;KLF2;FOS;PIM3;NFIL3;LYVE1
