,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
HLA-DPA1,0.19374310056885338,2.455716670937707e-47,2.1528449481887231e-44,0.16800274446671373,0.21921944472355584
HLA-DPB1,0.1916776788628927,2.4043749545197503e-46,1.580876532596736e-43,0.16591745578412972,0.2171764886356242
DUSP6,0.1875239437057772,2.1806354774168868e-44,1.1470142611212825e-41,0.1617244638876987,0.21306725724404607
HLA-DRA,0.1668473428194071,2.488802239993934e-35,9.350785558834352e-33,0.14086629998285805,0.19259873486026707
MS4A7,0.15674341364877056,2.587251360856583e-31,8.505588848816018e-29,0.1306820296531338,0.18258832894509425
VSIG4,0.1534110941921461,4.782288650013585e-30,1.2577419149535728e-27,0.12732441899950134,0.1792856784156879
FOSB,0.14899567316166668,2.061737033489127e-28,4.5186403317303365e-26,0.12287640714103414,0.17490867105802158
MAFB,0.14751443402218817,7.102572437744951e-28,1.4369050393284018e-25,0.12138446979990623,0.1734400890672331
HLA-DQB1,0.1469633833540313,1.121577837869005e-27,2.106964081139631e-25,0.12082946931552196,0.17289371768557787
DUSP1,0.13905305585509867,6.501543952944411e-25,1.13993737308292e-22,0.11286424248959229,0.1650488021084806
JUNB,0.13718261594842276,2.7748752183419286e-24,4.561201140149546e-22,0.11098131325846773,0.16319334824048332
ZFP36L1,0.13483444786859514,1.6671209509750038e-23,2.5791341770966234e-21,0.10861773223964453,0.16086373325987566
FOS,0.1305331035738827,4.0977384884884393e-22,5.987251235958108e-20,0.10428892337610637,0.15659562192957727
TMEM176B,0.12442261287874584,3.225484282069036e-20,3.688271157322419e-18,0.09814112571018982,0.15053066787625985
CD74,0.12343067101523415,6.421483855337691e-20,7.036876058140886e-18,0.09714331686100276,0.14954593272753475
RHOB,0.12192242369663625,1.8099090066168963e-19,1.904024274960975e-17,0.09562625004432353,0.14804854393759356
JUN,0.12177486804926582,2.0016181246356428e-19,2.024713718381439e-17,0.09547783812298169,0.1479020441746182
LINC00936,0.11630799369775754,7.646958250124173e-18,7.18267864208092e-16,0.08998006311125901,0.14247348159884854
HLA-DRB1,0.1160801322936093,8.868175285621927e-18,8.042517586615748e-16,0.08975094858325235,0.14224718286688826
NEAT1,0.1159873554983194,9.418828202664058e-18,8.257172724335491e-16,0.08965766236024683,0.14215504155068776
NAMPT,0.11593264885908763,9.759194516719169e-18,8.279574702894004e-16,0.08960265554907487,0.1421007094146508
TSC22D3,0.10672149507810924,3.0255061852854474e-15,2.1505625046758722e-13,0.08034325053443464,0.1329503631810643
HLA-DQA1,0.10588746172628435,4.967852756664036e-15,3.4382770394806354e-13,0.07950507293477746,0.13212161489573435
GLUL,0.10513759177088698,7.733281319771598e-15,5.215007659230591e-13,0.07875150878009275,0.1313764653707339
CLEC7A,0.10354988331122018,1.9534365345533146e-14,1.2843845214688043e-12,0.0771560780562513,0.12979865367825114
IFITM3,0.10332535669301526,2.2244204954515434e-14,1.4268843665945266e-12,0.07693047029868529,0.12957551588750427
KLF6,0.10168868493370425,5.685683285832002e-14,3.5603207242233727e-12,0.07528599930510796,0.12794888756410847
TMEM176A,0.10154386513937455,6.173534179631599e-14,3.7759057889374664e-12,0.07514049631651948,0.12780494965260317
ZFP36,0.10139771532169667,6.707520363942008e-14,4.0092678539017e-12,0.07499365816998757,0.12765968869542685
SAT1,0.09974107258079865,1.7035035850397693e-13,9.739596584031724e-12,0.07332929310760682,0.12601304262864058
SLC1A3,0.09667416705834043,9.18846678735602e-13,5.0345140939054857e-11,0.07024847965797207,0.12296426159535857
ADORA3,0.09440804415943548,3.086816337402128e-12,1.6568014219117546e-10,0.06797240407084497,0.12071121195632596
IER2,0.09387046717753487,4.097751053186724e-12,2.1554170539762172e-10,0.06743250645836965,0.12017669648471263
CLEC4E,0.09363680452093441,4.6324185516249985e-12,2.388874664857597e-10,0.0671978399463341,0.11994435978543784
EVI2A,0.09240608513377557,8.793990609005568e-12,4.3638104342801216e-10,0.06596188145038023,0.11872057675652539
CD300E,0.09151721255521589,1.3899121111872961e-11,6.769386763745535e-10,0.06506927545115107,0.11783666415691987
CD163,0.09108039259328236,1.737770518560362e-11,8.309702661479549e-10,0.06463063627855142,0.11740226640031197
HLA-DRB5,0.09045081787564481,2.3933207241179424e-11,1.1240059829339623e-09,0.06399845757096666,0.11677616500900807
LIPA,0.08978315848936279,3.352622010042415e-11,1.5193866936246366e-09,0.06332805986716276,0.11611216619759838
NR4A2,0.08975028508279023,3.408510073150325e-11,1.5193866936246366e-09,0.06329505225132014,0.11607947241808614
FN1,0.08781373962076068,8.932776882680799e-11,3.915533866908417e-09,0.061350702757216144,0.11415340795555518
PDK4,0.08760602480120158,9.893187358810442e-11,4.265423402241223e-09,0.061142162799225845,0.11394680557436902
MIR24-2,0.08672671133347452,1.520350987614208e-10,6.4492308022989784e-09,0.060259381887012825,0.11307217612462948
LGALS2,0.08540908163880108,2.8716448098898404e-10,1.1800665390641064e-08,0.0589366338105383,0.1117614888811416
NFKBIA,0.08504555315505395,3.4166771232982317e-10,1.3614940657991438e-08,0.05857170954744965,0.11139985965217333
CTSB,0.08229185830936937,1.2448956174875882e-09,4.745036918829503e-08,0.05580767156752602,0.10866032479039932
CXCL16,0.08183679435498922,1.5353259928272132e-09,5.6871934663881276e-08,0.055350937431960644,0.10820756228839562
PPP1R15A,0.08133123657871404,1.9355266223575434e-09,7.070048634444916e-08,0.054843537148399214,0.10770454850500298
KLF4,0.08023699595408505,3.180311428178688e-09,1.1302998724472905e-07,0.05374535540547943,0.10661576791271968
ARL4A,0.08010082322554075,3.3815127691654124e-09,1.1857838110540046e-07,0.05360869670811111,0.10648027023148302
GPR34,0.07997419234515438,3.5796977305626697e-09,1.2300522551147622e-07,0.05348161480202916,0.10635426621754876
CTSS,0.07996080813643607,3.6012936746705964e-09,1.2300522551147622e-07,0.053468182972444586,0.1063409482157633
