,4.0_1_corr,4.0_1_pval,4.0_1_qval,4.0_1_ci_low,4.0_1_ci_high
HLA-DQA1,0.25599199556980856,1.3668298505064312e-23,1.784396369836146e-20,0.20749774717951466,0.3032311274498178
HLA-DPB1,0.2448679107495533,1.2126313671257715e-21,1.0553934998551297e-18,0.19611266925507484,0.2924154360127542
HLA-DPA1,0.2223308193392016,5.359634663265904e-18,3.498501526446819e-15,0.1730870352339682,0.2704657908460914
HLA-DRB1,0.21081421855476534,2.7590536320968247e-16,1.4407778066809617e-13,0.16134153087031608,0.2592300259135621
HLA-DRB5,0.1981894463052402,1.5956367011471252e-14,5.951724895278777e-12,0.148481911720476,0.24689803710289876
VSIG4,0.1972183656698895,2.155790443736114e-14,7.035961060743742e-12,0.1474934627509345,0.24594882309453478
HLA-DQB1,0.17552158910428736,1.1894680180340175e-11,2.823364540988018e-09,0.1254344983279328,0.2247162089964822
CD74,0.1641913952280976,2.367467564838934e-10,3.636151653996739e-08,0.11393481744215181,0.21360980545377536
HLA-DRA,0.1626871555346875,3.467430812147498e-10,5.029701028065065e-08,0.11240908798365444,0.2121343158023075
PTDSS2,0.15085683082914586,6.153104674436046e-09,8.455661213132903e-07,0.10041801216381667,0.2005222361766547
ST6GALNAC3,0.14354628224713425,3.260813500701503e-08,4.054278119205535e-06,0.09301544509545316,0.19333956919291687
MAFB,0.13996497625087337,7.161168747863836e-08,8.499005273032944e-06,0.0893910983853612,0.1898189612690066
TUBA1B,0.13942479596644444,8.049560097469373e-08,9.138000614996753e-06,0.08884454234878453,0.18928782498222027
NUPR1,0.13843873664832593,9.953593308657473e-08,1.0395532851561865e-05,0.08784692310753259,0.18831819956343834
CLEC10A,0.13260724016002692,3.3889564931437055e-07,3.4032943859993136e-05,0.08194913599177792,0.18258190350607545
HSPE1,0.12934278383865466,6.578058843275679e-07,6.13403987135457e-05,0.07864911863000365,0.17936925407045315
LGALS2,0.12856046151706407,7.692744617319305e-07,6.926122826145072e-05,0.077858439147899,0.17859918867263477
RP11-159D12.2,0.12440890038544765,1.7383235137198664e-06,0.00014641169981685712,0.07366359600356658,0.17451164546226644
ZC3H12A,0.12257956425489708,2.469225007222809e-06,0.00020147332793308607,0.07181575792985459,0.17270996980807576
ZNF586,0.12183283069122532,2.8454802956689306e-06,0.0002185161485879876,0.07106157202729302,0.17197443080188124
CALR,0.11925424467155707,4.613865692940411e-06,0.00033463342567409486,0.06845769818802691,0.16943407137647756
TATDN2,0.11817151229340124,5.635322167240775e-06,0.0003772775943247606,0.06736455387623826,0.16836719129613104
MIR24-2,0.1170637835720872,6.902278897406998e-06,0.00043955732197877245,0.06624629906858194,0.16727555912445083
CLIC3,0.11664432988805637,7.449645046123405e-06,0.0004631196003673383,0.06582289288398029,0.1668621684377886
UBB,0.11637880773455611,7.817304920366056e-06,0.0004746740266761807,0.06555487818138374,0.16660047515114854
CD9,0.11540346763571441,9.322174951532063e-06,0.0005531863363284141,0.0645704451617619,0.16563913886349352
SIGLEC1,0.11512228600278207,9.804966777020825e-06,0.0005689059612178083,0.06428666049461057,0.16536197667093477
MS4A7,0.1147847051211387,1.041612541802578e-05,0.0005762505212208643,0.06394596532437721,0.16502921096339315
CD101,0.11469018469939996,1.0593651864650129e-05,0.0005762505212208643,0.06385057504585996,0.16493603670881135
TGIF1,0.11109550589304217,1.9948504487984163e-05,0.001041710904362533,0.060223504323191575,0.16139188787431447
LRRC42,0.11008314839925,2.3758790639754206e-05,0.0011704566483094006,0.05920226678366821,0.1603935267837219
MSR1,0.109760155598081,2.5113472588810453e-05,0.0012142829060997056,0.05887646321170294,0.16007497787481656
ZFP36L1,0.10922259347340803,2.7532126977272687e-05,0.0013022530873546853,0.05833424710848886,0.15954478855561516
ALG6,0.10913841132405824,2.7930361122888695e-05,0.0013022530873546853,0.058249338865754806,0.15946175835741028
PDK4,0.1084202446663122,3.1557264269816184e-05,0.0014455441580436851,0.05752500776160728,0.1587533901681435
DUSP6,0.10385254635783109,6.739882490548557e-05,0.002756638360093043,0.05291935603617427,0.1542467990649186
RP11-709D24.5,0.10384696543025022,6.746008442199616e-05,0.002756638360093043,0.05291373006123061,0.15424129151679467
ZC3H7A,0.10382952976212513,6.76518076237838e-05,0.002756638360093043,0.052896153679109915,0.15422408507709837
FOXK2,0.10376149054134427,6.840490541790598e-05,0.002756638360093043,0.05282756565185273,0.15415694008221023
NRG1,0.10189562618576334,9.24257885415537e-05,0.0036018467743581598,0.050946838447166395,0.15231541698184173
PHLDA1,0.10158724855915947,9.709202372941642e-05,0.0036890503860732148,0.0506360391812518,0.15201102860028057
IFI6,0.10128152461119312,0.00010193671599886505,0.0038022395067576664,0.05032792417424237,0.15170925012678818
FCGR3A,0.10019697524335669,0.00012102475002132608,0.004388828087578922,0.04923497080188759,0.15063862141111758
TNFAIP3,0.0992291002860456,0.00014085525698739844,0.005037987342384895,0.048259698981385914,0.149683069616562
SLC30A7,0.0982429306004305,0.00016417682648619302,0.005792779648046621,0.047266092566184234,0.14870935907826513
RNF11,0.09782715422838555,0.00017505806418842353,0.006094354741279651,0.04684721104380079,0.14829880624538372
C1QA,0.0977256986655668,0.00017781419070039874,0.006108853314720278,0.04674500049976769,0.1481986226625468
IFITM3,0.09760579900084733,0.0001811238919694596,0.0061417465186007665,0.04662420997836734,0.14808022488171696
KIAA1551,0.09661363696393922,0.000210817498335629,0.006967651748788954,0.04562473336993765,0.1471004353127918
CD63,0.09614958859832662,0.00022622048117698293,0.007292119461149413,0.04515729891075935,0.14664213971793016
MT2A,0.09430321739085826,0.0002985737311227504,0.00941865819286812,0.043297676139021746,0.14481844309706704
MTRNR2L10,0.09428453397508377,0.0002994058330172555,0.00941865819286812,0.0432788604369069,0.14479998737103844
EXT1,0.09371427834942118,0.0003258714945918765,0.010111328609806866,0.04270458457021599,0.1442366643873338
CTC1,0.09364626469691346,0.0003291700236819546,0.010111328609806866,0.042636093678493824,0.14416947539631617
EPB42,0.09344931803413709,0.000338898398653171,0.010289113010272435,0.04243776778165965,0.14397491407255114
TRIB3,0.09326944254428499,0.00034801761357956714,0.010444528609841953,0.04225663612108356,0.14379721374947196
SMURF1,0.09281522409237974,0.0003720756554313643,0.011039653821946504,0.04179926053341708,0.1433484734874067
CCL2,0.09227677937068306,0.00040260403423608254,0.011811226217869793,0.041257100939597904,0.14281649586624728
CD163,0.09175807011273622,0.00043420952325751454,0.012332943536391817,0.040734841380810426,0.14230398905525732
CD300E,0.09175255048979081,0.0004345579491949625,0.012332943536391817,0.0407292841287662,0.14229853528726605
TMEM176B,0.09108746847630045,0.00047850218186564186,0.013151254703696746,0.04005969113628965,0.1416413659427029
RECK,0.09096407747254179,0.00048709706277722073,0.01324802532199295,0.039935468261847386,0.1415194380560472
FKBP5,0.08963363547842965,0.0005893600465648964,0.01586411424310252,0.03859615695629559,0.14020467442758164
RAPGEF6,0.08931693747510505,0.0006164823122412008,0.016424850176140565,0.03827737472240782,0.13989168221672502
CXCL16,0.08919248000442098,0.0006274549300765951,0.016548331539696867,0.03815210102443555,0.13976867829938713
ATP1B3,0.08901517482143062,0.000643400436110647,0.01679918538684899,0.037973635794710726,0.13959344118845166
HSPB1,0.08821151419470519,0.000720507027423179,0.01844356714315608,0.037164757917717166,0.1387991146632064
LPAR6,0.08753187683644977,0.0007923151096304053,0.020084803410145517,0.03648076064949255,0.13812732013813234
GIMAP4,0.08613525957452195,0.0009611495523260707,0.023900585534508294,0.03507533413697963,0.13674667331519183
ZBTB14,0.08578305490705637,0.0010086905543033012,0.024690842408222897,0.03472093980095714,0.13639846509031878
SELM,0.08576025175009284,0.0010118422587820184,0.024690842408222897,0.03469799531860276,0.1363759202481462
NBPF10,0.08541134758954128,0.0010612147146676226,0.02565584833330706,0.0343469354938513,0.1360309619453483
GIMAP6,0.08484163030584495,0.0011466411330665984,0.027466788976485215,0.03377372536420641,0.13546766137303917
MARCO,0.08460494614367019,0.0011839622735401979,0.02810295905648597,0.033535600006804916,0.13523363335544683
EVI5,0.08446772212731278,0.0012061103055522023,0.028117446498185716,0.03339754307397653,0.13509794672333414
PLAUR,0.08387373276413418,0.0013064584961934458,0.030187284367797232,0.03279997081531897,0.13451059019732056
MARCKS,0.08362363186637686,0.0013509681393944774,0.030941910631219125,0.03254837225311831,0.13426327142888428
FABP5,0.08313772140967583,0.0014414621491650743,0.032168014286068455,0.0320595705521684,0.13378274821793423
ZC3H4,0.08280138736675535,0.0015073321442570656,0.03335291719199321,0.031721249576676644,0.1334501291332705
RP1-29C18.10,0.08265433529466126,0.001536992708431527,0.0337234282497035,0.031573332454884036,0.1333046977312495
SNORD3D,0.08230010037521826,0.0016106596418405015,0.03504526937371291,0.031217022896841452,0.1329543579006051
FCER1A,0.08189947799289757,0.001697875741931329,0.036337324280186066,0.030814069843944126,0.13255812541968048
IL1R1,0.0816214288933039,0.0017609352192164173,0.03721265702369835,0.03053441292054244,0.1322831135810383
ZNF217,0.08151997579328375,0.0017844744420212918,0.03727410214494074,0.03043237515775446,0.13218276675869386
CTSB,0.08006435106391595,0.002155572832985726,0.043970317710357275,0.02896847905605553,0.1307429002914356
TBC1D9,0.07921790950127636,0.002402609513850165,0.04862956155552543,0.028117328485346885,0.1299055237967269
RABGAP1L,0.07905789290182354,0.0024521228914794924,0.048890297181143585,0.02795642999332472,0.12974721278745
ARL4A,0.0789815382107297,0.00247607615570119,0.04897753668587732,0.027879655425115574,0.12967167103745195
C1QB,0.07891949177413383,0.0024956980145585134,0.04899449260159608,0.02781726823700455,0.12961028476997286
ZP3,0.07823195801487481,0.002722836977398465,0.053054681701398446,0.027125985271393344,0.12893004030582272
ZBTB26,0.07812660256371927,0.002759263687883664,0.05336620362269812,0.027020059622810788,0.12882579762669139
GPR157,0.0779585879552301,0.0028182754785439387,0.05410674466528106,0.026851138071881064,0.1286595552826581
ZBTB7A,0.0777274925892568,0.0029013238214784707,0.05529457297722837,0.026618800021827777,0.1284308929190826
ATP2B1,0.07736098968640437,0.0030376166735199897,0.05747258793159923,0.02625033762146509,0.1280682375517652
RP11-254F7.2,0.0770366153302023,0.003163080632749985,0.05941585274899433,0.02592424059126793,0.12774725715475668
RTN1,0.0769171278156031,0.003210473234924497,0.05987532583134187,0.025804121248731157,0.12762901717193428
DAB2,0.07685252580455389,0.0032363647566725083,0.05993013035228312,0.025739178248876646,0.12756508904993075
RP11-764K9.1,0.0764582185584388,0.0033985587394333113,0.06205340467594669,0.025342799083656713,0.12717488584323608
SPRY1,0.07629260626758248,0.0034688588197676015,0.06289715540564728,0.02517632136250604,0.12701099260134596
PPM1F,0.07591441369460568,0.003634377102987036,0.06544385252344241,0.024796163120428587,0.12663671526891862
GPR183,0.07547665049716963,0.0038349016384978726,0.06811515767427173,0.024356143093571148,0.12620346598268473
CMTM7,0.07534839824313465,0.003895522276148968,0.06872438285827673,0.02422723340370699,0.12607653251182185
MAP3K8,0.07461881812842455,0.004257210525896044,0.07410384455409713,0.023493945718254267,0.12535442286900828
PDE4B,0.07353626441894559,0.004850089345608625,0.08117681590630846,0.022405992063153694,0.1242828548061467
SAV1,0.07312569588645353,0.005093790143755108,0.08471265009773621,0.02199340722250348,0.12387642172048906
ZFP36,0.07274931401287778,0.005326852444128976,0.08747428762025633,0.02161519223293253,0.12350381598808692
RHOB,0.07224852749462023,0.00565185069551053,0.091092482506037,0.02111198939382117,0.12300803154089918
NETO2,0.07216896535885178,0.005705097936635763,0.09138656878868698,0.02103204575163186,0.12292926177341998
C16orf54,0.07209324147613444,0.005756195628188211,0.09164284625121598,0.020955959374561718,0.12285429143936152
OSTM1,0.0720240422261806,0.00580325056298559,0.0918320437573053,0.02088642938200686,0.12278578030306665
WDR74,0.07196830092068669,0.005841405745153064,0.09187897831683524,0.020830422016795587,0.12273059293431497
GBP1,0.07153520565522442,0.006145639993811319,0.09608542529246321,0.020395270472003398,0.12230179091561226
STAM,0.07136320868522396,0.006270363367608761,0.09687525889246434,0.020222462258089702,0.12213149368294762
ARMC10,0.07097595132900746,0.006559549136515455,0.10015779412539096,0.01983338954186706,0.12174805240395581
GPR34,0.07077878742722422,0.006711335934667417,0.10187964026405014,0.019635307338421285,0.12155282555523048
MTRNR2L6,0.07045089498660509,0.006970756873297476,0.10520604737676134,0.019305896611177854,0.12122814582180515
MTHFR,0.07023001484825243,0.00715054613912864,0.1072992871796832,0.019083999959498926,0.12100942375351613
FGD2,0.07008229705012815,0.007273092058972653,0.10851453351987198,0.018935605160217382,0.12086314645439773
CDC34,0.06925469156614511,0.007995124408735604,0.11860948767732195,0.018104248378417325,0.12004357073541204
SGPP1,0.06916940478873668,0.008073059314821635,0.11908902751976999,0.01801857904032326,0.11995910751017934
HBEGF,0.0689067377671038,0.0083173686043779,0.12200364846084662,0.01775473852314374,0.1196989722529933
BTG2,0.06871033497312316,0.008504338758649681,0.12336015832685733,0.017557462931435796,0.11950445796639962
SECISBP2,0.06812250000392564,0.009086568908910249,0.12987528212233976,0.01696703947041673,0.11892225201157905
PANK2,0.06809241339400146,0.009117302623891946,0.12987528212233976,0.01693682133580521,0.1188924525665114
CD68,0.06804568516723247,0.009165219639596585,0.12987528212233976,0.016889889020208174,0.1188461701608414
AAED1,0.06800040987435546,0.009211860743596445,0.12987528212233976,0.01684441619930893,0.11880132661645731
ICAM1,0.0678661102815103,0.009351458609623681,0.12987528212233976,0.016709531926160343,0.11866830649519872
GK5,0.06781872637079404,0.009401159831911993,0.12987528212233976,0.016661942171473355,0.11862137357558745
BACE1,0.06732015390315392,0.009938553825093184,0.13657665282799109,0.016161217867663922,0.11812753266600437
IFI44L,0.06718654412657153,0.010087134038095469,0.13712482879158364,0.016027035791537525,0.11799518660429459
ATG2B,0.06716549598270045,0.010110719781403443,0.13712482879158364,0.016005897658776577,0.11797433737448812
OGT,0.06713952288353163,0.010139891826146644,0.13712482879158364,0.015979813577676548,0.11794860967059753
ISG15,0.06709637752290705,0.01018851657815673,0.13712482879158364,0.015936484012699904,0.11790587179895944
MTRNR2L11,0.06681597059062315,0.010509617335234861,0.1400031166443787,0.015654884596364937,0.11762810860009164
PANK4,0.06658160934656566,0.010784854011690354,0.1429403747437742,0.015419532912472887,0.11739595086179375
GALC,0.06634249994544833,0.011072243571162623,0.1456110928260768,0.015179418847648504,0.11715908388533279
SLC22A18AS,0.06632142532730095,0.011097896389272032,0.1456110928260768,0.015158255963442877,0.11713820663270227
DIS3,0.06595013593443283,0.011558571937168378,0.1508971566397332,0.01478541903030893,0.11677038702903579
PNPLA6,0.06580553734015372,0.011742517200230559,0.1525358826358308,0.014640221596062387,0.11662713597157491
SLC36A1,0.06553692540891026,0.012091114194149424,0.15628662950952546,0.014370502963823523,0.11636102166408
TOR4A,0.0653426621761161,0.012348900338210629,0.15714752517972852,0.014175443991865962,0.11616856019429245
UBAP2L,0.06530429578724332,0.012400383408043045,0.15714752517972852,0.014136920907475998,0.1161305491967024
ZNF276,0.0653012086884616,0.01240453416303755,0.15714752517972852,0.014133821207007556,0.11612749068752044
ANKDD1A,0.06526135538297545,0.012458229315524717,0.15714752517972852,0.014093805306695953,0.11608800637666822
PRDM15,0.06525603951696506,0.012465407003204183,0.15714752517972852,0.014088467765229607,0.11608273971716843
CNOT11,0.06520527283337091,0.012534138587884564,0.15714752517972852,0.014037494227265326,0.11603244281327713
EVI2A,0.06515405287993599,0.012603823228313826,0.15714752517972852,0.013986065842085072,0.11598169656979314
ATHL1,0.06512813766639364,0.01263921114046074,0.15714752517972852,0.013960045273693017,0.11595602093312946
SLC9A9,0.0646305886319424,0.013335869611991954,0.16424507338165562,0.013460486957415998,0.1154630583896151
DENND5A,0.06442534941003272,0.013632977049150233,0.16635337646913598,0.013254426347336161,0.11525970380245615
CX3CR1,0.0640704710056339,0.014160499872793147,0.171702936711534,0.012898137938105344,0.11490807405960854
LRRC45,0.0640414293048372,0.01420445589034521,0.171702936711534,0.012868981423846012,0.11487929765115334
PDE4D,0.06367278435322035,0.014772955678821134,0.17650821576617298,0.012498886633922108,0.11451401280996837
PLD3,0.0633954667901886,0.01521372036109255,0.18055919937642112,0.012220487653237291,0.11423921386871322
GFOD1,0.06323561432391152,0.015473006902216509,0.18247271831151707,0.012060015436647815,0.11408080966111307
THAP2,0.06321011578592688,0.015514723655747523,0.18247271831151707,0.012034418284241703,0.11405554190005532
PDE7B,0.06293130712963142,0.01597735607475767,0.18668759964756879,0.011754535724445823,0.11377925233577342
POLRMT,0.06290828422498695,0.016016094339737805,0.18668759964756879,0.011731424499560114,0.11375643709613599
RANBP10,0.062490850464217484,0.01673290869515103,0.193316923022298,0.011312398866362492,0.11334275925731066
GADD45B,0.06240072071911628,0.016891320661392317,0.19348000913269092,0.011221927773270121,0.1132534381534911
GAS2L1,0.0623894873589849,0.01691115624194101,0.19348000913269092,0.01121065192780681,0.11324230552111074
RP11-1017G21.5,0.06235660833288296,0.016969330559703646,0.19348000913269092,0.01117764862579236,0.11320972124261879
AL590452.1,0.06223428979521302,0.01718729686500136,0.1951131831066024,0.011054868728401463,0.1130884982823418
ITGAX,0.062088210208859546,0.017450814675020004,0.19694740937654517,0.010908240182665124,0.11294372511161044
SPEF2,0.062061306249878344,0.017499731511052653,0.19694740937654517,0.010881235360033305,0.11291706152403104
RHOQ,0.0617963647188472,0.017987896919813545,0.20157252728597924,0.0106153045437116,0.11265448318096258
ST6GALNAC6,0.06172419413281669,0.018122921490893756,0.20221772655010084,0.01054286572910235,0.11258295510088334
PPP1R12C,0.061636769049697296,0.018287672373699396,0.20314764651602035,0.010455116442179665,0.11249630762242975
APOL1,0.06134560864626071,0.018845837481993366,0.20762228550837417,0.010162881994881906,0.1122077313751323
TRMT1,0.06128222793219261,0.01896929410376462,0.2081043147265942,0.010099268638291897,0.11214491205125011
ZNF682,0.06118985618434248,0.019150485625934667,0.20895609515312294,0.010006558576539905,0.11205335775159049
MTX3,0.06115286544258323,0.019223467263746824,0.20895609515312294,0.009969432601981212,0.11201669411901966
