,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
S100A12,0.2835261450906325,7.464931943316128e-29,1.9490937303998411e-25,0.23573451756932226,0.3299497027302465
SELL,0.18294125432958025,1.498785780765008e-12,4.891662091971795e-10,0.13297245327254192,0.23198240408122897
FOLR3,0.17302895832842807,2.3379436585851953e-11,6.782634325073272e-09,0.12290342527665986,0.22227390805802105
CYP1B1,0.1671718256450255,1.0997385748413682e-10,2.8714174189108123e-08,0.11695852700121678,0.21653260611343778
METTL9,0.15635670363674073,1.6608459486702874e-09,3.942244338161928e-07,0.10599079560779287,0.20592238400477939
RBP7,0.1557743119619576,1.9122067469576985e-09,4.1606431802554585e-07,0.10540053347797844,0.20535069526628713
HMGB2,0.1513561131714741,5.474091601403461e-09,1.0209180836617454e-06,0.10092378281001077,0.20101258999853813
VCAN,0.14950059576062513,8.436905308586635e-09,1.3767974850449817e-06,0.09904428403271975,0.19919012864810626
RGS2,0.14787598884828781,1.2267549329424531e-08,1.8841512528898501e-06,0.09739897566306416,0.1975941818604749
LRRK2,0.1474735189810622,1.3451074431582138e-08,1.951153074492276e-06,0.09699141998467714,0.19719877133369487
CDA,0.1461546748513794,1.815776707457278e-08,2.370496491585476e-06,0.09565602890069043,0.19590294641547742
STXBP2,0.14141509345649544,5.220085134836397e-08,6.195291948662652e-06,0.09085848198543488,0.1912446555147503
MEGF9,0.1341200956441591,2.478537372319452e-07,2.8136787300548214e-05,0.08347884838942297,0.18407038820182453
MSRB1,0.13101420338488928,4.693556401430139e-07,4.563565096600143e-05,0.08033860684150011,0.1810142815141859
PLBD1,0.1285509881835192,7.707296716214127e-07,6.939224733115548e-05,0.07784886500627572,0.17858986338553035
PADI4,0.12690079137035326,1.068992946742213e-06,9.003679303044896e-05,0.07618125072761794,0.17696531817540828
GCA,0.12658807216643905,1.1368335033077418e-06,9.275850866051606e-05,0.07586526281789452,0.17665742930800704
ALOX5AP,0.1263934844931251,1.1811148726075445e-06,9.345124037509996e-05,0.07566864635355937,0.1764658423374087
ITGAM,0.12496321152415536,1.5613891822906512e-06,0.00011990550455767326,0.07422358225020269,0.17505750891757502
NCF1,0.12363416864328025,2.0181428460890193e-06,0.00015055345631824084,0.07288098607191909,0.1737486690033341
VNN2,0.11975678065802246,4.202374575669285e-06,0.00028874736887032904,0.06896510818342395,0.16992920976955483
CTSD,0.11894838814691316,4.882889276658349e-06,0.0003187305975338737,0.06814888807838182,0.16913270481936926
QPCT,0.1137204623510283,1.2589613830737756e-05,0.000699393227916091,0.06287198214659498,0.16398007342102772
NUP214,0.11230517588143708,1.6156218874957755e-05,0.0008785617424659371,0.061443924785240675,0.1625846985236696
FBXL5,0.11141276330879805,1.8879263316048863e-05,0.0009858751303640717,0.06054356652845217,0.16170473784621087
MNDA,0.10760959804586302,3.6187188537856745e-05,0.001751645189308555,0.05670746725619778,0.1579537415247742
EMB,0.10698580511944938,4.018101266724013e-05,0.0018405723521783153,0.056078415953184475,0.15733836658803343
CD52,0.10635656989052518,4.463059984879778e-05,0.0020091464862967414,0.055443917414356225,0.15671758317238185
F5,0.10211606028771733,8.922080157273468e-05,0.003882591881773504,0.051169009630756886,0.15253299363462947
CES1,0.1008824571203286,0.00010860395846487233,0.004428537055358229,0.049925750179568545,0.15131531859584618
CDC42EP3,0.10085187902745887,0.00010913142365220096,0.004428537055358229,0.04989493473597879,0.15128513337929494
TMEM170B,0.09882366566201065,0.00015003841842197368,0.005761033977937842,0.04785119475375624,0.1492827690502255
PDLIM7,0.09782149443490994,0.00017521075457564077,0.006528099427655195,0.04684150910487663,0.1482932174377842
FCN1,0.09655524999011168,0.00021269993864004303,0.007504858645799356,0.045565919126876894,0.14704277334974752
NFE2,0.0958550675975857,0.00023653706598626153,0.008126293148554327,0.04486064041548092,0.14635125862560397
IGF2R,0.09519626639601501,0.0002612310212300984,0.008744540979894706,0.04419709050298565,0.14570056776296422
RETN,0.09325986396356585,0.00034850959285086,0.01123405613498266,0.04224699074183814,0.1437877509075547
CTB-61M7.2,0.09278620644016901,0.0003736641824219738,0.011898014393948459,0.04177004191483442,0.14331980510209089
TSPO,0.08993907870402018,0.0005642562562505838,0.01713108238453807,0.0389036201849426,0.1405065339824574
KCNE3,0.0897385528149729,0.000580622311733596,0.01742534317168298,0.03870176705832055,0.14030836186150056
ANXA1,0.08958965502562034,0.0005930590642290993,0.0175963320079793,0.03855188644125839,0.1401612092095261
MAP2K6,0.08950434499626786,0.0006002957518848438,0.017610923687318283,0.038466014341880836,0.14007689803871876
AGFG1,0.08564916275604763,0.0010273268621225579,0.027653097288680397,0.03458621860661383,0.13626608892344366
GAPDH,0.08535560777018851,0.0010693054404846316,0.028201580859650233,0.034290852459815294,0.13597585136658358
C11orf21,0.08429435107294116,0.001234638928540532,0.0318501491422275,0.03322312248597317,0.1349265153100267
C19orf59,0.08247675293949794,0.0015735264856907856,0.039128358610844204,0.03139470843479194,0.13312906961464643
