,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
AQP9,0.3625278983629794,4.3153468784329514e-39,2.2681463193043595e-36,0.31210960494164264,0.41090991436748703
SERPINB9,0.33927001253946387,4.719510839703366e-34,1.5503593108425557e-31,0.2879735057826441,0.3886251701798247
PFKFB3,0.31597812892375393,1.9033479508560726e-29,4.1683320123747995e-27,0.26386726221285034,0.36624983247966286
THBS1,0.3093179403725836,3.3052630252214194e-28,6.20445087877278e-26,0.25698615941961733,0.3598410188565749
ATP2B1,0.3040899078385307,2.944215331528106e-27,4.551410524268155e-25,0.25158843117070273,0.35480696525273836
BCL2A1,0.30217228195355333,6.49009105545872e-27,9.475532940969731e-25,0.24960937978604217,0.3529597527908952
IFI6,0.2974723708021359,4.3869280124799714e-26,6.0678141141038766e-24,0.24476077701356877,0.34843074305096394
IL1B,0.29453096031479403,1.4234831691702755e-25,1.8704568842897422e-23,0.24172764945952108,0.345595079107831
GK,0.2933239353581002,2.2977812029135952e-25,2.875509048217585e-23,0.24048328639114522,0.34443117793053096
CXCL2,0.29257829100979227,3.084956494694051e-25,3.6851207582072576e-23,0.23971466305820954,0.34371209495271704
CD300E,0.28350113866585935,1.0347647653373382e-23,1.08774472132261e-21,0.23036308528388572,0.33495347837462336
CD163,0.28191227743571057,1.887435672856247e-23,1.907761903179314e-21,0.2287271974683628,0.33341945855341426
BIRC3,0.27888883127302205,5.857274480081403e-23,5.701080493945899e-21,0.22561509375749642,0.3304996167026138
IFI44L,0.2699123352005908,1.5506102506990343e-21,1.4553584781560936e-19,0.2163817784476974,0.3218248932625741
NAMPT,0.2672534626416587,3.993196615573906e-21,3.6186623123200778e-19,0.21364867206983937,0.3192537326858024
CDC42EP2,0.2653874360483732,7.70490186255779e-21,6.749494031600624e-19,0.21173104833523515,0.3174488060552357
CLEC7A,0.26199013453664866,2.5142568805582954e-20,2.002262752153697e-18,0.20824086915538248,0.31416177473628576
CCL20,0.2539188185288344,3.888104427450865e-19,2.7616049825245602e-17,0.19995437975321173,0.3063474196424755
ITGAX,0.2485974196373226,2.2402027450813502e-18,1.4718132035184472e-16,0.1944953368609335,0.3011915664610626
CXCL3,0.24839664139772305,2.391221999477242e-18,1.53271497917712e-16,0.19428943085416422,0.30099697409782217
APOBEC3A,0.2433854906158496,1.1947255126608306e-17,7.135769652892416e-16,0.1891518421080883,0.2961387949145375
C15orf48,0.23943593355605447,4.134968634064031e-17,2.362325558765277e-15,0.1851047237295151,0.2923078786011581
MMP19,0.23501947398308828,1.6128169890069733e-16,8.649965402265971e-15,0.18058135105903336,0.2880220744845624
C5AR1,0.2301040850703983,7.094373445992384e-16,3.728802683213597e-14,0.1755496772909482,0.28324960332367394
CCL3L1,0.22986380140873175,7.620293406569432e-16,3.926692367149896e-14,0.1753037822143508,0.2830162385488597
CLEC4E,0.22820766615400084,1.2446508207571178e-15,6.171589352735294e-14,0.1736091558711789,0.2814076199585392
TLR2,0.22447418211695225,3.707617691382546e-15,1.7715671441733332e-13,0.16979008569279044,0.2777801572777142
MAP3K8,0.22383431290312136,4.461367514470192e-15,2.0569252329873098e-13,0.16913571299394176,0.27715830607584174
GPR183,0.22363301658683568,4.7282443666713325e-15,2.1060722365444512e-13,0.1689298640006232,0.27696266880432124
PLAUR,0.2215131414614707,8.68747610695645e-15,3.742735608046156e-13,0.16676233381460756,0.2749021212488263
IFITM3,0.220199499775804,1.2624459844129804e-14,5.266203249265575e-13,0.1654194268068662,0.2736249974378452
ZFP36L1,0.21142670978425254,1.4389196922619444e-13,5.90856398635061e-12,0.15645640166593103,0.2650912493120927
ELL2,0.2110152000249738,1.6086299979818946e-13,6.503814822609876e-12,0.15603619063752613,0.26469074588060343
CD83,0.21052916518473205,1.8344771326262517e-13,7.304554400820893e-12,0.15553990434598108,0.264217686780145
PPIF,0.21033559001479077,1.932842259881529e-13,7.58135740144576e-12,0.15534225401600762,0.26402927232009293
DUSP2,0.20969368324634263,2.297501567994258e-13,8.879167824542515e-12,0.15468686528136513,0.26340444944559854
VEGFA,0.20664516235210198,5.179948127986548e-13,1.917310377513894e-11,0.15157497709903167,0.2604364474347733
SOD2,0.2065566979189315,5.302582026609626e-13,1.9354424397125135e-11,0.15148469011897334,0.26035030438157547
MARCKS,0.20567704498660883,6.687714533524042e-13,2.4075772320686554e-11,0.15058696454740286,0.25949368767122405
HLA-DRB5,0.20386969919637732,1.073753299722005e-12,3.7624315622259054e-11,0.14874277155230042,0.25773340661100513
KDM6B,0.20224473502065854,1.6372339514789452e-12,5.5878582136190494e-11,0.1470850057778386,0.2561504524905627
NFKB1,0.20211790183479722,1.6917808921331363e-12,5.7000002365716445e-11,0.14695562536792198,0.2560268861467227
CREM,0.2012345354635242,2.1242726754598245e-12,7.0665678368461e-11,0.1460545704688545,0.25516622377404286
VMP1,0.20074532786462837,2.4085854572297263e-12,7.912203226999651e-11,0.14555560636500886,0.2546895528585802
ICAM1,0.19568175168149593,8.67067301352271e-12,2.712681985659248e-10,0.14039269351399916,0.24975419808762364
TGIF1,0.19540151702741262,9.298148037289226e-12,2.87476859317601e-10,0.14010704902869897,0.2494809775525691
THAP2,0.19526618738045087,9.616859677518694e-12,2.9387333991301315e-10,0.13996911018609873,0.2493490320491847
NAMPTL,0.19473942386181156,1.0962345565114009e-11,3.311384384496508e-10,0.13943221094716654,0.24883542201089026
EHD1,0.19365511892431755,1.4336795593945257e-11,4.281488502373652e-10,0.13832714470605867,0.24777809679178248
SLC43A2,0.19357169018865397,1.463493906908765e-11,4.321417963321612e-10,0.1382421242588064,0.24769673859126282
CXCL16,0.1932732533652398,1.5751898144086126e-11,4.599554258073149e-10,0.13793800032543718,0.24740570212630758
GADD45B,0.1931910208898046,1.6074042484303304e-11,4.642042159203196e-10,0.1378542026346659,0.24732550705858664
ZNF331,0.19199031613250583,2.157997061191778e-11,6.098082018077411e-10,0.13663073385443641,0.24615446671170357
KCNN1,0.1916069423903047,2.369835109786901e-11,6.625453902680825e-10,0.1362401273408978,0.24578053122750687
TNFRSF1B,0.19050786384768598,3.096193678831232e-11,8.565049461019451e-10,0.13512040887099697,0.24470842146128075
RNF149,0.18954218467892178,3.9107677280420546e-11,1.0595358339478887e-09,0.13413671166329416,0.2437663283708294
FKBP5,0.18569041435699782,9.8047621037953e-11,2.6291816214713053e-09,0.13021415948364182,0.24000761661253056
THBD,0.18564755298467372,9.904451313761765e-11,2.6291816214713053e-09,0.13017052023908873,0.23996578160457832
NLRP3,0.1848570075895051,1.193085412309769e-10,3.10438461737631e-09,0.1293656661233919,0.23919413054035865
SLC11A1,0.18172216780299877,2.4755918584648386e-10,6.19605276575771e-09,0.12617480600909275,0.2361335387252539
FCGR3A,0.18108883112315063,2.8644135479769875e-10,7.101583777437287e-09,0.12553029099023003,0.23551507136869318
WARS,0.18043800319383296,3.3258411688552955e-10,8.168514571730576e-09,0.12486802485686217,0.2348794774903135
CCL4L2,0.17909227999396318,4.5211885374891523e-10,1.0801530433201358e-08,0.1234988078024939,0.23356510621644208
ATP13A3,0.17822985031445002,5.497513207368159e-10,1.301573397203921e-08,0.12262143296855016,0.23272266427129465
PDE4B,0.17532559794876013,1.0543471027348064e-09,2.4305475315676064e-08,0.11966749150274451,0.22988511956905147
CCL4,0.17522404244506062,1.0784150289384744e-09,2.4644127791741836e-08,0.11956421630592298,0.22978587990165228
MAFB,0.17199021423862784,2.197103037213427e-09,4.9350314374332363e-08,0.11627625771196565,0.22662520137468462
NFKBIZ,0.17188369896173564,2.2486881989420694e-09,5.008095412559117e-08,0.11616798026662462,0.22652107591080037
ACSL1,0.1713590809676155,2.5204401593702293e-09,5.5661485200209773e-08,0.11563470241555918,0.22600821020088344
OLR1,0.16894056637844682,4.244985573309537e-09,8.924657669325972e-08,0.11317668079662882,0.2236434823796005
LUCAT1,0.16646516043811335,7.18095767430475e-09,1.474340372505694e-07,0.11066154514685149,0.22122246136064008
PTGS2,0.16576019022538066,8.328574657738929e-09,1.6967049767858841e-07,0.10994539106202218,0.2205328559160129
CDKN1A,0.16556766310391624,8.671746482638996e-09,1.7530269043365602e-07,0.10974981970302936,0.22034451538770392
PNRC1,0.16551300137806232,8.771654491178496e-09,1.759687633802831e-07,0.10969429445405403,0.22029104156243937
JMJD1C,0.164566782867351,1.0688930754048466e-08,2.1280689410332856e-07,0.10873318318616944,0.21936533395083804
SOCS3,0.16395485853312283,1.213915290067233e-08,2.39468057482039e-07,0.10811168320649599,0.21876662157898633
HES1,0.16270778285314266,1.5708871179782145e-08,3.057993589664258e-07,0.10684522788012166,0.21754634354386765
IL1RN,0.1621430809920435,1.7642301465454637e-08,3.384231259212758e-07,0.10627181012958907,0.2169937198196927
SERPINA1,0.1606513500248987,2.3925674781589012e-08,4.523501678130642e-07,0.10475723376698937,0.21553372564629897
DNAAF1,0.15940493431913283,3.079386268280185e-08,5.780447937885947e-07,0.1034919283902474,0.21431363942507878
DUSP6,0.15909282394457827,3.2792415021111274e-08,6.111947991168824e-07,0.10317511625205762,0.214008095292665
ARL5B,0.15748540325403917,4.524428936991606e-08,8.257082810009681e-07,0.1015436603556216,0.2124343216497861
CCL3,0.1547195822230398,7.81168666001364e-08,1.4158008650010928e-06,0.09873718708018829,0.20972572829402694
VAMP5,0.15360113955191762,9.715299755379347e-08,1.7368576705535325e-06,0.09760255827158965,0.20863018757470841
SLC16A6,0.15214917250332832,1.2864206594130903e-07,2.2842658736064875e-06,0.09612979543499257,0.20720774588859237
NAF1,0.15208053630009039,1.3035206760731916e-07,2.2990955280002334e-06,0.09606018226111632,0.20714049962127495
ISG15,0.1516823963748971,1.4071278490392276e-07,2.465287991516727e-06,0.09565638600416991,0.206750412073035
MS4A7,0.15019870615887707,1.8678716634434508e-07,3.2294517970588088e-06,0.09415177953060633,0.2052965752767152
PHLDA1,0.15006051924161332,1.9175324501642368e-07,3.2936439732232773e-06,0.09401165756170424,0.20516115644712973
SIGLEC1,0.14969346327319213,2.0557082085008273e-07,3.5080527090520614e-06,0.09363947243733818,0.20480144290614344
TNF,0.14936384530330632,2.1879388040922436e-07,3.7096149530028494e-06,0.09330526181233458,0.20447840578415286
PHLDB1,0.14874705508206226,2.457743204077956e-07,4.113980344150872e-06,0.09267991162360088,0.20387389757610785
RGS2,0.146271367412862,3.9007567150723623e-07,6.406992904506356e-06,0.0901703107394226,0.2014470846859968
MDM2,0.14538920592463467,4.59013683391632e-07,7.400539631614778e-06,0.0892762370907053,0.20058217501802605
NBPF10,0.14456972479752656,5.334593303712164e-07,8.496552243730647e-06,0.08844577121259638,0.19977864282229846
RP11-1143G9.4,0.14437112161559978,5.531795167047025e-07,8.705124370658433e-06,0.0882445175958217,0.19958389372199148
METTL7A,0.14332004988525116,6.697948613927661e-07,1.0354240563177584e-05,0.08717949520594899,0.19855314639496302
NR4A3,0.14303238674333354,7.056250478044804e-07,1.0844342839942542e-05,0.08688803633614108,0.19827102445148262
ETV3,0.1419381015282738,8.595245962216957e-07,1.3132736272503583e-05,0.08577939979475328,0.19719773459546286
UPP1,0.14184271552548555,8.743724668473627e-07,1.3282374814305602e-05,0.08568276941315187,0.1971041724267147
FGD4,0.14174210752914448,8.903002875775808e-07,1.3446604343413119e-05,0.0855808500582145,0.1970054870210751
TNFAIP6,0.14019884634562316,1.1724977617325112e-06,1.760756638761737e-05,0.08401762076720534,0.1954915767762724
ATP1B3,0.13983039120776863,1.2516146307681538e-06,1.868888210033357e-05,0.0836444391117811,0.19513009023083935
TIPARP,0.13683918233805048,2.1134234102133066e-06,3.102836157564564e-05,0.08061544240333733,0.1921948979094454
LHFPL2,0.1349778640132528,2.9116250546460717e-06,4.250972579783265e-05,0.07873113409862281,0.19036793657514162
IL15,0.1337148108366119,3.609961663275566e-06,5.2126259621363675e-05,0.07745270924242884,0.1891279788159912
CYB5D1,0.13362179163116422,3.6672880176338048e-06,5.266466071224939e-05,0.07735856528355893,0.18903665351580431
HPSE,0.13136154773541173,5.360286152814408e-06,7.533065245773404e-05,0.07507129971045774,0.18681727460203448
PDE4A,0.13130436053442987,5.411571599971202e-06,7.564686257832085e-05,0.07501343650652545,0.18676111399662212
ARHGAP24,0.13119373693175887,5.5121128697696464e-06,7.66446170463208e-05,0.07490150631156622,0.18665247522389541
PLEKHF2,0.1309574516366192,5.732874973099829e-06,7.929471278582291e-05,0.07466243496511625,0.18642042486233665
C3AR1,0.1306372053282444,6.045601115490222e-06,8.318240697124767e-05,0.07433842294562777,0.1861059084406113
IFITM2,0.12836804951528108,8.776551624602172e-06,0.00011828091112540775,0.07204292504610564,0.18387702695633462
FGL2,0.12762933156469491,9.89545657909444e-06,0.0001313396964134353,0.07129576021707798,0.18315129702671154
PLXNC1,0.12751688650368692,1.0077267721908258e-05,0.0001330807013727382,0.0711820349453467,0.18304082364979068
IL1R2,0.1270839785488996,1.0807412925232252e-05,0.0001420094058375518,0.07074421191562551,0.18261549348991202
PLIN2,0.12680199836682743,1.1309832172217311e-05,0.00014713979677518363,0.07045904191059615,0.18233843802327612
RABGAP1L,0.12664383564064413,1.1601303732487804e-05,0.00014951454392037717,0.07029909404366427,0.18218303371000225
EREG,0.12663287753533714,1.162176091718442e-05,0.00014951454392037717,0.0702880123644489,0.18217226661507885
CEBPB,0.12580862786164002,1.3263025338114765e-05,0.00016853482987608164,0.06945450753944582,0.18136234622913844
DMXL2,0.12580297742440866,1.3275003723116019e-05,0.00016853482987608164,0.06944879392736847,0.18135679376265498
CECR1,0.125527428281913,1.3871806477657418e-05,0.00017526493953501777,0.06917016848754072,0.18108601796227344
AREG,0.12547686811788142,1.3984051270420715e-05,0.00017583773559170162,0.06911904481223839,0.18103633273815278
CTSS,0.12510890746613293,1.4827371630655364e-05,0.00018467456230029526,0.06874699202224513,0.18067473107562937
CD14,0.12467108678969785,1.589390595387697e-05,0.00019702445682447488,0.06830432270924972,0.1802444571181232
CTSL,0.12436986533517395,1.6669653734896548e-05,0.00020567065734886447,0.06799977827074517,0.17994841547010898
SLC15A3,0.12357444934849501,1.889502162956255e-05,0.0002320379291705158,0.06719563798731686,0.1791666290657177
TNFAIP2,0.12351476077112047,1.907294438600242e-05,0.00023313347835541564,0.06713529768679116,0.1791079604297629
DLGAP1-AS1,0.12328751009849206,1.976503215409306e-05,0.00023826836927044295,0.06690556950061555,0.17888458933356463
